code,name,industry,region,list_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,volume,amount,turnover_rate,turnover_rate_free,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dividend_yield,dividend_yield_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_up,limit_down
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250908,18.39,18.72,18.33,18.49,18.38,0.11,0.5985,18164.8,33646.83,4.2761,4.2761,0.65,90.423,76.4386,5.9634,24.4101,22.2813,,,41646.4084,4247.9336,4247.9336,770042.0913,78544.2923,22.06,14.7
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250905,18.04,18.41,18.02,18.38,18.04,0.34,1.8847,25285.69,46176.955,5.9525,5.9525,0.89,89.8851,75.9839,5.9279,24.2649,22.1487,,,41646.4084,4247.9336,4247.9336,765460.9864,78077.0196,21.65,14.43
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250904,18.48,18.65,17.63,18.04,18.48,-0.44,-2.381,27571.98,50056.333,6.4907,6.4907,0.88,88.2224,74.5783,5.8183,23.8161,21.739,,,41646.4084,4247.9336,4247.9336,751301.2075,76632.7221,22.18,14.78
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250903,18.85,18.95,18.3,18.48,18.67,-0.19,-1.0177,24010.7,44677.075,5.6523,5.6523,0.68,90.3741,76.3973,5.9602,24.3969,22.2692,,,41646.4084,4247.9336,4247.9336,769625.6272,78501.8129,22.4,14.94
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250902,19.56,19.6,18.53,18.67,19.47,-0.8,-4.1089,36363.9,68552.768,8.5604,8.5604,1.03,91.3033,77.1828,6.0215,24.6478,22.4982,,,41646.4084,4247.9336,4247.9336,777538.4448,79308.9203,23.36,15.58
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250901,19.5,19.74,19.4,19.47,19.37,0.1,0.5163,26864.69,52465.161,6.3242,6.3242,0.61,95.2156,80.49,6.2795,25.7039,23.4622,,,41646.4084,4247.9336,4247.9336,810855.5715,82707.2672,23.24,15.5
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250829,19.61,19.79,19.3,19.37,19.75,-0.38,-1.9241,27276.65,53079.206,6.4212,6.4212,0.53,94.7265,80.0766,6.2472,25.5719,23.3417,,,41646.4084,4247.9336,4247.9336,806690.9307,82282.4738,23.7,15.8
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250828,19.61,19.78,19.17,19.75,19.61,0.14,0.7139,41394.93,80876.29,9.7447,9.7447,0.83,96.5849,81.6475,6.3698,26.0736,23.7997,,,41646.4084,4247.9336,4247.9336,822516.5659,83896.6886,23.53,15.69
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250827,20.25,20.51,19.56,19.61,20.2,-0.59,-2.9208,43578.26,87251.11,10.2587,10.2587,0.94,95.9002,81.0688,6.3246,25.8887,23.631,,,41646.4084,4247.9336,4247.9336,816686.0687,83301.9779,24.24,16.16
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250826,20.88,20.88,20.18,20.2,20.7,-0.5,-2.4155,37818.54,77143.314,8.9028,8.9028,0.78,98.7856,83.5079,6.5149,26.6676,24.3419,,,41646.4084,4247.9336,4247.9336,841257.4497,85808.2587,24.84,16.56
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250825,20.59,21.08,20.09,20.7,20.15,0.55,2.7295,69597.17,143231.673,16.3838,16.3838,1.54,101.2307,85.5749,6.6762,27.3277,24.9445,,,41646.4084,4247.9336,4247.9336,862080.6539,87932.2255,24.18,16.12
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250822,19.18,21.5,19.18,20.15,19.33,0.82,4.2421,67133.08,136738.562,15.8037,15.8037,1.74,98.541,83.3012,6.4988,26.6016,24.2817,,,41646.4084,4247.9336,4247.9336,839175.1293,85595.862,23.2,15.46
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250821,19.7,19.89,19.22,19.33,19.68,-0.35,-1.7785,30123.07,58620.992,7.0912,7.0912,0.75,94.5309,79.9112,6.2343,25.5191,23.2935,,,41646.4084,4247.9336,4247.9336,805025.0744,82112.5565,23.62,15.74
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250820,19.56,19.75,19.28,19.68,19.69,-0.01,-0.0508,28308.99,55242.255,6.6642,6.6642,0.71,96.2426,81.3582,6.3472,25.9812,23.7153,,,41646.4084,4247.9336,4247.9336,819601.3173,83599.3332,23.63,15.75
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250819,19.6,20.18,19.3,19.69,19.51,0.18,0.9226,47932.28,94657.083,11.2837,11.2837,1.34,96.2915,81.3995,6.3504,25.9944,23.7274,,,41646.4084,4247.9336,4247.9336,820017.7814,83641.8126,23.41,15.61
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250818,19.11,19.78,19.11,19.51,19.1,0.41,2.1466,51871.81,101055.9,12.2111,12.2111,1.63,95.4112,95.6859,6.4424,25.7567,25.2124,,,41646.4084,4247.9336,4247.9336,812521.4279,82877.1845,22.92,15.28
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250815,18.33,19.1,18.33,19.1,18.4,0.7,3.8043,34879.75,65595.771,8.211,8.211,1.18,93.4061,93.675,6.3071,25.2154,24.6826,,,41646.4084,4247.9336,4247.9336,795446.4004,81135.5318,22.08,14.72
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250814,18.96,19.07,18.35,18.4,18.82,-0.42,-2.2317,36661.62,68653.322,8.6305,8.6305,1.31,89.9829,90.2419,6.0759,24.2913,23.778,,,41646.4084,4247.9336,4247.9336,766293.9146,78161.9782,22.58,15.06
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250813,18.68,18.9,18.56,18.82,18.62,0.2,1.0741,29048.33,54475.46,6.8382,6.8382,1.09,92.0368,92.3018,6.2146,24.8458,24.3207,,,41646.4084,4247.9336,4247.9336,783785.4061,79946.1104,22.34,14.9
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250812,18.95,18.95,18.5,18.62,18.95,-0.33,-1.7414,26461.96,49364.695,6.2294,6.2294,1.0,91.0588,91.3209,6.1485,24.5818,24.0623,,,41646.4084,4247.9336,4247.9336,775456.1244,79096.5236,22.74,15.16
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250811,18.57,18.97,18.43,18.95,18.41,0.54,2.9332,32038.51,60263.945,7.5421,7.5421,1.22,92.6726,92.9394,6.2575,25.0174,24.4887,,,41646.4084,4247.9336,4247.9336,789199.4392,80498.3417,22.09,14.73
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250808,18.28,18.76,18.25,18.41,18.38,0.03,0.1632,24151.02,44478.311,5.6854,5.6854,0.9,90.0318,90.291,6.0792,24.3045,23.7909,,,41646.4084,4247.9336,4247.9336,766710.3786,78204.4576,22.06,14.7
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250807,18.39,18.68,18.23,18.38,18.53,-0.15,-0.8095,27982.72,51504.195,6.5874,6.5874,0.89,89.8851,90.1438,6.0693,24.2649,23.7521,,,41646.4084,4247.9336,4247.9336,765460.9864,78077.0196,22.24,14.82
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250806,18.76,18.8,18.41,18.53,18.68,-0.15,-0.803,23164.98,42939.08,5.4532,5.4532,0.63,90.6186,90.8795,6.1188,24.4629,23.946,,,41646.4084,4247.9336,4247.9336,771707.9477,78714.2096,22.42,14.94
688758,赛分科技,化工原料,江苏,20250110,688758.SH,20250805,18.68,18.84,18.38,18.68,18.68,0.0,0.0,25127.95,46717.119,5.9153,5.9153,0.56,91.3522,91.6152,6.1684,24.661,24.1398,,,41646.4084,4247.9336,4247.9336,777954.9089,79351.3996,22.42,14.94
