trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20241007,49.74,50.421,50.421,49.74,1546,78621.0,1.37,1.37,0.681,0.0
20241008,49.347,49.109,49.347,49.107,812,40634.0,0.48,-2.6,-1.312,0.0
20241009,48.984,49.121,49.121,48.984,767,38315.0,0.28,0.02,0.012,0.0
20241010,49.435,49.487,49.487,49.435,152,7651.0,0.11,0.75,0.366,0.0
20241011,49.475,49.389,49.475,49.389,112,5642.0,0.17,-0.2,-0.098,0.0
20241014,49.348,49.321,49.348,49.321,300,15075.0,0.05,-0.14,-0.068,0.0
20241015,47.539,47.539,47.539,47.539,2,96.0,0.0,-3.61,-1.782,0.0
20241016,51.066,47.884,51.066,47.884,13259,662865.0,6.69,0.73,0.345,0.0
20241017,48.385,48.603,48.603,48.365,1464,72114.0,0.5,1.5,0.719,0.0
20241018,48.257,48.478,48.478,48.257,204,10032.0,0.45,-0.26,-0.125,0.0
20241021,48.463,48.326,48.463,48.326,209,10314.0,0.28,-0.31,-0.152,0.0
20241022,48.669,48.495,48.669,48.495,443,21947.0,0.36,0.35,0.169,0.0
20241023,48.267,48.227,48.404,48.08,4002,196610.0,0.67,-0.55,-0.268,0.0
20241024,48.542,48.216,48.542,48.149,4802,236475.0,0.81,-0.02,-0.011,0.0
20241025,48.561,48.529,48.561,48.529,121,5983.0,0.07,0.65,0.313,0.0
20241028,47.746,47.799,47.805,47.746,1005,48890.0,0.12,-1.5,-0.73,0.0
20241029,47.599,47.265,47.599,47.216,1215,58749.0,0.8,-1.12,-0.534,0.0
20241030,47.206,47.358,47.383,47.206,2101,101269.0,0.37,0.2,0.093,0.0
20241031,48.041,48.914,48.914,48.041,10800,533328.0,1.84,3.29,1.556,0.0
20241101,49.543,49.184,49.612,49.043,10626,535460.0,1.16,0.55,0.27,0.0
20241104,49.543,49.112,49.543,49.112,201,10138.0,0.88,-0.15,-0.072,0.0
20241105,49.483,49.297,49.483,49.297,102,5139.0,0.38,0.38,0.185,0.0
20241106,48.581,49.79,49.79,48.581,77546,3852549.0,2.45,1.0,0.493,0.0
20241107,49.449,49.637,49.637,49.449,100,5035.0,0.38,-0.31,-0.153,0.0
20241108,49.141,48.847,49.141,48.728,18572,925730.0,0.83,-1.59,-0.79,0.0
20241111,48.512,48.75,48.75,48.512,103,5088.0,0.49,-0.2,-0.097,0.0
20241112,48.021,48.417,48.417,48.021,469,23034.0,0.81,-0.68,-0.333,0.0
20241113,48.375,48.459,48.459,48.375,138,6797.0,0.17,0.09,0.042,0.0
