trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230928,23.925,23.925,23.925,23.925,1,25.0,0.0,0.0,0.0,0.0
20231003,23.865,23.822,23.865,23.822,100,2495.0,0.18,-0.43,-0.103,0.0
20231009,23.96,23.96,23.96,23.96,347,8692.0,0.0,0.58,0.138,0.0
20231011,23.965,23.965,23.965,23.965,13,325.0,0.0,0.02,0.005,0.0
20231012,23.951,23.917,23.951,23.917,2708,67754.0,0.14,-0.2,-0.048,0.0
20231013,23.951,23.951,23.951,23.951,811,20307.0,0.0,0.14,0.034,0.0
20231016,23.912,23.912,23.912,23.912,122,3049.0,0.0,-0.16,-0.039,0.0
20231017,23.845,23.843,23.845,23.843,2946,73443.0,0.01,-0.29,-0.069,0.0
20231019,23.807,23.812,23.812,23.807,670,16676.0,0.02,-0.13,-0.031,0.0
20231020,23.845,23.85,23.85,23.845,941,23459.0,0.02,0.16,0.038,0.0
20231023,23.884,23.885,23.893,23.884,93523,2335767.0,0.04,0.15,0.035,0.0
20231024,23.888,23.889,23.889,23.884,328590,8204897.0,0.02,0.02,0.004,0.0
20231025,23.846,23.852,23.855,23.846,2325,57968.0,0.04,-0.15,-0.037,0.0
20231026,23.898,23.898,23.898,23.884,3487,87102.0,0.06,0.19,0.046,0.0
20231027,23.903,23.912,23.912,23.903,551,13769.0,0.04,0.06,0.014,0.0
20231030,23.893,23.893,23.893,23.893,527,13164.0,0.0,-0.08,-0.019,0.0
20231031,23.922,23.893,23.922,23.893,3182,79542.0,0.12,0.0,0.0,0.0
20231101,23.965,23.965,23.965,23.965,136,3407.0,0.0,0.3,0.072,0.0
20231102,23.998,24.003,24.018,23.998,883,22161.0,0.08,0.16,0.038,0.0
20231103,24.094,24.078,24.094,24.065,3541,89101.0,0.12,0.31,0.075,0.0
20231106,24.018,24.027,24.027,24.018,3622,90948.0,0.04,-0.21,-0.051,0.0
20231107,24.065,24.065,24.065,24.065,261,6566.0,0.0,0.16,0.038,0.0
20231108,24.075,24.075,24.085,24.075,212039,5337023.0,0.04,0.04,0.01,0.0
20231109,24.063,24.018,24.063,24.018,387417,9728064.0,0.19,-0.24,-0.057,0.0
20231110,24.037,24.025,24.037,24.018,347816,8739195.0,0.08,0.03,0.007,0.0
20231113,24.027,24.027,24.027,24.018,8808,221244.0,0.04,0.01,0.002,0.0
20231114,24.142,24.147,24.147,24.142,71187,1796761.0,0.02,0.5,0.12,0.0
20231115,24.086,24.094,24.113,24.065,17953,452110.0,0.2,-0.22,-0.053,0.0
20231116,24.149,24.152,24.161,24.142,3897,98396.0,0.08,0.24,0.058,0.0
20231117,24.142,24.152,24.152,24.142,19787,499599.0,0.04,0.0,0.0,0.0
20231120,24.152,24.161,24.161,24.152,358825,9063908.0,0.04,0.04,0.009,0.0
20231121,24.171,24.161,24.18,24.152,10905,275561.0,0.12,0.0,0.0,0.0
20231122,24.161,24.182,24.182,24.161,11739,296623.0,0.09,0.09,0.021,0.0
20231124,24.152,24.16,24.16,24.135,2815,71041.0,0.1,-0.09,-0.022,0.0
20231127,24.161,24.218,24.228,24.161,90747,2297259.0,0.28,0.24,0.058,0.0
20231128,24.19,24.247,24.247,24.19,4510,114263.0,0.24,0.12,0.029,0.0
20231129,24.268,24.292,24.292,24.268,9604,243636.0,0.1,0.19,0.045,0.0
20231130,24.259,24.254,24.259,24.249,4457,112955.0,0.04,-0.16,-0.038,0.0
20231201,24.287,24.335,24.354,24.268,3283,83466.0,0.35,0.33,0.081,0.0
20231204,24.297,24.306,24.306,24.289,3569,90617.0,0.07,-0.12,-0.029,0.0
20231205,24.335,24.354,24.373,24.335,3464,88168.0,0.16,0.2,0.048,0.0
20231206,24.393,24.373,24.393,24.354,6524,166227.0,0.16,0.08,0.019,0.0
20231207,24.373,24.383,24.402,24.364,8141,207355.0,0.16,0.04,0.01,0.0
20231208,24.316,24.297,24.335,24.287,9019,229123.0,0.2,-0.35,-0.086,0.0
20231211,24.288,24.297,24.335,24.287,10720,272355.0,0.2,0.0,0.0,0.0
20231212,24.335,24.335,24.345,24.326,46926,1193736.0,0.08,0.16,0.038,0.0
20231213,24.316,24.459,24.459,24.316,5736,146436.0,0.59,0.51,0.124,0.0
20231214,24.413,24.474,24.517,24.393,25625,655123.0,0.51,0.06,0.015,0.0
20231215,24.517,24.522,24.536,24.488,21527,551662.0,0.2,0.2,0.048,0.0
20231218,24.517,24.512,24.517,24.498,1916,49076.0,0.08,-0.04,-0.01,0.0
20231219,24.507,24.522,24.522,24.507,4276,109539.0,0.06,0.04,0.01,0.0
20231220,24.431,24.56,24.56,24.431,6923,177277.0,0.53,0.15,0.038,0.0
20231221,24.584,24.565,24.593,24.555,15606,400552.0,0.15,0.02,0.005,0.0
20231222,24.574,24.574,24.574,24.555,1827,46915.0,0.08,0.04,0.009,0.0
20231226,24.558,24.578,24.587,24.558,1949,49709.0,0.12,0.02,0.004,0.0
20231227,24.626,24.645,24.645,24.607,8025,205120.0,0.15,0.27,0.067,0.0
20231228,24.636,24.607,24.636,24.587,6437,164373.0,0.2,-0.15,-0.038,0.0
20231229,24.616,24.602,24.616,24.602,918,23446.0,0.06,-0.02,-0.005,0.0
20240102,24.549,24.563,24.568,24.549,2712,69133.0,0.08,-0.16,-0.039,0.0
20240103,24.547,24.573,24.573,24.539,2838,72334.0,0.14,0.04,0.01,0.0
20240104,24.53,24.544,24.549,24.53,1712,43601.0,0.08,-0.12,-0.029,0.0
20240105,24.53,24.522,24.578,24.51,8542,217432.0,0.28,-0.09,-0.022,0.0
20240108,24.557,24.53,24.558,24.53,13755,350402.0,0.11,0.03,0.008,0.0
20240109,24.491,24.549,24.549,24.491,5101,129919.0,0.24,0.08,0.019,0.0
20240110,24.568,24.52,24.568,24.52,4579,116634.0,0.2,-0.12,-0.029,0.0
20240111,24.578,24.597,24.607,24.578,8380,213912.0,0.12,0.31,0.077,0.0
20240112,24.385,24.621,24.635,24.385,6638,169302.0,1.02,0.1,0.024,0.0
20240116,24.578,24.578,24.607,24.52,2703,68991.0,0.35,-0.17,-0.043,0.0
20240117,24.549,24.558,24.568,24.52,9257,235810.0,0.2,-0.08,-0.02,0.0
20240118,24.51,24.534,24.558,24.51,1730,44059.0,0.2,-0.1,-0.024,0.0
20240119,24.481,24.53,24.539,24.481,3428,87246.0,0.24,-0.02,-0.004,0.0
20240122,24.578,24.568,24.578,24.539,4104,104656.0,0.16,0.15,0.038,0.0
20240123,24.52,24.54,24.54,24.52,2190,55749.0,0.08,-0.11,-0.028,0.0
20240124,24.539,24.525,24.539,24.491,4716,120049.0,0.2,-0.06,-0.015,0.0
20240125,24.578,24.568,24.578,24.568,5487,139971.0,0.04,0.18,0.043,0.0
20240126,24.53,24.554,24.568,24.53,5927,151106.0,0.15,-0.06,-0.014,0.0
20240129,24.578,24.607,24.616,24.578,7742,197649.0,0.15,0.22,0.053,0.0
20240130,24.587,24.616,24.616,24.568,16664,425129.0,0.2,0.04,0.009,0.0
20240131,24.616,24.642,24.655,24.616,5392,137968.0,0.16,0.11,0.026,0.0
20240201,24.708,24.708,24.716,24.708,12604,323290.0,0.03,0.27,0.066,0.0
20240202,24.588,24.616,24.616,24.588,3672,93793.0,0.11,-0.37,-0.092,0.0
20240205,24.53,24.549,24.549,24.53,78469,1999384.0,0.08,-0.27,-0.067,0.0
20240206,24.592,24.592,24.597,24.592,3713,94792.0,0.02,0.18,0.043,0.0
20240207,24.587,24.583,24.597,24.583,140896,3597061.0,0.06,-0.04,-0.009,0.0
20240208,24.549,24.563,24.568,24.549,3452,87998.0,0.08,-0.08,-0.02,0.0
20240209,24.51,24.554,24.568,24.51,6181,157488.0,0.24,-0.04,-0.009,0.0
20240212,24.554,24.563,24.568,24.55,8308,211781.0,0.07,0.04,0.009,0.0
20240213,24.481,24.477,24.481,24.472,8517,216394.0,0.04,-0.35,-0.086,0.0
20240214,24.52,24.51,24.52,24.501,11695,297562.0,0.08,0.13,0.033,0.0
20240215,24.539,24.539,24.549,24.53,14673,373842.0,0.08,0.12,0.029,0.0
20240216,24.491,24.501,24.51,24.491,2623,66703.0,0.08,-0.15,-0.038,0.0
20240220,24.534,24.525,24.539,24.51,16856,428990.0,0.12,0.1,0.024,0.0
20240221,24.549,24.491,24.549,24.491,16797,427158.0,0.24,-0.14,-0.034,0.0
