trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210304,43.673,43.477,43.673,43.455,7758,387171.0,0.5,-0.45,-0.196,0.0
20210305,43.403,43.398,43.403,43.398,135,6714.0,0.01,-0.18,-0.079,0.0
20210308,43.359,43.217,43.359,43.217,28316,1406686.0,0.33,-0.42,-0.181,0.0
20210309,43.316,43.368,43.368,43.272,452,22431.0,0.22,0.35,0.151,0.0
20210310,43.446,43.416,43.473,43.416,730,36364.0,0.13,0.11,0.048,0.0
20210311,43.423,43.433,43.433,43.423,331,16471.0,0.02,0.04,0.017,0.0
20210312,43.32,43.285,43.342,43.285,1564,77641.0,0.13,-0.34,-0.148,0.0
20210315,43.298,43.333,43.333,43.276,1168,57982.0,0.13,0.11,0.048,0.0
20210316,43.333,43.276,43.333,43.276,492,24430.0,0.13,-0.13,-0.057,0.0
20210317,43.289,43.215,43.289,43.211,528,26182.0,0.18,-0.14,-0.061,0.0
20210318,43.062,43.049,43.089,43.049,512,25274.0,0.09,-0.38,-0.166,0.0
20210319,43.141,43.08,43.141,43.08,248,12261.0,0.14,0.07,0.031,0.0
20210322,43.211,43.211,43.211,43.211,12,594.0,0.0,0.3,0.131,0.0
20210323,43.359,43.263,43.359,43.263,627,31143.0,0.22,0.12,0.052,0.0
20210324,43.412,43.412,43.412,43.412,109,5422.0,0.0,0.34,0.149,0.0
20210325,43.347,43.347,43.347,43.347,43,2136.0,0.0,-0.15,-0.065,0.0
20210326,43.254,43.254,43.254,43.254,20,991.0,0.0,-0.21,-0.093,0.0
20210329,43.229,43.203,43.273,43.203,1685,83418.0,0.16,-0.12,-0.051,0.0
20210330,43.177,43.2,43.2,43.142,387,19122.0,0.13,-0.01,-0.003,0.0
20210331,43.268,43.268,43.268,43.268,1,49.0,0.0,0.16,0.068,0.0
20210401,43.404,43.382,43.439,43.382,709,35254.0,0.13,0.26,0.114,0.0
20210405,43.36,43.283,43.36,43.283,447,22186.0,0.18,-0.23,-0.099,0.0
20210406,43.421,43.421,43.421,43.421,85,4226.0,0.0,0.32,0.138,0.0
20210407,43.434,43.434,43.434,43.434,38,1889.0,0.0,0.03,0.013,0.0
