trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20191223,25.99,25.99,26.1,25.92,804161,20905882.0,0.7,0.46,0.12,0.0
20191224,26.04,26.0,26.08,25.99,889719,23152871.0,0.35,0.04,0.01,0.0
20191226,26.27,26.17,26.27,26.02,438550,11456154.0,0.96,0.65,0.17,0.0
20191227,26.25,26.39,26.39,26.21,506685,13320684.0,0.69,0.84,0.22,0.0
20191230,26.37,26.28,26.38,26.19,696403,18294782.0,0.72,-0.42,-0.11,0.0
20191231,26.27,26.53,26.56,26.05,4846840,128161584.0,1.94,0.95,0.25,0.0
20200102,26.41,26.28,26.44,26.18,594523,15651058.0,0.98,-0.94,-0.25,0.0
20200103,26.28,26.12,26.28,26.11,425071,11113811.0,0.65,-0.61,-0.16,0.0
20200106,26.12,26.04,26.18,26.01,414377,10797788.0,0.65,-0.31,-0.08,0.0
20200107,26.06,26.09,26.15,26.05,268089,6994821.0,0.38,0.19,0.05,0.0
20200108,26.15,26.26,26.3,26.1,273947,7170095.0,0.77,0.65,0.17,0.0
20200109,26.3,26.22,26.33,26.17,257024,6744621.0,0.61,-0.15,-0.04,0.0
20200110,26.24,26.26,26.29,26.2,159326,4183247.0,0.34,0.15,0.04,0.0
20200113,26.31,26.27,26.33,26.25,130233,3421551.0,0.3,0.04,0.01,0.0
20200114,26.35,26.24,26.35,26.2,188376,4947924.0,0.57,-0.11,-0.03,0.0
20200115,26.26,26.22,26.29,26.18,237148,6220648.0,0.42,-0.08,-0.02,0.0
20200116,26.19,26.17,26.28,26.08,212265,5557366.0,0.76,-0.19,-0.05,0.0
20200117,26.13,26.23,26.27,26.11,156330,4092758.0,0.61,0.23,0.06,0.0
20200121,26.3,26.3,26.32,26.25,136487,3587627.0,0.27,0.27,0.07,0.0
20200122,26.29,26.36,26.38,26.29,207153,5453482.0,0.34,0.23,0.06,0.0
20200123,26.38,26.15,26.4,26.14,182682,4788286.0,0.99,-0.8,-0.21,0.0
20200124,26.19,26.1,26.2,26.08,137168,3583732.0,0.46,-0.19,-0.05,0.0
20200127,26.0,25.97,26.05,25.91,265491,6894458.0,0.54,-0.5,-0.13,0.0
20200128,26.03,26.06,26.12,25.97,170800,4447702.0,0.58,0.35,0.09,0.0
20200129,26.09,26.14,26.17,26.07,124519,3253119.0,0.38,0.31,0.08,0.0
20200130,26.14,26.29,26.29,26.14,120487,3159513.0,0.57,0.57,0.15,0.0
20200131,26.3,26.27,26.41,26.23,168124,4428284.0,0.68,-0.08,-0.02,0.0
20200203,26.32,26.34,26.37,26.27,57433,1511087.0,0.38,0.27,0.07,0.0
20200204,26.38,26.29,26.38,26.27,88367,2324707.0,0.42,-0.19,-0.05,0.0
20200205,26.22,26.1,26.22,25.8,421559,11009808.0,1.6,-0.72,-0.19,0.0
20200206,26.14,26.01,26.2,25.96,520017,13544946.0,0.92,-0.34,-0.09,0.0
20200207,26.02,25.9,26.05,25.87,347846,9025125.0,0.69,-0.42,-0.11,0.0
20200210,26.04,25.91,26.04,25.89,345267,9415624.0,0.58,0.04,0.01,0.0
20200211,25.96,25.99,26.04,25.92,173684,4509803.0,0.46,0.31,0.08,0.0
20200212,26.03,25.96,26.09,25.9,291986,7593560.0,0.73,-0.12,-0.03,0.0
20200213,25.78,25.93,26.04,25.73,417109,10815488.0,1.19,-0.12,-0.03,0.0
20200214,25.95,25.99,26.02,25.93,126793,3294594.0,0.35,0.23,0.06,0.0
20200218,26.05,25.97,26.07,25.95,223468,5806723.0,0.46,-0.08,-0.02,0.0
20200219,26.0,25.97,26.03,25.97,246976,6417952.0,0.23,0.0,0.0,0.0
20200220,25.97,25.99,26.05,25.95,318996,8292081.0,0.39,0.08,0.02,0.0
20200221,26.01,25.98,26.05,25.9,137221,3564343.0,0.58,-0.04,-0.01,0.0
20200224,25.87,25.75,25.94,25.75,106363,2750528.0,0.73,-0.89,-0.23,0.0
20200225,25.79,25.46,25.86,25.41,241688,6191548.0,1.75,-1.13,-0.29,0.0
20200226,25.59,25.46,25.81,25.36,178423,4551649.0,1.77,0.0,0.0,0.0
20200227,25.38,25.11,25.4,24.98,192723,4846246.0,1.65,-1.37,-0.35,0.0
20200228,24.75,24.6,25.1,24.6,410730,10176093.0,1.99,-2.03,-0.51,0.0
20200302,25.26,24.99,25.4,24.8,266712,6688564.0,2.44,1.59,0.39,0.0
20200303,25.14,25.21,25.42,25.01,303346,7637480.0,1.64,0.88,0.22,0.0
20200304,25.35,25.88,25.88,25.35,152878,3919060.0,2.1,2.66,0.67,0.0
20200305,25.66,25.52,25.85,25.5,116874,3004640.0,1.35,-1.39,-0.36,0.0
20200306,25.42,25.26,25.54,25.08,174561,4408319.0,1.8,-1.02,-0.26,0.0
20200309,24.75,24.01,24.8,23.8,219526,5352611.0,3.96,-4.95,-1.25,0.0
20200310,24.73,24.6,24.83,24.26,293959,7206292.0,2.37,2.46,0.59,0.0
20200311,24.55,24.26,24.6,24.03,336849,8193340.0,2.32,-1.38,-0.34,0.0
20200312,23.87,17.36,23.87,17.04,291576,5902223.0,28.15,-28.44,-6.9,0.0
20200313,19.0,21.2,21.3,18.5,223016,4449260.0,16.13,22.12,3.84,0.0
20200316,19.84,19.11,19.88,18.02,153360,2942337.0,8.77,-9.86,-2.09,0.0
20200317,19.21,16.0,19.75,15.63,234712,4136340.0,21.56,-16.27,-3.11,0.0
20200318,14.99,10.51,15.62,9.0,485180,5399995.0,41.38,-34.31,-5.49,0.0
20200319,10.56,12.95,13.98,10.56,307852,3825191.0,32.54,23.22,2.44,0.0
20200320,13.5,13.1,15.95,13.0,267177,3794789.0,22.78,1.16,0.15,0.0
20200323,13.15,13.25,14.11,11.22,277660,3470527.0,22.06,1.15,0.15,0.0
