trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240924,24.446,24.417,24.446,24.407,200,5012.0,0.16,-0.12,-0.029,0.0
20240925,24.431,24.431,24.431,24.431,11,275.0,0.0,0.06,0.014,0.0
20240930,24.475,24.475,24.475,24.475,1,25.0,0.0,0.18,0.044,0.0
20241003,24.495,24.495,24.495,24.495,1,25.0,0.0,0.08,0.02,0.0
20241004,24.451,24.427,24.529,24.427,9800,246065.0,0.42,-0.28,-0.068,0.0
20241007,24.417,24.417,24.417,24.417,1,25.0,0.0,-0.04,-0.01,0.0
20241009,24.432,24.412,24.432,24.412,5400,135270.0,0.08,-0.02,-0.005,0.0
20241011,24.432,24.437,24.437,24.432,100,2505.0,0.02,0.1,0.025,0.0
20241014,24.393,24.407,24.412,24.393,8000,200195.0,0.08,-0.12,-0.03,0.0
20241017,24.432,24.422,24.442,24.422,1480,37076.0,0.08,0.06,0.015,0.0
20241018,24.432,24.432,24.432,24.432,24,601.0,0.0,0.04,0.01,0.0
20241022,24.393,24.383,24.393,24.383,224,5602.0,0.04,-0.2,-0.049,0.0
20241024,24.344,24.354,24.364,24.344,2001,49959.0,0.08,-0.12,-0.029,0.0
20241028,24.374,24.364,24.374,24.364,3525,88060.0,0.04,0.04,0.01,0.0
20241029,24.364,24.368,24.368,24.364,101,2522.0,0.02,0.02,0.004,0.0
20241030,24.383,24.364,24.383,24.364,600,15000.0,0.08,-0.02,-0.004,0.0
20241031,24.364,24.349,24.364,24.349,800,19984.0,0.06,-0.06,-0.015,0.0
20241101,24.356,24.356,24.356,24.356,100,2491.0,0.0,0.03,0.007,0.0
20241104,24.376,24.376,24.376,24.376,2100,52353.0,0.0,0.08,0.02,0.0
20241105,24.386,24.386,24.386,24.386,41,1022.0,0.0,0.04,0.01,0.0
20241108,24.41,24.41,24.41,24.41,1,24.0,0.0,0.1,0.024,0.0
20241112,24.405,24.395,24.405,24.395,526,13128.0,0.04,-0.06,-0.015,0.0
20241113,24.4,24.4,24.4,24.4,2,49.0,0.0,0.02,0.005,0.0
20241114,24.4,24.4,24.4,24.4,1,24.0,0.0,0.0,0.0,0.0
20241115,24.434,24.434,24.434,24.434,1,24.0,0.0,0.14,0.034,0.0
20241118,24.444,24.415,24.444,24.415,402,10050.0,0.12,-0.08,-0.019,0.0
20241119,24.439,24.439,24.439,24.439,4,99.0,0.0,0.1,0.024,0.0
20241120,24.454,24.454,24.454,24.454,2,50.0,0.0,0.06,0.015,0.0
20241121,24.454,24.454,24.454,24.454,23826,595888.0,0.0,0.0,0.0,0.0
20241122,24.474,24.474,24.474,24.474,463,11588.0,0.0,0.08,0.02,0.0
20241125,24.483,24.483,24.483,24.483,1,25.0,0.0,0.04,0.009,0.0
20241126,24.493,24.493,24.493,24.493,1,25.0,0.0,0.04,0.01,0.0
20241129,24.537,24.537,24.537,24.537,171,4291.0,0.0,0.18,0.044,0.0
20241202,24.564,24.555,24.564,24.555,229,5738.0,0.04,0.07,0.018,0.0
20241203,24.564,24.555,24.564,24.555,1190,29820.0,0.04,0.0,0.0,0.0
20241204,24.574,24.574,24.574,24.574,16,401.0,0.0,0.08,0.019,0.0
20241205,24.564,24.56,24.574,24.56,1206,30226.0,0.06,-0.06,-0.014,0.0
20241209,24.564,24.564,24.564,24.564,4,100.0,0.0,0.02,0.004,0.0
20241210,24.564,24.564,24.564,24.564,6,150.0,0.0,0.0,0.0,0.0
20241213,24.524,24.509,24.524,24.509,125,3127.0,0.06,-0.22,-0.055,0.0
