trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220512,24.5,24.65,24.65,24.45,72351,1777726.0,0.8,-1.4,-0.35,0.0
20220513,24.65,24.6,24.85,24.6,20439,505542.0,1.01,-0.2,-0.05,0.0
20220516,24.65,24.68,24.74,24.6,13016,321361.0,0.57,0.33,0.08,0.0
20220517,24.7,24.65,24.7,24.63,11189,276167.0,0.28,-0.12,-0.03,0.0
20220518,24.65,24.7,24.7,24.59,8278,203993.0,0.45,0.2,0.05,0.0
20220519,24.69,24.64,24.704,24.422,16912,416076.0,1.14,-0.24,-0.06,0.0
20220520,24.678,24.6,24.7,24.6,4655,114795.0,0.41,-0.16,-0.04,0.0
20220523,24.72,24.65,24.78,24.6,5304,130931.0,0.73,0.2,0.05,0.0
20220524,24.622,24.65,24.65,24.622,2060,50746.0,0.11,0.0,0.0,0.0
20220525,24.74,24.65,24.74,24.62,10557,260500.0,0.49,0.0,0.0,0.0
20220526,24.65,24.55,24.65,24.55,13070,321626.0,0.41,-0.41,-0.1,0.0
20220527,24.527,24.55,24.83,24.527,17226,424252.0,1.23,0.0,0.0,0.0
20220531,24.55,24.6,24.66,24.55,15044,370582.0,0.45,0.2,0.05,0.0
20220601,24.7,24.65,24.756,24.6,7933,195616.0,0.63,0.2,0.05,0.0
20220602,24.65,24.62,24.65,24.61,4170,102711.0,0.16,-0.12,-0.03,0.0
20220603,24.7,24.7,24.7,24.682,4257,105141.0,0.07,0.32,0.08,0.0
20220606,24.7,24.61,24.7,24.61,6154,151884.0,0.36,-0.36,-0.09,0.0
20220607,24.65,24.64,24.65,24.58,10426,256814.0,0.28,0.12,0.03,0.0
20220608,24.65,24.5,24.65,24.49,15142,371666.0,0.65,-0.57,-0.14,0.0
20220609,24.55,24.47,24.7,24.46,20053,493170.0,0.98,-0.12,-0.03,0.0
20220610,24.46,24.5,24.5,24.46,2551,62476.0,0.16,0.12,0.03,0.0
20220613,24.64,24.5,24.64,24.5,3643,89342.0,0.57,0.0,0.0,0.0
