trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20130927,10.44,10.1,10.44,10.0,253329,0.0,4.4,1.0,0.1,2.01
20130930,10.0,10.0,10.18,9.71,84885,0.0,4.65,-0.99,-0.1,29.27
20131001,9.95,10.0,10.02,9.92,74509,0.0,1.0,0.0,0.0,25.69
20131002,9.99,9.97,10.0,9.89,94046,0.0,1.1,-0.3,-0.03,32.43
20131003,10.0,10.0,10.01,9.8,72425,0.0,2.11,0.3,0.03,24.97
20131004,10.1,10.2,10.2,9.82,109774,0.0,3.8,2.0,0.2,37.85
20131007,10.4,10.18,10.4,10.06,52731,0.0,3.33,-0.2,-0.02,18.18
20131008,10.2,10.12,10.2,10.1,13890,0.0,0.98,-0.59,-0.06,4.79
20131009,10.14,10.15,10.21,10.14,14788,0.0,0.69,0.3,0.03,5.1
20131010,10.5,10.2,10.55,10.01,80330,0.0,5.32,0.49,0.05,27.7
20131011,10.31,10.18,10.41,10.15,23700,0.0,2.55,-0.2,-0.02,8.17
20131014,9.51,10.0,10.05,9.07,64386,0.0,9.63,-1.77,-0.18,22.2
20131015,9.78,10.18,10.29,9.77,10182,0.0,5.2,1.8,0.18,3.51
20131016,10.28,10.25,10.28,10.01,7081,0.0,2.65,0.69,0.07,2.44
20131017,10.09,10.44,10.55,10.0,63082,0.0,5.37,1.85,0.19,21.75
20131018,10.48,11.01,12.0,10.48,154212,0.0,14.56,5.46,0.57,53.18
20131021,12.98,12.9,13.0,11.55,252626,0.0,13.17,17.17,1.89,87.11
20131022,13.0,13.13,13.5,12.67,321195,0.0,6.43,1.78,0.23,110.76
20131023,12.99,13.11,13.41,12.9,64997,0.0,3.88,-0.15,-0.02,22.41
20131024,13.1,12.61,13.49,12.45,74727,0.0,7.93,-3.81,-0.5,25.77
20131025,12.45,12.36,12.8,12.26,130249,0.0,4.28,-1.98,-0.25,44.91
20131028,12.25,11.87,12.38,11.53,67819,0.0,6.88,-3.96,-0.49,23.39
20131029,11.91,13.06,13.18,11.91,180066,0.0,10.7,10.03,1.19,62.09
20131030,13.05,12.55,13.18,11.6,132951,0.0,12.1,-3.91,-0.51,45.85
20131031,12.65,12.68,13.02,12.55,89273,0.0,3.75,1.04,0.13,30.78
20131101,12.87,12.76,12.95,12.29,46390,0.0,5.21,0.63,0.08,16.0
20131104,12.85,13.0,13.0,12.85,67683,0.0,1.18,1.88,0.24,23.34
20131105,12.84,13.0,13.0,12.75,29211,0.0,1.92,0.0,0.0,10.07
20131106,12.5,13.12,13.31,12.5,99898,0.0,6.23,0.92,0.12,34.45
20131107,13.0,13.0,13.48,12.75,70982,0.0,5.56,-0.91,-0.12,0.56
20131108,12.9,12.8,12.99,12.42,88234,0.0,4.38,-1.54,-0.2,0.7
20131111,12.8,12.9,13.06,12.69,17249,0.0,2.89,0.78,0.1,0.14
20131112,12.92,13.0,13.1,12.86,12201,0.0,1.86,0.78,0.1,0.1
20131113,12.88,12.62,12.99,12.52,13520,0.0,3.62,-2.92,-0.38,0.11
20131114,12.51,12.39,12.58,12.21,20914,0.0,2.93,-1.82,-0.23,0.17
