trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
19840907,-9.165,-9.165,-9.164,-9.166,2981600,0.0,-0.02,0.22,0.02,0.02
19840910,-9.165,-9.166,-9.165,-9.168,2346400,0.0,-0.03,-0.01,-0.001,0.02
19840911,-9.165,-9.164,-9.161,-9.165,5444000,0.0,-0.04,0.02,0.002,0.04
19840912,-9.164,-9.167,-9.163,-9.167,4773600,0.0,-0.04,-0.03,-0.003,0.03
19840913,-9.161,-9.161,-9.16,-9.161,7429600,0.0,-0.01,0.07,0.006,0.05
19840914,-9.16,-9.159,-9.156,-9.16,8826400,0.0,-0.04,0.02,0.002,0.06
19840917,-9.156,-9.156,-9.154,-9.156,6886400,0.0,-0.02,0.03,0.003,0.05
19840918,-9.156,-9.16,-9.155,-9.16,3495200,0.0,-0.05,-0.04,-0.004,0.02
19840919,-9.16,-9.163,-9.159,-9.163,3816000,0.0,-0.04,-0.03,-0.003,0.03
19840920,-9.163,-9.163,-9.161,-9.163,2387200,0.0,-0.02,0.0,0.0,0.02
19840921,-9.163,-9.164,-9.159,-9.165,3591200,0.0,-0.07,-0.01,-0.001,0.02
19840924,-9.164,-9.165,-9.163,-9.165,2833600,0.0,-0.02,-0.01,-0.001,0.02
19840925,-9.165,-9.167,-9.165,-9.167,5977600,0.0,-0.02,-0.02,-0.002,0.04
19840926,-9.167,-9.169,-9.162,-9.169,3987200,0.0,-0.08,-0.02,-0.002,0.03
19840927,-9.169,-9.169,-9.168,-9.169,3796000,0.0,-0.01,0.0,0.0,0.03
19840928,-9.169,-9.171,-9.169,-9.174,8344800,0.0,-0.05,-0.02,-0.002,0.06
19841001,-9.172,-9.174,-9.172,-9.174,3521600,0.0,-0.02,-0.03,-0.003,0.02
19841002,-9.173,-9.173,-9.169,-9.173,4258400,0.0,-0.04,0.01,0.001,0.03
19841003,-9.171,-9.171,-9.17,-9.171,4335200,0.0,-0.01,0.02,0.002,0.03
19841004,-9.17,-9.17,-9.169,-9.17,4482400,0.0,-0.01,0.01,0.001,0.03
19841005,-9.17,-9.173,-9.17,-9.173,3510400,0.0,-0.03,-0.03,-0.003,0.02
19841008,-9.173,-9.173,-9.172,-9.173,1721600,0.0,-0.01,0.0,0.0,0.01
19841009,-9.173,-9.174,-9.172,-9.174,4515200,0.0,-0.02,-0.01,-0.001,0.03
19841010,-9.174,-9.177,-9.174,-9.177,13070400,0.0,-0.03,-0.03,-0.003,0.09
19841011,-9.177,-9.178,-9.174,-9.178,6553600,0.0,-0.04,-0.01,-0.001,0.04
19841012,-9.178,-9.182,-9.177,-9.183,9522400,0.0,-0.07,-0.04,-0.004,0.06
19841015,-9.176,-9.176,-9.175,-9.176,8715200,0.0,-0.01,0.07,0.006,0.06
19841016,-9.176,-9.177,-9.176,-9.177,4246400,0.0,-0.01,-0.01,-0.001,0.03
19841017,-9.173,-9.173,-9.172,-9.173,5636000,0.0,-0.01,0.04,0.004,0.04
19841018,-9.169,-9.169,-9.169,-9.169,8842400,0.0,0.0,0.04,0.004,0.06
19841019,-9.169,-9.169,-9.161,-9.17,11673600,0.0,-0.1,0.0,0.0,0.08
19841022,-9.169,-9.17,-9.168,-9.17,4108800,0.0,-0.02,-0.01,-0.001,0.03
19841023,-9.168,-9.168,-9.166,-9.168,6668800,0.0,-0.02,0.02,0.002,0.04
19841024,-9.166,-9.166,-9.165,-9.166,5989600,0.0,-0.01,0.02,0.002,0.04
19841025,-9.166,-9.171,-9.166,-9.171,5676000,0.0,-0.05,-0.05,-0.005,0.04
19841026,-9.171,-9.174,-9.171,-9.174,4113600,0.0,-0.03,-0.03,-0.003,0.03
19841029,-9.173,-9.173,-9.173,-9.173,1836000,0.0,0.0,0.01,0.001,0.01
19841030,-9.172,-9.172,-9.171,-9.172,2677600,0.0,-0.01,0.01,0.001,0.02
19841031,-9.172,-9.173,-9.171,-9.173,2191200,0.0,-0.02,-0.01,-0.001,0.01
19841101,-9.172,-9.172,-9.171,-9.172,1680000,0.0,-0.01,0.01,0.001,0.01
19841102,-9.172,-9.173,-9.171,-9.173,1004800,0.0,-0.02,-0.01,-0.001,0.01
19841105,-9.173,-9.173,-9.17,-9.173,3764800,0.0,-0.03,0.0,0.0,0.03
19841106,-9.166,-9.166,-9.166,-9.166,8073600,0.0,0.0,0.08,0.007,0.05
19841107,-9.166,-9.169,-9.166,-9.169,8286400,0.0,-0.03,-0.03,-0.003,0.06
19841108,-9.169,-9.173,-9.169,-9.173,3162400,0.0,-0.04,-0.04,-0.004,0.02
19841109,-9.173,-9.18,-9.173,-9.181,10518400,0.0,-0.09,-0.08,-0.007,0.07
19841112,-9.176,-9.176,-9.175,-9.176,4070400,0.0,-0.01,0.04,0.004,0.03
19841113,-9.176,-9.179,-9.174,-9.179,4548800,0.0,-0.05,-0.03,-0.003,0.03
19841114,-9.178,-9.178,-9.176,-9.178,3752800,0.0,-0.02,0.01,0.001,0.03
19841115,-9.178,-9.178,-9.176,-9.178,3833600,0.0,-0.02,0.0,0.0,0.03
19841116,-9.178,-9.18,-9.176,-9.18,5920000,0.0,-0.04,-0.02,-0.002,0.04
19841119,-9.18,-9.186,-9.179,-9.186,8321600,0.0,-0.08,-0.07,-0.006,0.06
19841120,-9.183,-9.183,-9.182,-9.183,9424800,0.0,-0.01,0.03,0.003,0.06
19841121,-9.18,-9.18,-9.18,-9.18,6418400,0.0,0.0,0.03,0.003,0.04
19841123,-9.179,-9.178,-9.176,-9.179,4904800,0.0,-0.03,0.02,0.002,0.03
19841126,-9.176,-9.176,-9.176,-9.176,3636000,0.0,0.0,0.02,0.002,0.02
19841127,-9.174,-9.174,-9.173,-9.174,4590400,0.0,-0.01,0.02,0.002,0.03
19841128,-9.168,-9.168,-9.165,-9.168,14673600,0.0,-0.03,0.07,0.006,0.1
19841129,-9.168,-9.17,-9.168,-9.17,6248800,0.0,-0.02,-0.02,-0.002,0.04
19841130,-9.17,-9.173,-9.169,-9.174,3906400,0.0,-0.05,-0.03,-0.003,0.03
19841203,-9.173,-9.175,-9.173,-9.175,3533600,0.0,-0.02,-0.02,-0.002,0.02
19841204,-9.173,-9.173,-9.17,-9.173,4332800,0.0,-0.03,0.02,0.002,0.03
19841205,-9.167,-9.167,-9.167,-9.167,9406400,0.0,0.0,0.07,0.006,0.06
19841206,-9.161,-9.161,-9.161,-9.161,11360000,0.0,0.0,0.07,0.006,0.08
19841207,-9.161,-9.162,-9.157,-9.163,17696000,0.0,-0.07,-0.01,-0.001,0.12
19841210,-9.162,-9.164,-9.162,-9.164,4016000,0.0,-0.02,-0.02,-0.002,0.03
19841211,-9.164,-9.166,-9.163,-9.166,4432800,0.0,-0.03,-0.02,-0.002,0.03
19841212,-9.166,-9.17,-9.166,-9.17,3937600,0.0,-0.04,-0.04,-0.004,0.03
19841213,-9.169,-9.169,-9.166,-9.169,2424800,0.0,-0.03,0.01,0.001,0.02
19841214,-9.169,-9.166,-9.165,-9.169,3475200,0.0,-0.04,0.03,0.003,0.02
19841217,-9.163,-9.163,-9.162,-9.163,4513600,0.0,-0.01,0.03,0.003,0.03
19841218,-9.156,-9.156,-9.155,-9.156,12164800,0.0,-0.01,0.08,0.007,0.08
19841219,-9.156,-9.161,-9.155,-9.161,11372800,0.0,-0.07,-0.05,-0.005,0.08
19841220,-9.161,-9.161,-9.159,-9.161,5013600,0.0,-0.02,0.0,0.0,0.03
19841221,-9.161,-9.163,-9.161,-9.164,4438400,0.0,-0.03,-0.02,-0.002,0.03
19841224,-9.161,-9.161,-9.16,-9.161,2418400,0.0,-0.01,0.02,0.002,0.02
19841226,-9.16,-9.16,-9.159,-9.16,2444000,0.0,-0.01,0.01,0.001,0.02
19841227,-9.16,-9.16,-9.159,-9.16,3531200,0.0,-0.01,0.0,0.0,0.02
19841228,-9.16,-9.155,-9.155,-9.16,5941600,0.0,-0.05,0.05,0.005,0.04
19841231,-9.154,-9.154,-9.153,-9.154,7453600,0.0,-0.01,0.01,0.001,0.05
19850102,-9.154,-9.159,-9.154,-9.159,6272800,0.0,-0.05,-0.05,-0.005,0.04
19850103,-9.157,-9.157,-9.154,-9.157,5967200,0.0,-0.03,0.02,0.002,0.04
19850104,-9.157,-9.157,-9.156,-9.159,4915200,0.0,-0.03,0.0,0.0,0.03
19850107,-9.157,-9.157,-9.156,-9.157,6117600,0.0,-0.01,0.0,0.0,0.04
19850108,-9.157,-9.159,-9.156,-9.159,5040000,0.0,-0.03,-0.02,-0.002,0.03
19850109,-9.155,-9.155,-9.154,-9.155,5973600,0.0,-0.01,0.04,0.004,0.04
19850110,-9.15,-9.15,-9.149,-9.15,9926400,0.0,-0.01,0.05,0.005,0.07
19850111,-9.15,-9.151,-9.149,-9.152,7347200,0.0,-0.03,-0.01,-0.001,0.05
19850114,-9.147,-9.147,-9.146,-9.147,9691200,0.0,-0.01,0.04,0.004,0.07
19850115,-9.147,-9.15,-9.145,-9.15,9476000,0.0,-0.05,-0.03,-0.003,0.06
19850116,-9.149,-9.149,-9.146,-9.149,6816000,0.0,-0.03,0.01,0.001,0.05
19850117,-9.149,-9.158,-9.146,-9.158,19573600,0.0,-0.13,-0.1,-0.009,0.13
19850118,-9.158,-9.156,-9.153,-9.159,12615200,0.0,-0.07,0.02,0.002,0.09
19850121,-9.153,-9.153,-9.152,-9.153,11635200,0.0,-0.01,0.03,0.003,0.08
19850122,-9.149,-9.149,-9.149,-9.149,15202400,0.0,0.0,0.04,0.004,0.1
19850123,-9.149,-9.151,-9.149,-9.151,15384000,0.0,-0.02,-0.02,-0.002,0.1
19850124,-9.151,-9.154,-9.151,-9.154,14192800,0.0,-0.03,-0.03,-0.003,0.1
19850125,-9.154,-9.151,-9.151,-9.157,11381600,0.0,-0.07,0.03,0.003,0.08
19850128,-9.149,-9.149,-9.147,-9.149,14721600,0.0,-0.02,0.02,0.002,0.1
19850129,-9.149,-9.15,-9.147,-9.15,8029600,0.0,-0.03,-0.01,-0.001,0.05
19850130,-9.15,-9.15,-9.147,-9.15,17624800,0.0,-0.03,0.0,0.0,0.12
19850131,-9.15,-9.154,-9.15,-9.154,9880000,0.0,-0.04,-0.04,-0.004,0.07
19850201,-9.154,-9.156,-9.154,-9.157,4941600,0.0,-0.03,-0.02,-0.002,0.03
19850204,-9.153,-9.153,-9.152,-9.153,7801600,0.0,-0.01,0.03,0.003,0.05
19850205,-9.152,-9.152,-9.15,-9.152,6824800,0.0,-0.02,0.01,0.001,0.05
19850206,-9.15,-9.15,-9.15,-9.15,6980000,0.0,0.0,0.02,0.002,0.05
19850207,-9.15,-9.15,-9.148,-9.15,8793600,0.0,-0.02,0.0,0.0,0.06
19850208,-9.15,-9.15,-9.15,-9.152,4757600,0.0,-0.02,0.0,0.0,0.03
19850211,-9.147,-9.147,-9.146,-9.147,12431200,0.0,-0.01,0.03,0.003,0.08
19850212,-9.147,-9.151,-9.147,-9.151,8095200,0.0,-0.04,-0.04,-0.004,0.05
19850213,-9.151,-9.157,-9.151,-9.157,18835200,0.0,-0.07,-0.07,-0.006,0.13
19850214,-9.157,-9.16,-9.156,-9.16,15268800,0.0,-0.04,-0.03,-0.003,0.1
19850215,-9.16,-9.159,-9.158,-9.161,6224000,0.0,-0.03,0.01,0.001,0.04
19850219,-9.159,-9.16,-9.159,-9.16,5391200,0.0,-0.01,-0.01,-0.001,0.04
19850220,-9.16,-9.166,-9.16,-9.166,7864800,0.0,-0.07,-0.07,-0.006,0.05
19850221,-9.164,-9.164,-9.163,-9.164,11035200,0.0,-0.01,0.02,0.002,0.07
19850222,-9.164,-9.16,-9.159,-9.164,8096000,0.0,-0.05,0.04,0.004,0.05
19850225,-9.16,-9.162,-9.16,-9.162,3564000,0.0,-0.02,-0.02,-0.002,0.02
19850226,-9.162,-9.164,-9.161,-9.164,6764800,0.0,-0.03,-0.02,-0.002,0.05
19850227,-9.164,-9.171,-9.164,-9.171,14421600,0.0,-0.08,-0.08,-0.007,0.1
19850228,-9.171,-9.173,-9.171,-9.173,11415200,0.0,-0.02,-0.02,-0.002,0.08
19850301,-9.173,-9.173,-9.173,-9.176,8857600,0.0,-0.03,0.0,0.0,0.06
19850304,-9.171,-9.171,-9.168,-9.171,5484000,0.0,-0.03,0.02,0.002,0.04
19850305,-9.168,-9.168,-9.168,-9.168,4687200,0.0,0.0,0.03,0.003,0.03
19850306,-9.168,-9.174,-9.168,-9.174,6933600,0.0,-0.07,-0.07,-0.006,0.05
19850307,-9.174,-9.185,-9.173,-9.185,26244000,0.0,-0.13,-0.12,-0.011,0.18
19850308,-9.185,-9.188,-9.185,-9.191,16931200,0.0,-0.07,-0.03,-0.003,0.11
19850311,-9.184,-9.184,-9.184,-9.184,10244800,0.0,0.0,0.04,0.004,0.07
19850312,-9.181,-9.181,-9.18,-9.181,7880000,0.0,-0.01,0.03,0.003,0.05
19850313,-9.181,-9.186,-9.181,-9.186,8973600,0.0,-0.05,-0.05,-0.005,0.06
19850314,-9.186,-9.186,-9.186,-9.186,8667200,0.0,0.0,0.0,0.0,0.06
19850315,-9.186,-9.183,-9.18,-9.187,6524000,0.0,-0.08,0.03,0.003,0.04
