trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20020314,14.975,14.875,15.375,14.835,4777800,0.0,3.7,2.06,0.3,14.05
20020315,14.775,14.125,14.775,13.575,1627100,0.0,8.07,-5.04,-0.75,4.79
20020318,14.225,13.585,14.225,13.575,535400,0.0,4.6,-3.82,-0.54,1.57
20020319,13.575,13.375,13.625,13.075,551900,0.0,4.05,-1.55,-0.21,1.62
20020320,13.275,13.675,13.775,13.125,307600,0.0,4.86,2.24,0.3,0.9
20020321,13.625,13.625,13.875,13.375,96200,0.0,3.66,-0.37,-0.05,0.28
20020322,13.595,13.635,13.725,13.575,30600,0.0,1.1,0.07,0.01,0.09
20020325,13.575,13.345,13.575,13.225,36100,0.0,2.57,-2.13,-0.29,0.11
20020326,13.325,13.325,13.495,13.275,174100,0.0,1.65,-0.15,-0.02,0.51
20020327,13.375,13.325,13.435,13.325,389800,0.0,0.83,0.0,0.0,1.15
20020328,13.325,13.325,13.325,13.175,211300,0.0,1.13,0.0,0.0,0.62
20020401,13.325,13.225,13.325,13.075,103400,0.0,1.88,-0.75,-0.1,0.3
20020402,13.175,13.125,13.275,13.075,118100,0.0,1.51,-0.76,-0.1,0.35
20020403,13.075,12.705,13.085,12.675,202300,0.0,3.12,-3.2,-0.42,0.6
20020404,12.775,12.615,12.775,12.375,254000,0.0,3.15,-0.71,-0.09,0.75
20020405,12.615,13.075,13.075,12.405,307700,0.0,5.31,3.65,0.46,0.91
20020408,13.325,13.375,13.575,13.175,429400,0.0,3.06,2.29,0.3,1.26
20020409,13.525,13.475,13.675,13.395,330300,0.0,2.09,0.75,0.1,0.97
20020410,13.975,16.075,16.075,13.975,679700,0.0,15.58,19.29,2.6,2.0
20020411,15.575,15.375,15.675,15.145,241100,0.0,3.3,-4.35,-0.7,0.71
20020412,15.475,15.225,15.525,15.125,95200,0.0,2.6,-0.98,-0.15,0.28
20020415,15.075,14.825,15.075,14.775,75900,0.0,1.97,-2.63,-0.4,0.22
20020416,15.175,14.875,15.255,14.825,160900,0.0,2.9,0.34,0.05,0.47
20020417,14.575,15.125,15.175,14.575,127600,0.0,4.03,1.68,0.25,0.38
20020418,15.125,15.355,15.765,15.125,131700,0.0,4.23,1.52,0.23,0.39
20020419,15.375,15.415,15.625,15.325,32200,0.0,1.95,0.39,0.06,0.09
20020422,15.475,15.675,16.075,15.475,233200,0.0,3.89,1.69,0.26,0.69
20020423,16.125,16.925,17.275,16.125,403100,0.0,7.34,7.97,1.25,1.19
20020424,17.275,17.625,18.035,17.275,384400,0.0,4.49,4.14,0.7,1.13
20020425,17.655,16.875,17.755,16.575,183000,0.0,6.7,-4.26,-0.75,0.54
20020426,17.075,17.225,17.575,17.075,414500,0.0,2.96,2.07,0.35,1.22
20020429,17.475,17.225,17.475,17.155,78300,0.0,1.86,0.0,0.0,0.23
20020430,17.275,17.735,17.875,17.225,193500,0.0,3.77,2.96,0.51,0.57
20020501,17.975,17.425,18.005,17.335,342700,0.0,3.78,-1.75,-0.31,1.01
20020502,17.395,17.425,17.625,17.375,91200,0.0,1.43,0.0,0.0,0.27
20020503,17.825,18.475,18.655,17.825,438300,0.0,4.76,6.03,1.05,1.29
20020506,18.725,19.025,19.245,18.725,278800,0.0,2.81,2.98,0.55,0.82
20020507,19.075,18.835,19.075,18.435,167500,0.0,3.36,-1.0,-0.19,0.49
20020508,18.945,19.575,20.175,18.925,214100,0.0,6.64,3.93,0.74,0.63
20020509,19.575,20.325,20.525,19.495,163500,0.0,5.26,3.83,0.75,0.48
20020510,20.225,19.835,20.325,19.695,81400,0.0,3.1,-2.41,-0.49,0.24
20020513,19.595,19.375,19.595,18.925,60400,0.0,3.38,-2.32,-0.46,0.18
20020514,19.625,20.205,20.235,19.525,99000,0.0,3.66,4.28,0.83,0.29
20020515,20.075,19.765,20.085,19.575,49700,0.0,2.52,-2.18,-0.44,0.15
20020516,19.775,18.975,19.775,18.975,83900,0.0,4.05,-4.0,-0.79,0.25
20020517,19.065,18.095,19.065,17.875,89100,0.0,6.27,-4.64,-0.88,0.26
20020520,17.575,18.975,19.055,17.475,78900,0.0,8.73,4.86,0.88,0.23
20020521,19.025,18.415,19.025,18.075,33600,0.0,5.01,-2.95,-0.56,0.1
20020522,18.575,17.675,18.575,17.575,74900,0.0,5.43,-4.02,-0.74,0.22
20020523,17.525,17.835,18.325,17.275,107400,0.0,5.94,0.91,0.16,0.32
20020524,17.835,18.065,18.105,17.835,92200,0.0,1.51,1.29,0.23,0.27
20020528,18.005,17.325,18.005,17.175,29600,0.0,4.59,-4.1,-0.74,0.09
20020529,17.255,16.925,17.305,16.575,101400,0.0,4.21,-2.31,-0.4,0.3
20020530,16.925,16.225,16.975,16.225,59700,0.0,4.43,-4.14,-0.7,0.18
20020531,16.125,17.575,17.575,16.025,141700,0.0,9.55,8.32,1.35,0.42
20020603,17.475,16.255,17.475,16.225,114500,0.0,7.11,-7.51,-1.32,0.34
20020604,16.255,14.005,16.255,13.625,398500,0.0,16.18,-13.84,-2.25,1.17
20020605,14.325,14.425,14.975,13.885,253100,0.0,7.78,3.0,0.42,0.74
20020606,14.325,14.475,14.575,14.325,154300,0.0,1.73,0.35,0.05,0.45
20020607,14.475,13.225,14.475,13.085,168800,0.0,9.6,-8.64,-1.25,0.5
20020610,13.425,13.695,13.975,13.425,155600,0.0,4.16,3.55,0.47,0.46
20020611,13.575,13.575,13.915,13.575,108800,0.0,2.48,-0.88,-0.12,0.32
20020612,13.525,12.575,13.555,12.075,102000,0.0,10.9,-7.37,-1.0,0.3
20020613,12.575,11.565,12.575,11.565,310100,0.0,8.03,-8.03,-1.01,0.91
20020614,11.325,10.875,11.325,10.575,248500,0.0,6.49,-5.97,-0.69,0.73
20020617,11.125,12.725,12.775,11.125,696100,0.0,15.17,17.01,1.85,2.05
20020618,12.775,13.325,13.525,12.775,196900,0.0,5.89,4.72,0.6,0.58
20020619,13.375,13.725,14.075,13.375,129400,0.0,5.25,3.0,0.4,0.38
20020620,13.725,12.575,13.725,12.475,75600,0.0,9.11,-8.38,-1.15,0.22
20020621,12.725,12.475,13.175,12.395,80200,0.0,6.2,-0.8,-0.1,0.24
20020624,11.995,11.925,12.065,11.075,99200,0.0,7.94,-4.41,-0.55,0.29
20020625,11.825,11.925,12.225,11.825,141100,0.0,3.35,0.0,0.0,0.42
20020626,11.525,11.675,11.825,11.125,96500,0.0,5.87,-2.1,-0.25,0.28
20020627,11.825,12.175,12.325,11.775,70800,0.0,4.71,4.28,0.5,0.21
20020628,12.145,11.675,12.275,11.345,241600,0.0,7.64,-4.11,-0.5,0.71
20020701,11.675,11.555,12.075,11.375,117000,0.0,6.0,-1.03,-0.12,0.34
20020702,11.575,10.625,11.575,10.275,150800,0.0,11.25,-8.05,-0.93,0.44
20020703,10.625,10.325,10.625,10.275,29600,0.0,3.29,-2.82,-0.3,0.09
20020705,10.625,10.735,10.765,10.595,40900,0.0,1.65,3.97,0.41,0.12
20020708,10.725,11.435,11.505,10.725,210600,0.0,7.27,6.52,0.7,0.62
20020709,11.675,11.475,11.875,11.475,45400,0.0,3.5,0.35,0.04,0.13
20020710,11.495,11.175,11.825,11.165,68100,0.0,5.75,-2.61,-0.3,0.2
20020711,11.175,11.165,11.465,10.875,147900,0.0,5.28,-0.09,-0.01,0.44
20020712,11.175,11.475,11.575,11.075,45800,0.0,4.48,2.78,0.31,0.13
20020715,11.415,10.925,11.435,10.525,85500,0.0,7.93,-4.79,-0.55,0.25
20020716,10.825,10.675,10.875,10.575,60800,0.0,2.75,-2.29,-0.25,0.18
20020717,10.675,10.475,11.125,10.475,94900,0.0,6.09,-1.87,-0.2,0.28
