trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110126,1.91,1.49,1.91,1.49,300,0.0,44.68,58.51,0.55,0.0
20110127,1.49,1.58,1.58,1.49,381,0.0,6.04,6.04,0.09,0.0
20110128,1.94,1.51,1.94,1.51,493,0.0,27.22,-4.43,-0.07,0.0
20110131,1.91,1.49,1.91,1.49,1586,0.0,27.81,-1.32,-0.02,0.02
20110201,1.59,2.56,2.56,1.59,1714,0.0,65.1,71.81,1.07,0.02
20110202,2.69,2.69,2.69,2.69,600,0.0,0.0,5.08,0.13,0.01
20110203,2.68,1.69,2.69,1.69,852,0.0,37.17,-37.17,-1.0,0.01
20110207,1.89,1.72,1.89,1.72,300,0.0,10.06,1.78,0.03,0.0
20110208,2.64,1.89,2.64,1.72,900,0.0,53.49,9.88,0.17,0.01
20110209,2.19,2.19,2.19,2.19,1500,0.0,0.0,15.87,0.3,0.01
20110210,2.59,1.9,2.69,1.8,6061,0.0,40.64,-13.24,-0.29,0.06
20110211,1.79,1.75,1.79,1.75,500,0.0,2.11,-7.89,-0.15,0.0
20110214,1.82,2.24,2.24,1.82,520,0.0,24.0,28.0,0.49,0.0
20110325,2.08,2.13,2.13,2.08,1653,0.0,2.23,-4.91,-0.11,0.02
20110328,1.88,1.88,1.88,1.88,300,0.0,0.0,-11.74,-0.25,0.0
20110329,2.13,2.38,2.38,2.12,1969,0.0,13.83,26.6,0.5,0.02
20110330,1.99,1.99,1.99,1.99,10000,0.0,0.0,-16.39,-0.39,0.1
20110331,2.38,2.38,2.83,2.35,8896,0.0,24.12,19.6,0.39,0.15
20110401,2.83,2.88,2.88,2.36,6774,0.0,21.85,21.01,0.5,0.11
20110405,2.83,2.83,2.83,2.83,2205,0.0,0.0,-1.74,-0.05,0.04
20110406,2.75,2.63,2.87,2.63,2800,0.0,8.48,-7.07,-0.2,0.05
20110407,2.88,2.68,2.88,2.65,1700,0.0,8.75,1.9,0.05,0.03
20110408,2.73,2.73,2.73,2.73,700,0.0,0.0,1.87,0.05,0.01
20110412,2.38,2.13,2.4,2.13,3845,0.0,9.89,-21.98,-0.6,0.06
20110413,2.38,2.13,2.4,2.13,3845,0.0,12.68,0.0,0.0,0.06
20110414,2.13,2.08,2.14,2.08,1000,0.0,2.82,-2.35,-0.05,0.02
20110415,2.13,2.33,2.44,2.13,1200,0.0,14.9,12.02,0.25,0.02
20110418,2.13,1.88,2.13,1.88,5005,0.0,10.73,-19.31,-0.45,0.08
20110420,2.01,1.87,2.02,1.87,600,0.0,7.98,-0.53,-0.01,0.01
20110421,1.87,1.74,1.88,1.74,3367,0.0,7.49,-6.95,-0.13,0.06
20110425,1.74,1.23,1.74,1.13,2346,0.0,35.06,-29.31,-0.51,0.04
20110426,1.32,1.63,1.93,1.23,5185,0.0,56.91,32.52,0.4,0.09
20110427,1.75,1.45,1.75,1.45,651,0.0,18.4,-11.04,-0.18,0.01
20110428,1.63,1.62,1.63,1.5,3967,0.0,8.97,11.72,0.17,0.07
20110429,1.63,1.38,1.63,1.38,1845,0.0,15.43,-14.81,-0.24,0.03
20110502,1.42,1.38,1.42,1.38,778,0.0,2.9,0.0,0.0,0.01
20110504,1.69,1.98,2.35,1.69,3527,0.0,47.83,43.48,0.6,0.06
20110505,1.53,1.53,1.53,1.53,499,0.0,0.0,-22.73,-0.45,0.01
20110506,1.73,1.63,1.97,1.63,1000,0.0,22.22,6.54,0.1,0.02
20110509,1.73,1.88,1.88,1.73,238,0.0,9.2,15.34,0.25,0.0
20110510,1.73,1.97,1.97,1.73,2300,0.0,12.77,4.79,0.09,0.04
20110511,1.95,2.12,2.33,1.73,5370,0.0,30.46,7.61,0.15,0.09
20110512,1.75,1.75,2.32,1.73,1400,0.0,27.83,-17.45,-0.37,0.02
20110513,1.78,2.17,2.31,1.68,6997,0.0,36.0,24.0,0.42,0.12
20110516,1.88,1.9,1.91,1.73,4198,0.0,8.29,-12.44,-0.27,0.07
20110517,1.88,1.88,1.88,1.88,300,0.0,0.0,-1.05,-0.02,0.01
20110518,1.89,2.05,2.09,1.73,5040,0.0,19.15,9.04,0.17,0.08
20110519,2.03,1.88,2.12,1.74,6843,0.0,18.54,-8.29,-0.17,0.12
20110520,1.74,1.75,1.77,1.74,500,0.0,1.6,-6.91,-0.13,0.01
20110523,1.68,1.53,1.76,1.53,3900,0.0,13.14,-12.57,-0.22,0.07
20110524,2.11,1.87,2.11,1.86,400,0.0,16.34,22.22,0.34,0.01
20110525,1.88,1.66,1.88,1.63,1000,0.0,13.37,-11.23,-0.21,0.02
20110527,2.29,1.82,2.29,1.82,1270,0.0,28.31,9.64,0.16,0.02
20110531,2.32,2.56,2.56,2.32,2990,0.0,13.19,40.66,0.74,0.05
20110601,1.91,1.91,1.91,1.91,300,0.0,0.0,-25.39,-0.65,0.01
20110603,1.82,1.83,1.83,1.82,567,0.0,0.52,-4.19,-0.08,0.01
20110606,2.02,2.02,2.03,2.02,700,0.0,0.55,10.38,0.19,0.01
20110607,1.84,1.82,1.84,1.82,1100,0.0,0.99,-9.9,-0.2,0.02
20110608,1.83,2.03,2.12,1.82,3161,0.0,16.48,11.54,0.21,0.05
20110609,1.82,1.82,1.85,1.82,2700,0.0,1.48,-10.34,-0.21,0.05
20110610,2.11,2.11,2.11,2.11,1289,0.0,0.0,15.93,0.29,0.02
20110613,2.12,1.87,2.12,1.82,2312,0.0,14.22,-11.37,-0.24,0.04
20110614,2.07,2.06,2.07,2.06,200,0.0,0.53,10.16,0.19,0.0
20110615,2.07,1.89,2.07,1.85,1088,0.0,10.68,-8.25,-0.17,0.02
20110616,2.11,1.92,2.11,1.77,9200,0.0,17.99,1.59,0.03,0.16
20110617,1.87,1.87,1.87,1.87,587,0.0,0.0,-2.6,-0.05,0.01
20110621,1.92,1.92,1.92,1.67,3700,0.0,13.37,2.67,0.05,0.06
20110622,1.96,1.97,2.02,1.96,2200,0.0,3.13,2.6,0.05,0.04
20110623,1.85,1.87,1.87,1.85,350,0.0,1.02,-5.08,-0.1,0.01
20110624,1.82,1.61,2.17,1.61,1461,0.0,29.95,-13.9,-0.26,0.02
20110627,1.79,2.08,2.08,1.79,430,0.0,18.01,29.19,0.47,0.01
20110630,1.97,2.25,2.27,1.97,2124,0.0,14.42,8.17,0.17,0.04
20110705,2.32,1.87,2.32,1.87,1300,0.0,20.0,-16.89,-0.38,0.02
20110706,2.02,2.02,2.02,2.02,700,0.0,0.0,8.02,0.15,0.01
20110707,1.82,1.95,1.95,1.82,3227,0.0,6.44,-3.47,-0.07,0.05
20110708,1.84,1.82,1.93,1.67,4652,0.0,13.33,-6.67,-0.13,0.08
20110712,1.82,2.02,2.02,1.82,600,0.0,10.99,10.99,0.2,0.01
20110713,2.02,2.09,2.09,2.02,660,0.0,3.47,3.47,0.07,0.01
20110714,2.37,2.56,2.56,2.37,2005,0.0,9.09,22.49,0.47,0.03
20110715,2.43,2.17,2.43,2.07,1100,0.0,14.06,-15.23,-0.39,0.02
20110718,2.34,2.34,2.34,2.34,100,0.0,0.0,7.83,0.17,0.0
20110719,2.3,2.26,2.3,2.26,842,0.0,1.71,-3.42,-0.08,0.01
20110720,2.25,2.17,2.25,2.17,680,0.0,3.54,-3.98,-0.09,0.01
20110721,2.17,1.88,2.17,1.87,2167,0.0,13.82,-13.36,-0.29,0.04
20110725,1.93,2.16,2.16,1.93,200,0.0,12.23,14.89,0.28,0.0
20110726,1.86,1.9,2.06,1.82,1671,0.0,11.11,-12.04,-0.26,0.03
20110727,1.87,1.98,1.98,1.87,1656,0.0,5.79,4.21,0.08,0.03
20110728,2.09,1.9,2.09,1.9,600,0.0,9.6,-4.04,-0.08,0.01
20110729,1.82,1.85,1.92,1.82,1543,0.0,5.26,-2.63,-0.05,0.03
20110801,1.82,1.89,1.92,1.82,3060,0.0,5.41,2.16,0.04,0.05
20110802,1.89,1.82,1.89,1.82,773,0.0,3.7,-3.7,-0.07,0.01
20110803,1.84,1.91,1.91,1.82,1810,0.0,4.95,4.95,0.09,0.03
20110804,1.82,1.64,1.82,1.64,3481,0.0,9.42,-14.14,-0.27,0.06
20110805,1.69,2.02,2.02,1.69,800,0.0,20.12,23.17,0.38,0.01
20110808,1.66,1.32,1.67,1.32,2263,0.0,17.33,-34.65,-0.7,0.04
20110809,1.76,1.54,2.16,1.02,3737,0.0,86.36,16.67,0.22,0.06
20110810,1.17,0.74,1.17,0.57,2604,0.0,38.96,-51.95,-0.8,0.04
20110811,0.8,0.83,1.27,0.49,3643,0.0,105.41,12.16,0.09,0.06
20110812,1.3,1.33,1.33,1.3,600,0.0,3.61,60.24,0.5,0.01
20110817,0.96,0.73,0.96,0.73,3991,0.0,17.29,-45.11,-0.6,0.07
20110818,1.13,0.82,1.13,0.82,1500,0.0,42.47,12.33,0.09,0.03
