trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210415,28.25,31.0,31.69,26.5,14524184,423914624.0,22.57,34.78,8.0,3.78
20210416,30.254,30.0,33.94,28.715,2057757,65010160.0,16.85,-3.23,-1.0,0.54
20210419,30.71,32.54,32.62,29.74,1614048,50245967.0,9.6,8.47,2.54,0.41
20210420,32.31,32.58,34.135,30.911,1587127,51983311.0,9.91,0.12,0.04,0.41
20210421,32.58,32.5,33.56,30.205,3798227,123182149.0,10.3,-0.25,-0.08,0.97
20210422,31.79,30.75,33.1,30.41,1015844,32070195.0,8.28,-5.38,-1.75,0.26
20210423,30.57,31.4,31.72,30.55,473168,14721134.0,3.8,2.11,0.65,0.12
20210426,31.84,32.13,32.74,31.66,276323,8868391.0,3.44,2.32,0.73,0.07
20210427,31.99,32.15,32.68,31.825,292653,9410147.0,2.66,0.06,0.02,0.07
20210428,32.25,32.06,32.47,30.55,455294,14521150.0,5.97,-0.28,-0.09,0.12
20210429,32.06,31.24,32.11,29.95,795679,24669160.0,6.74,-2.56,-0.82,0.2
20210430,30.72,31.53,32.4,30.15,254491,7969208.0,7.2,0.93,0.29,0.07
20210503,32.29,32.48,32.8,30.72,560459,18041674.0,6.6,3.01,0.95,0.14
20210504,32.27,32.27,33.54,31.49,739538,23965858.0,6.31,-0.65,-0.21,0.19
20210505,32.5,32.82,33.45,31.78,643205,21075278.0,5.18,1.7,0.55,0.16
20210506,32.55,32.07,32.85,31.19,624398,19958254.0,5.06,-2.29,-0.75,0.16
20210507,31.83,33.49,33.85,31.2,222747,7401915.0,8.26,4.43,1.42,0.06
20210510,33.85,33.48,34.47,32.98,670300,22530583.0,4.45,-0.03,-0.01,0.17
20210511,33.07,31.83,34.16,31.51,226891,7447874.0,7.92,-4.93,-1.65,0.06
20210512,31.24,31.11,31.97,30.33,694852,21342123.0,5.15,-2.26,-0.72,0.18
20210513,31.14,29.14,31.77,28.73,1255575,37199139.0,9.77,-6.33,-1.97,0.32
20210514,29.59,29.96,30.822,29.26,251928,7509858.0,5.36,2.81,0.82,0.06
20210517,29.6,30.11,30.824,29.52,250274,7489236.0,4.35,0.5,0.15,0.06
20210518,30.13,31.19,32.16,29.94,235211,7333223.0,7.37,3.59,1.08,0.06
20210519,31.07,30.66,31.35,30.26,175113,5390165.0,3.49,-1.7,-0.53,0.04
20210520,30.67,31.78,33.75,30.45,454785,14586084.0,10.76,3.65,1.12,0.12
20210521,32.06,34.03,34.59,31.82,474512,16151340.0,8.72,7.08,2.25,0.12
20210524,34.08,33.93,34.59,33.38,330079,11190095.0,3.56,-0.29,-0.1,0.08
20210525,33.83,34.56,35.17,33.445,485633,16786703.0,5.08,1.86,0.63,0.12
20210526,34.73,33.85,34.817,33.282,574808,19530267.0,4.44,-2.05,-0.71,0.15
20210527,34.01,36.75,36.99,33.86,370418,13316324.0,9.25,8.57,2.9,0.09
20210528,37.07,35.94,38.88,35.6,293955,10927699.0,8.93,-2.2,-0.81,0.08
20210601,36.39,38.4,39.16,36.09,446984,16775737.0,8.54,6.84,2.46,0.11
20210602,38.65,37.67,38.806,37.26,349584,13311429.0,4.03,-1.9,-0.73,0.09
20210603,37.56,36.65,37.82,36.54,329202,12161088.0,3.4,-2.71,-1.02,0.08
20210604,36.62,35.2,37.0,35.16,447232,15980861.0,5.02,-3.96,-1.45,0.11
