trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240515,25.095,25.575,25.607,25.005,13143,336863.0,2.4,1.91,0.48,0.0
20240516,25.804,25.504,25.834,25.504,15447,402910.0,1.29,-0.28,-0.071,0.0
20240517,25.765,25.647,25.765,25.223,54970,1421493.0,2.13,0.56,0.143,0.0
20240520,25.657,25.773,25.883,25.627,31624,828282.0,1.0,0.49,0.126,0.0
20240521,25.716,25.651,25.716,25.43,11674,303254.0,1.11,-0.47,-0.122,0.0
20240522,25.864,25.655,25.96,25.459,8132,212912.0,1.95,0.02,0.004,0.0
20240523,26.268,25.248,26.268,25.155,31372,826902.0,4.34,-1.59,-0.407,0.0
20240524,25.538,25.796,25.824,25.519,4391,114344.0,1.21,2.17,0.548,0.0
20240528,26.209,26.133,26.268,25.952,16670,441944.0,1.22,1.31,0.337,0.0
20240529,25.893,25.704,26.079,25.686,7334,192341.0,1.5,-1.64,-0.429,0.0
20240530,25.085,24.56,25.085,24.513,9189,230616.0,2.23,-4.45,-1.144,0.0
20240531,24.71,24.571,24.71,23.754,25548,623248.0,3.89,0.04,0.011,0.0
20240603,24.836,24.656,24.836,24.395,1151,28727.0,1.79,0.35,0.085,0.0
20240604,24.622,24.824,24.962,24.572,6876,173437.0,1.58,0.68,0.168,0.0
20240605,25.39,25.967,25.967,25.371,6006,156609.0,2.4,4.6,1.143,0.0
20240606,26.071,25.955,26.14,25.883,8795,232502.0,0.99,-0.05,-0.012,0.0
20240607,25.671,25.833,26.031,25.671,1766,46412.0,1.39,-0.47,-0.122,0.0
20240610,25.735,25.918,25.951,25.652,4396,115099.0,1.16,0.33,0.085,0.0
20240611,26.031,26.416,26.416,26.031,9895,264037.0,1.49,1.92,0.498,0.0
20240612,27.096,27.244,27.303,26.928,15806,435016.0,1.42,3.13,0.828,0.0
20240613,27.214,27.017,27.263,26.869,13888,380699.0,1.45,-0.83,-0.227,0.0
20240614,26.859,27.037,27.039,26.858,12396,339726.0,0.67,0.07,0.02,0.0
20240617,27.076,27.5,27.795,26.889,13031,361127.0,3.35,1.71,0.463,0.0
20240618,27.766,27.808,27.814,27.46,21990,617903.0,1.29,1.12,0.308,0.0
