trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220426,9.96,9.97,9.99,9.96,6775805,67582266.0,0.0,0.0,0.0,90.95
20220427,9.99,9.98,9.99,9.97,609309,6080980.0,0.2,0.1,0.01,8.18
20220428,9.98,9.98,9.99,9.98,197369,1970774.0,0.1,0.0,0.0,2.45
20220429,9.98,9.97,9.99,9.97,107518,1073003.0,0.2,-0.1,-0.01,1.34
20220502,9.972,9.972,9.972,9.972,355,3540.0,0.0,0.02,0.002,0.0
20220503,9.97,9.985,9.99,9.97,14988,149666.0,0.2,0.13,0.013,0.19
20220505,9.98,9.98,9.98,9.98,3787,37794.0,0.0,-0.05,-0.005,0.05
20220506,9.98,9.96,9.98,9.95,307720,3066020.0,0.3,-0.2,-0.02,3.82
20220509,9.96,9.955,9.96,9.95,311829,3105812.0,0.1,-0.05,-0.005,3.87
20220510,9.95,9.94,9.95,9.939,323880,3222439.0,0.11,-0.15,-0.015,4.02
20220511,9.99,9.95,9.99,9.95,2632,26230.0,0.4,0.1,0.01,0.03
20220512,9.95,9.95,9.95,9.95,56,557.0,0.0,0.0,0.0,0.0
20220513,9.95,9.91,10.0,9.888,64264,637079.0,1.13,-0.4,-0.04,0.8
20220516,9.91,9.88,9.91,9.88,941728,9306687.0,0.3,-0.3,-0.03,11.7
20220517,9.87,9.91,9.91,9.87,250,2472.0,0.4,0.3,0.03,0.0
20220519,9.88,9.88,9.88,9.88,770,7607.0,0.0,-0.3,-0.03,0.01
20220520,9.88,9.88,9.88,9.88,54,533.0,0.0,0.0,0.0,0.0
20220523,9.91,9.91,9.91,9.91,490,4855.0,0.0,0.3,0.03,0.01
20220524,9.91,9.91,9.91,9.91,680000,6738800.0,0.0,0.0,0.0,8.45
20220525,9.92,9.92,9.92,9.92,126,1249.0,0.0,0.1,0.01,0.0
20220527,9.92,9.92,9.92,9.92,10,99.0,0.0,0.0,0.0,0.0
20220531,9.9,9.9,9.9,9.9,200,1980.0,0.0,-0.2,-0.02,0.0
20220601,9.948,9.948,9.948,9.948,186,1850.0,0.0,0.48,0.048,0.0
20220602,9.94,9.94,9.94,9.94,1501,14919.0,0.0,-0.08,-0.008,0.02
20220603,9.93,9.92,9.93,9.92,2000,19850.0,0.1,-0.2,-0.02,0.02
20220606,9.92,9.92,9.92,9.92,218,2162.0,0.0,0.0,0.0,0.0
20220608,10.0,10.0,10.0,9.94,3702,36932.0,0.6,0.81,0.08,0.05
20220609,9.94,9.94,9.94,9.94,110,1093.0,0.0,-0.6,-0.06,0.0
20220610,9.93,9.93,9.93,9.93,801,7954.0,0.0,-0.1,-0.01,0.01
20220613,9.93,9.93,9.93,9.93,11,109.0,0.0,0.0,0.0,0.0
20220614,9.93,9.93,9.93,9.93,27,268.0,0.0,0.0,0.0,0.0
20220615,9.93,9.93,9.93,9.93,26,258.0,0.0,0.0,0.0,0.0
20220616,9.93,9.93,9.93,9.93,1,9.0,0.0,0.0,0.0,0.0
20220624,9.87,9.92,9.92,9.87,9344,92246.0,0.5,-0.1,-0.01,0.12
20220627,9.92,9.92,9.92,9.92,1,9.0,0.0,0.0,0.0,0.0
20220630,9.86,9.86,9.99,9.85,1100,10859.0,1.41,-0.6,-0.06,0.01
20220701,9.86,9.86,9.86,9.86,46,453.0,0.0,0.0,0.0,0.0
20220706,9.86,9.86,9.86,9.86,92,907.0,0.0,0.0,0.0,0.0
20220707,9.86,9.86,9.86,9.86,60,591.0,0.0,0.0,0.0,0.0
20220711,9.86,9.86,9.86,9.86,30,295.0,0.0,0.0,0.0,0.0
20220712,9.86,9.86,9.86,9.86,26,256.0,0.0,0.0,0.0,0.0
20220714,9.86,9.86,9.86,9.86,89,877.0,0.0,0.0,0.0,0.0
20220718,9.86,9.86,9.86,9.86,59,581.0,0.0,0.0,0.0,0.0
20220720,9.86,9.86,9.86,9.86,4,39.0,0.0,0.0,0.0,0.0
20220721,9.86,9.86,9.86,9.86,4,39.0,0.0,0.0,0.0,0.0
20220722,9.86,9.86,9.86,9.86,22,216.0,0.0,0.0,0.0,0.0
20220725,9.895,9.89,9.895,9.89,227,2245.0,0.05,0.3,0.03,0.0
20220728,9.89,9.89,9.89,9.89,83,820.0,0.0,0.0,0.0,0.0
20220729,9.89,9.89,9.89,9.89,100,989.0,0.0,0.0,0.0,0.0
20220801,9.89,9.89,9.89,9.89,32,316.0,0.0,0.0,0.0,0.0
20220803,9.97,9.96,9.97,9.96,1262,12577.0,0.1,0.71,0.07,0.02
20220815,9.96,9.96,9.96,9.96,1,9.0,0.0,0.0,0.0,0.0
20220816,9.96,9.96,9.96,9.96,11,109.0,0.0,0.0,0.0,0.0
20220817,9.96,9.96,9.96,9.96,28,278.0,0.0,0.0,0.0,0.0
20220823,9.86,9.95,9.95,9.86,1200,11846.0,0.9,-0.1,-0.01,0.01
