trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110426,21.955,20.965,21.985,20.835,1751334,0.0,7.62,38.98,5.88,0.84
20110427,21.185,20.475,21.235,20.045,1828327,0.0,5.68,-2.34,-0.49,0.87
20110428,20.335,20.185,20.535,19.885,1665955,0.0,3.17,-1.42,-0.29,0.8
20110429,20.135,20.115,20.185,19.595,1954781,0.0,2.92,-0.35,-0.07,0.93
20110502,20.175,20.585,21.175,20.175,2012940,0.0,4.97,2.34,0.47,0.96
20110503,20.735,20.775,20.835,20.405,1789726,0.0,2.09,0.92,0.19,0.85
20110504,20.685,20.735,20.835,20.625,843823,0.0,1.01,-0.19,-0.04,0.4
20110505,20.685,20.695,21.235,20.475,1681488,0.0,3.67,-0.19,-0.04,0.8
20110506,21.185,20.115,21.185,19.595,3613926,0.0,7.68,-2.8,-0.58,1.72
20110509,20.325,20.565,20.585,20.135,621564,0.0,2.24,2.24,0.45,0.3
20110510,20.655,20.325,20.785,20.275,888058,0.0,2.48,-1.17,-0.24,0.42
20110511,20.185,19.895,20.195,19.745,1164966,0.0,2.21,-2.12,-0.43,0.56
20110512,19.755,19.565,19.795,18.975,1245718,0.0,4.12,-1.66,-0.33,0.59
20110513,19.565,20.335,20.435,19.365,1496448,0.0,5.47,3.94,0.77,0.71
20110516,20.495,19.985,20.495,19.785,572016,0.0,3.49,-1.72,-0.35,0.27
20110517,19.965,19.835,19.985,19.435,779991,0.0,2.75,-0.75,-0.15,0.37
20110518,19.845,20.435,20.675,19.845,913846,0.0,4.18,3.02,0.6,0.44
20110519,20.585,20.335,20.635,19.915,683209,0.0,3.52,-0.49,-0.1,0.33
20110520,20.335,20.095,20.335,19.955,443324,0.0,1.87,-1.18,-0.24,0.21
20110523,20.025,20.085,20.225,19.845,857484,0.0,1.89,-0.05,-0.01,0.41
20110524,20.635,20.095,20.635,19.955,1998223,0.0,3.39,0.05,0.01,0.95
20110525,19.985,19.985,20.125,19.885,531032,0.0,1.19,-0.55,-0.11,0.25
20110526,19.985,20.755,20.985,19.835,1049545,0.0,5.75,3.85,0.77,0.5
20110527,20.915,21.225,21.485,20.695,924053,0.0,3.81,2.26,0.47,0.44
20110531,21.475,20.835,21.485,20.605,750630,0.0,4.15,-1.84,-0.39,0.36
20110601,21.025,20.175,21.025,20.085,607628,0.0,4.51,-3.17,-0.66,0.29
20110602,20.035,20.035,20.505,19.805,2000850,0.0,3.47,-0.69,-0.14,0.95
20110603,20.255,21.175,21.345,20.205,392536,0.0,5.69,5.69,1.14,0.19
20110606,20.255,21.175,21.345,20.205,392536,0.0,5.38,0.0,0.0,0.19
20110607,20.255,21.175,21.345,20.205,392536,0.0,5.38,0.0,0.0,0.19
20110608,21.145,19.815,21.465,19.615,1305751,0.0,8.74,-6.42,-1.36,0.62
20110609,19.815,19.935,20.145,19.425,856222,0.0,3.63,0.61,0.12,0.41
20110610,19.895,19.425,19.965,19.295,425429,0.0,3.36,-2.56,-0.51,0.2
20110613,19.425,19.095,19.585,18.975,719455,0.0,3.14,-1.7,-0.33,0.34
20110614,19.185,18.875,19.335,18.505,1869867,0.0,4.35,-1.15,-0.22,0.89
20110615,18.865,18.875,18.965,17.845,945224,0.0,5.93,0.0,0.0,0.45
20110616,18.805,19.095,19.225,18.785,437790,0.0,2.33,1.17,0.22,0.21
20110617,19.245,18.295,19.245,18.235,982656,0.0,5.29,-4.19,-0.8,0.47
20110620,18.205,18.595,18.745,17.955,769989,0.0,4.32,1.64,0.3,0.37
20110621,18.885,19.305,19.335,18.475,948565,0.0,4.62,3.82,0.71,0.45
20110622,19.405,18.875,19.485,18.805,557235,0.0,3.52,-2.23,-0.43,0.27
20110623,18.975,19.055,19.095,18.595,505300,0.0,2.65,0.95,0.18,0.24
20110624,19.115,18.895,19.145,18.655,252503,0.0,2.57,-0.84,-0.16,0.12
20110627,19.105,18.845,19.115,18.655,458665,0.0,2.43,-0.26,-0.05,0.22
20110628,18.845,19.395,19.565,18.805,1276303,0.0,4.03,2.92,0.55,0.61
20110629,19.445,19.395,19.545,19.115,544116,0.0,2.22,0.0,0.0,0.26
20110630,19.485,19.235,19.765,19.075,977543,0.0,3.56,-0.82,-0.16,0.47
20110701,19.205,19.645,20.145,19.205,395891,0.0,4.89,2.13,0.41,0.19
20110705,19.695,19.955,20.085,19.405,235114,0.0,3.46,1.58,0.31,0.11
20110706,19.985,20.165,20.595,19.985,1013247,0.0,3.06,1.05,0.21,0.48
20110707,20.275,20.605,20.605,20.015,1248976,0.0,2.93,2.18,0.44,0.6
20110708,20.425,20.495,20.635,20.145,597678,0.0,2.38,-0.53,-0.11,0.29
20110711,20.255,20.105,20.325,19.815,443334,0.0,2.49,-1.9,-0.39,0.21
20110712,20.185,19.865,20.225,19.865,806188,0.0,1.79,-1.19,-0.24,0.38
20110713,19.955,19.425,20.125,19.265,597556,0.0,4.33,-2.21,-0.44,0.29
20110714,19.445,19.145,19.745,19.135,429254,0.0,3.14,-1.44,-0.28,0.2
20110715,19.115,18.855,19.325,18.795,442235,0.0,2.77,-1.51,-0.29,0.21
20110718,18.755,18.125,18.825,18.095,778495,0.0,3.87,-3.87,-0.73,0.37
20110719,18.295,19.485,19.635,18.285,822404,0.0,7.45,7.5,1.36,0.39
20110720,19.565,19.645,19.915,19.455,666652,0.0,2.36,0.82,0.16,0.32
20110721,19.765,19.935,20.145,19.675,598756,0.0,2.39,1.48,0.29,0.29
20110722,20.105,21.645,22.315,19.965,2227899,0.0,11.79,8.58,1.71,1.06
20110725,21.265,21.615,21.935,21.095,683407,0.0,3.88,-0.14,-0.03,0.33
20110726,21.645,21.655,21.755,21.075,451775,0.0,3.15,0.19,0.04,0.22
20110727,21.405,21.045,21.405,20.995,464451,0.0,1.89,-2.82,-0.61,0.22
20110728,21.095,20.855,21.195,20.645,372476,0.0,2.61,-0.9,-0.19,0.18
20110729,20.685,21.605,22.125,20.465,949487,0.0,7.96,3.6,0.75,0.45
20110801,22.025,21.655,22.555,20.805,739722,0.0,8.1,0.23,0.05,0.35
20110802,22.345,23.275,23.545,22.145,4451394,0.0,6.47,7.48,1.62,2.12
20110803,23.025,23.545,23.805,22.415,1480054,0.0,5.97,1.16,0.27,0.71
20110804,23.545,23.445,23.545,23.445,6741,0.0,0.42,-0.42,-0.1,0.0
20110805,23.545,23.445,23.545,23.445,6741,0.0,0.43,0.0,0.0,0.0
20110808,23.545,23.445,23.545,23.445,6741,0.0,0.43,0.0,0.0,0.0
20110809,20.475,20.215,20.525,19.495,1986162,0.0,4.39,-13.78,-3.23,0.95
20110810,19.995,20.595,21.665,19.945,1107741,0.0,8.51,1.88,0.38,0.53
20110811,20.505,22.645,23.205,20.345,2593541,0.0,13.89,9.95,2.05,1.24
20110812,22.665,22.455,23.095,22.175,441199,0.0,4.06,-0.84,-0.19,0.21
20110815,22.605,22.785,23.095,21.945,676791,0.0,5.12,1.47,0.33,0.32
20110816,22.525,23.095,23.165,22.365,768676,0.0,3.51,1.36,0.31,0.37
20110817,23.255,24.145,24.625,23.105,2049443,0.0,6.58,4.55,1.05,0.98
20110818,23.495,22.835,24.235,22.385,1301491,0.0,7.66,-5.43,-1.31,0.62
20110819,22.805,21.565,23.445,21.365,1204222,0.0,9.11,-5.56,-1.27,0.57
20110822,22.435,22.575,22.875,21.805,548448,0.0,4.96,4.68,1.01,0.26
20110823,22.915,22.755,23.015,22.375,531022,0.0,2.83,0.8,0.18,0.25
20110824,23.095,23.035,23.585,22.465,704078,0.0,4.92,1.23,0.28,0.34
20110825,23.185,22.695,23.425,22.555,358317,0.0,3.78,-1.48,-0.34,0.17
20110826,22.655,22.395,23.325,21.945,646504,0.0,6.08,-1.32,-0.3,0.31
20110829,22.715,23.925,24.635,22.645,1012043,0.0,8.89,6.83,1.53,0.48
20110830,24.225,25.105,26.075,23.955,2292542,0.0,8.86,4.93,1.18,1.09
20110831,25.495,25.715,26.735,25.125,1690698,0.0,6.41,2.43,0.61,0.81
20110901,26.125,25.285,26.285,24.845,905080,0.0,5.6,-1.67,-0.43,0.43
20110902,24.755,25.205,25.365,24.225,1013523,0.0,4.51,-0.32,-0.08,0.48
20110906,24.905,24.845,24.905,23.705,1062201,0.0,4.76,-1.43,-0.36,0.51
20110907,25.355,25.325,25.445,24.995,1131089,0.0,1.81,1.93,0.48,0.54
20110908,25.325,26.395,27.105,25.185,1549871,0.0,7.58,4.23,1.07,0.74
20110909,26.215,26.625,27.575,25.685,1287512,0.0,7.16,0.87,0.23,0.61
20110912,26.215,26.625,27.575,25.685,1287512,0.0,7.1,0.0,0.0,0.61
20110913,26.235,25.605,26.515,25.315,1013363,0.0,4.51,-3.83,-1.02,0.48
20110914,25.995,26.085,26.245,25.145,1196799,0.0,4.3,1.87,0.48,0.57
20110915,26.395,25.605,26.395,25.085,1089978,0.0,5.02,-1.84,-0.48,0.52
20110916,25.785,25.505,26.015,25.245,553087,0.0,3.01,-0.39,-0.1,0.26
20110919,25.285,25.245,25.365,24.075,1434925,0.0,5.06,-1.02,-0.26,0.68
20110920,25.485,25.505,26.245,25.005,1294017,0.0,4.91,1.03,0.26,0.62
20110921,25.465,23.095,25.765,22.995,2213878,0.0,10.86,-9.45,-2.41,1.06
20110922,21.245,21.115,21.735,20.405,4534016,0.0,5.76,-8.57,-1.98,2.16
20110923,20.594,21.444,22.054,20.254,1126102,0.0,8.52,1.56,0.329,0.54
20110926,21.954,23.214,23.444,21.704,1181752,0.0,8.11,8.25,1.77,0.56
20110927,23.724,23.234,24.524,23.064,1375227,0.0,6.29,0.09,0.02,0.66
20110928,23.464,21.994,23.944,21.854,762856,0.0,9.0,-5.34,-1.24,0.36
20110929,22.864,21.474,22.874,20.604,1082789,0.0,10.32,-2.36,-0.52,0.52
20110930,20.964,21.394,21.764,20.324,1122344,0.0,6.71,-0.37,-0.08,0.54
20111003,21.404,20.204,21.404,19.694,1882868,0.0,7.99,-5.56,-1.19,0.9
20111004,19.834,21.504,21.574,18.604,1887904,0.0,14.7,6.43,1.3,0.9
20111005,21.724,22.294,23.114,21.084,1485942,0.0,9.44,3.67,0.79,0.71
20111006,23.134,22.714,23.444,21.894,1001331,0.0,6.95,1.88,0.42,0.48
20111007,22.384,22.094,22.564,20.944,1627500,0.0,7.13,-2.73,-0.62,0.78
20111010,22.594,22.874,23.034,22.424,955960,0.0,2.76,3.53,0.78,0.46
20111011,22.634,23.004,23.184,22.394,735871,0.0,3.45,0.57,0.13,0.35
20111012,23.204,23.484,23.824,23.204,702757,0.0,2.7,2.09,0.48,0.34
20111013,23.654,23.694,23.854,23.104,608900,0.0,3.19,0.89,0.21,0.29
20111014,23.764,23.944,24.154,23.764,543195,0.0,1.65,1.06,0.25,0.26
20111017,21.284,22.324,22.954,21.284,3466192,0.0,6.97,-6.77,-1.62,1.65
20111018,22.064,21.874,22.214,21.434,3241576,0.0,3.49,-2.02,-0.45,1.55
20111019,21.454,20.844,21.634,20.504,6598707,0.0,5.17,-4.71,-1.03,3.15
20111020,20.404,19.904,20.704,19.764,28105012,0.0,4.51,-4.51,-0.94,13.41
20111021,20.204,20.564,20.594,20.044,7384626,0.0,2.76,3.32,0.66,3.52
20111024,20.684,20.484,20.754,20.304,4073108,0.0,2.19,-0.39,-0.08,1.94
20111025,20.424,20.064,20.554,20.004,1736514,0.0,2.69,-2.05,-0.42,0.83
20111026,20.304,20.004,20.434,19.494,1726830,0.0,4.69,-0.3,-0.06,0.82
20111027,20.394,21.094,21.544,20.254,5441756,0.0,6.45,5.45,1.09,2.6
20111028,20.504,21.294,21.504,20.394,2660661,0.0,5.26,0.95,0.2,1.27
20111031,21.024,21.604,21.794,20.704,2151810,0.0,5.12,1.46,0.31,1.03
20111101,20.764,20.954,21.204,20.534,2281155,0.0,3.1,-3.01,-0.65,1.09
20111102,21.204,20.794,21.304,20.704,1538487,0.0,2.86,-0.76,-0.16,0.73
20111103,21.104,20.804,21.154,20.264,1329810,0.0,4.28,0.05,0.01,0.63
20111104,20.834,20.194,20.844,19.964,1976639,0.0,4.23,-2.93,-0.61,0.94
20111107,20.294,20.584,20.584,20.004,1929805,0.0,2.87,1.93,0.39,0.92
20111108,20.594,19.814,20.604,19.774,2329423,0.0,4.03,-3.74,-0.77,1.11
20111109,19.564,19.224,19.724,19.184,2350366,0.0,2.73,-2.98,-0.59,1.12
20111110,19.554,19.604,20.034,19.304,1344703,0.0,3.8,1.98,0.38,0.64
20111111,19.674,19.554,20.194,19.374,1703701,0.0,4.18,-0.26,-0.05,0.81
20111114,19.744,19.974,20.154,19.684,1489516,0.0,2.4,2.15,0.42,0.71
20111115,19.624,20.204,20.394,19.554,1172226,0.0,4.21,1.15,0.23,0.56
20111116,19.954,19.674,20.154,19.634,1834789,0.0,2.57,-2.62,-0.53,0.88
20111117,19.614,19.154,19.694,18.954,1061387,0.0,3.76,-2.64,-0.52,0.51
20111118,19.304,19.424,19.574,19.124,869660,0.0,2.35,1.41,0.27,0.42
20111121,19.104,18.704,19.104,18.244,1073179,0.0,4.43,-3.71,-0.72,0.51
20111122,18.704,18.594,18.954,18.454,1437123,0.0,2.67,-0.59,-0.11,0.69
20111123,18.504,18.164,18.724,17.834,2612360,0.0,4.79,-2.31,-0.43,1.25
20111125,18.004,17.754,18.184,17.704,975453,0.0,2.64,-2.26,-0.41,0.47
20111128,18.244,19.024,19.224,18.244,1095749,0.0,5.52,7.15,1.27,0.52
20111129,19.044,19.194,19.634,18.754,1126181,0.0,4.63,0.89,0.17,0.54
20111130,20.074,20.124,20.384,19.754,1358919,0.0,3.28,4.85,0.93,0.65
20111201,20.344,20.654,20.944,20.074,1132986,0.0,4.32,2.63,0.53,0.54
20111202,20.834,20.594,20.954,20.474,952941,0.0,2.32,-0.29,-0.06,0.45
20111205,20.854,20.454,20.854,20.254,872241,0.0,2.91,-0.68,-0.14,0.42
20111206,20.334,20.024,20.354,19.664,744542,0.0,3.37,-2.1,-0.43,0.36
20111207,20.104,20.204,20.404,19.634,678773,0.0,3.85,0.9,0.18,0.32
20111208,20.374,20.664,21.094,20.174,2187110,0.0,4.55,2.28,0.46,1.04
20111209,20.664,20.874,20.994,20.224,850826,0.0,3.73,1.02,0.21,0.41
20111212,20.604,20.374,20.614,20.004,1023542,0.0,2.92,-2.4,-0.5,0.49
20111213,20.384,19.754,20.394,19.624,1114228,0.0,3.78,-3.04,-0.62,0.53
20111214,19.464,18.884,19.814,18.604,1226029,0.0,6.13,-4.4,-0.87,0.59
20111215,19.084,18.564,19.184,18.234,1012702,0.0,5.03,-1.69,-0.32,0.48
20111216,18.694,18.334,18.694,18.254,1375228,0.0,2.37,-1.24,-0.23,0.66
20111219,18.344,17.974,18.494,17.884,1415382,0.0,3.33,-1.96,-0.36,0.68
20111220,18.204,18.284,18.354,17.874,2449348,0.0,2.67,1.72,0.31,1.17
20111221,18.314,18.244,18.374,17.924,968387,0.0,2.46,-0.22,-0.04,0.46
20111222,18.344,18.734,18.884,18.314,1205581,0.0,3.12,2.69,0.49,0.58
20111223,18.764,19.314,19.684,18.764,881735,0.0,4.91,3.1,0.58,0.42
20111227,19.394,19.474,19.684,19.344,398581,0.0,1.76,0.83,0.16,0.19
20111228,19.654,19.254,19.654,19.224,57698,0.0,2.21,-1.13,-0.22,0.03
20111229,19.654,19.254,19.654,19.224,57698,0.0,2.23,0.0,0.0,0.03
20111230,18.834,18.634,18.994,18.624,328797,0.0,1.92,-3.22,-0.62,0.16
20120103,19.284,18.494,19.314,18.474,660677,0.0,4.51,-0.75,-0.14,0.32
20120104,18.424,18.114,18.494,17.974,1070481,0.0,2.81,-2.05,-0.38,0.51
