trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20130701,18.21,17.5,18.295,17.455,122402,0.0,4.65,-3.1,-0.56,0.29
20130702,17.49,17.145,18.005,16.425,109732,0.0,9.03,-2.03,-0.355,0.26
20130703,16.905,17.435,17.715,16.51,25378,0.0,7.03,1.69,0.29,0.06
20130705,17.76,17.915,17.95,17.055,33090,0.0,5.13,2.75,0.48,0.08
20130708,18.14,17.56,18.31,17.32,56801,0.0,5.53,-1.98,-0.355,0.13
20130709,17.6,17.42,17.965,17.07,65975,0.0,5.1,-0.8,-0.14,0.15
20130710,17.335,17.645,17.995,17.335,24466,0.0,3.79,1.29,0.225,0.06
20130711,18.055,18.305,18.355,17.84,63601,0.0,2.92,3.74,0.66,0.15
20130712,18.315,18.225,18.46,17.955,48921,0.0,2.76,-0.44,-0.08,0.11
20130715,18.375,18.475,18.925,18.245,50997,0.0,3.73,1.37,0.25,0.12
20130716,18.36,18.495,18.75,18.005,35020,0.0,4.03,0.11,0.02,0.08
20130717,18.675,18.675,18.88,18.4,41680,0.0,2.6,0.97,0.18,0.1
20130718,18.7,18.11,18.94,18.015,45646,0.0,4.95,-3.03,-0.565,0.11
20130719,18.135,17.945,18.135,16.75,96261,0.0,7.65,-0.91,-0.165,0.23
20130722,17.78,18.375,18.61,17.78,32343,0.0,4.63,2.4,0.43,0.08
20130723,18.595,18.43,18.92,18.13,41082,0.0,4.3,0.3,0.055,0.1
20130724,18.695,18.075,18.72,17.865,25176,0.0,4.64,-1.93,-0.355,0.06
20130725,17.94,18.335,18.5,17.94,34626,0.0,3.1,1.44,0.26,0.08
20130726,18.095,17.98,18.4,17.49,37234,0.0,4.96,-1.94,-0.355,0.09
20130729,17.98,17.94,18.77,17.835,50453,0.0,5.2,-0.22,-0.04,0.12
20130730,18.095,18.25,18.39,17.765,34862,0.0,3.48,1.73,0.31,0.08
20130731,18.455,17.975,18.595,17.94,74671,0.0,3.59,-1.51,-0.275,0.74
20130801,18.31,18.49,18.715,17.595,58874,0.0,6.23,2.87,0.515,0.58
20130802,18.475,18.745,18.845,18.275,31104,0.0,3.08,1.38,0.255,0.31
20130805,18.74,19.205,19.31,18.375,54773,0.0,4.99,2.45,0.46,0.54
20130806,19.15,19.02,19.255,18.5,49199,0.0,3.93,-0.96,-0.185,0.49
20130807,18.985,18.295,18.985,18.13,53213,0.0,4.5,-3.81,-0.725,0.53
20130808,18.19,18.16,18.44,14.6,274834,0.0,20.99,-0.74,-0.135,2.72
20130809,17.83,16.99,18.105,16.83,81670,0.0,7.02,-6.44,-1.17,0.81
20130812,16.665,17.545,17.55,16.57,59024,0.0,5.77,3.27,0.555,0.58
20130813,17.45,17.425,17.775,17.145,43809,0.0,3.59,-0.68,-0.12,0.43
20130814,17.535,18.2,18.5,17.535,96082,0.0,5.54,4.45,0.775,0.95
20130815,17.925,17.185,18.145,16.89,53401,0.0,6.9,-5.58,-1.015,0.53
