trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,61.467,79.2,83.333,60.4,8790,0.0,0.0,0.0,0.0,0.04
20010103,79.2,83.333,83.333,70.867,6840,0.0,15.74,5.22,4.133,0.03
20010104,86.467,87.533,91.667,79.2,9510,0.0,14.96,5.04,4.2,0.04
20010105,97.933,95.867,100.0,89.6,10670,0.0,11.88,9.52,8.334,0.04
20010108,100.0,89.6,100.0,87.533,9110,0.0,13.0,-6.54,-6.267,0.04
20010109,87.533,87.533,93.733,83.333,3300,0.0,11.61,-2.31,-2.067,0.01
20010110,87.533,93.733,95.867,87.533,5010,0.0,9.52,7.08,6.2,0.02
20010111,87.533,91.667,97.933,87.533,5140,0.0,11.1,-2.2,-2.066,0.02
20010112,93.733,97.933,100.0,89.6,4350,0.0,11.35,6.84,6.266,0.02
20010116,95.867,95.867,100.0,93.733,3560,0.0,6.4,-2.11,-2.066,0.01
20010117,97.933,95.867,100.0,91.667,11640,0.0,8.69,0.0,0.0,0.05
20010118,92.733,93.733,95.867,89.6,5040,0.0,6.54,-2.23,-2.134,0.02
20010119,95.867,95.867,97.933,91.667,4780,0.0,6.68,2.28,2.134,0.02
20010122,89.6,95.867,100.0,89.6,4130,0.0,10.85,0.0,0.0,0.02
20010123,95.867,97.933,97.933,89.6,7760,0.0,8.69,2.16,2.066,0.03
20010124,95.867,97.933,100.0,91.667,3650,0.0,8.51,0.0,0.0,0.01
20010125,91.667,97.933,100.0,91.667,9790,0.0,8.51,0.0,0.0,0.04
20010126,95.867,100.0,100.0,93.733,3930,0.0,6.4,2.11,2.067,0.02
20010129,93.733,97.933,97.933,93.733,2140,0.0,4.2,-2.07,-2.067,0.01
20010130,108.333,110.4,114.6,100.0,9600,0.0,14.91,12.73,12.467,0.04
20010131,112.533,95.867,114.6,95.867,4090,0.0,16.97,-13.16,-14.533,0.02
20010201,112.533,110.4,112.533,97.933,2200,0.0,15.23,15.16,14.533,0.01
20010202,100.0,96.867,100.0,87.533,5450,0.0,11.29,-12.26,-13.533,0.02
20010205,106.267,97.933,108.333,93.733,2330,0.0,15.07,1.1,1.066,0.01
20010206,96.867,100.0,100.0,95.867,1670,0.0,4.22,2.11,2.067,0.01
20010207,97.933,97.933,100.0,91.667,4460,0.0,8.33,-2.07,-2.067,0.02
20010208,97.933,95.867,100.0,87.533,4120,0.0,12.73,-2.11,-2.066,0.02
20010209,88.533,91.667,93.733,83.333,1890,0.0,10.85,-4.38,-4.2,0.01
20010212,86.467,87.533,89.6,85.4,3160,0.0,4.58,-4.51,-4.134,0.01
20010213,86.467,91.667,93.733,86.467,2730,0.0,8.3,4.72,4.134,0.01
20010214,93.733,89.6,108.333,87.533,6040,0.0,22.69,-2.25,-2.067,0.02
20010215,87.533,91.667,95.867,87.533,3360,0.0,9.3,2.31,2.067,0.01
20010216,87.533,87.533,91.667,83.333,5050,0.0,9.09,-4.51,-4.134,0.02
20010220,88.533,91.667,97.933,83.333,4130,0.0,16.68,4.72,4.134,0.02
20010221,87.533,83.333,91.667,83.333,2230,0.0,9.09,-9.09,-8.334,0.01
20010222,88.533,83.333,93.733,81.267,7800,0.0,14.96,0.0,0.0,0.03
20010223,81.267,81.267,83.333,75.0,4080,0.0,10.0,-2.48,-2.066,0.02
20010226,76.067,85.4,97.933,76.067,11920,0.0,26.91,5.09,4.133,0.05
20010227,85.4,81.267,91.667,77.067,4350,0.0,17.1,-4.84,-4.133,0.02
20010228,89.6,77.067,89.6,77.067,2740,0.0,15.42,-5.17,-4.2,0.01
20010301,77.067,75.0,81.267,70.867,4630,0.0,13.49,-2.68,-2.067,0.02
