trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-18.72,-18.03,-18.03,-19.41,126800,0.0,0.0,0.0,0.0,0.4
20010103,-18.03,-18.22,-17.72,-18.47,131300,0.0,-4.16,-1.05,-0.19,0.41
20010104,-18.22,-18.97,-18.22,-19.97,199500,0.0,-9.6,-4.12,-0.75,0.62
20010105,-19.22,-19.16,-18.84,-19.47,59700,0.0,-3.32,-1.0,-0.19,0.19
20010108,-19.22,-18.78,-18.72,-19.41,56000,0.0,-3.6,1.98,0.38,0.18
20010109,-18.72,-18.72,-18.34,-18.84,67000,0.0,-2.66,0.32,0.06,0.21
20010110,-18.72,-17.97,-17.97,-18.78,195400,0.0,-4.33,4.01,0.75,0.61
20010111,-18.22,-18.22,-17.47,-18.22,168800,0.0,-4.17,-1.39,-0.25,0.53
20010112,-18.16,-18.22,-17.97,-18.28,98700,0.0,-1.7,0.0,0.0,0.31
20010116,-18.22,-18.22,-18.03,-19.6,168100,0.0,-8.62,0.0,0.0,0.53
20010117,-17.97,-19.22,-17.72,-19.22,87000,0.0,-8.23,-5.49,-1.0,0.27
20010118,-18.97,-19.03,-18.84,-19.28,103600,0.0,-2.29,0.99,0.19,0.32
20010119,-19.16,-19.1,-18.84,-19.22,48400,0.0,-2.0,-0.37,-0.07,0.15
20010122,-19.28,-19.28,-19.1,-19.72,102900,0.0,-3.25,-0.94,-0.18,0.32
20010123,-19.22,-18.6,-18.6,-19.41,103900,0.0,-4.2,3.53,0.68,0.32
20010124,-18.34,-18.34,-18.1,-18.53,103100,0.0,-2.31,1.4,0.26,0.32
20010125,-18.28,-18.28,-18.22,-18.53,38800,0.0,-1.69,0.33,0.06,0.12
20010126,-18.28,-18.53,-18.28,-18.84,34100,0.0,-3.06,-1.37,-0.25,0.11
20010129,-19.22,-18.23,-18.23,-19.22,77000,0.0,-5.34,1.62,0.3,0.24
20010130,-18.37,-18.37,-18.1,-18.93,122200,0.0,-4.55,-0.77,-0.14,0.38
20010131,-18.52,-18.75,-18.37,-18.85,70800,0.0,-2.61,-2.07,-0.38,0.22
20010201,-18.72,-19.27,-18.67,-19.84,95600,0.0,-6.24,-2.77,-0.52,0.3
20010202,-19.22,-19.6,-19.18,-19.71,82600,0.0,-2.75,-1.71,-0.33,0.26
20010205,-19.57,-19.35,-18.82,-19.92,57300,0.0,-5.61,1.28,0.25,0.18
20010206,-19.45,-19.12,-19.12,-19.62,64200,0.0,-2.58,1.19,0.23,0.2
20010207,-19.12,-18.57,-18.57,-19.17,160400,0.0,-3.14,2.88,0.55,0.5
20010208,-18.52,-19.18,-18.52,-19.34,42100,0.0,-4.42,-3.28,-0.61,0.13
20010209,-19.12,-19.37,-19.02,-19.46,34200,0.0,-2.29,-0.99,-0.19,0.11
20010212,-19.22,-18.82,-18.74,-19.58,67400,0.0,-4.34,2.84,0.55,0.21
20010213,-18.72,-18.87,-18.72,-19.07,56400,0.0,-1.86,-0.27,-0.05,0.18
