trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230118,21.45,20.97,21.45,20.97,6386,162804.0,2.95,28.81,4.69,0.09
20230119,21.0,20.75,21.14,20.75,6385,160690.0,1.86,-1.05,-0.22,0.09
20230120,20.76,20.98,21.01,20.75,13328,336140.0,1.25,1.11,0.23,0.19
20230123,20.75,21.099,21.231,20.71,8570,216640.0,2.48,0.57,0.119,0.12
20230124,20.925,21.0,21.24,20.75,6588,167033.0,2.32,-0.47,-0.099,0.1
20230125,21.0,21.2,21.27,20.76,12011,304670.0,2.43,0.95,0.2,0.17
20230126,21.2,21.24,21.37,20.9,10474,267122.0,2.22,0.19,0.04,0.15
20230127,21.3,21.03,21.341,20.84,19439,493171.0,2.36,-0.99,-0.21,0.28
20230130,21.27,21.34,21.41,21.0,8136,208461.0,1.95,1.47,0.31,0.12
20230131,21.262,21.35,21.6,21.262,18447,474302.0,1.58,0.05,0.01,0.27
20230201,21.41,21.357,21.47,21.11,5655,145212.0,1.69,0.03,0.007,0.08
20230202,21.4,21.36,21.4,21.19,6966,178292.0,0.98,0.01,0.003,0.1
20230203,21.4,21.2,21.4,20.87,11658,297994.0,2.48,-0.75,-0.16,0.17
20230206,21.1,21.35,21.35,21.1,16714,426837.0,1.18,0.71,0.15,0.24
20230207,21.64,21.39,21.64,20.927,15918,407695.0,3.34,0.19,0.04,0.23
20230208,21.38,21.15,21.4,21.15,5087,129906.0,1.17,-1.12,-0.24,0.07
20230209,21.24,21.215,21.366,20.957,7322,186933.0,1.93,0.31,0.065,0.11
20230210,21.32,21.23,21.38,20.94,15635,396999.0,2.07,0.07,0.015,0.23
20230213,21.35,21.38,21.805,21.35,8310,212271.0,2.14,0.71,0.15,0.12
20230214,21.78,21.73,21.78,21.53,6177,157760.0,1.17,1.64,0.35,0.09
20230215,21.79,21.46,21.79,21.43,17651,448610.0,1.66,-1.24,-0.27,0.26
20230216,21.38,21.48,21.83,21.355,9503,240554.0,2.21,0.09,0.02,0.14
20230217,21.48,21.35,21.67,21.23,6539,165502.0,2.05,-0.61,-0.13,0.09
20230221,21.41,21.31,21.41,21.03,7338,183516.0,1.78,-0.19,-0.04,0.11
20230222,21.38,21.13,21.38,21.07,4339,108616.0,1.45,-0.84,-0.18,0.06
20230223,21.33,21.37,21.81,21.23,10368,262081.0,2.74,1.14,0.24,0.15
20230224,21.4,21.18,21.5,21.15,5063,127187.0,1.64,-0.89,-0.19,0.07
20230227,21.35,21.42,21.78,21.21,6174,156008.0,2.69,1.13,0.24,0.09
20230228,21.52,21.98,22.12,21.48,56023,1443136.0,2.99,2.61,0.56,0.81
20230301,22.05,21.67,22.23,21.49,12981,332804.0,3.37,-1.41,-0.31,0.19
20230302,21.657,21.5,21.657,21.305,10004,252640.0,1.62,-0.78,-0.17,0.14
20230303,21.53,21.51,21.53,21.253,5286,133454.0,1.29,0.05,0.01,0.08
