trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230125,0.31,0.3,0.34,0.227,742234,200945.0,12.02,-68.09,-0.64,0.0
20230126,0.3,0.275,0.35,0.252,645508,189860.0,32.67,-8.33,-0.025,0.0
20230127,0.25,0.23,0.28,0.22,140213,33758.0,21.82,-16.36,-0.045,0.0
20230130,0.218,0.2,0.23,0.2,18134,3737.0,13.04,-13.04,-0.03,0.0
20230131,0.2,0.2,0.211,0.185,230801,45787.0,13.0,0.0,0.0,0.0
20230201,0.162,0.17,0.19,0.162,52968,9152.0,14.0,-15.0,-0.03,0.0
20230202,0.175,0.191,0.2,0.161,12082,2150.0,22.94,12.35,0.021,0.0
20230203,0.2,0.186,0.2,0.165,100040,18079.0,18.32,-2.62,-0.005,0.0
20230206,0.18,0.18,0.18,0.18,14577,2622.0,0.0,-3.23,-0.006,0.0
20230207,0.165,0.17,0.17,0.16,86324,13832.0,5.56,-5.56,-0.01,0.0
20230208,0.19,0.17,0.19,0.16,124278,22113.0,17.65,0.0,0.0,0.0
20230209,0.19,0.18,0.19,0.162,14528,2482.0,16.47,5.88,0.01,0.0
20230210,0.17,0.16,0.17,0.16,21313,3435.0,5.56,-11.11,-0.02,0.0
20230213,0.155,0.15,0.156,0.15,13834,2083.0,3.75,-6.25,-0.01,0.0
20230214,0.15,0.164,0.164,0.15,2483,392.0,9.33,9.33,0.014,0.0
20230215,0.161,0.161,0.161,0.161,301,48.0,0.0,-1.83,-0.003,0.0
20230216,0.18,0.17,0.185,0.17,26380,4747.0,9.32,5.59,0.009,0.0
20230217,0.18,0.195,0.23,0.18,175406,36234.0,29.41,14.71,0.025,0.0
20230221,0.218,0.185,0.22,0.185,63127,13057.0,17.95,-5.13,-0.01,0.0
20230222,0.2,0.219,0.24,0.2,21994,4977.0,21.62,18.38,0.034,0.0
20230223,0.237,0.2,0.237,0.176,16598,3389.0,27.85,-8.68,-0.019,0.0
20230224,0.383,0.285,0.491,0.261,2801277,995873.0,115.0,42.5,0.085,0.0
20230227,0.246,0.246,0.294,0.246,225123,58963.0,16.84,-13.68,-0.039,0.0
20230228,0.25,0.24,0.276,0.239,104863,25752.0,15.04,-2.44,-0.006,0.0
20230301,0.24,0.24,0.244,0.23,106609,25452.0,5.83,0.0,0.0,0.0
20230302,0.23,0.238,0.255,0.221,18953,4393.0,14.17,-0.83,-0.002,0.0
20230303,0.237,0.232,0.24,0.221,9917,2310.0,7.98,-2.52,-0.006,0.0
20230306,0.23,0.23,0.246,0.229,44596,10257.0,7.33,-0.86,-0.002,0.0
20230307,0.247,0.221,0.247,0.221,3650,834.0,11.3,-3.91,-0.009,0.0
20230308,0.202,0.21,0.21,0.202,1968,400.0,3.62,-4.98,-0.011,0.0
20230309,0.25,0.21,0.25,0.21,19499,4211.0,19.05,0.0,0.0,0.0
20230310,0.2,0.19,0.218,0.18,18699,3740.0,18.1,-9.52,-0.02,0.0
20230313,0.18,0.186,0.208,0.18,2506,467.0,14.74,-2.11,-0.004,0.0
20230314,0.2,0.214,0.24,0.178,939861,201510.0,33.33,15.05,0.028,0.0
20230315,0.214,0.214,0.214,0.214,44,9.0,0.0,0.0,0.0,0.0
20230316,0.197,0.19,0.197,0.179,1105,211.0,8.41,-11.21,-0.024,0.0
20230317,0.175,0.181,0.19,0.175,23407,4291.0,7.89,-4.74,-0.009,0.0
20230320,0.19,0.183,0.19,0.18,14205,2620.0,5.52,1.1,0.002,0.0
20230321,0.18,0.19,0.19,0.18,16647,3115.0,5.46,3.83,0.007,0.0
20230322,0.19,0.18,0.19,0.18,10730,2037.0,5.26,-5.26,-0.01,0.0
20230323,0.19,0.182,0.19,0.181,12882,2419.0,5.0,1.11,0.002,0.0
20230327,0.19,0.183,0.19,0.183,4022,743.0,3.85,0.55,0.001,0.0
20230328,0.19,0.17,0.19,0.17,5370,970.0,10.93,-7.1,-0.013,0.0
20230329,0.17,0.17,0.17,0.17,1880,319.0,0.0,0.0,0.0,0.0
20230330,0.17,0.161,0.17,0.154,13293,2194.0,9.41,-5.29,-0.009,0.0
20230331,0.161,0.161,0.161,0.161,10,1.0,0.0,0.0,0.0,0.0
20230403,0.161,0.161,0.18,0.161,1851,307.0,11.8,0.0,0.0,0.0
20230404,0.17,0.17,0.17,0.17,168,28.0,0.0,5.59,0.009,0.0
20230405,0.178,0.17,0.19,0.161,8716,1523.0,17.06,0.0,0.0,0.0
20230406,0.188,0.163,0.188,0.163,833,138.0,14.71,-4.12,-0.007,0.0
20230410,0.163,0.171,0.171,0.162,5800,979.0,5.52,4.91,0.008,0.0
20230411,0.18,0.169,0.19,0.151,10286,1851.0,22.81,-1.17,-0.002,0.0
20230413,0.19,0.154,0.19,0.154,32599,5549.0,21.3,-8.88,-0.015,0.0
20230414,0.188,0.145,0.188,0.13,19387,2715.0,37.66,-5.84,-0.009,0.0
20230417,0.131,0.14,0.14,0.131,4097,555.0,6.21,-3.45,-0.005,0.0
20230418,0.144,0.144,0.144,0.144,200,28.0,0.0,2.86,0.004,0.0
20230419,0.14,0.13,0.14,0.13,1860,258.0,6.94,-9.72,-0.014,0.0
20230420,0.13,0.12,0.141,0.12,105935,14269.0,16.15,-7.69,-0.01,0.0
20230421,0.13,0.13,0.13,0.13,4621,600.0,0.0,8.33,0.01,0.0
20230424,0.128,0.142,0.147,0.128,1642,223.0,14.62,9.23,0.012,0.0
20230426,0.125,0.13,0.13,0.125,1000,127.0,3.52,-8.45,-0.012,0.0
20230427,0.125,0.118,0.125,0.118,4900,599.0,5.38,-9.23,-0.012,0.0
20230428,0.171,0.13,0.173,0.12,14946,2222.0,44.92,10.17,0.012,0.0
20230501,0.13,0.13,0.13,0.13,2764,359.0,0.0,0.0,0.0,0.0
20230502,0.14,0.13,0.141,0.13,5228,715.0,8.46,0.0,0.0,0.0
20230504,0.13,0.128,0.13,0.125,7200,919.0,3.85,-1.54,-0.002,0.0
20230505,0.13,0.13,0.131,0.121,89804,11630.0,7.81,1.56,0.002,0.0
20230508,0.135,0.144,0.173,0.135,1299,180.0,29.23,10.77,0.014,0.0
20230509,0.15,0.135,0.15,0.135,3353,472.0,10.42,-6.25,-0.009,0.0
20230510,0.15,0.15,0.15,0.15,200,30.0,0.0,11.11,0.015,0.0
20230511,0.149,0.168,0.174,0.146,23191,3672.0,18.67,12.0,0.018,0.0
20230512,0.19,0.19,0.19,0.19,5450,1034.0,0.0,13.1,0.022,0.0
20230515,0.188,0.19,0.19,0.188,49534,9410.0,1.05,0.0,0.0,0.0
20230516,0.18,0.196,0.2,0.17,791993,150394.0,15.79,3.16,0.006,0.0
20230518,0.18,0.171,0.18,0.17,12100,2076.0,5.1,-12.76,-0.025,0.0
20230519,0.19,0.22,0.238,0.18,70432,15279.0,33.92,28.65,0.049,0.0
20230522,0.21,0.2,0.216,0.192,22204,4650.0,10.91,-9.09,-0.02,0.0
20230523,0.2,0.2,0.2,0.2,670,134.0,0.0,0.0,0.0,0.0
20230524,0.21,0.206,0.21,0.183,47682,9912.0,13.5,3.0,0.006,0.0
20230525,0.236,0.202,0.236,0.2,5005,1029.0,17.48,-1.94,-0.004,0.0
20230526,0.229,0.2,0.231,0.2,570,127.0,15.35,-0.99,-0.002,0.0
20230530,0.208,0.21,0.21,0.208,4465,937.0,1.0,5.0,0.01,0.0
20230531,0.21,0.201,0.21,0.2,6235,1300.0,4.76,-4.29,-0.009,0.0
20230601,0.201,0.192,0.201,0.184,19955,3944.0,8.46,-4.48,-0.009,0.0
20230602,0.212,0.2,0.22,0.19,43915,8967.0,15.63,4.17,0.008,0.0
20230605,0.23,0.235,0.25,0.219,24620,5681.0,15.5,17.5,0.035,0.0
20230607,0.255,0.35,0.382,0.245,811020,262132.0,58.3,48.94,0.115,0.0
20230608,0.355,0.35,0.453,0.304,296023,114876.0,42.57,0.0,0.0,0.0
20230609,0.345,0.36,0.4,0.325,71534,27774.0,21.43,2.86,0.01,0.0
20230612,0.412,0.3,0.412,0.3,38543,12821.0,31.11,-16.67,-0.06,0.0
20230613,0.3,0.305,0.4,0.287,104929,37012.0,37.67,1.67,0.005,0.0
20230614,0.349,0.27,0.349,0.244,103671,29775.0,34.43,-11.48,-0.035,0.0
20230615,0.28,0.26,0.3,0.25,47491,12867.0,18.52,-3.7,-0.01,0.0
20230616,0.298,0.262,0.298,0.262,302,84.0,13.85,0.77,0.002,0.0
20230620,0.262,0.26,0.298,0.26,612,169.0,14.5,-0.76,-0.002,0.0
20230621,0.298,0.26,0.298,0.26,1204,354.0,14.62,0.0,0.0,0.0
20230622,0.261,0.25,0.262,0.25,23043,5776.0,4.62,-3.85,-0.01,0.0
20230623,0.28,0.22,0.286,0.22,16986,4209.0,26.4,-12.0,-0.03,0.0
20230626,0.25,0.24,0.25,0.203,26628,6347.0,21.36,9.09,0.02,0.0
20230627,0.23,0.23,0.23,0.23,599,137.0,0.0,-4.17,-0.01,0.0
20230628,0.248,0.228,0.25,0.203,26577,5891.0,20.43,-0.87,-0.002,0.0
20230629,0.228,0.228,0.228,0.228,2000,455.0,0.0,0.0,0.0,0.0
20230630,0.207,0.203,0.207,0.203,3349,682.0,1.75,-10.96,-0.025,0.0
20230705,0.218,0.21,0.224,0.21,8335,1823.0,6.9,3.45,0.007,0.0
20230706,0.2,0.225,0.225,0.196,60622,13438.0,13.81,7.14,0.015,0.0
20230710,0.225,0.225,0.225,0.225,650,146.0,0.0,0.0,0.0,0.0
20230711,0.21,0.21,0.229,0.2,34069,7123.0,12.89,-6.67,-0.015,0.0
20230712,0.23,0.23,0.23,0.23,206,47.0,0.0,9.52,0.02,0.0
20230713,0.23,0.164,0.23,0.121,158876,31226.0,47.39,-28.7,-0.066,0.0
20230714,0.19,0.17,0.2,0.16,187272,35781.0,24.39,3.66,0.006,0.0
20230717,0.17,0.19,0.215,0.165,151576,25982.0,29.41,11.76,0.02,0.0
20230719,0.2,0.2,0.2,0.2,700,140.0,0.0,5.26,0.01,0.0
20230720,0.227,0.2,0.227,0.2,800,173.0,13.5,0.0,0.0,0.0
20230721,0.225,0.235,0.235,0.22,8204,1862.0,7.5,17.5,0.035,0.0
20230724,0.247,0.245,0.249,0.229,5370,1307.0,8.51,4.26,0.01,0.0
20230725,0.211,0.24,0.24,0.199,27600,5752.0,16.73,-2.04,-0.005,0.0
20230726,0.238,0.276,0.276,0.238,49538,12201.0,15.83,15.0,0.036,0.0
20230727,0.232,0.25,0.25,0.23,9207,2281.0,7.25,-9.42,-0.026,0.0
20230728,0.267,0.263,0.27,0.263,8292,2230.0,2.8,5.2,0.013,0.0
20230731,0.253,0.277,0.277,0.25,10770,2705.0,10.27,5.32,0.014,0.0
20230801,0.277,0.277,0.277,0.277,9,2.0,0.0,0.0,0.0,0.0
20230802,0.275,0.272,0.275,0.27,2600,714.0,1.81,-1.81,-0.005,0.0
20230803,0.27,0.27,0.29,0.25,9462,2599.0,14.71,-0.74,-0.002,0.0
20230804,0.28,0.273,0.29,0.273,13117,3775.0,6.3,1.11,0.003,0.0
20230807,0.3,0.3,0.3,0.271,23317,6781.0,10.62,9.89,0.027,0.0
20230808,0.26,0.3,0.3,0.26,21368,6101.0,13.33,0.0,0.0,0.0
20230809,0.25,0.275,0.275,0.25,1760,471.0,8.33,-8.33,-0.025,0.0
20230810,0.265,0.28,0.28,0.265,20400,5404.0,5.45,1.82,0.005,0.0
20230811,0.28,0.28,0.28,0.28,1,0.0,0.0,0.0,0.0,0.0
20230814,0.23,0.275,0.275,0.23,2632,676.0,16.07,-1.79,-0.005,0.0
20230815,0.24,0.252,0.274,0.23,4788,1137.0,16.0,-8.36,-0.023,0.0
20230816,0.25,0.25,0.25,0.25,220500,55125.0,0.0,-0.79,-0.002,0.0
20230821,0.251,0.25,0.273,0.25,59969,15184.0,9.2,0.0,0.0,0.0
20230822,0.263,0.262,0.263,0.26,15201,3952.0,1.2,4.8,0.012,0.0
20230823,0.261,0.286,0.286,0.23,64549,16390.0,21.37,9.16,0.024,0.0
20230824,0.26,0.265,0.265,0.26,27000,7121.0,1.75,-7.34,-0.021,0.0
