trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180808,38.911,38.911,38.911,38.911,191,4874.0,0.0,0.0,0.0,0.0
20180813,38.088,38.073,38.118,38.073,57457,1434790.0,0.12,-2.15,-0.838,0.0
20180814,38.118,38.164,38.484,38.103,7415781,185406100.0,1.0,0.24,0.091,0.0
20180815,37.737,37.829,37.935,37.646,5798763,143729460.0,0.76,-0.88,-0.335,0.0
20180816,38.255,38.195,38.332,38.179,5497158,137857906.0,0.4,0.97,0.366,0.0
20180817,38.24,38.591,38.652,38.21,4800309,120753713.0,1.16,1.04,0.396,0.0
20180820,38.576,38.591,38.652,38.499,311714,7885524.0,0.4,0.0,0.0,0.0
20180821,38.606,38.515,38.621,38.454,428242,10817987.0,0.43,-0.2,-0.076,0.0
20180822,38.56,38.484,38.576,38.423,99302,2506821.0,0.4,-0.08,-0.031,0.0
20180823,38.088,37.935,38.118,37.905,107348,2670890.0,0.55,-1.43,-0.549,0.0
20180824,38.149,38.195,38.225,38.012,40701,1018680.0,0.56,0.69,0.26,0.0
20180827,38.499,38.606,38.652,38.454,53456,1352766.0,0.52,1.08,0.411,0.0
20180828,38.743,38.591,38.759,38.515,95577,2418580.0,0.63,-0.04,-0.015,0.0
20180829,38.698,39.018,39.033,38.698,133803,3420590.0,0.87,1.11,0.427,0.0
20180830,38.637,38.484,38.652,38.393,48415,1223034.0,0.66,-1.37,-0.534,0.0
20180831,38.332,38.271,38.423,38.134,42359,1063133.0,0.75,-0.55,-0.213,0.0
20180904,37.935,37.966,37.981,37.844,41091,1021575.0,0.36,-0.8,-0.305,0.0
20180905,37.478,37.432,37.478,37.31,57713,1415690.0,0.44,-1.41,-0.534,0.0
20180906,37.173,37.081,37.234,36.914,64578,1569432.0,0.85,-0.94,-0.351,0.0
20180907,36.655,36.594,36.822,36.441,53730,1290020.0,1.03,-1.31,-0.487,0.0
20180910,36.716,36.609,36.746,36.517,66674,1601603.0,0.63,0.04,0.015,0.0
20180911,36.487,36.67,36.67,36.395,61900,1484085.0,0.75,0.17,0.061,0.0
20180912,36.761,37.097,37.127,36.761,134578,3267925.0,1.0,1.16,0.427,0.0
20180913,37.371,37.341,37.402,37.158,56277,1376756.0,0.66,0.66,0.244,0.0
20180914,37.295,37.28,37.432,37.173,62682,1532436.0,0.69,-0.16,-0.061,0.0
20180917,37.28,37.264,37.432,37.264,34118,836053.0,0.45,-0.04,-0.016,0.0
20180918,37.569,37.691,37.707,37.493,47853,1181768.0,0.57,1.15,0.427,0.0
20180919,37.798,37.89,37.935,37.798,41450,1030161.0,0.36,0.53,0.199,0.0
20180920,37.92,38.088,38.103,37.89,42806,1068189.0,0.56,0.52,0.198,0.0
20180921,38.103,38.149,38.21,38.088,26328,658622.0,0.32,0.16,0.061,0.0
