trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190313,46.154,46.044,46.19,46.044,27289,1381403.0,0.0,0.0,0.0,0.0
20190314,46.035,46.035,46.072,45.981,4005,202253.0,0.2,-0.02,-0.009,0.0
20190315,46.126,46.218,46.218,46.126,908,45969.0,0.2,0.4,0.183,0.0
20190318,46.363,46.409,46.445,46.263,16864,857944.0,0.39,0.41,0.191,0.0
20190319,46.628,46.363,46.646,46.363,14814,757115.0,0.61,-0.1,-0.046,0.0
20190320,46.4,46.29,46.445,46.117,12898,654527.0,0.71,-0.16,-0.073,0.0
20190321,46.126,46.792,46.856,46.126,3120,159739.0,1.58,1.08,0.502,0.0
20190322,46.646,45.908,46.655,45.88,24732,1257352.0,1.66,-1.89,-0.884,0.0
20190325,45.762,45.862,45.944,45.643,4808,241950.0,0.66,-0.1,-0.046,0.0
20190326,46.181,46.154,46.29,45.981,4190,212321.0,0.67,0.64,0.292,0.0
20190327,46.245,45.953,46.245,45.844,10793,544867.0,0.87,-0.44,-0.201,0.0
20190328,46.19,46.163,46.218,46.163,2262,114588.0,0.12,0.46,0.21,0.0
20190329,46.345,46.455,46.455,46.345,463,23565.0,0.24,0.63,0.292,0.0
20190401,46.81,47.029,47.029,46.81,28891,1484171.0,0.47,1.24,0.574,0.0
20190402,46.992,47.029,47.029,46.992,508,26185.0,0.08,0.0,0.0,0.0
20190403,47.239,47.12,47.293,47.038,4527,234061.0,0.54,0.19,0.091,0.0
20190404,47.147,47.193,47.239,47.011,8960,463760.0,0.48,0.15,0.073,0.0
20190405,47.33,47.403,47.403,47.33,4424,229899.0,0.15,0.44,0.21,0.0
20190408,47.266,47.466,47.466,47.266,2716,141198.0,0.42,0.13,0.063,0.0
20190409,47.293,47.166,47.302,47.166,3381,175282.0,0.29,-0.63,-0.3,0.0
20190410,47.321,47.348,47.348,47.284,4619,239741.0,0.14,0.39,0.182,0.0
20190411,47.494,47.412,47.494,47.293,10972,570466.0,0.42,0.14,0.064,0.0
20190412,47.667,47.667,47.667,47.667,5785,302497.0,0.0,0.54,0.255,0.0
20190415,47.731,47.676,47.731,47.567,1363,71246.0,0.34,0.02,0.009,0.0
20190416,47.849,47.694,47.849,47.676,13116,686793.0,0.36,0.04,0.018,0.0
20190417,47.877,47.594,47.877,47.576,2996,156673.0,0.63,-0.21,-0.1,0.0
20190418,47.685,47.649,47.694,47.539,6572,343347.0,0.33,0.12,0.055,0.0
20190422,47.53,47.713,47.713,47.53,679,35403.0,0.38,0.13,0.064,0.0
20190423,47.804,48.141,48.159,47.804,1710,90162.0,0.74,0.9,0.428,0.0
20190424,48.123,48.059,48.177,48.059,40112,2116750.0,0.25,-0.17,-0.082,0.0
20190425,48.086,48.041,48.086,48.041,932,49159.0,0.09,-0.04,-0.018,0.0
