trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250207,25.88,24.495,25.88,24.495,19306,484800.0,0.0,0.0,0.0,0.0
20250210,25.29,25.315,25.44,25.174,9116,230473.0,1.09,3.35,0.82,0.0
20250211,25.28,24.562,25.28,24.562,5911,147726.0,2.84,-2.97,-0.753,0.0
20250212,24.14,25.196,25.37,24.14,975,24098.0,5.01,2.58,0.634,0.0
20250213,24.938,25.17,25.17,24.938,1114,27881.0,0.92,-0.1,-0.026,0.0
20250214,25.46,25.266,25.46,25.24,995,25297.0,0.87,0.38,0.096,0.0
20250218,25.053,24.753,25.09,24.7,2413,59880.0,1.54,-2.03,-0.513,0.0
20250219,25.41,25.401,25.41,25.35,71452,1812551.0,0.24,2.62,0.648,0.0
20250220,25.96,25.934,25.96,25.63,1565,40250.0,1.3,2.1,0.533,0.0
20250221,26.17,24.832,26.19,24.832,3267,83738.0,5.24,-4.25,-1.102,0.0
20250224,24.97,24.72,24.97,24.72,432,10778.0,1.01,-0.45,-0.112,0.0
20250225,22.85,22.799,22.85,22.61,772,17503.0,0.97,-7.77,-1.921,0.0
20250226,22.73,21.74,22.73,21.25,587,12808.0,6.49,-4.64,-1.059,0.0
20250227,21.95,20.992,21.95,20.992,1456,31529.0,4.41,-3.44,-0.748,0.0
20250228,20.34,20.972,20.985,20.34,2267,46866.0,3.07,-0.1,-0.02,0.0
20250303,22.83,21.32,22.83,21.3,2024,44935.0,7.3,1.66,0.348,0.0
20250304,21.35,21.82,21.82,21.28,405,8632.0,2.53,2.35,0.5,0.0
20250305,22.6,22.857,22.857,22.6,586,13252.0,1.18,4.75,1.037,0.0
20250306,22.31,22.432,22.432,22.17,522,11627.0,1.15,-1.86,-0.425,0.0
20250307,22.25,21.935,22.25,21.935,465,10346.0,1.4,-2.22,-0.497,0.0
20250310,20.14,19.31,20.14,19.16,1329,26095.0,4.47,-11.97,-2.625,0.0
20250311,19.84,20.577,20.577,19.84,1764,35550.0,3.82,6.56,1.267,0.0
20250312,20.523,20.523,20.523,20.523,184,3776.0,0.0,-0.26,-0.054,0.0
20250313,20.26,20.266,20.51,20.24,2839,57859.0,1.32,-1.25,-0.257,0.0
20250314,21.23,21.271,21.3,21.23,1981,42180.0,0.35,4.96,1.005,0.0
20250317,21.322,21.322,21.322,21.322,105,2238.0,0.0,0.24,0.051,0.0
20250318,20.72,21.02,21.02,20.72,6061,126222.0,1.41,-1.42,-0.302,0.0
20250319,21.449,21.913,21.913,21.449,1905,41084.0,2.21,4.25,0.893,0.0
20250320,21.76,21.503,21.89,21.503,497,10805.0,1.77,-1.87,-0.41,0.0
20250321,21.12,21.225,21.225,21.12,185,3907.0,0.49,-1.29,-0.278,0.0
20250324,22.38,22.178,22.38,22.14,498,11073.0,1.13,4.49,0.953,0.0
20250325,22.27,22.321,22.36,22.27,330,7363.0,0.41,0.64,0.143,0.0
20250326,21.96,21.797,21.96,21.797,446,9787.0,0.73,-2.35,-0.524,0.0
20250327,22.28,22.248,22.28,22.12,378,8394.0,0.73,2.07,0.451,0.0
20250328,21.58,21.371,21.58,21.328,686,14668.0,1.13,-3.94,-0.877,0.0
20250331,20.8,21.243,21.34,20.8,2302,48091.0,2.53,-0.6,-0.128,0.0
20250401,21.32,21.795,21.795,21.32,273,5820.0,2.24,2.6,0.552,0.0
20250402,21.9,22.202,22.202,21.9,320,7012.0,1.39,1.87,0.407,0.0
20250403,20.41,20.594,20.7,20.41,2771,56940.0,1.31,-7.24,-1.608,0.0
20250404,20.29,20.336,20.336,20.12,9656,195484.0,1.05,-1.25,-0.258,0.0
20250407,18.1,18.305,19.2,18.02,6403,121732.0,5.8,-9.99,-2.031,0.0
20250408,19.058,17.878,19.058,17.878,629,11781.0,6.45,-2.33,-0.427,0.0
20250409,19.55,19.966,19.966,19.55,299,5845.0,2.33,11.68,2.088,0.0
20250410,19.79,19.56,19.79,19.56,276,5462.0,1.15,-2.03,-0.406,0.0
20250411,20.81,20.916,21.0,20.625,489,10146.0,1.92,6.93,1.356,0.0
20250414,20.87,21.207,21.255,20.87,730,15314.0,1.84,1.39,0.291,0.0
20250415,21.079,21.079,21.079,21.079,39,822.0,0.0,-0.6,-0.128,0.0
20250416,21.87,21.673,21.87,21.55,277,6013.0,1.52,2.82,0.594,0.0
20250417,21.43,21.618,21.618,21.28,10839,230940.0,1.56,-0.25,-0.055,0.0
20250421,22.549,22.549,22.549,22.549,240,5411.0,0.0,4.31,0.931,0.0
20250422,23.359,23.427,23.65,23.359,540,12658.0,1.29,3.89,0.878,0.0
20250423,23.825,23.825,23.825,23.825,181,4312.0,0.0,1.7,0.398,0.0
20250424,23.7,24.043,24.043,23.7,514,12181.0,1.44,0.92,0.218,0.0
20250425,24.153,24.153,24.153,24.153,380,9178.0,0.0,0.46,0.11,0.0
20250428,23.8,24.261,24.261,23.8,286,6806.0,1.91,0.45,0.108,0.0
20250429,24.227,24.227,24.227,24.227,103,2495.0,0.0,-0.14,-0.034,0.0
20250430,24.0,23.7,24.0,23.7,168,4032.0,1.24,-2.18,-0.527,0.0
20250501,24.041,23.925,24.041,23.925,262,6298.0,0.49,0.95,0.225,0.0
20250502,24.28,23.954,24.28,23.954,1138,27630.0,1.36,0.12,0.029,0.0
20250505,23.944,23.944,23.944,23.944,23,550.0,0.0,-0.04,-0.01,0.0
20250506,24.45,24.586,24.586,24.45,337,8262.0,0.57,2.68,0.642,0.0
20250507,24.459,24.46,24.46,24.459,1164,28470.0,0.0,-0.51,-0.126,0.0
20250508,25.83,25.96,25.96,25.83,394,10177.0,0.53,6.13,1.5,0.0
20250509,27.1,27.076,27.3,27.07,1359,36915.0,0.89,4.3,1.116,0.0
20250512,27.258,26.605,27.258,26.605,778,21140.0,2.41,-1.74,-0.471,0.0
20250513,27.979,27.979,27.979,27.979,260,7274.0,0.0,5.16,1.374,0.0
20250514,27.75,26.862,27.75,26.84,1226,33164.0,3.25,-3.99,-1.117,0.0
20250515,26.94,26.978,26.978,26.94,662,17834.0,0.14,0.43,0.116,0.0
20250516,26.92,27.033,27.033,26.92,2718,73199.0,0.42,0.2,0.055,0.0
20250519,26.68,27.356,27.356,26.68,495,13206.0,2.5,1.19,0.323,0.0
20250520,27.5,28.15,28.15,27.5,1536,42240.0,2.38,2.9,0.794,0.0
20250521,28.42,28.676,28.676,28.38,939,26668.0,1.05,1.87,0.526,0.0
20250522,29.267,29.267,29.267,29.267,306,8955.0,0.0,2.06,0.591,0.0
20250523,29.01,29.124,29.124,29.01,214,6208.0,0.39,-0.49,-0.143,0.0
20250527,29.52,29.282,29.52,29.0,947,27596.0,1.79,0.54,0.158,0.0
20250528,29.0,28.412,29.0,28.412,3771,109141.0,2.01,-2.97,-0.87,0.0
20250529,28.89,28.396,28.89,28.396,1098,31378.0,1.74,-0.06,-0.016,0.0
20250530,28.1,27.72,28.1,27.72,486,13603.0,1.34,-2.38,-0.676,0.0
20250602,28.06,28.498,28.498,28.05,2092,58695.0,1.62,2.81,0.778,0.0
20250603,28.6,28.849,28.849,28.6,127,3632.0,0.87,1.23,0.351,0.0
20250604,28.7,28.751,28.85,28.7,3285,94433.0,0.52,-0.34,-0.098,0.0
20250605,28.27,27.947,28.29,27.947,10124,286107.0,1.19,-2.8,-0.804,0.0
20250606,28.037,28.037,28.037,28.037,108,3060.0,0.0,0.32,0.09,0.0
20250609,29.01,29.419,29.49,29.01,506,14786.0,1.71,4.93,1.382,0.0
20250610,30.1,30.1,30.1,30.1,237,7100.0,0.0,2.31,0.681,0.0
20250611,30.34,30.068,30.46,30.068,569,17256.0,1.3,-0.11,-0.032,0.0
20250612,30.01,29.688,30.01,29.688,450,13496.0,1.07,-1.26,-0.38,0.0
20250613,29.11,29.108,29.266,29.108,1431,41781.0,0.53,-1.95,-0.58,0.0
20250616,29.78,29.893,29.893,29.729,4380,130575.0,0.56,2.7,0.785,0.0
20250617,29.08,28.95,29.08,28.5,1207,34652.0,1.94,-3.15,-0.943,0.0
20250618,28.929,28.363,28.929,28.363,3644,105381.0,1.96,-2.03,-0.587,0.0
20250620,28.67,27.879,28.67,27.845,456,12846.0,2.91,-1.71,-0.484,0.0
20250623,27.45,27.668,27.668,26.91,5128,141333.0,2.72,-0.76,-0.211,0.0
20250624,27.895,28.036,28.2,27.895,901,25197.0,1.1,1.33,0.368,0.0
20250625,28.48,28.594,28.594,28.415,2017,57405.0,0.64,1.99,0.558,0.0
20250626,28.52,28.626,28.626,28.52,232,6619.0,0.37,0.11,0.032,0.0
20250627,27.901,27.901,27.901,27.901,32,893.0,0.0,-2.53,-0.725,0.0
20250630,28.33,28.548,28.548,28.33,731,20708.0,0.78,2.32,0.647,0.0
20250701,27.988,27.988,27.988,27.988,82,2322.0,0.0,-1.96,-0.56,0.0
20250702,28.6,29.47,29.47,28.6,1581,45667.0,3.11,5.3,1.482,0.0
20250703,29.51,29.287,29.64,29.287,1551,45861.0,1.2,-0.62,-0.183,0.0
20250707,28.85,28.91,29.01,28.85,8057,233491.0,0.55,-1.29,-0.377,0.0
20250708,28.957,28.957,28.957,28.957,253,7335.0,0.0,0.16,0.047,0.0
20250709,29.102,29.989,29.99,29.102,966,28595.0,3.07,3.56,1.032,0.0
20250710,29.9,30.636,30.65,29.9,602,18230.0,2.5,2.16,0.647,0.0
20250711,32.42,32.457,32.48,32.33,1598,51793.0,0.49,5.94,1.821,0.0
20250714,33.43,32.621,33.43,32.621,2217,73654.0,2.49,0.51,0.164,0.0
20250715,32.0,31.856,32.054,31.856,722,23119.0,0.61,-2.35,-0.765,0.0
