trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20130725,1.011,0.798,1.022,0.782,21336,0.0,0.0,0.0,0.0,0.01
20130726,0.798,0.878,0.878,0.627,38345,0.0,31.45,10.03,0.08,0.01
20130729,0.75,0.99,1.032,0.745,12769,0.0,32.69,12.76,0.112,0.0
20130730,0.936,1.107,1.176,0.91,12043,0.0,26.87,11.82,0.117,0.0
20130731,1.022,0.91,1.022,0.755,10217,0.0,24.12,-17.8,-0.197,0.0
20130801,0.931,0.771,0.974,0.702,40227,0.0,29.89,-15.27,-0.139,0.01
20130802,0.734,0.627,0.771,0.595,22997,0.0,22.83,-18.68,-0.144,0.01
20130805,0.574,0.936,0.936,0.574,19631,0.0,57.74,49.28,0.309,0.01
20130806,0.739,0.766,0.862,0.697,16380,0.0,17.63,-18.16,-0.17,0.01
20130807,0.761,0.686,0.761,0.585,17779,0.0,22.98,-10.44,-0.08,0.01
20130808,0.734,0.547,0.803,0.451,19453,0.0,51.31,-20.26,-0.139,0.01
20130809,0.563,0.681,0.686,0.499,31501,0.0,34.19,24.5,0.134,0.01
20130812,0.894,0.494,0.894,0.494,28318,0.0,58.74,-27.46,-0.187,0.01
20130813,0.825,0.451,0.825,0.254,24693,0.0,115.59,-8.7,-0.043,0.01
20130814,0.414,0.302,0.462,0.206,31430,0.0,56.76,-33.04,-0.149,0.01
20130815,0.334,0.35,0.499,0.201,31700,0.0,98.68,15.89,0.048,0.01
20130816,0.542,0.201,0.542,0.201,25198,0.0,97.43,-42.57,-0.149,0.01
20130819,0.254,-0.305,0.254,-0.327,32828,0.0,289.05,-251.74,-0.506,0.01
20130820,-0.305,-0.13,0.009,-0.497,39039,0.0,-165.9,57.38,0.175,0.01
20130821,-0.194,-0.135,0.121,-0.194,16335,0.0,-242.31,-3.85,-0.005,0.01
20130822,-0.066,0.084,0.201,-0.178,45817,0.0,-280.74,162.22,0.219,0.02
20130823,0.068,0.212,0.265,-0.05,27785,0.0,375.0,152.38,0.128,0.01
20130826,0.334,0.627,0.745,0.313,21605,0.0,203.77,195.75,0.415,0.01
20130827,0.473,0.11,0.59,0.1,94093,0.0,78.15,-82.46,-0.517,0.03
20130828,0.116,-0.06,0.201,-0.071,22017,0.0,247.27,-154.55,-0.17,0.01
20130829,0.03,-0.076,0.03,-0.119,17903,0.0,-248.33,-26.67,-0.016,0.01
20130830,0.041,0.126,0.489,0.02,24250,0.0,-617.11,265.79,0.202,0.01
20130903,0.121,-0.066,0.121,-0.194,15426,0.0,250.0,-152.38,-0.192,0.01
20130904,-0.034,0.355,0.553,-0.071,22350,0.0,-945.45,637.88,0.421,0.01
20130905,0.467,0.308,0.51,0.222,10378,0.0,81.13,-13.24,-0.047,0.0
20130906,0.403,0.174,0.435,0.174,8479,0.0,84.74,-43.51,-0.134,0.0
20130909,0.201,0.18,0.238,0.126,12057,0.0,64.37,3.45,0.006,0.0
20130910,0.254,0.334,0.334,0.201,16452,0.0,73.89,85.56,0.154,0.01
20130911,0.323,0.185,0.323,0.158,11398,0.0,49.4,-44.61,-0.149,0.0
20130912,0.19,0.244,0.355,0.158,16373,0.0,106.49,31.89,0.059,0.01
20130913,0.244,0.265,0.393,0.238,18308,0.0,63.52,8.61,0.021,0.01
20130916,0.473,0.361,0.553,0.339,22600,0.0,80.75,36.23,0.096,0.01
20130917,0.419,0.483,0.494,0.387,24867,0.0,29.64,33.8,0.122,0.01
20130918,0.446,0.899,0.915,0.441,24532,0.0,98.14,86.13,0.416,0.01
20130919,0.995,0.755,1.203,0.659,15152,0.0,60.51,-16.02,-0.144,0.01
20130920,0.894,0.585,0.894,0.494,18555,0.0,52.98,-22.52,-0.17,0.01
20130923,0.489,0.441,0.531,0.398,13211,0.0,22.74,-24.62,-0.144,0.0
20130924,0.414,0.43,0.531,0.361,25277,0.0,38.55,-2.49,-0.011,0.01
20130925,0.483,0.387,0.521,0.366,13754,0.0,36.05,-10.0,-0.043,0.0
20130926,0.329,0.281,0.329,0.18,10555,0.0,38.5,-27.39,-0.106,0.0
20130927,0.254,0.339,0.425,0.148,43429,0.0,98.58,20.64,0.058,0.02
20130930,0.329,0.558,0.601,0.329,17939,0.0,80.24,64.6,0.219,0.01
20131001,0.675,0.563,0.675,-0.05,32735,0.0,129.93,0.9,0.005,0.01
20131002,0.574,0.873,0.894,0.574,10370,0.0,56.84,55.06,0.31,0.0
20131003,0.863,0.906,0.906,0.65,13561,0.0,29.32,3.78,0.033,0.0
20131004,0.741,0.629,0.746,0.559,10597,0.0,20.64,-30.57,-0.277,0.0
20131007,0.613,0.479,0.703,0.405,27618,0.0,47.38,-23.85,-0.15,0.01
20131008,0.367,0.224,0.394,0.037,24754,0.0,74.53,-53.24,-0.255,0.01
20131009,0.101,0.101,0.186,0.074,28454,0.0,50.0,-54.91,-0.123,0.01
20131010,0.256,0.149,0.256,0.074,35331,0.0,180.2,47.52,0.048,0.01
20131011,0.181,0.149,0.208,0.106,51255,0.0,68.46,0.0,0.0,0.02
20131014,0.144,0.325,0.405,0.128,14645,0.0,185.91,118.12,0.176,0.01
20131015,0.176,0.474,0.511,0.122,36441,0.0,119.69,45.85,0.149,0.01
20131016,0.415,0.623,0.634,0.394,27355,0.0,50.63,31.43,0.149,0.01
20131017,0.698,0.709,0.741,0.618,54096,0.0,19.74,13.8,0.086,0.02
20131018,0.794,1.05,1.066,0.757,79889,0.0,43.58,48.1,0.341,0.03
20131021,1.13,1.098,1.295,1.071,36407,0.0,21.33,4.57,0.048,0.01
20131022,1.055,0.922,1.178,0.922,17939,0.0,23.32,-16.03,-0.176,0.01
20131023,0.916,0.869,0.948,0.821,20818,0.0,13.77,-5.75,-0.053,0.01
20131024,0.805,0.725,0.895,0.698,113410,0.0,22.67,-16.57,-0.144,0.04
20131025,0.815,0.916,0.927,0.655,105165,0.0,37.52,26.34,0.191,0.04
20131028,0.948,0.842,0.975,0.778,29592,0.0,21.51,-8.08,-0.074,0.01
20131029,0.847,1.002,1.092,0.847,25857,0.0,29.1,19.0,0.16,0.01
20131030,1.156,1.066,1.162,0.986,13887,0.0,17.56,6.39,0.064,0.0
20131031,1.194,1.172,1.21,0.932,11404,0.0,26.08,9.94,0.106,0.0
20131101,1.05,0.799,1.466,0.725,70196,0.0,63.23,-31.83,-0.373,0.02
20131104,0.959,1.087,1.092,0.821,35858,0.0,33.92,36.05,0.288,0.01
20131105,1.252,1.114,1.252,0.794,52672,0.0,42.13,2.48,0.027,0.02
20131106,1.151,1.188,1.322,1.151,37188,0.0,15.35,6.64,0.074,0.01
20131107,1.295,1.21,1.306,1.199,38434,0.0,9.01,1.85,0.022,0.01
20131108,1.226,1.156,1.236,1.103,36991,0.0,10.99,-4.46,-0.054,0.01
20131111,1.156,1.167,1.194,1.082,72606,0.0,9.69,0.95,0.011,0.03
20131112,1.167,1.018,1.199,0.927,27711,0.0,23.31,-12.77,-0.149,0.01
20131113,1.028,1.284,1.3,0.97,23540,0.0,32.42,26.13,0.266,0.01
20131114,1.311,1.215,1.311,1.044,17901,0.0,20.79,-5.37,-0.069,0.01
20131115,1.327,1.14,1.327,1.119,31829,0.0,17.12,-6.17,-0.075,0.01
20131118,1.295,1.135,1.295,1.108,22974,0.0,16.4,-0.44,-0.005,0.01
20131119,1.14,0.911,1.188,0.901,24068,0.0,25.29,-19.74,-0.224,0.01
20131120,1.012,0.81,1.012,0.703,22862,0.0,33.92,-11.09,-0.101,0.01
20131121,0.735,0.73,0.847,0.693,26833,0.0,19.01,-9.88,-0.08,0.01
20131122,0.741,1.066,1.066,0.741,18840,0.0,44.52,46.03,0.336,0.01
20131125,1.231,1.242,1.327,1.114,26808,0.0,19.98,16.51,0.176,0.01
20131126,1.279,0.954,1.327,0.954,28048,0.0,30.03,-23.19,-0.288,0.01
20131127,0.98,0.975,1.018,0.677,19105,0.0,35.74,2.2,0.021,0.01
20131129,1.055,0.964,1.055,0.943,19052,0.0,11.49,-1.13,-0.011,0.01
20131202,0.964,0.527,0.964,0.517,35695,0.0,46.37,-45.33,-0.437,0.01
20131203,0.485,0.719,0.762,0.447,26063,0.0,59.77,36.43,0.192,0.01
20131204,0.757,0.378,0.757,0.229,64002,0.0,73.44,-47.43,-0.341,0.02
20131205,0.335,0.399,0.447,0.325,10399,0.0,32.28,5.56,0.021,0.0
20131206,0.346,0.527,0.533,0.341,16500,0.0,48.12,32.08,0.128,0.01
20131209,0.57,0.447,0.586,0.351,12933,0.0,44.59,-15.18,-0.08,0.0
20131210,0.469,0.442,0.474,0.394,16171,0.0,17.9,-1.12,-0.005,0.01
20131211,0.495,0.538,0.554,0.479,13905,0.0,16.97,21.72,0.096,0.0
20131212,0.671,0.378,0.671,0.357,35468,0.0,58.36,-29.74,-0.16,0.01
20131213,0.506,0.591,0.666,0.463,28337,0.0,53.7,56.35,0.213,0.01
20131216,0.602,0.335,0.602,0.33,26770,0.0,46.02,-43.32,-0.256,0.01
20131217,0.405,0.293,0.405,0.224,31771,0.0,54.03,-12.54,-0.042,0.01
20131218,0.394,0.096,0.394,0.074,32256,0.0,109.22,-67.24,-0.197,0.01
20131219,0.096,0.197,0.319,0.064,34535,0.0,265.63,105.21,0.101,0.01
20131220,0.234,0.261,0.49,0.186,56229,0.0,154.31,32.49,0.064,0.02
20131223,0.357,0.309,0.415,0.229,39525,0.0,71.26,18.39,0.048,0.01
20131224,0.304,0.469,0.485,0.304,23322,0.0,58.58,51.78,0.16,0.01
20131226,0.474,0.383,0.629,0.293,44252,0.0,71.64,-18.34,-0.086,0.02
20131227,0.625,0.417,0.625,0.321,53432,0.0,79.37,8.88,0.034,0.02
20131230,0.433,0.513,0.667,0.422,59961,0.0,58.75,23.02,0.096,0.02
20131231,0.667,0.673,0.747,0.587,31161,0.0,31.19,31.19,0.16,0.02
20140102,0.774,0.795,0.801,0.625,35839,0.0,26.15,18.13,0.122,0.03
20140103,0.801,0.982,1.04,0.801,30160,0.0,30.06,23.52,0.187,0.02
20140106,1.014,0.939,1.035,0.934,23259,0.0,10.29,-4.38,-0.043,0.02
20140107,0.96,0.806,0.96,0.774,30494,0.0,19.81,-14.16,-0.133,0.02
20140108,0.806,0.731,0.822,0.694,73228,0.0,15.88,-9.31,-0.075,0.06
20140109,0.657,0.689,0.726,0.657,25641,0.0,9.44,-5.75,-0.042,0.02
20140110,0.705,0.641,0.705,0.587,66145,0.0,17.13,-6.97,-0.048,0.05
20140113,0.715,0.625,0.726,0.593,34734,0.0,20.75,-2.5,-0.016,0.03
20140114,0.609,0.427,0.609,0.427,32270,0.0,29.12,-31.68,-0.198,0.02
20140115,0.459,0.321,0.507,0.321,38600,0.0,43.56,-24.82,-0.106,0.03
20140116,0.363,0.433,0.566,0.331,29233,0.0,73.21,34.89,0.112,0.02
20140117,0.481,0.347,0.481,0.342,28747,0.0,32.1,-19.86,-0.086,0.02
20140121,0.614,0.566,0.667,0.486,26836,0.0,52.16,63.11,0.219,0.02
20140122,0.577,0.385,0.593,0.374,20428,0.0,38.69,-31.98,-0.181,0.02
20140123,0.486,0.198,0.486,0.198,49755,0.0,74.81,-48.57,-0.187,0.04
20140124,0.379,0.379,0.651,0.097,35975,0.0,279.8,91.41,0.181,0.03
20140127,0.459,0.619,0.801,0.395,37345,0.0,107.12,63.32,0.24,0.03
20140128,0.651,0.571,0.651,0.475,19781,0.0,28.43,-7.75,-0.048,0.01
20140129,0.571,0.385,0.673,0.379,21410,0.0,51.49,-32.57,-0.186,0.02
20140130,0.465,0.529,0.641,0.433,25641,0.0,54.03,37.4,0.144,0.02
