trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20231002,29.003,28.311,29.003,28.311,1508,62030.0,2.39,-2.39,-0.692,0.0
20231003,27.669,27.669,27.669,27.669,277,11077.0,0.0,-2.27,-0.642,0.0
20231004,27.929,27.929,27.929,27.929,108,4359.0,0.0,0.94,0.26,0.0
20231005,28.215,27.655,28.215,27.655,2562,103341.0,2.01,-0.98,-0.274,0.0
20231006,28.27,28.205,28.27,28.194,786,32058.0,0.27,1.99,0.55,0.0
20231009,27.44,27.582,27.619,27.44,2140,85213.0,0.63,-2.21,-0.623,0.0
20231010,27.564,27.312,27.564,27.312,747,29588.0,0.91,-0.98,-0.27,0.0
20231011,26.623,26.792,26.792,26.623,114,4386.0,0.62,-1.9,-0.52,0.0
20231012,26.734,26.635,26.734,26.635,333,12856.0,0.37,-0.59,-0.157,0.0
20231013,26.751,26.751,26.751,26.751,47,1817.0,0.0,0.44,0.116,0.0
20231016,29.425,28.196,29.633,27.869,1570,64413.0,6.59,5.4,1.445,0.0
20231017,28.388,28.14,28.388,28.14,122,5005.0,0.88,-0.2,-0.056,0.0
20231018,27.924,27.958,27.958,27.924,104,4197.0,0.12,-0.65,-0.182,0.0
20231019,28.401,28.36,28.401,28.36,451,18513.0,0.15,1.44,0.402,0.0
20231020,29.149,29.126,29.149,29.126,153,6445.0,0.08,2.7,0.766,0.0
20231023,30.936,30.936,30.936,30.936,155,6930.0,0.0,6.21,1.81,0.0
20231024,33.577,32.976,33.577,32.976,172,8347.0,1.94,6.59,2.04,0.0
20231025,33.584,33.746,33.746,33.561,435,21107.0,0.56,2.34,0.77,0.0
20231026,33.197,33.197,33.197,33.197,157,7533.0,0.0,-1.63,-0.549,0.0
20231027,33.21,32.848,33.21,32.802,403,19264.0,1.23,-1.05,-0.349,0.0
20231030,33.909,33.572,33.978,33.514,1298,63506.0,1.41,2.2,0.724,0.0
20231031,33.362,33.705,33.705,33.362,330,15947.0,1.02,0.4,0.133,0.0
20231101,33.736,33.919,33.919,33.736,154,7499.0,0.54,0.63,0.214,0.0
20231102,34.228,34.047,34.241,33.992,701,34570.0,0.73,0.38,0.128,0.0
20231103,33.874,33.717,33.874,33.717,362,17665.0,0.46,-0.97,-0.33,0.0
20231106,34.387,34.4,34.4,34.387,171,8488.0,0.04,2.03,0.683,0.0
20231107,34.137,35.205,35.205,34.137,223,10989.0,3.1,2.34,0.805,0.0
20231108,34.636,34.879,34.879,34.636,195,9750.0,0.69,-0.93,-0.326,0.0
20231109,37.061,36.245,37.061,36.245,725,38787.0,2.34,3.92,1.366,0.0
20231110,36.818,37.054,37.199,36.755,3040,162213.0,1.22,2.23,0.809,0.0
20231113,36.77,36.555,36.831,36.555,1313,69683.0,0.74,-1.35,-0.499,0.0
20231114,36.306,34.86,36.306,34.86,445,23312.0,3.96,-4.64,-1.695,0.0
20231115,35.481,36.997,36.997,35.481,2710,139408.0,4.35,6.13,2.137,0.0
20231116,35.918,35.332,35.925,35.332,1374,70839.0,1.6,-4.5,-1.665,0.0
20231117,35.495,35.631,35.631,35.495,272,13937.0,0.38,0.85,0.299,0.0
20231120,36.749,36.77,36.88,36.554,1030,54543.0,0.91,3.2,1.139,0.0
20231121,36.086,36.086,36.086,36.086,171,8907.0,0.0,-1.86,-0.684,0.0
20231122,35.966,36.992,36.992,35.862,563,29204.0,3.13,2.51,0.906,0.0
20231124,37.332,37.332,37.332,37.332,130,7005.0,0.0,0.92,0.34,0.0
20231127,35.835,35.757,35.956,35.731,1335,69035.0,0.6,-4.22,-1.575,0.0
20231128,36.34,37.347,38.474,36.34,30151,1628704.0,5.97,4.45,1.59,0.0
20231129,37.04,36.488,37.04,36.479,1582,83807.0,1.5,-2.3,-0.859,0.0
20231130,36.61,36.609,36.666,36.548,586,30968.0,0.32,0.33,0.121,0.0
20231201,37.356,37.641,37.641,37.356,473,25480.0,0.78,2.82,1.032,0.0
20231204,40.161,40.436,40.436,40.161,395,22876.0,0.73,7.43,2.795,0.0
20231205,40.913,42.002,42.3,40.913,1357,82107.0,3.43,3.87,1.566,0.0
20231206,42.334,41.968,42.362,41.968,2369,144107.0,0.94,-0.08,-0.034,0.0
20231207,41.765,42.017,42.017,41.73,915,55113.0,0.68,0.12,0.049,0.0
20231208,42.542,42.927,42.927,42.493,2355,144464.0,1.03,2.17,0.91,0.0
20231211,40.608,39.399,40.608,37.473,7503,427329.0,7.3,-8.22,-3.528,0.0
20231212,39.637,39.637,39.637,39.637,237,13547.0,0.0,0.6,0.238,0.0
20231213,39.865,41.202,41.202,39.865,343,19718.0,3.37,3.95,1.565,0.0
20231214,41.294,41.294,41.294,41.294,268,15959.0,0.0,0.22,0.092,0.0
20231215,40.372,40.623,40.623,40.372,791,46189.0,0.61,-1.62,-0.671,0.0
20231218,39.556,40.111,40.111,39.47,679,38671.0,1.58,-1.26,-0.512,0.0
20231219,40.114,40.206,40.206,40.114,258,14924.0,0.23,0.24,0.095,0.0
20231220,42.099,41.239,42.099,41.239,813,49133.0,2.14,2.57,1.033,0.0
20231221,41.842,41.576,41.842,41.224,616,36736.0,1.5,0.82,0.337,0.0
20231222,41.856,41.93,41.994,41.856,1100,66381.0,0.33,0.85,0.354,0.0
20231226,40.918,40.272,40.918,40.258,1107,64449.0,1.57,-3.95,-1.658,0.0
20231227,41.675,41.87,41.87,41.675,451,27098.0,0.48,3.97,1.598,0.0
20231228,41.182,41.208,41.208,41.043,857,50722.0,0.39,-1.58,-0.662,0.0
20231229,40.495,40.413,40.495,40.413,901,52528.0,0.2,-1.93,-0.795,0.0
20240102,42.756,42.727,42.912,42.727,2480,152759.0,0.46,5.73,2.314,0.0
20240103,39.911,40.485,40.634,39.911,3549,206878.0,1.69,-5.25,-2.242,0.0
20240104,41.814,41.731,41.912,41.592,9073,545649.0,0.79,3.08,1.246,0.0
20240105,41.161,41.798,41.798,41.161,765,45333.0,1.53,0.16,0.067,0.0
20240108,45.871,44.05,45.871,42.614,2750,174790.0,7.79,5.39,2.252,0.0
20240109,43.822,43.388,44.037,43.377,2135,134313.0,1.5,-1.5,-0.662,0.0
20240110,43.044,43.836,49.052,42.71,3964,254009.0,14.62,1.03,0.448,0.0
20240111,45.906,44.422,47.354,43.975,4097,269164.0,7.71,1.34,0.586,0.0
20240112,44.516,42.381,44.516,42.381,3495,220189.0,4.81,-4.59,-2.041,0.0
20240116,41.682,42.16,42.16,41.05,2506,149757.0,2.62,-0.52,-0.221,0.0
20240117,41.516,41.546,41.641,41.3,1434,85511.0,0.81,-1.46,-0.614,0.0
20240118,41.432,39.924,41.432,39.924,721,43001.0,3.63,-3.9,-1.622,0.0
20240119,39.998,40.573,40.693,39.71,1314,76303.0,2.46,1.63,0.649,0.0
20240122,39.369,38.814,39.369,38.341,1211,68174.0,2.53,-4.34,-1.759,0.0
20240123,37.313,37.495,37.515,37.254,1997,107280.0,0.67,-3.4,-1.319,0.0
20240124,38.001,37.911,38.001,37.911,603,32964.0,0.24,1.11,0.416,0.0
20240125,37.709,38.077,38.077,37.709,1212,65878.0,0.97,0.44,0.166,0.0
20240126,39.84,39.84,39.84,39.84,102,5850.0,0.0,4.63,1.763,0.0
20240129,39.828,40.837,40.837,39.828,476,27625.0,2.53,2.5,0.997,0.0
20240130,41.516,41.32,41.516,41.216,504,29993.0,0.73,1.18,0.483,0.0
20240131,40.495,40.175,40.578,40.175,1279,74602.0,0.98,-2.77,-1.145,0.0
20240201,40.462,40.462,40.462,40.462,84,4849.0,0.0,0.71,0.287,0.0
20240202,40.741,40.422,40.741,40.422,1070,62097.0,0.79,-0.1,-0.04,0.0
20240205,40.075,39.953,40.138,39.953,3577,204691.0,0.46,-1.16,-0.469,0.0
20240206,40.953,40.953,40.953,40.953,55,3213.0,0.0,2.5,1.0,0.0
20240207,40.878,41.969,41.969,40.878,1969,116280.0,2.66,2.48,1.016,0.0
20240208,42.814,42.886,42.886,42.745,849,51832.0,0.34,2.18,0.917,0.0
20240209,44.252,44.618,44.645,44.252,4970,315328.0,0.92,4.04,1.732,0.0
20240212,45.198,47.173,47.173,45.191,1713,112592.0,4.44,5.73,2.555,0.0
20240213,46.046,46.523,46.523,45.865,3206,210393.0,1.39,-1.38,-0.65,0.0
20240214,48.863,48.799,48.983,48.71,1057,73590.0,0.59,4.89,2.276,0.0
20240215,49.621,49.063,49.985,49.063,1782,126391.0,1.89,0.54,0.264,0.0
20240216,49.186,48.86,49.186,48.741,1433,100238.0,0.91,-0.41,-0.203,0.0
20240220,49.221,49.774,49.866,48.836,3098,218290.0,2.11,1.87,0.914,0.0
20240221,48.68,48.559,48.68,48.559,1512,104860.0,0.24,-2.44,-1.215,0.0
20240222,49.428,49.775,49.775,49.264,984,69336.0,1.05,2.5,1.216,0.0
20240223,48.648,48.902,49.025,48.648,621,43265.0,0.76,-1.75,-0.873,0.0
20240226,52.436,52.436,52.436,52.436,443,33143.0,0.0,7.23,3.534,0.0
20240227,54.31,54.166,54.718,54.166,4981,387307.0,1.05,3.3,1.73,0.0
20240228,56.91,56.812,57.912,56.812,3521,289817.0,2.03,4.88,2.646,0.0
20240229,60.0,58.585,60.0,57.47,2749,230727.0,4.45,3.12,1.773,0.0
20240301,58.258,59.465,59.515,57.499,4333,350411.0,3.44,1.5,0.88,0.0
20240304,62.101,63.337,63.438,61.986,3947,341758.0,2.44,6.51,3.872,0.0
20240305,63.922,58.411,65.533,57.088,4822,409541.0,13.33,-7.78,-4.926,0.0
20240306,63.676,63.922,64.211,62.555,4064,356647.0,2.84,9.43,5.511,0.0
20240307,64.117,64.623,64.623,63.669,2169,193168.0,1.49,1.1,0.701,0.0
20240308,65.894,65.75,65.894,64.175,3366,305077.0,2.66,1.74,1.127,0.0
20240311,68.965,68.163,68.965,67.946,4898,464071.0,1.55,3.67,2.413,0.0
20240312,68.127,67.28,68.632,65.894,4945,457036.0,4.02,-1.3,-0.883,0.0
20240313,68.078,68.777,68.777,68.069,1392,131481.0,1.05,2.23,1.497,0.0
20240314,66.768,65.053,66.768,65.035,2410,221074.0,2.52,-5.41,-3.724,0.0
20240315,63.965,64.211,65.461,63.402,4192,373326.0,3.17,-1.29,-0.842,0.0
20240318,62.809,61.923,62.817,61.697,3018,259291.0,1.74,-3.56,-2.288,0.0
20240319,58.926,59.53,60.346,57.68,3865,317242.0,4.31,-3.86,-2.393,0.0
20240320,59.739,60.716,60.743,58.164,4481,369533.0,4.33,1.99,1.186,0.0
20240321,62.708,60.599,62.708,60.195,4805,410075.0,4.14,-0.19,-0.117,0.0
20240322,58.179,59.174,59.174,58.179,963,78350.0,1.64,-2.35,-1.425,0.0
20240325,63.568,65.345,65.345,63.568,2971,266460.0,3.0,10.43,6.171,0.0
20240326,65.099,63.85,65.099,63.85,938,83411.0,1.91,-2.29,-1.495,0.0
20240327,65.699,63.009,65.699,63.004,1087,96134.0,4.22,-1.32,-0.841,0.0
20240328,65.279,64.903,65.279,64.897,826,74418.0,0.61,3.01,1.894,0.0
20240401,64.252,63.552,64.334,62.351,2261,193480.0,3.06,-2.08,-1.351,0.0
20240402,59.335,60.118,60.118,59.335,1031,82736.0,1.23,-5.4,-3.434,0.0
20240403,60.3,60.157,60.717,60.157,806,65543.0,0.93,0.06,0.039,0.0
20240404,61.794,62.187,62.187,61.794,1146,95463.0,0.65,3.37,2.03,0.0
20240405,61.459,61.261,61.474,61.261,842,69667.0,0.34,-1.49,-0.926,0.0
20240408,66.08,65.886,66.102,65.263,2212,195654.0,1.37,7.55,4.625,0.0
20240409,63.111,63.131,63.131,63.111,738,62722.0,0.03,-4.18,-2.755,0.0
20240410,62.217,63.824,63.824,62.217,789,66394.0,2.55,1.1,0.693,0.0
20240411,63.829,64.096,64.096,63.599,3404,292513.0,0.78,0.43,0.272,0.0
20240412,63.896,60.42,63.896,60.42,1631,137561.0,5.42,-5.74,-3.676,0.0
20240415,59.989,57.406,60.063,57.406,5192,411409.0,4.4,-4.99,-3.014,0.0
20240416,57.307,56.713,57.307,56.713,800,61543.0,1.03,-1.21,-0.693,0.0
20240417,54.418,55.31,55.31,54.21,1980,144888.0,1.94,-2.47,-1.403,0.0
20240418,57.374,57.171,57.419,57.171,1081,83505.0,0.45,3.36,1.861,0.0
20240419,58.265,57.924,58.414,57.582,3357,263058.0,1.46,1.32,0.753,0.0
20240422,59.981,59.806,59.981,59.179,2103,169139.0,1.38,3.25,1.882,0.0
20240423,59.885,59.877,59.885,59.877,3059,246615.0,0.01,0.12,0.071,0.0
20240424,59.424,57.604,59.424,57.604,2699,210858.0,3.04,-3.8,-2.273,0.0
20240425,57.722,58.363,58.363,57.722,372,28907.0,1.11,1.32,0.759,0.0
20240426,57.657,57.657,57.657,57.657,219,16998.0,0.0,-1.21,-0.706,0.0
20240429,56.081,57.143,57.196,56.081,2062,157274.0,1.93,-0.89,-0.514,0.0
20240430,55.212,53.374,55.212,53.374,832,61830.0,3.22,-6.6,-3.769,0.0
20240501,51.674,51.905,53.671,51.674,971,67011.0,3.74,-2.75,-1.469,0.0
20240502,53.6,53.832,53.992,53.6,703,49124.0,0.76,3.71,1.927,0.0
20240503,55.615,56.118,56.118,55.615,673,48678.0,0.93,4.25,2.286,0.0
20240506,56.84,56.84,56.84,56.84,492,36370.0,0.0,1.29,0.722,0.0
20240507,56.648,56.648,56.648,56.648,200,14734.0,0.0,-0.34,-0.192,0.0
20240508,56.125,55.861,56.168,55.861,537,39204.0,0.54,-1.39,-0.787,0.0
20240509,55.215,56.155,56.168,55.015,1367,98854.0,2.06,0.53,0.294,0.0
20240510,54.238,54.377,54.377,54.172,578,40747.0,0.37,-3.17,-1.778,0.0
20240513,56.184,56.332,56.445,56.184,493,36114.0,0.48,3.6,1.955,0.0
20240514,54.91,54.91,54.91,54.91,217,15496.0,0.0,-2.52,-1.422,0.0
20240515,57.222,58.708,58.708,57.222,1261,94409.0,2.71,6.92,3.798,0.0
20240516,58.667,57.74,58.667,57.74,780,59230.0,1.58,-1.65,-0.968,0.0
20240517,59.052,59.586,59.967,59.052,1325,102645.0,1.58,3.2,1.846,0.0
20240520,59.682,63.196,63.196,59.621,1343,104444.0,6.0,6.06,3.61,0.0
20240521,65.434,63.856,65.434,63.856,2517,212920.0,2.5,1.04,0.66,0.0
20240522,63.825,64.234,64.865,63.825,2656,221801.0,1.63,0.59,0.378,0.0
20240523,64.342,62.739,64.419,62.739,3982,327501.0,2.62,-2.33,-1.495,0.0
20240524,63.519,63.766,63.766,63.496,916,75659.0,0.43,1.64,1.027,0.0
20240528,63.88,63.619,63.88,63.012,5247,432614.0,1.36,-0.23,-0.147,0.0
20240529,62.984,62.361,62.984,62.32,1647,134168.0,1.04,-1.98,-1.258,0.0
20240530,63.157,63.287,64.164,63.157,1351,112061.0,1.61,1.48,0.926,0.0
20240531,62.434,62.794,62.796,62.388,701,56984.0,0.64,-0.78,-0.493,0.0
20240603,64.854,63.619,64.854,63.619,1894,153023.0,1.97,1.31,0.825,0.0
20240604,63.922,64.611,64.838,63.922,602,48802.0,1.44,1.56,0.992,0.0
20240605,65.021,65.675,65.675,64.997,1197,97975.0,1.05,1.65,1.064,0.0
20240606,65.639,64.602,65.639,64.602,1231,101172.0,1.58,-1.63,-1.073,0.0
20240607,65.57,63.254,65.57,62.918,4785,387435.0,4.11,-2.09,-1.348,0.0
20240610,63.117,63.293,63.813,63.117,5001,398034.0,1.1,0.06,0.039,0.0
20240611,61.532,61.191,61.532,60.058,2851,217755.0,2.33,-3.32,-2.102,0.0
20240612,62.974,61.21,63.508,61.21,1489,118356.0,3.76,0.03,0.019,0.0
20240613,61.676,60.505,61.676,60.505,1476,112880.0,1.91,-1.15,-0.705,0.0
20240614,60.951,59.296,60.951,58.88,1940,144759.0,3.42,-2.0,-1.209,0.0
20240617,59.541,60.749,60.749,59.541,1244,93470.0,2.04,2.45,1.453,0.0
20240618,58.729,58.41,58.785,58.41,1250,92214.0,0.62,-3.85,-2.339,0.0
20240620,59.598,59.409,59.598,59.247,2288,170452.0,0.6,1.71,0.999,0.0
20240621,58.466,58.936,58.936,58.195,793,58071.0,1.25,-0.8,-0.473,0.0
20240624,55.989,54.476,55.989,54.476,2523,176147.0,2.57,-7.57,-4.46,0.0
20240625,56.26,56.993,57.088,56.26,1163,82796.0,1.52,4.62,2.517,0.0
20240626,56.364,56.183,56.364,55.822,958,67332.0,0.95,-1.42,-0.81,0.0
20240627,56.921,56.651,56.921,56.651,658,47027.0,0.48,0.83,0.468,0.0
20240628,56.81,55.29,56.81,55.29,2186,154202.0,2.68,-2.4,-1.361,0.0
20240701,57.571,57.795,57.888,57.571,920,64668.0,0.57,4.53,2.505,0.0
20240702,56.679,56.676,56.679,56.676,1238,85360.0,0.01,-1.94,-1.119,0.0
20240703,55.117,55.227,55.227,55.117,810,54335.0,0.19,-2.56,-1.449,0.0
20240705,50.53,51.156,51.342,50.341,3843,237236.0,1.81,-7.37,-4.071,0.0
20240708,51.599,51.284,52.002,50.678,2651,165038.0,2.59,0.25,0.128,0.0
20240709,52.849,52.412,52.849,51.956,2262,143561.0,1.74,2.2,1.128,0.0
20240710,52.364,52.297,52.61,52.297,1931,123262.0,0.6,-0.22,-0.115,0.0
20240711,53.679,52.289,53.679,52.289,1243,80010.0,2.66,-0.02,-0.008,0.0
20240712,52.569,52.598,52.898,52.569,2447,156991.0,0.63,0.59,0.309,0.0
20240715,57.14,57.691,58.06,56.975,2850,199536.0,2.06,9.68,5.093,0.0
20240716,57.855,59.081,59.081,57.666,2179,154087.0,2.45,2.41,1.39,0.0
20240717,59.203,58.545,59.203,57.97,3104,219819.0,2.09,-0.91,-0.536,0.0
20240718,58.706,57.759,58.706,57.649,4057,285788.0,1.81,-1.34,-0.786,0.0
20240719,60.844,60.844,60.844,60.844,289,21390.0,0.0,5.34,3.085,0.0
20240722,60.592,61.295,61.295,60.094,2079,153525.0,1.97,0.74,0.451,0.0
20240723,60.066,59.259,60.066,59.228,1799,130642.0,1.37,-3.32,-2.036,0.0
20240724,60.378,58.931,60.378,58.931,943,68375.0,2.44,-0.55,-0.328,0.0
20240725,56.919,57.216,57.575,56.919,1022,71372.0,1.11,-2.91,-1.715,0.0
20240726,60.033,60.131,60.131,59.454,1504,109343.0,1.18,5.09,2.915,0.0
20240729,61.192,59.635,61.192,59.236,6219,458110.0,3.25,-0.82,-0.496,0.0
20240730,58.701,58.537,58.701,58.323,1234,87892.0,0.63,-1.84,-1.098,0.0
20240731,58.003,58.003,58.003,58.003,573,40431.0,0.0,-0.91,-0.534,0.0
20240801,57.305,56.114,57.524,55.538,9152,617501.0,3.42,-3.26,-1.889,0.0
