trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250626,20.0,20.11,30.0,17.0,32336,766954.0,133.61,106.68,10.38,0.11
20250627,77.65,62.5,114.99,50.0,391614,35554650.0,323.17,210.79,42.39,1.28
20250630,44.1,41.43,52.54,36.0,72710,3128921.0,26.46,-33.71,-21.07,0.24
20250701,44.3,71.95,75.0,39.87,324296,27396834.0,84.79,73.67,30.52,1.06
20250702,72.1,133.0,166.5,72.1,439834,51968307.0,131.2,84.85,61.05,1.44
20250703,123.04,107.64,161.0,95.0,183444,21238083.0,49.62,-19.07,-25.36,0.6
20250707,73.38,74.67,75.01,40.13,411162,23580809.0,32.4,-30.63,-32.97,1.34
20250708,66.01,54.4,66.01,49.03,168592,9311367.0,22.74,-27.15,-20.27,0.55
20250709,48.0,37.29,48.0,32.0,493222,18604421.0,29.41,-31.45,-17.11,1.61
20250710,37.5,30.89,37.5,29.0,325261,10516460.0,22.79,-17.16,-6.4,1.06
20250711,30.0,21.43,30.0,20.61,373968,8958117.0,30.4,-30.62,-9.46,1.22
20250714,18.5,27.85,33.81,18.144,1125170,29579218.0,73.1,29.96,6.42,3.68
20250715,28.51,20.49,28.51,19.5,629459,13839915.0,32.35,-26.43,-7.36,2.06
20250716,20.68,19.29,20.75,18.57,331618,6452098.0,10.64,-5.86,-1.2,1.08
20250717,19.7,19.0,20.74,18.49,351500,6785367.0,11.66,-1.5,-0.29,1.15
20250718,18.68,16.64,19.3,16.35,264541,4705226.0,15.53,-12.42,-2.36,0.87
20250721,16.6,15.15,17.0,14.5,266221,4071558.0,15.02,-8.95,-1.49,0.87
20250722,14.9,19.83,20.47,14.56,503842,9146300.0,39.01,30.89,4.68,1.65
20250723,19.75,19.18,20.75,17.02,253633,4845040.0,18.81,-3.28,-0.65,0.83
20250724,19.52,18.53,21.58,18.0,263929,5209437.0,18.67,-3.39,-0.65,0.86
20250725,18.41,17.69,18.9,17.51,85521,1553487.0,7.5,-4.53,-0.84,0.28
20250728,17.25,14.75,18.21,14.685,312323,5062829.0,19.93,-16.62,-2.94,1.02
20250729,14.78,14.75,15.35,13.9,105480,1548917.0,9.83,0.0,0.0,0.35
20250730,14.44,13.26,15.0,13.01,108250,1499244.0,13.49,-10.1,-1.49,0.35
20250731,13.36,13.2,14.037,12.655,82908,1108298.0,10.42,-0.45,-0.06,0.27
20250801,13.01,12.35,13.49,12.15,106656,1367560.0,10.15,-6.44,-0.85,0.35
20250804,12.15,12.08,12.42,11.5,109997,1344609.0,7.45,-2.19,-0.27,0.36
20250805,11.75,11.37,12.32,11.305,96384,1120316.0,8.4,-5.88,-0.71,0.31
20250806,11.19,9.96,11.47,9.75,168398,1733849.0,15.13,-12.4,-1.41,0.55
20250807,10.0,10.24,11.72,10.0,267422,2911771.0,17.27,2.81,0.28,0.87
20250808,10.43,12.34,13.77,10.43,309829,3842623.0,32.62,20.51,2.1,1.01
20250811,12.85,12.82,14.77,12.06,248090,3346790.0,21.96,3.89,0.48,0.81
20250812,12.84,11.61,13.05,11.52,121681,1477166.0,11.93,-9.44,-1.21,0.39
20250813,11.65,11.63,12.43,11.37,61828,722606.0,9.13,0.17,0.02,0.2
20250814,11.41,11.04,12.0,10.85,56770,632597.0,9.89,-5.07,-0.59,0.18
20250815,10.97,10.72,11.3,10.62,44005,482398.0,6.16,-2.9,-0.32,0.14
20250818,10.7,10.94,11.2,10.546,36257,393212.0,6.1,2.05,0.22,0.12
20250819,10.78,10.53,10.99,10.06,61534,642379.0,8.5,-3.75,-0.41,0.2
20250820,10.32,9.76,10.665,9.5,72172,722858.0,11.06,-7.31,-0.77,0.23
20250821,9.72,10.68,10.98,9.72,103862,1092383.0,12.91,9.43,0.92,0.31
20250822,10.6,10.6,10.6,10.0,150786,1573306.0,5.62,-0.75,-0.08,0.46
20250825,10.62,10.22,11.479,10.2,129034,1359063.0,12.07,-3.58,-0.38,0.39
20250826,10.21,11.3,11.3,10.21,80578,867642.0,10.67,10.57,1.08,0.24
20250827,11.3,11.0,11.3,10.37,50643,547041.0,8.23,-2.65,-0.3,0.15
20250828,11.0,10.9,11.19,10.59,30948,335106.0,5.45,-0.91,-0.1,0.09
20250829,10.62,10.81,11.06,10.59,35340,385664.0,4.31,-0.83,-0.09,0.11
20250902,11.0,10.07,11.01,9.66,116200,1196386.0,12.49,-6.85,-0.74,0.35
20250903,10.24,9.655,10.24,9.5,96121,936143.0,7.35,-4.12,-0.415,0.29
20250904,9.71,8.14,9.71,7.8,142664,1183020.0,19.78,-15.69,-1.515,0.43
20250905,8.21,8.29,8.645,8.17,88631,742109.0,5.84,1.84,0.15,0.27
20250908,8.31,8.66,9.38,8.18,112934,991482.0,14.48,4.46,0.37,0.34
