trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230321,16.839,16.889,16.925,16.786,1429,36179.0,0.83,0.3,0.05,0.0
20230322,16.972,15.928,17.218,15.928,10983,275949.0,7.64,-5.69,-0.961,0.0
20230323,16.387,16.979,17.205,16.387,2142,53968.0,5.14,6.6,1.051,0.0
20230324,16.719,16.614,16.736,16.393,6485,162125.0,2.02,-2.15,-0.365,0.0
20230327,16.626,16.117,17.09,15.901,2555,62858.0,7.16,-2.99,-0.497,0.0
20230328,16.047,16.36,16.36,16.047,1912,46646.0,1.94,1.51,0.243,0.0
20230329,16.912,16.952,16.983,16.899,1919,48807.0,0.51,3.62,0.592,0.0
20230330,17.078,16.682,17.078,16.513,5973,151087.0,3.33,-1.59,-0.27,0.0
20230331,16.906,17.001,17.098,16.905,1783,45432.0,1.16,1.91,0.319,0.0
20230403,16.886,16.706,16.886,16.706,1117,28142.0,1.06,-1.74,-0.295,0.0
20230404,16.766,16.762,16.792,16.699,938,23599.0,0.56,0.34,0.056,0.0
20230405,16.619,16.772,16.799,16.619,1623,40667.0,1.07,0.06,0.01,0.0
20230406,16.641,16.641,16.641,16.641,261,6528.0,0.0,-0.78,-0.131,0.0
20230410,17.078,17.371,17.498,16.819,7046,180677.0,4.08,4.39,0.73,0.0
20230411,17.963,17.919,18.136,17.89,3918,106071.0,1.42,3.15,0.548,0.0
20230412,17.903,17.706,17.917,17.706,1387,37195.0,1.18,-1.19,-0.213,0.0
20230413,18.04,18.04,18.04,18.04,253,6860.0,0.0,1.89,0.334,0.0
20230414,17.93,18.008,18.008,17.93,140,3773.0,0.43,-0.18,-0.032,0.0
20230417,17.418,17.485,17.524,17.418,1916,50336.0,0.59,-2.9,-0.523,0.0
20230418,17.97,17.927,17.97,17.863,1219,32815.0,0.61,2.53,0.442,0.0
20230419,17.291,17.323,17.323,17.291,371,9642.0,0.18,-3.37,-0.604,0.0
20230420,16.739,16.646,16.739,16.646,348,8755.0,0.54,-3.91,-0.677,0.0
20230421,16.726,16.109,16.726,16.109,2056,51220.0,3.71,-3.23,-0.537,0.0
20230424,16.154,16.171,16.319,16.154,1321,32199.0,1.02,0.38,0.062,0.0
20230425,16.187,16.33,16.33,16.167,1166,28405.0,1.01,0.98,0.159,0.0
20230426,17.617,16.506,17.617,16.506,4968,130520.0,6.8,1.08,0.176,0.0
20230427,15.003,17.578,17.578,14.604,1949,46820.0,18.02,6.49,1.072,0.0
20230428,17.145,17.318,17.318,17.145,524,13540.0,0.98,-1.48,-0.26,0.0
20230501,16.879,16.403,16.879,16.403,1863,46662.0,2.75,-5.28,-0.915,0.0
20230502,16.586,16.945,17.039,16.586,6606,165526.0,2.76,3.3,0.542,0.0
20230503,16.706,16.691,16.912,16.673,1192,30187.0,1.41,-1.5,-0.254,0.0
20230504,17.059,17.037,17.059,17.005,1199,30654.0,0.32,2.07,0.346,0.0
20230505,17.132,17.484,17.484,17.132,799,20834.0,2.07,2.62,0.447,0.0
20230508,16.433,16.089,16.433,16.089,286,7064.0,1.97,-7.98,-1.395,0.0
20230509,16.207,16.307,16.307,16.207,611,14930.0,0.62,1.35,0.218,0.0
20230510,16.606,16.324,16.626,16.324,1518,37896.0,1.85,0.1,0.017,0.0
20230511,15.967,15.795,15.967,15.795,199,4776.0,1.05,-3.24,-0.529,0.0
20230512,15.614,15.545,15.614,15.369,299,6962.0,1.55,-1.58,-0.25,0.0
20230515,16.187,16.157,16.187,16.157,226,5498.0,0.19,3.94,0.612,0.0
20230516,15.861,15.861,15.861,15.861,68,1621.0,0.0,-1.83,-0.296,0.0
20230517,14.983,16.16,16.16,13.552,2823,60489.0,16.44,1.89,0.299,0.0
20230518,15.744,15.744,15.744,15.744,10,236.0,0.0,-2.57,-0.416,0.0
20230519,15.838,15.805,15.987,15.768,3217,76712.0,1.39,0.39,0.061,0.0
20230522,15.901,15.831,15.901,15.808,2231,53165.0,0.59,0.16,0.026,0.0
20230523,16.074,16.05,16.074,16.05,102,2464.0,0.15,1.38,0.219,0.0
20230524,15.463,15.463,15.463,15.463,20,464.0,0.0,-3.66,-0.587,0.0
20230525,15.495,15.537,15.588,15.495,392,9162.0,0.6,0.48,0.074,0.0
20230526,15.763,15.751,15.763,15.751,257,6089.0,0.08,1.38,0.214,0.0
20230530,16.403,16.403,16.403,16.403,105,2588.0,0.0,4.14,0.652,0.0
20230531,15.888,15.888,15.888,15.888,173,4131.0,0.0,-3.14,-0.515,0.0
20230601,15.838,15.775,15.856,15.775,596,14192.0,0.51,-0.71,-0.113,0.0
20230602,16.081,16.078,16.083,16.078,707,17090.0,0.03,1.92,0.303,0.0
20230605,15.515,15.023,15.515,15.023,797,18580.0,3.06,-6.56,-1.055,0.0
20230606,15.309,15.975,15.975,15.309,875,20266.0,4.43,6.34,0.952,0.0
20230607,15.627,15.583,15.627,15.482,332,7750.0,0.91,-2.45,-0.392,0.0
20230608,15.582,15.598,15.598,15.582,669,15667.0,0.1,0.1,0.015,0.0
20230609,15.582,15.492,15.593,15.492,3355,78586.0,0.65,-0.68,-0.106,0.0
20230612,15.202,15.165,15.202,15.116,2444,55681.0,0.56,-2.11,-0.327,0.0
20230613,15.302,15.185,15.329,15.122,1178,26987.0,1.36,0.13,0.02,0.0
20230614,15.169,15.169,15.169,15.169,168,3830.0,0.0,-0.11,-0.016,0.0
20230615,14.61,14.913,14.913,14.61,364,7993.0,2.0,-1.69,-0.256,0.0
20230616,15.043,15.48,15.48,15.043,3088,69931.0,2.93,3.8,0.567,0.0
20230620,16.034,16.541,16.541,16.034,2015,48667.0,3.28,6.85,1.061,0.0
20230621,17.185,17.771,17.81,17.158,4554,119445.0,3.94,7.44,1.23,0.0
20230622,17.903,17.774,17.903,17.471,1113,29719.0,2.43,0.02,0.003,0.0
20230623,17.743,18.258,18.419,17.743,3412,93348.0,3.8,2.72,0.484,0.0
20230626,17.943,17.837,17.943,17.746,2791,74694.0,1.08,-2.31,-0.421,0.0
20230627,18.063,18.069,18.222,17.963,9619,262085.0,1.45,1.3,0.232,0.0
20230628,17.777,17.731,17.937,17.704,2227,59481.0,1.29,-1.87,-0.338,0.0
20230629,18.11,18.063,18.176,17.997,10626,288953.0,1.01,1.87,0.332,0.0
20230630,17.711,17.85,18.037,17.591,2645,71175.0,2.47,-1.18,-0.213,0.0
20230703,17.99,18.272,18.336,17.99,2575,70219.0,1.94,2.36,0.422,0.0
20230705,17.789,17.866,17.866,17.77,1158,30956.0,0.53,-2.22,-0.406,0.0
20230706,17.744,17.744,17.75,17.638,2212,58960.0,0.63,-0.68,-0.122,0.0
20230707,17.67,17.673,17.673,17.657,1031,27369.0,0.09,-0.4,-0.071,0.0
20230710,17.744,18.064,18.064,17.744,608,16300.0,1.81,2.21,0.391,0.0
20230711,17.778,17.897,17.897,17.778,1236,33185.0,0.66,-0.92,-0.167,0.0
20230712,18.037,17.701,18.054,17.701,6764,183069.0,1.97,-1.1,-0.196,0.0
20230713,17.943,18.555,18.623,17.943,4491,123665.0,3.84,4.82,0.854,0.0
20230714,18.256,17.588,18.296,17.588,3031,82815.0,3.82,-5.21,-0.967,0.0
20230717,17.694,17.444,17.694,17.431,1722,45514.0,1.5,-0.82,-0.144,0.0
20230718,17.47,17.346,17.47,17.346,915,23999.0,0.71,-0.56,-0.098,0.0
20230719,17.458,17.539,17.539,17.458,1796,47321.0,0.47,1.11,0.193,0.0
20230720,17.371,17.351,17.371,17.298,5410,140900.0,0.42,-1.07,-0.188,0.0
20230721,17.338,17.38,17.38,17.338,281,7322.0,0.24,0.17,0.029,0.0
20230724,16.832,16.919,16.919,16.832,1206,30556.0,0.5,-2.65,-0.461,0.0
20230725,16.939,16.991,17.072,16.939,870,22248.0,0.79,0.43,0.072,0.0
20230726,17.105,17.072,17.105,17.015,2234,57355.0,0.53,0.48,0.081,0.0
20230727,17.125,16.87,17.171,16.87,1643,42296.0,1.76,-1.18,-0.202,0.0
20230728,16.912,17.009,17.009,16.912,686,17467.0,0.57,0.82,0.139,0.0
20230731,16.899,16.914,16.973,16.899,3040,77489.0,0.44,-0.56,-0.095,0.0
20230801,16.929,16.975,16.975,16.929,369,9389.0,0.27,0.36,0.061,0.0
20230802,17.049,16.874,17.049,16.874,1041,26659.0,1.03,-0.59,-0.101,0.0
20230803,16.952,16.952,16.952,16.952,105,2675.0,0.0,0.46,0.078,0.0
20230804,16.913,16.779,16.913,16.779,126,3203.0,0.79,-1.02,-0.173,0.0
20230807,16.834,16.834,16.834,16.834,77,1948.0,0.0,0.33,0.055,0.0
20230808,17.255,17.316,17.316,17.255,1946,50474.0,0.36,2.86,0.482,0.0
20230809,17.298,17.025,17.298,17.025,246,6382.0,1.58,-1.68,-0.291,0.0
20230810,17.078,17.012,17.078,17.012,342,8779.0,0.39,-0.08,-0.013,0.0
20230811,16.989,16.989,16.989,16.989,177,4519.0,0.0,-0.14,-0.023,0.0
20230814,17.144,16.946,17.144,16.946,116,2989.0,1.17,-0.25,-0.043,0.0
20230815,16.861,16.861,16.861,16.861,64,1621.0,0.0,-0.5,-0.085,0.0
20230816,16.822,16.822,16.822,16.822,21,530.0,0.0,-0.23,-0.039,0.0
20230817,16.051,16.099,16.127,16.021,2115,51055.0,0.63,-4.3,-0.723,0.0
20230818,15.216,15.068,15.216,15.068,461,10543.0,0.92,-6.4,-1.031,0.0
20230821,15.003,15.08,15.08,14.989,869,19598.0,0.6,0.08,0.012,0.0
20230822,14.93,14.88,14.963,14.88,250,5616.0,0.55,-1.33,-0.2,0.0
20230823,14.995,15.367,15.367,14.963,1786,40185.0,2.72,3.27,0.487,0.0
20230824,14.969,14.977,14.977,14.969,141,3172.0,0.05,-2.54,-0.39,0.0
