trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20200424,43.219,43.488,43.488,43.219,500300,25020003.0,0.62,0.62,0.269,0.0
20200427,44.364,44.538,44.538,44.364,271,13861.0,0.4,2.41,1.05,0.0
20200428,44.65,44.65,44.65,44.65,1,0.0,0.0,0.25,0.112,0.0
20200429,45.639,45.813,45.995,45.353,2301,121279.0,1.44,2.6,1.163,0.0
20200430,44.702,44.702,44.702,44.702,22,0.0,0.0,-2.43,-1.111,0.0
20200501,43.167,43.115,43.167,43.028,1871,92914.0,0.31,-3.55,-1.587,0.0
20200504,43.349,43.748,43.748,43.349,501,25043.0,0.93,1.47,0.633,0.0
20200505,44.312,44.087,44.312,44.087,119,6079.0,0.51,0.77,0.339,0.0
20200506,44.251,43.974,44.286,43.974,1259,64153.0,0.71,-0.26,-0.113,0.0
20200507,44.408,44.191,44.416,44.191,1624,83083.0,0.51,0.49,0.217,0.0
20200508,45.301,45.171,45.301,45.171,543,28295.0,0.29,2.22,0.98,0.0
20200511,45.171,44.98,45.179,44.98,3365,175259.0,0.44,-0.42,-0.191,0.0
20200512,45.604,44.867,45.778,44.867,4600,242182.0,2.03,-0.25,-0.113,0.0
20200513,44.598,44.598,44.598,44.598,34,0.0,0.0,-0.6,-0.269,0.0
20200515,44.121,44.199,44.199,44.121,4619,234974.0,0.17,-0.89,-0.399,0.0
20200519,45.596,45.596,45.596,45.596,1,0.0,0.0,3.16,1.397,0.0
20200520,46.784,46.316,46.784,46.316,9262,499149.0,1.03,1.58,0.72,0.0
20200521,45.865,45.873,45.873,45.865,102,5393.0,0.02,-0.96,-0.443,0.0
20200522,44.989,44.989,44.989,44.989,3,0.0,0.0,-1.93,-0.884,0.0
20200526,46.532,45.925,46.532,45.925,800,42920.0,1.35,2.08,0.936,0.0
20200527,45.977,45.977,45.977,45.977,100,5301.0,0.0,0.11,0.052,0.0
20200528,45.656,45.656,45.656,45.656,379,19950.0,0.0,-0.7,-0.321,0.0
20200529,46.515,46.515,46.515,46.515,4,0.0,0.0,1.88,0.859,0.0
20200604,49.082,49.082,49.082,49.082,16,0.0,0.0,5.52,2.567,0.0
20200605,50.444,50.444,50.444,50.444,6,0.0,0.0,2.77,1.362,0.0
20200608,50.696,50.696,50.696,50.696,206,12040.0,0.0,0.5,0.252,0.0
20200609,50.305,50.305,50.305,50.305,99,0.0,0.0,-0.77,-0.391,0.0
20200610,50.704,50.704,50.704,50.704,12,0.0,0.0,0.79,0.399,0.0
20200611,47.877,47.877,47.877,47.877,5,0.0,0.0,-5.58,-2.827,0.0
20200615,48.284,48.571,48.571,48.284,101,5622.0,0.6,1.45,0.694,0.0
20200616,48.883,48.883,48.883,48.883,11,0.0,0.0,0.64,0.312,0.0
20200617,49.36,49.36,49.36,49.36,300,17073.0,0.0,0.98,0.477,0.0
20200618,49.403,49.325,49.403,49.325,250,14230.0,0.16,-0.07,-0.035,0.0
20200623,50.392,50.392,50.392,50.392,1,0.0,0.0,2.16,1.067,0.0
20200624,49.672,49.733,49.733,49.672,150,8590.0,0.12,-1.31,-0.659,0.0
20200630,49.447,49.447,49.447,49.447,300,17103.0,0.0,-0.58,-0.286,0.0
20200701,49.998,50.076,50.076,49.998,100,5733.0,0.16,1.27,0.629,0.0
20200706,53.242,53.286,53.286,53.242,267,16300.0,0.09,6.41,3.21,0.0
20200707,52.492,52.492,52.492,52.492,100,0.0,0.0,-1.49,-0.794,0.0
20200708,53.643,53.643,53.643,53.643,21,0.0,0.0,2.19,1.151,0.0
20200709,53.635,53.835,53.835,53.635,115,7072.0,0.37,0.36,0.192,0.0
20200710,53.469,53.469,53.469,53.469,23,0.0,0.0,-0.68,-0.366,0.0
20200713,53.137,53.137,53.137,53.137,1,0.0,0.0,-0.62,-0.332,0.0
20200716,52.414,52.414,52.414,52.414,42,0.0,0.0,-1.36,-0.723,0.0
20200722,54.071,53.792,54.071,53.792,210,13020.0,0.53,2.63,1.378,0.0
20200723,53.233,53.233,53.233,53.233,26,0.0,0.0,-1.04,-0.559,0.0
20200724,53.146,53.146,53.146,53.146,66,0.0,0.0,-0.16,-0.087,0.0
20200727,53.722,53.992,53.992,53.722,152,9363.0,0.51,1.59,0.846,0.0
20200728,53.626,53.626,53.626,53.626,71,0.0,0.0,-0.68,-0.366,0.0
20200731,53.39,53.425,53.425,53.39,361,22104.0,0.07,-0.37,-0.201,0.0
20200803,53.722,53.687,53.722,53.687,101,6221.0,0.07,0.49,0.262,0.0
20200804,54.35,54.35,54.35,54.35,11,0.0,0.0,1.23,0.663,0.0
20200805,54.951,54.951,54.951,54.951,2,0.0,0.0,1.11,0.601,0.0
20200806,55.065,55.065,55.065,55.065,52,0.0,0.0,0.21,0.114,0.0
20200807,54.123,54.123,54.123,54.123,55,0.0,0.0,-1.71,-0.942,0.0
