trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20150305,9.15,9.14,9.15,8.5,147397,0.0,0.0,0.0,0.0,1.03
20150306,9.0,9.02,9.14,8.91,24113,0.0,2.52,-1.31,-0.12,0.17
20150309,9.15,9.17,9.17,8.97,43183,0.0,2.22,1.66,0.15,0.3
20150310,9.1,9.0,9.15,8.97,35725,0.0,1.96,-1.85,-0.17,0.25
20150311,9.12,9.13,9.15,9.0,25540,0.0,1.67,1.44,0.13,0.18
20150312,9.19,9.26,9.31,9.05,62159,0.0,2.85,1.42,0.13,0.43
20150313,9.15,9.15,9.3,9.15,38054,0.0,1.62,-1.19,-0.11,0.26
20150316,9.06,9.19,9.3,9.05,31540,0.0,2.73,0.44,0.04,0.22
20150317,9.17,9.29,9.3,9.1,20310,0.0,2.18,1.09,0.1,0.14
20150318,9.3,9.28,9.47,9.16,28543,0.0,3.34,-0.11,-0.01,0.2
20150319,9.39,9.36,9.48,9.16,154761,0.0,3.45,0.86,0.08,1.08
20150320,9.46,9.84,10.39,9.46,330079,0.0,9.94,5.13,0.48,2.3
20150323,10.06,10.08,10.1,9.88,18203,0.0,2.24,2.44,0.24,0.13
20150324,9.89,10.05,10.1,9.89,46273,0.0,2.08,-0.3,-0.03,0.32
20150325,11.14,10.1,11.14,10.05,52074,0.0,10.85,0.5,0.05,0.36
20150326,10.1,10.1,10.1,10.01,1839,0.0,0.89,0.0,0.0,0.01
20150327,10.22,10.14,10.22,10.09,11762,0.0,1.29,0.4,0.04,0.08
20150330,10.14,10.1,10.2,9.93,12976,0.0,2.66,-0.39,-0.04,0.09
20150331,10.07,10.23,10.25,10.05,7778,0.0,1.98,1.29,0.13,0.05
20150401,10.24,10.15,10.24,9.93,26021,0.0,3.03,-0.78,-0.08,0.18
20150402,10.15,10.18,10.18,10.05,17278,0.0,1.28,0.3,0.03,0.12
20150406,10.09,9.98,10.2,9.98,21218,0.0,2.16,-1.96,-0.2,0.1
20150407,10.03,10.2,11.25,10.03,239756,0.0,12.22,2.2,0.22,1.16
20150408,10.15,10.37,10.48,10.15,45163,0.0,3.24,1.67,0.17,0.22
20150409,10.41,10.42,10.74,10.1,52509,0.0,6.17,0.48,0.05,0.25
20150410,10.54,10.42,10.64,10.34,27718,0.0,2.88,0.0,0.0,0.13
20150413,10.46,10.99,11.72,10.33,60508,0.0,13.34,5.47,0.57,0.29
20150414,10.95,11.8,11.83,10.95,10046,0.0,8.01,7.37,0.81,0.05
20150415,11.54,11.06,11.85,10.7,56351,0.0,9.75,-6.27,-0.74,0.27
20150416,11.07,11.0,11.07,10.78,37123,0.0,2.62,-0.54,-0.06,0.18
20150417,11.0,10.95,11.0,10.6,11499,0.0,3.64,-0.45,-0.05,0.06
20150420,10.92,11.19,11.7,10.24,20077,0.0,13.33,2.19,0.24,0.1
20150421,11.0,11.29,11.95,10.96,63481,0.0,8.85,0.89,0.1,0.31
20150422,11.27,11.82,11.92,11.2,18070,0.0,6.38,4.69,0.53,0.09
20150423,11.82,11.71,11.82,11.67,5917,0.0,1.27,-0.93,-0.11,0.03
20150424,11.76,12.14,12.69,11.76,17399,0.0,7.94,3.67,0.43,0.08
20150427,12.18,11.94,12.18,11.84,8150,0.0,2.8,-1.65,-0.2,0.04
20150428,11.91,11.95,12.15,11.9,8872,0.0,2.09,0.08,0.01,0.04
20150429,12.0,12.33,12.46,11.73,19880,0.0,6.11,3.18,0.38,0.1
20150430,12.3,11.91,12.3,11.84,28005,0.0,3.73,-3.41,-0.42,0.14
20150501,12.0,11.89,12.14,11.75,21950,0.0,3.27,-0.17,-0.02,0.11
20150504,11.97,12.1,12.1,11.74,54245,0.0,3.03,1.77,0.21,0.26
20150505,11.99,12.0,13.19,11.99,40810,0.0,9.92,-0.83,-0.1,0.2
20150506,12.11,11.96,12.35,11.88,7543,0.0,3.92,-0.33,-0.04,0.04
20150507,12.03,11.72,12.18,11.68,8478,0.0,4.18,-2.01,-0.24,0.04
20150508,11.87,12.0,12.0,11.78,1852,0.0,1.88,2.39,0.28,0.01
20150511,12.02,11.94,12.03,11.89,3084,0.0,1.17,-0.5,-0.06,0.01
20150512,11.96,11.99,12.78,11.6,26915,0.0,9.88,0.42,0.05,0.13
20150513,11.99,11.9,11.99,11.82,1948,0.0,1.42,-0.75,-0.09,0.01
20150514,12.05,11.99,12.1,11.9,43406,0.0,1.68,0.76,0.09,0.21
20150515,12.09,12.04,12.1,11.98,24207,0.0,1.0,0.42,0.05,0.12
20150518,12.0,12.07,12.1,11.76,20439,0.0,2.82,0.25,0.03,0.1
20150519,15.79,12.24,15.87,12.1,106807,0.0,31.23,1.41,0.17,0.52
20150520,11.54,12.24,13.54,11.19,36694,0.0,19.2,0.0,0.0,0.18
20150521,12.25,12.29,13.1,12.18,37185,0.0,7.52,0.41,0.05,0.18
20150522,12.28,12.57,12.93,12.28,22223,0.0,5.29,2.28,0.28,0.11
20150526,12.53,12.95,13.27,12.53,32250,0.0,5.89,3.02,0.38,0.16
20150527,13.0,12.99,13.0,12.94,16942,0.0,0.46,0.31,0.04,0.08
20150528,12.99,13.07,13.51,12.57,52339,0.0,7.24,0.62,0.08,0.25
20150529,13.0,13.05,13.1,12.81,25467,0.0,2.22,-0.15,-0.02,0.12
20150601,13.03,13.34,13.62,13.0,77555,0.0,4.75,2.22,0.29,0.37
20150602,13.38,13.4,13.99,13.12,119086,0.0,6.52,0.45,0.06,0.58
20150603,13.45,13.01,13.5,12.88,21102,0.0,4.63,-2.91,-0.39,0.1
20150604,13.1,12.88,13.37,12.5,49783,0.0,6.69,-1.0,-0.13,0.24
20150605,12.86,12.32,13.21,12.09,94109,0.0,8.7,-4.35,-0.56,0.45
20150608,12.5,12.7,13.42,12.4,37896,0.0,8.28,3.08,0.38,0.18
20150609,12.82,13.19,14.18,12.3,84720,0.0,14.8,3.86,0.49,0.41
20150610,13.3,13.33,13.5,13.21,36879,0.0,2.2,1.06,0.14,0.18
20150611,13.38,13.2,13.58,12.76,70076,0.0,6.15,-0.98,-0.13,0.34
20150612,13.04,13.25,13.5,12.97,62287,0.0,4.02,0.38,0.05,0.3
20150615,13.3,13.04,13.45,12.84,52722,0.0,4.6,-1.58,-0.21,0.25
20150616,13.44,13.05,13.44,12.91,43847,0.0,4.06,0.08,0.01,0.21
20150617,13.0,13.12,13.97,13.0,73909,0.0,7.43,0.54,0.07,0.36
20150618,13.39,13.23,13.7,13.03,74597,0.0,5.11,0.84,0.11,0.36
20150619,13.64,13.43,13.69,13.15,180111,0.0,4.08,1.51,0.2,0.87
20150622,13.54,13.2,13.85,13.09,31175,0.0,5.66,-1.71,-0.23,0.15
20150623,13.15,13.19,13.38,13.05,32089,0.0,2.5,-0.08,-0.01,0.16
20150624,13.27,13.16,13.38,13.02,19236,0.0,2.73,-0.23,-0.03,0.09
20150625,13.12,13.12,13.52,13.0,31019,0.0,3.95,-0.3,-0.04,0.15
20150626,13.06,13.27,13.59,13.06,364657,0.0,4.04,1.14,0.15,1.76
20150629,13.24,13.12,13.52,13.03,75895,0.0,3.69,-1.13,-0.15,0.37
20150630,13.17,12.99,13.34,12.85,511197,0.0,3.73,-0.99,-0.13,2.47
20150701,12.96,13.09,13.18,12.7,26312,0.0,3.7,0.77,0.1,0.13
20150702,13.11,12.9,13.5,12.5,42135,0.0,7.64,-1.45,-0.19,0.2
20150706,13.0,13.46,13.84,13.0,58567,0.0,6.51,4.34,0.56,0.28
20150707,13.48,13.46,14.88,13.16,17898,0.0,12.78,0.0,0.0,0.09
20150708,13.58,13.4,13.58,13.25,26284,0.0,2.45,-0.45,-0.06,0.13
