trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220506,18.5,20.0,20.2,18.4,15225318,292466688.0,10.0,11.11,2.0,4.35
20220509,18.99,18.0,19.182,17.8,5325826,98026675.0,6.91,-10.0,-2.0,1.52
20220510,18.06,17.55,18.06,16.25,5151743,87081755.0,10.06,-2.5,-0.45,1.47
20220511,17.67,16.55,17.94,16.37,1453243,24774505.0,8.95,-5.7,-1.0,0.42
20220512,16.47,17.47,17.73,16.01,1098405,18254508.0,10.39,5.56,0.92,0.31
20220513,17.4,17.72,18.46,17.08,897173,15928374.0,7.9,1.43,0.25,0.26
20220516,17.67,17.0,17.71,16.76,472538,8092582.0,5.36,-4.06,-0.72,0.14
20220517,17.19,17.23,17.5,16.34,1333650,22419399.0,6.82,1.35,0.23,0.38
20220518,17.08,16.51,17.23,16.3,488156,8156783.0,5.4,-4.18,-0.72,0.14
20220519,16.32,17.52,17.66,16.32,953434,16360552.0,8.12,6.12,1.01,0.27
20220520,17.72,17.18,17.85,16.75,1130507,19355521.0,6.28,-1.94,-0.34,0.32
20220523,17.32,16.91,17.32,16.5,871481,14725668.0,4.77,-1.57,-0.27,0.25
20220524,16.88,16.11,16.88,16.017,1032116,16949334.0,5.1,-4.73,-0.8,0.29
20220525,16.03,16.99,17.11,15.9,1294994,21213740.0,7.51,5.46,0.88,0.37
20220526,17.0,18.0,18.03,16.81,1245219,22028235.0,7.18,5.94,1.01,0.36
20220527,18.19,17.69,18.21,17.5,356442,6345812.0,3.94,-1.72,-0.31,0.1
20220531,17.71,17.01,18.054,16.81,335890,5754228.0,7.03,-3.84,-0.68,0.1
20220601,16.9,16.28,17.328,16.27,333334,5480840.0,6.22,-4.29,-0.73,0.1
20220602,16.26,16.29,16.81,15.92,476483,7683050.0,5.47,0.06,0.01,0.14
20220603,16.14,16.61,16.76,16.05,337094,5561544.0,4.36,1.96,0.32,0.1
20220606,16.99,16.16,17.0,16.11,638142,10469454.0,5.36,-2.71,-0.45,0.18
20220607,16.24,15.65,16.28,15.42,1377114,21689328.0,5.32,-3.16,-0.51,0.39
20220608,15.5,14.88,15.74,14.75,1177493,17910040.0,6.33,-4.92,-0.77,0.34
20220609,14.93,14.58,14.96,14.27,1054651,15412134.0,4.64,-2.02,-0.3,0.3
20220610,14.32,14.07,14.57,13.99,561485,7951612.0,3.98,-3.5,-0.51,0.16
20220613,13.71,13.36,14.0,13.25,748580,10113767.0,5.33,-5.05,-0.71,0.21
20220614,13.35,13.69,14.2,13.17,705558,9670344.0,7.71,2.47,0.33,0.2
20220615,13.92,14.86,14.94,13.71,613413,8915249.0,8.98,8.55,1.17,0.18
20220616,14.5,14.49,14.73,13.92,1460919,20972600.0,5.45,-2.49,-0.37,0.42
20220617,14.41,15.75,15.75,14.26,3926593,59347971.0,10.28,8.7,1.26,1.12
20220621,15.9,15.5,15.9,15.07,1846855,28350207.0,5.27,-1.59,-0.25,0.53
20220622,15.25,15.47,15.6,15.1,1373044,21219868.0,3.23,-0.19,-0.03,0.39
20220623,15.41,15.51,15.6,15.13,1595795,24454828.0,3.04,0.26,0.04,0.46
20220624,15.93,15.85,16.43,15.74,1081631,17331105.0,4.45,2.19,0.34,0.31
20220627,15.79,15.7,16.171,15.55,517466,8171346.0,3.92,-0.95,-0.15,0.15
20220628,15.55,15.02,15.77,14.95,573102,8634543.0,5.22,-4.33,-0.68,0.16
20220629,15.02,15.28,15.36,14.85,330858,4995637.0,3.4,1.73,0.26,0.09
20220630,15.2,15.24,15.49,14.73,571733,8666929.0,4.97,-0.26,-0.04,0.16
20220701,15.05,15.86,16.03,15.0,353418,5578163.0,6.76,4.07,0.62,0.1
20220705,15.83,15.8,15.855,15.41,262155,4112441.0,2.81,-0.38,-0.06,0.07
20220706,15.94,15.94,16.25,15.895,609758,9810864.0,2.25,0.89,0.14,0.17
20220707,16.02,15.97,16.11,15.65,541077,8643749.0,2.89,0.19,0.03,0.15
20220708,15.97,16.43,16.99,15.87,861610,14148101.0,7.01,2.88,0.46,0.25
20220711,16.39,15.9,16.41,15.86,462908,7485433.0,3.35,-3.23,-0.53,0.13
20220712,15.79,16.59,16.916,15.7,948680,15811674.0,7.65,4.34,0.69,0.27
20220713,16.38,16.2,16.56,15.97,572102,9270458.0,3.56,-2.35,-0.39,0.16
20220714,16.14,15.98,16.4,15.87,545134,8752340.0,3.27,-1.36,-0.22,0.16
20220715,15.94,15.59,16.16,15.53,381469,6024908.0,3.94,-2.44,-0.39,0.11
20220718,15.63,15.15,15.839,15.03,713601,10859098.0,5.19,-2.82,-0.44,0.2
20220719,15.35,15.29,15.47,15.08,599473,9158525.0,2.57,0.92,0.14,0.17
20220720,15.07,15.14,15.39,14.99,2064486,31303110.0,2.62,-0.98,-0.15,0.59
20220721,15.01,15.72,16.25,15.01,486903,7638955.0,8.19,3.83,0.58,0.14
20220722,15.62,15.33,15.92,15.09,691424,10808200.0,5.28,-2.48,-0.39,0.2
20220725,15.64,16.09,16.14,15.11,458719,7182999.0,6.72,4.96,0.76,0.13
20220726,16.21,15.35,16.23,15.16,1078981,16892945.0,6.65,-4.6,-0.74,0.31
20220727,15.29,16.07,16.205,15.29,477067,7615155.0,5.96,4.69,0.72,0.14
20220728,15.99,15.35,16.13,12.2,11015101,154740423.0,24.46,-4.48,-0.72,3.15
20220729,14.89,14.39,15.47,14.09,8054264,118381539.0,8.99,-6.25,-0.96,2.3
20220801,14.46,14.4,14.97,14.05,1545549,22432779.0,6.39,0.07,0.01,0.44
20220802,14.22,14.23,14.86,14.12,1662849,23893893.0,5.14,-1.18,-0.17,0.48
20220803,14.33,14.82,14.93,14.305,2002431,29423249.0,4.39,4.15,0.59,0.57
20220804,15.0,15.57,15.84,14.77,2271174,35138497.0,7.22,5.06,0.75,0.65
20220805,15.49,15.51,15.79,15.26,1778360,27827627.0,3.4,-0.39,-0.06,0.51
20220808,15.59,15.5,15.94,15.31,993844,15492095.0,4.06,-0.06,-0.01,0.28
20220809,15.4,15.76,15.77,15.33,1177408,18272636.0,2.84,1.68,0.26,0.34
20220810,15.86,16.31,16.68,15.8,952735,15637185.0,5.58,3.49,0.55,0.27
20220811,16.35,16.52,17.18,16.34,516070,8606473.0,5.15,1.29,0.21,0.15
20220812,16.51,16.36,16.59,16.085,580120,9451997.0,3.06,-0.97,-0.16,0.17
20220815,16.31,16.52,16.54,15.94,720158,11705921.0,3.67,0.98,0.16,0.21
20220816,16.75,16.3,16.775,16.07,646280,10582264.0,4.27,-1.33,-0.22,0.18
20220817,16.01,16.34,16.74,16.01,561631,9184144.0,4.48,0.25,0.04,0.16
20220818,16.3,16.25,16.514,15.7,676601,10847879.0,4.98,-0.55,-0.09,0.19
20220819,16.11,15.5,16.11,15.36,717921,11184764.0,4.62,-4.62,-0.75,0.21
20220822,15.3,15.49,15.81,15.188,696398,10774374.0,4.01,-0.06,-0.01,0.2
20220823,15.51,15.6,15.89,15.36,623761,9733543.0,3.42,0.71,0.11,0.18
20220824,15.47,15.98,16.47,15.36,634520,10216125.0,7.12,2.44,0.38,0.18
20220825,15.93,16.15,16.65,15.8,620052,10076341.0,5.32,1.06,0.17,0.18
20220826,16.17,15.57,16.21,15.42,493061,7716675.0,4.89,-3.59,-0.58,0.14
20220829,15.41,15.15,15.62,15.12,376939,5774417.0,3.21,-2.7,-0.42,0.11
20220830,15.1,14.56,15.38,14.44,1211871,17961733.0,6.2,-3.89,-0.59,0.35
20220831,14.58,14.88,15.255,14.4,1673748,25018014.0,5.87,2.2,0.32,0.48
20220901,14.86,14.85,15.27,14.5,938402,13916732.0,5.17,-0.2,-0.03,0.27
20220902,14.9,15.0,15.325,14.72,795394,11894355.0,4.07,1.01,0.15,0.23
20220906,15.14,15.41,15.41,14.93,582205,8863471.0,3.2,2.73,0.41,0.17
20220907,15.49,15.75,15.99,15.14,1699732,26581485.0,5.52,2.21,0.34,0.49
20220908,15.81,16.44,17.24,15.63,1993776,33147916.0,10.22,4.38,0.69,0.57
20220909,16.5,17.17,17.8,16.48,995687,17276545.0,8.03,4.44,0.73,0.28
20220912,17.59,17.0,17.59,16.95,699124,11952360.0,3.73,-0.99,-0.17,0.2
20220913,16.81,17.05,17.19,16.573,850333,14492998.0,3.63,0.29,0.05,0.24
20220914,17.15,17.13,17.55,16.88,1693274,29188758.0,3.93,0.47,0.08,0.48
20220915,17.1,17.76,18.05,17.1,1059796,18805726.0,5.55,3.68,0.63,0.3
20220916,17.73,17.57,17.78,16.95,2325846,40735785.0,4.67,-1.07,-0.19,0.66
20220919,17.43,17.51,17.71,17.3,618626,10847111.0,2.33,-0.34,-0.06,0.18
20220920,17.37,16.99,17.52,16.95,1006044,17172856.0,3.26,-2.97,-0.52,0.29
20220921,16.87,16.25,17.16,16.24,680213,11334680.0,5.41,-4.36,-0.74,0.19
20220922,16.4,16.56,16.61,16.1,482299,7932021.0,3.14,1.91,0.31,0.14
20220923,16.32,15.95,16.405,15.38,896504,14132651.0,6.19,-3.68,-0.61,0.26
20220926,16.03,15.63,16.16,15.41,650725,10204171.0,4.7,-2.01,-0.32,0.19
20220927,15.72,15.49,15.8,15.06,809435,12434527.0,4.73,-0.9,-0.14,0.23
20220928,15.71,16.08,16.49,15.6,1008170,15975765.0,5.75,3.81,0.59,0.29
20220929,15.96,15.61,15.96,15.33,304192,4726098.0,3.92,-2.92,-0.47,0.09
