trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20150701,27.95,27.0,29.22,26.66,5137087,0.0,0.0,0.0,0.0,13.64
20150702,27.9,27.81,28.41,27.48,1957744,0.0,3.44,3.0,0.81,5.2
20150706,27.75,28.99,28.99,27.5,1297815,0.0,5.36,4.24,1.18,3.45
20150707,28.41,28.14,29.02,27.76,1289541,0.0,4.35,-2.93,-0.85,3.42
20150708,27.13,27.1,27.89,26.92,1619892,0.0,3.45,-3.7,-1.04,4.3
20150709,27.0,26.95,27.45,26.86,2155818,0.0,2.18,-0.55,-0.15,5.72
20150710,27.02,28.79,29.12,27.0,1635681,0.0,7.87,6.83,1.84,4.34
20150713,28.5,29.57,29.97,28.11,1771937,0.0,6.46,2.71,0.78,4.7
20150714,29.04,30.1,30.28,29.0,1225716,0.0,4.33,1.79,0.53,3.25
20150715,29.92,29.19,29.99,28.64,1427115,0.0,4.49,-3.02,-0.91,3.79
20150716,29.01,29.34,29.58,28.96,1721006,0.0,2.12,0.51,0.15,4.57
20150717,29.04,31.11,31.43,28.77,1344722,0.0,9.07,6.03,1.77,3.57
20150720,31.67,31.44,33.0,30.93,1497998,0.0,6.65,1.06,0.33,3.98
20150721,30.74,31.13,31.53,29.88,1264619,0.0,5.25,-0.99,-0.31,3.36
20150722,31.12,30.88,31.52,30.12,993432,0.0,4.5,-0.8,-0.25,2.64
20150723,31.0,30.61,31.0,30.25,456260,0.0,2.43,-0.87,-0.27,1.21
20150724,30.53,30.33,30.64,29.8,435457,0.0,2.74,-0.91,-0.28,1.16
20150727,30.36,30.23,30.86,30.14,462443,0.0,2.37,-0.33,-0.1,1.23
20150728,29.91,30.0,30.85,28.81,933722,0.0,6.75,-0.76,-0.23,2.48
20150729,30.14,29.3,30.22,29.13,538864,0.0,3.63,-2.33,-0.7,1.43
20150730,29.3,29.09,29.3,28.79,642959,0.0,1.74,-0.72,-0.21,1.71
20150731,28.94,28.76,29.08,28.56,690886,0.0,1.79,-1.13,-0.33,1.83
20150803,28.21,29.25,29.35,28.21,697507,0.0,3.96,1.7,0.49,1.85
20150804,28.97,28.83,29.44,28.3,501277,0.0,3.9,-1.44,-0.42,1.31
20150805,28.5,28.7,29.51,28.5,753491,0.0,3.5,-0.45,-0.13,1.97
20150806,28.46,28.78,28.9,28.46,543589,0.0,1.53,0.28,0.08,1.42
20150807,28.88,28.5,28.92,28.07,265741,0.0,2.95,-0.97,-0.28,0.69
20150810,28.48,28.97,30.04,28.48,730868,0.0,5.47,1.65,0.47,1.91
20150811,29.0,29.77,30.03,28.53,898773,0.0,5.18,2.76,0.8,2.35
20150812,29.47,29.62,29.69,28.89,287870,0.0,2.69,-0.5,-0.15,0.75
20150813,29.56,30.06,30.28,29.29,663747,0.0,3.34,1.49,0.44,1.73
20150814,30.06,30.35,30.4,29.63,307987,0.0,2.56,0.96,0.29,0.81
20150817,30.08,31.88,32.22,29.81,558265,0.0,7.94,5.04,1.53,1.46
20150818,32.15,32.32,33.87,32.09,949282,0.0,5.58,1.38,0.44,2.48
20150819,32.01,32.57,32.7,32.01,568854,0.0,2.13,0.77,0.25,1.49
20150820,32.39,32.71,33.72,32.22,345745,0.0,4.61,0.43,0.14,0.9
20150821,32.59,31.98,32.65,31.74,652867,0.0,2.78,-2.23,-0.73,1.71
20150824,29.9,30.63,32.16,29.8,343269,0.0,7.38,-4.22,-1.35,0.9
20150825,31.55,30.35,31.55,30.2,749435,0.0,4.41,-0.91,-0.28,1.96
20150826,30.84,30.64,30.97,29.87,275426,0.0,3.62,0.96,0.29,0.72
20150827,31.0,30.27,31.12,29.73,587199,0.0,4.54,-1.21,-0.37,1.53
20150828,30.36,31.51,31.6,30.36,362699,0.0,4.1,4.1,1.24,0.95
20150831,31.47,31.72,31.87,30.98,348043,0.0,2.82,0.67,0.21,0.91
20150901,31.56,31.98,32.05,31.26,428351,0.0,2.49,0.82,0.26,1.12
20150902,31.97,33.05,33.54,31.97,657120,0.0,4.91,3.35,1.07,1.72
20150903,33.12,33.32,33.86,32.91,397767,0.0,2.87,0.82,0.27,1.04
20150904,32.92,33.43,33.55,32.39,355415,0.0,3.48,0.33,0.11,0.93
20150908,33.5,34.02,34.71,33.35,505399,0.0,4.07,1.76,0.59,1.32
20150909,34.3,34.17,35.09,34.02,373985,0.0,3.15,0.44,0.15,0.98
20150910,34.0,34.34,34.64,33.73,471892,0.0,2.66,0.5,0.17,1.23
20150911,34.27,34.83,35.03,34.17,323761,0.0,2.5,1.43,0.49,0.85
20150914,34.83,35.41,35.93,34.79,804999,0.0,3.27,1.67,0.58,2.1
20150915,35.61,34.25,36.36,34.17,666659,0.0,6.18,-3.28,-1.16,1.74
20150916,34.54,34.92,35.36,33.81,533182,0.0,4.53,1.96,0.67,1.39
20150917,34.82,35.65,36.14,34.43,623748,0.0,4.9,2.09,0.73,1.63
20150918,34.85,34.75,35.47,33.67,4452388,0.0,5.05,-2.52,-0.9,11.64
20150921,35.16,32.82,35.35,32.74,478713,0.0,7.51,-5.55,-1.93,1.25
20150922,32.69,31.51,32.69,30.82,565410,0.0,5.7,-3.99,-1.31,1.48
20150923,31.6,31.62,31.99,31.3,268320,0.0,2.19,0.35,0.11,0.7
20150924,31.36,31.65,31.73,30.35,408548,0.0,4.36,0.09,0.03,1.07
20150925,31.89,32.19,32.56,31.46,378245,0.0,3.48,1.71,0.54,0.99
20150928,32.04,30.83,32.04,30.01,464333,0.0,6.31,-4.22,-1.36,1.21
20150929,30.91,30.0,31.23,29.55,515766,0.0,5.45,-2.69,-0.83,1.35
20150930,30.21,30.97,31.14,30.0,312804,0.0,3.8,3.23,0.97,0.83
20151001,31.1,30.5,31.39,29.8,563594,0.0,5.13,-1.52,-0.47,1.5
20151002,30.3,30.96,31.12,30.01,280743,0.0,3.64,1.51,0.46,0.75
20151005,31.12,32.9,33.18,31.12,370316,0.0,6.65,6.27,1.94,0.98
20151006,32.86,32.08,33.12,31.66,425227,0.0,4.44,-2.49,-0.82,1.13
20151007,32.29,32.89,32.92,32.05,407940,0.0,2.71,2.52,0.81,1.08
20151008,32.89,32.76,33.33,32.32,210177,0.0,3.07,-0.4,-0.13,0.56
20151009,32.89,32.44,32.93,32.11,222186,0.0,2.5,-0.98,-0.32,0.59
20151012,32.57,31.59,32.92,31.56,187653,0.0,4.19,-2.62,-0.85,0.5
20151013,31.5,31.32,32.23,30.5,194196,0.0,5.48,-0.85,-0.27,0.52
20151014,31.38,29.8,31.38,29.59,486162,0.0,5.72,-4.85,-1.52,1.29
20151015,29.96,29.57,30.0,28.27,501025,0.0,5.81,-0.77,-0.23,1.33
20151016,29.65,29.27,29.83,28.53,406516,0.0,4.4,-1.01,-0.3,1.08
20151019,29.6,29.95,30.07,28.74,589153,0.0,4.54,2.32,0.68,1.56
20151020,30.05,30.91,31.04,29.69,307448,0.0,4.51,3.21,0.96,0.82
20151021,31.05,30.42,31.29,30.36,228976,0.0,3.01,-1.59,-0.49,0.61
20151022,30.46,30.98,31.1,28.9,441074,0.0,7.23,1.84,0.56,1.17
20151023,31.0,30.25,31.13,29.91,229948,0.0,3.94,-2.36,-0.73,0.61
20151026,30.28,29.5,30.8,29.3,220526,0.0,4.96,-2.48,-0.75,0.59
20151027,29.5,28.79,29.52,28.51,229182,0.0,3.42,-2.41,-0.71,0.61
20151028,28.97,28.53,28.97,27.9,696922,0.0,3.72,-0.9,-0.26,1.85
20151029,28.48,27.79,28.61,27.58,254485,0.0,3.61,-2.59,-0.74,0.68
20151030,27.82,28.13,28.64,27.69,497149,0.0,3.42,1.22,0.34,1.32
20151102,28.1,27.84,28.38,27.74,482670,0.0,2.28,-1.03,-0.29,1.28
20151103,28.15,30.8,31.8,27.6,824402,0.0,15.09,10.63,2.96,2.19
20151104,30.78,31.04,32.11,30.78,389484,0.0,4.32,0.78,0.24,1.03
20151105,30.89,29.55,31.08,29.32,265962,0.0,5.67,-4.8,-1.49,0.71
20151106,29.5,29.37,29.79,28.85,306133,0.0,3.18,-0.61,-0.18,0.81
20151109,29.42,29.29,30.17,28.94,622751,0.0,4.19,-0.27,-0.08,1.65
20151110,29.27,29.21,29.48,28.29,431624,0.0,4.06,-0.27,-0.08,1.15
20151111,29.19,28.98,29.31,28.69,353887,0.0,2.12,-0.79,-0.23,0.94
20151112,28.59,28.65,28.93,28.1,199521,0.0,2.86,-1.14,-0.33,0.53
20151113,28.64,28.42,28.86,28.01,198915,0.0,2.97,-0.8,-0.23,0.53
20151116,28.37,28.59,28.99,28.19,223321,0.0,2.81,0.6,0.17,0.59
20151117,28.57,28.51,28.98,28.27,378580,0.0,2.48,-0.28,-0.08,1.0
20151118,28.5,28.5,28.76,28.18,210861,0.0,2.03,-0.04,-0.01,0.56
20151119,28.75,28.35,29.02,28.35,252811,0.0,2.35,-0.53,-0.15,0.67
20151120,28.49,28.16,28.79,28.03,225985,0.0,2.68,-0.67,-0.19,0.6
20151123,28.16,28.21,28.54,28.06,669071,0.0,1.7,0.18,0.05,1.78
20151124,28.07,29.55,29.73,28.07,769522,0.0,5.88,4.75,1.34,2.04
20151125,29.57,30.85,31.3,29.47,433697,0.0,6.19,4.4,1.3,1.15
20151127,30.82,30.52,30.89,30.14,89239,0.0,2.43,-1.07,-0.33,0.24
20151130,30.61,30.46,30.88,30.37,282438,0.0,1.67,-0.2,-0.06,0.75
20151201,30.54,30.94,31.39,30.43,223983,0.0,3.15,1.58,0.48,0.59
20151202,30.93,30.5,31.11,30.37,381253,0.0,2.39,-1.42,-0.44,1.01
20151203,30.68,30.5,30.72,30.41,420475,0.0,1.02,0.0,0.0,1.12
20151204,30.53,30.51,31.23,30.19,407284,0.0,3.41,0.03,0.01,1.08
