trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,64.0,56.5,65.0,55.62,438900,0.0,0.0,0.0,0.0,0.15
20010103,52.0,60.97,62.94,51.5,1133600,0.0,20.25,7.91,4.47,0.38
20010104,62.88,62.06,64.75,61.0,466000,0.0,6.15,1.79,1.09,0.16
20010105,62.44,56.56,63.0,55.12,545800,0.0,12.7,-8.86,-5.5,0.18
20010108,56.25,55.38,57.62,54.0,525900,0.0,6.4,-2.09,-1.18,0.17
20010109,55.5,55.25,57.06,53.44,469100,0.0,6.54,-0.23,-0.13,0.16
20010110,55.31,59.5,59.69,54.44,573900,0.0,9.5,7.69,4.25,0.19
20010111,59.62,67.75,69.38,58.88,805600,0.0,17.65,13.87,8.25,0.27
20010112,68.62,63.5,70.0,63.0,643500,0.0,10.33,-6.27,-4.25,0.21
20010116,64.81,69.12,70.0,63.75,1040700,0.0,9.84,8.85,5.62,0.35
20010117,71.5,70.25,73.62,69.75,1196400,0.0,5.6,1.63,1.13,0.4
20010118,71.12,72.12,74.44,69.5,930100,0.0,7.03,2.66,1.87,0.31
20010119,74.75,75.31,76.5,73.19,1518100,0.0,4.59,4.42,3.19,0.51
20010122,76.0,72.12,76.0,70.56,972300,0.0,7.22,-4.24,-3.19,0.32
20010123,73.44,74.5,74.62,71.12,748500,0.0,4.85,3.3,2.38,0.25
20010124,75.12,71.56,75.25,71.31,860200,0.0,5.29,-3.95,-2.94,0.29
20010125,71.12,66.12,71.88,65.75,712300,0.0,8.57,-7.6,-5.44,0.24
20010126,66.25,70.94,71.62,66.0,750800,0.0,8.5,7.29,4.82,0.25
20010129,71.69,72.0,72.75,70.5,406300,0.0,3.17,1.49,1.06,0.14
20010130,72.75,75.81,76.75,72.5,585000,0.0,5.9,5.29,3.81,0.19
20010131,77.06,76.81,78.94,75.88,771100,0.0,4.04,1.32,1.0,0.26
20010201,77.0,75.0,77.0,73.25,332800,0.0,4.88,-2.36,-1.81,0.11
20010202,74.69,72.69,75.0,71.5,238600,0.0,4.67,-3.08,-2.31,0.08
20010205,72.0,72.0,72.94,71.0,310300,0.0,2.67,-0.95,-0.69,0.1
20010206,72.0,72.69,75.0,71.62,279900,0.0,4.69,0.96,0.69,0.09
20010207,72.38,70.12,72.75,69.62,464000,0.0,4.31,-3.54,-2.57,0.15
20010208,70.94,68.75,70.94,68.62,448700,0.0,3.31,-1.95,-1.37,0.15
20010209,67.62,65.88,68.12,63.75,522000,0.0,6.36,-4.17,-2.87,0.17
