trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210727,18.567,18.987,19.017,18.427,641265,16045953.0,3.18,2.26,0.42,2.41
20210728,19.037,18.977,19.167,18.897,708291,17844469.0,1.42,-0.05,-0.01,2.67
20210729,18.977,19.067,19.068,18.867,534391,13423047.0,1.06,0.47,0.09,2.01
20210730,18.967,18.817,18.967,18.747,2846856,70974507.0,1.15,-1.31,-0.25,10.71
20210802,18.757,18.787,18.857,18.727,606988,15122923.0,0.69,-0.16,-0.03,2.28
20210803,18.767,18.757,18.787,18.667,420286,10459803.0,0.64,-0.16,-0.03,1.58
20210804,18.797,18.697,18.817,18.667,589692,14656617.0,0.8,-0.32,-0.06,2.22
20210805,18.677,18.607,18.767,18.587,510842,12666864.0,0.96,-0.48,-0.09,1.92
20210806,18.597,18.537,18.637,18.497,349494,8625869.0,0.75,-0.38,-0.07,1.32
20210809,18.747,18.587,18.747,18.487,203846,5036209.0,1.4,0.27,0.05,0.77
20210810,18.577,18.447,18.687,18.437,105007,2588441.0,1.35,-0.75,-0.14,0.4
20210811,18.447,18.387,18.637,18.387,153039,3777970.0,1.36,-0.33,-0.06,0.58
20210812,18.367,18.507,18.617,18.367,143007,3528772.0,1.36,0.65,0.12,0.54
20210813,18.507,18.567,18.647,18.507,194614,4811692.0,0.76,0.32,0.06,0.73
20210816,18.617,18.577,18.627,18.567,228407,5651484.0,0.32,0.05,0.01,0.86
20210817,18.567,18.617,18.717,18.567,154109,3812267.0,0.81,0.22,0.04,0.58
20210818,18.617,18.617,18.767,18.537,126300,3129361.0,1.24,0.0,0.0,0.48
20210819,18.527,18.617,18.717,18.517,273859,6787362.0,1.07,0.0,0.0,1.03
20210820,18.617,18.777,18.867,18.577,249367,6185952.0,1.56,0.86,0.16,0.94
20210823,18.817,19.017,19.067,18.787,287322,7198203.0,1.49,1.28,0.24,1.08
20210824,19.117,19.147,19.157,18.997,209196,5276743.0,0.84,0.68,0.13,0.79
20210825,19.117,19.137,19.157,19.047,408720,10312893.0,0.57,-0.05,-0.01,1.54
20210826,19.147,19.197,19.202,19.087,262504,6633269.0,0.6,0.31,0.06,0.99
20210827,19.187,19.187,19.197,18.937,278373,7040204.0,1.35,-0.05,-0.01,1.05
20210830,19.317,19.347,19.417,19.167,366221,9312352.0,1.3,0.83,0.16,1.38
20210831,19.501,19.961,20.081,19.401,2629162,67803948.0,3.51,3.17,0.614,9.89
20210901,19.771,19.981,19.991,19.541,485562,12489819.0,2.25,0.1,0.02,1.83
20210902,19.981,19.921,20.011,19.881,2613875,67313826.0,0.65,-0.3,-0.06,9.84
20210903,19.911,19.911,19.981,19.901,170037,4385917.0,0.4,-0.05,-0.01,0.64
20210907,19.891,19.731,19.961,19.641,36791,941878.0,1.61,-0.9,-0.18,0.14
20210908,19.701,19.651,19.741,19.591,24276,619655.0,0.76,-0.41,-0.08,0.09
20210909,19.591,19.311,19.591,19.251,160380,4052965.0,1.73,-1.73,-0.34,0.6
20210910,19.301,18.931,19.501,18.911,186172,4650550.0,3.06,-1.97,-0.38,0.7
20210913,18.931,18.821,19.091,18.741,200333,4970659.0,1.85,-0.58,-0.11,0.75
20210914,18.841,18.861,19.191,18.841,32998,821178.0,1.86,0.21,0.04,0.12
20210915,18.891,19.121,19.201,18.851,205896,5103416.0,1.86,1.38,0.26,0.77
20210916,19.111,19.051,19.261,19.051,56663,1418122.0,1.1,-0.37,-0.07,0.21
20210917,19.061,19.041,19.361,18.951,52138,1301608.0,2.15,-0.05,-0.01,0.2
20210920,19.031,18.921,19.111,18.821,53984,1338781.0,1.52,-0.63,-0.12,0.2
20210921,18.871,18.851,18.971,18.851,49714,1230602.0,0.63,-0.37,-0.07,0.19
20210922,18.851,18.891,18.972,18.821,69480,1718930.0,0.8,0.21,0.04,0.26
20210923,19.561,18.891,19.561,18.871,36832,913614.0,3.65,0.0,0.0,0.14
20210924,18.801,18.891,19.131,18.801,21037,522102.0,1.75,0.0,0.0,0.08
20210927,19.121,18.831,19.121,18.741,197607,4881347.0,2.01,-0.32,-0.06,0.74
20210928,18.661,18.611,18.931,18.541,89898,2205458.0,2.07,-1.17,-0.22,0.34
20210929,18.621,18.691,18.721,18.611,35695,876899.0,0.59,0.43,0.08,0.13
20210930,18.741,18.601,18.821,18.601,116815,2865155.0,1.18,-0.48,-0.09,0.44
20211001,18.691,18.651,18.831,18.601,43385,1064237.0,1.24,0.27,0.05,0.16
20211004,18.809,18.911,18.941,18.691,233433,5765939.0,1.34,1.39,0.26,0.88
20211005,18.961,18.841,18.981,18.791,83133,2054348.0,1.0,-0.37,-0.07,0.31
20211006,18.651,18.891,18.941,18.651,18771,463733.0,1.54,0.27,0.05,0.07
20211007,18.851,18.801,18.891,18.721,80000,1975930.0,0.9,-0.48,-0.09,0.3
20211008,18.741,18.661,18.791,18.661,26871,659928.0,0.69,-0.74,-0.14,0.1
20211011,18.691,18.641,18.721,18.641,41027,1006273.0,0.43,-0.11,-0.02,0.15
20211012,18.691,18.731,18.841,18.661,61064,1503215.0,0.97,0.48,0.09,0.23
20211013,18.691,18.921,18.981,18.691,39814,986634.0,1.55,1.01,0.19,0.15
20211014,19.041,19.021,19.091,18.923,1188919,29481579.0,0.89,0.53,0.1,4.47
20211015,18.951,19.311,19.341,18.911,382580,9554350.0,2.26,1.52,0.29,1.44
20211018,19.281,19.341,19.491,19.271,363132,9172188.0,1.14,0.16,0.03,1.37
20211019,19.351,19.291,19.461,19.257,117192,2951459.0,1.05,-0.26,-0.05,0.44
20211020,19.381,19.281,19.381,19.271,46060,1159539.0,0.57,-0.05,-0.01,0.17
20211021,19.261,19.171,19.521,19.161,185522,4679112.0,1.87,-0.57,-0.11,0.7
20211022,19.141,19.161,19.339,19.141,37424,936647.0,1.03,-0.05,-0.01,0.14
20211025,19.171,19.031,19.211,18.991,326407,8121174.0,1.15,-0.68,-0.13,1.23
20211026,18.971,19.031,19.131,18.921,1220422,30258893.0,1.1,0.0,0.0,4.59
20211027,19.071,19.251,19.251,19.041,53298,1330600.0,1.1,1.16,0.22,0.2
20211028,19.041,19.101,19.283,19.041,33082,827652.0,1.26,-0.78,-0.15,0.12
20211029,19.041,18.971,19.331,18.951,477240,11876095.0,1.99,-0.68,-0.13,1.8
20211101,19.031,19.091,19.091,18.961,31381,781680.0,0.69,0.63,0.12,0.12
20211102,19.056,19.081,19.208,18.981,64475,1610131.0,1.19,-0.05,-0.01,0.24
20211103,19.141,19.161,19.161,18.991,18203,454200.0,0.89,0.42,0.08,0.07
20211104,19.311,19.191,19.311,19.115,25909,649450.0,1.02,0.16,0.03,0.1
20211105,19.121,19.261,19.261,19.121,21132,529598.0,0.73,0.36,0.07,0.08
20211108,19.311,19.141,19.311,19.126,32980,825282.0,0.96,-0.62,-0.12,0.12
20211109,19.141,19.151,19.191,19.121,16009,400315.0,0.37,0.05,0.01,0.06
20211110,19.261,19.051,19.261,19.021,35876,895830.0,1.25,-0.52,-0.1,0.14
20211111,18.961,19.071,19.171,18.961,16198,403949.0,1.1,0.1,0.02,0.06
20211112,18.951,19.061,19.121,18.951,14835,369960.0,0.89,-0.05,-0.01,0.06
20211115,18.951,19.026,19.076,18.951,26433,658053.0,0.66,-0.18,-0.035,0.1
20211116,18.961,19.031,19.121,18.961,23681,590149.0,0.84,0.03,0.005,0.09
20211117,19.051,19.061,19.141,19.021,45501,1134009.0,0.63,0.16,0.03,0.17
20211118,19.071,19.041,19.181,19.041,36784,917259.0,0.73,-0.1,-0.02,0.14
20211119,19.171,19.111,19.171,19.081,33029,825519.0,0.47,0.37,0.07,0.12
20211122,19.141,19.151,19.221,19.071,29807,744358.0,0.78,0.21,0.04,0.11
20211123,19.161,19.191,19.231,19.091,20643,516298.0,0.73,0.21,0.04,0.08
20211124,19.191,19.271,19.291,19.141,29899,750033.0,0.78,0.42,0.08,0.11
20211126,19.191,19.165,19.191,19.081,22717,567824.0,0.57,-0.55,-0.106,0.09
20211129,19.341,19.291,19.341,19.166,28041,704850.0,0.91,0.66,0.126,0.11
20211130,19.531,19.561,19.641,19.206,530617,13265890.0,2.25,1.4,0.27,2.0
20211201,19.611,19.421,19.611,19.331,19176,479636.0,1.43,-0.72,-0.14,0.07
20211202,19.396,19.381,19.431,19.341,27667,688075.0,0.46,-0.21,-0.04,0.1
20211203,19.501,19.371,19.501,19.331,27488,683522.0,0.88,-0.05,-0.01,0.1
20211206,19.381,19.331,19.389,19.231,29557,733049.0,0.82,-0.21,-0.04,0.11
20211207,19.421,19.411,19.481,19.361,28404,707506.0,0.62,0.41,0.08,0.11
20211208,19.421,19.361,19.446,19.351,41536,1033903.0,0.49,-0.26,-0.05,0.16
20211209,19.471,19.281,19.471,19.281,15013,372265.0,0.98,-0.41,-0.08,0.06
20211210,19.301,19.281,19.301,19.226,20937,517510.0,0.39,0.0,0.0,0.08
20211213,19.211,19.231,19.401,19.211,41037,1017170.0,0.99,-0.26,-0.05,0.15
