trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20200219,17.685,17.765,17.835,17.685,153829,3915320.0,0.85,0.45,0.08,0.0
20200220,17.765,17.795,17.875,17.635,213879,5460059.0,1.35,0.17,0.03,0.0
20200221,17.865,17.855,17.875,17.805,111243,2841905.0,0.39,0.34,0.06,0.0
20200224,17.645,17.765,17.775,17.125,219331,5570454.0,3.64,-0.5,-0.09,0.0
20200225,17.815,17.625,17.825,17.555,125065,3175698.0,1.52,-0.79,-0.14,0.0
20200226,17.635,17.535,17.715,17.535,112400,2847342.0,1.02,-0.51,-0.09,0.0
20200227,17.435,17.245,17.485,16.735,165537,4095605.0,4.28,-1.65,-0.29,0.0
20200228,17.085,16.775,17.085,16.345,1133294,27745490.0,4.29,-2.73,-0.47,0.0
20200302,16.685,16.525,16.765,16.285,75446,1829386.0,2.86,-1.49,-0.25,0.0
20200303,16.605,16.585,16.965,16.535,170558,4168631.0,2.6,0.36,0.06,0.0
20200304,16.645,17.005,17.025,16.635,112379,2756400.0,2.35,2.53,0.42,0.0
20200305,16.905,16.865,17.015,16.635,32378,793014.0,2.23,-0.82,-0.14,0.0
20200306,16.315,16.385,16.785,16.105,29306,709821.0,4.03,-2.85,-0.48,0.0
20200309,15.755,13.665,16.285,13.665,30343,674672.0,15.99,-16.6,-2.72,0.0
20200310,14.885,14.095,14.885,13.745,34732,760658.0,8.34,3.15,0.43,0.0
20200311,14.125,12.625,14.165,12.375,26084,536496.0,12.7,-10.43,-1.47,0.0
20200312,8.735,7.705,9.285,7.035,50241,803393.0,17.82,-38.97,-4.92,0.0
20200313,8.795,10.285,10.485,8.785,100534,1779408.0,22.06,33.48,2.58,0.0
20200316,7.035,6.285,8.105,6.285,36458,536162.0,17.7,-38.89,-4.0,0.0
20200317,6.485,5.055,6.485,4.785,53567,697395.0,27.05,-19.57,-1.23,0.0
20200318,3.585,0.285,4.295,0.285,33058,314461.0,79.33,-94.36,-4.77,0.0
20200319,0.335,2.375,2.785,0.335,150426,1425832.0,859.65,733.33,2.09,0.0
20200320,2.795,2.345,4.785,1.815,220310,2441006.0,125.05,-1.26,-0.03,0.0
20200323,2.375,1.985,2.515,1.285,142685,1380729.0,52.45,-15.35,-0.36,0.0
20200324,2.485,4.745,4.975,2.485,141375,1677378.0,125.44,139.04,2.76,0.0
20200325,5.255,7.615,7.865,5.085,65452,967390.0,58.59,60.48,2.87,0.0
20200326,7.755,8.735,9.405,7.755,135658,2207221.0,21.67,14.71,1.12,0.0
20200327,8.485,6.985,8.485,6.985,80502,1219882.0,17.17,-20.03,-1.75,0.0
20200330,7.185,7.255,7.685,6.855,35404,528702.0,11.88,3.87,0.27,0.0
20200331,7.285,6.285,7.285,6.185,87216,1242510.0,15.16,-13.37,-0.97,0.0
20200401,5.995,5.335,6.015,5.025,32455,429316.0,15.75,-15.12,-0.95,0.0
20200402,6.155,6.085,7.085,5.285,182327,2513435.0,33.74,14.06,0.75,0.0
20200403,5.785,6.285,6.285,3.735,172916,2240750.0,41.91,3.29,0.2,0.0
20200406,6.585,7.295,7.575,6.485,80908,1207248.0,17.34,16.07,1.01,0.0
20200407,8.035,8.435,8.615,7.535,129924,2067636.0,14.8,15.63,1.14,0.0
20200408,9.415,10.565,10.635,8.985,83788,1473005.0,19.56,25.25,2.13,0.0
20200409,10.785,11.665,12.325,10.685,110726,2160892.0,15.52,10.41,1.1,0.0
20200413,11.285,10.605,11.285,10.235,237480,4371324.0,9.0,-9.09,-1.06,0.0
20200414,10.835,11.335,11.675,10.835,86567,1656237.0,7.92,6.88,0.73,0.0
20200415,11.055,11.185,11.275,10.835,66734,1257981.0,3.88,-1.32,-0.15,0.0
