trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190903,24.257,24.168,24.276,24.118,115549,2832760.0,0.0,0.0,0.0,0.0
20190904,24.316,24.375,24.395,24.286,31976,789040.0,0.45,0.86,0.207,0.0
20190905,24.572,24.582,24.621,24.542,34004,847373.0,0.32,0.85,0.207,0.0
20190906,24.651,24.641,24.651,24.602,9440,235924.0,0.2,0.24,0.059,0.0
20190909,24.651,24.641,24.671,24.582,16031,400048.0,0.36,0.0,0.0,0.0
20190910,24.533,24.552,24.562,24.513,14597,363387.0,0.2,-0.36,-0.089,0.0
20190911,24.641,24.7,24.72,24.621,4948,123923.0,0.4,0.6,0.148,0.0
20190912,24.809,24.759,24.809,24.759,475,11949.0,0.2,0.24,0.059,0.0
20190913,24.828,24.74,24.828,24.73,18081,454814.0,0.4,-0.08,-0.019,0.0
20190916,24.74,24.7,24.74,24.7,600,15046.0,0.16,-0.16,-0.04,0.0
20190917,24.73,24.74,24.75,24.671,3154,79070.0,0.32,0.16,0.04,0.0
20190918,24.69,24.681,24.72,24.611,17951,448478.0,0.44,-0.24,-0.059,0.0
20190919,24.769,24.69,24.769,24.69,352,8840.0,0.32,0.04,0.009,0.0
20190920,24.69,24.641,24.641,24.641,466,0.0,0.0,-0.2,-0.049,0.0
20190923,24.651,24.641,24.651,24.641,2966,74154.0,0.04,0.0,0.0,0.0
20190924,24.671,24.493,24.671,24.493,7572,188833.0,0.72,-0.6,-0.148,0.0
20190925,24.503,24.602,24.602,24.483,656,16298.0,0.49,0.45,0.109,0.0
20190926,24.552,24.592,24.592,24.552,756,18844.0,0.16,-0.04,-0.01,0.0
20190927,24.592,24.473,24.592,24.473,3194,79618.0,0.48,-0.48,-0.119,0.0
20190930,24.552,24.562,24.602,24.542,10041,250169.0,0.25,0.36,0.089,0.0
20191001,24.631,24.355,24.631,24.355,1201,29819.0,1.12,-0.84,-0.207,0.0
20191002,24.207,24.099,24.207,24.099,5025,123073.0,0.44,-1.05,-0.256,0.0
20191003,23.951,24.207,24.227,23.951,8268,202624.0,1.15,0.45,0.108,0.0
20191004,24.365,24.444,24.444,24.326,2145,52993.0,0.49,0.98,0.237,0.0
20191007,24.473,24.404,24.473,24.404,1039,25765.0,0.28,-0.16,-0.04,0.0
20191008,24.178,24.109,24.178,24.109,1017,24936.0,0.28,-1.21,-0.295,0.0
20191009,24.109,24.266,24.266,24.266,41,0.0,0.0,0.65,0.157,0.0
20191010,24.414,24.375,24.414,24.375,350,8665.0,0.16,0.45,0.109,0.0
20191011,24.7,24.592,24.72,24.592,1551,38795.0,0.53,0.89,0.217,0.0
