trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210915,19.642,19.658,19.661,19.642,7388,185199.0,0.1,0.08,0.016,0.0
20210916,19.626,19.634,19.634,19.607,569,14237.0,0.14,-0.12,-0.024,0.0
20210917,19.642,19.607,19.642,19.607,8090,202570.0,0.18,-0.14,-0.027,0.0
20210920,19.54,19.536,19.54,19.509,1829,45587.0,0.16,-0.36,-0.071,0.0
20210921,19.548,19.568,19.572,19.548,1400,34954.0,0.12,0.16,0.032,0.0
20210922,19.627,19.599,19.642,19.599,4565,114231.0,0.22,0.16,0.031,0.0
20210924,19.599,19.599,19.599,19.599,10,250.0,0.0,0.0,0.0,0.0
20210927,19.556,19.548,19.572,19.533,4956,123676.0,0.2,-0.26,-0.051,0.0
20210928,19.501,19.437,19.501,19.433,9743,242391.0,0.35,-0.57,-0.111,0.0
20210929,19.509,19.478,19.517,19.478,591,14711.0,0.2,0.21,0.041,0.0
20210930,19.478,19.478,19.478,19.478,4,99.0,0.0,0.0,0.0,0.0
20211001,19.462,19.505,19.525,19.462,867,21555.0,0.32,0.14,0.027,0.0
20211004,19.454,19.431,19.454,19.431,1010,25051.0,0.12,-0.38,-0.074,0.0
20211005,19.415,19.415,19.415,19.415,105,2600.0,0.0,-0.08,-0.016,0.0
20211006,19.36,19.384,19.384,19.321,472,11652.0,0.32,-0.16,-0.031,0.0
20211007,19.415,19.415,19.415,19.415,101,2501.0,0.0,0.16,0.031,0.0
20211008,19.352,19.337,19.352,19.337,384,9480.0,0.08,-0.4,-0.078,0.0
20211011,19.352,19.313,19.352,19.313,480,11845.0,0.2,-0.12,-0.024,0.0
20211012,19.29,19.286,19.29,19.286,228,5611.0,0.02,-0.14,-0.027,0.0
20211013,19.29,19.337,19.337,19.29,101,2485.0,0.24,0.26,0.051,0.0
20211014,19.337,19.337,19.337,19.337,25,616.0,0.0,0.0,0.0,0.0
20211015,19.337,19.337,19.337,19.337,15,370.0,0.0,0.0,0.0,0.0
20211018,19.398,19.418,19.418,19.39,736,18151.0,0.14,0.42,0.081,0.0
20211019,19.43,19.441,19.461,19.43,8259,204265.0,0.16,0.12,0.023,0.0
20211020,19.445,19.441,19.453,19.437,2269,56096.0,0.08,0.0,0.0,0.0
20211021,19.375,19.378,19.397,19.375,3051,75150.0,0.11,-0.32,-0.063,0.0
20211022,19.378,19.378,19.378,19.378,2,49.0,0.0,0.0,0.0,0.0
20211025,19.359,19.367,19.367,19.359,671,16513.0,0.04,-0.06,-0.011,0.0
20211026,19.367,19.367,19.367,19.367,6,147.0,0.0,0.0,0.0,0.0
20211027,19.39,19.358,19.398,19.358,2123,52350.0,0.21,-0.05,-0.009,0.0
20211029,19.359,19.363,19.363,19.353,476,11711.0,0.05,0.03,0.005,0.0
20211101,19.357,19.335,19.359,19.335,2906,71448.0,0.12,-0.14,-0.028,0.0
20211102,19.335,19.335,19.335,19.335,2,49.0,0.0,0.0,0.0,0.0
20211103,19.359,19.398,19.422,19.359,3122,77033.0,0.33,0.33,0.063,0.0
20211104,19.493,19.481,19.493,19.465,1489,36867.0,0.14,0.43,0.083,0.0
20211108,19.481,19.481,19.481,19.481,8,198.0,0.0,0.0,0.0,0.0
20211110,19.493,19.434,19.493,19.434,622,15409.0,0.3,-0.24,-0.047,0.0
20211112,19.418,19.41,19.418,19.41,100,2468.0,0.04,-0.12,-0.024,0.0
20211115,19.406,19.386,19.406,19.386,2227,54940.0,0.1,-0.12,-0.024,0.0
20211116,19.386,19.386,19.386,19.386,24,591.0,0.0,0.0,0.0,0.0
20211117,19.375,19.363,19.382,19.363,888,21868.0,0.1,-0.12,-0.023,0.0
20211118,19.355,19.351,19.359,19.351,301,7406.0,0.04,-0.06,-0.012,0.0
20211119,19.335,19.292,19.335,19.292,45649,1121319.0,0.22,-0.3,-0.059,0.0
20211122,19.333,19.218,19.333,19.218,6160,150815.0,0.6,-0.38,-0.074,0.0
20211123,19.179,19.168,19.179,19.168,150,3644.0,0.06,-0.26,-0.05,0.0
20211124,19.143,19.159,19.159,19.135,377,9140.0,0.13,-0.05,-0.009,0.0
20211126,19.08,19.005,19.08,19.005,62514,1509257.0,0.39,-0.8,-0.154,0.0
20211129,19.122,19.147,19.147,19.122,171,4142.0,0.13,0.75,0.142,0.0
20211130,19.033,19.045,19.045,19.033,101,2435.0,0.06,-0.53,-0.102,0.0
20211201,19.175,19.056,19.175,19.056,24932,605335.0,0.62,0.06,0.011,0.0
20211202,19.056,19.056,19.056,19.056,69,1665.0,0.0,0.0,0.0,0.0
20211203,19.191,19.195,19.198,19.183,850,20664.0,0.08,0.73,0.139,0.0
20211206,19.269,19.281,19.281,19.269,269,6566.0,0.06,0.45,0.086,0.0
20211207,19.404,19.412,19.412,19.404,160,3932.0,0.04,0.68,0.131,0.0
20211208,19.412,19.429,19.467,19.412,2347,57776.0,0.28,0.09,0.017,0.0
20211209,19.356,19.356,19.356,19.356,200,4904.0,0.0,-0.38,-0.073,0.0
20211210,19.356,19.376,19.38,19.356,6247,153307.0,0.12,0.1,0.02,0.0
20211213,19.388,19.374,19.396,19.374,727,17856.0,0.11,-0.01,-0.002,0.0
20211214,19.309,19.337,19.341,19.309,227,5556.0,0.17,-0.19,-0.037,0.0
20211215,19.337,19.337,19.337,19.337,60,1469.0,0.0,0.0,0.0,0.0
20211216,19.412,19.368,19.412,19.368,290,7131.0,0.23,0.16,0.031,0.0
20211217,19.348,19.376,19.376,19.348,394,9656.0,0.14,0.04,0.008,0.0
20211220,19.358,19.378,19.378,19.338,1142,27861.0,0.21,0.01,0.002,0.0
20211221,19.429,19.438,19.485,19.41,1504,36845.0,0.39,0.31,0.06,0.0
20211222,19.493,19.513,19.513,19.469,3296,80946.0,0.23,0.39,0.075,0.0
20211223,19.572,19.592,19.62,19.572,22891,565051.0,0.25,0.4,0.079,0.0
20211227,19.612,19.608,19.636,19.592,10361,256194.0,0.22,0.08,0.016,0.0
20211228,19.604,19.576,19.604,19.56,2381,58752.0,0.22,-0.16,-0.032,0.0
20211229,19.555,19.536,19.563,19.536,1125,27727.0,0.14,-0.2,-0.04,0.0
20211230,19.568,19.532,19.58,19.532,7396,182380.0,0.25,-0.02,-0.004,0.0
20211231,19.58,19.556,19.588,19.556,2533,62494.0,0.16,0.12,0.024,0.0
20220103,19.548,19.517,19.548,19.485,2982,73317.0,0.32,-0.2,-0.039,0.0
20220104,19.532,19.489,19.532,19.461,5051,124106.0,0.36,-0.14,-0.028,0.0
20220105,19.477,19.315,19.477,19.315,7196,175726.0,0.83,-0.89,-0.174,0.0
20220106,19.342,19.306,19.342,19.306,645,15719.0,0.19,-0.05,-0.009,0.0
20220107,19.247,19.251,19.251,19.247,586,14217.0,0.02,-0.28,-0.055,0.0
20220110,19.16,19.223,19.223,19.16,13587,328127.0,0.33,-0.15,-0.028,0.0
20220111,19.326,19.322,19.326,19.322,347,8452.0,0.02,0.52,0.099,0.0
20220112,19.35,19.386,19.386,19.35,597,14567.0,0.19,0.33,0.064,0.0
20220113,19.413,19.318,19.413,19.318,1126,27526.0,0.49,-0.35,-0.068,0.0
20220114,19.318,19.318,19.318,19.318,9,219.0,0.0,0.0,0.0,0.0
20220118,19.215,19.195,19.223,19.195,1047,25358.0,0.14,-0.64,-0.123,0.0
20220119,19.215,19.183,19.215,19.175,623,15069.0,0.21,-0.06,-0.012,0.0
20220120,19.234,19.14,19.255,19.104,4305,103933.0,0.79,-0.22,-0.043,0.0
20220121,19.099,19.096,19.099,19.096,881,21208.0,0.02,-0.23,-0.044,0.0
20220124,18.968,18.952,18.968,18.952,664,15806.0,0.08,-0.75,-0.144,0.0
20220125,19.05,19.032,19.05,19.032,560,13396.0,0.09,0.42,0.08,0.0
20220126,19.085,18.972,19.085,18.92,1030,24601.0,0.87,-0.32,-0.06,0.0
20220127,18.968,18.809,18.992,18.809,36751,870823.0,0.96,-0.86,-0.163,0.0
20220128,18.761,18.85,18.85,18.737,4261,100291.0,0.6,0.22,0.041,0.0
20220131,18.813,18.92,18.92,18.813,4910,116296.0,0.57,0.37,0.07,0.0
20220201,18.976,18.967,18.992,18.944,1227,29223.0,0.25,0.25,0.047,0.0
20220202,18.976,18.992,19.008,18.952,2627,62642.0,0.3,0.13,0.025,0.0
20220203,18.889,18.809,18.889,18.809,1204,28554.0,0.42,-0.96,-0.183,0.0
20220204,18.666,18.674,18.674,18.626,32957,772298.0,0.26,-0.72,-0.135,0.0
20220207,18.674,18.674,18.674,18.674,322,7550.0,0.0,0.0,0.0,0.0
20220208,18.666,18.67,18.729,18.666,5165,121287.0,0.34,-0.02,-0.004,0.0
20220209,18.765,18.769,18.785,18.765,995,23456.0,0.11,0.53,0.099,0.0
20220210,18.626,18.514,18.721,18.483,44107,1025561.0,1.27,-1.36,-0.255,0.0
20220211,18.514,18.379,18.514,18.379,9800,226704.0,0.73,-0.73,-0.135,0.0
20220214,18.355,18.331,18.379,18.291,2020,46463.0,0.48,-0.26,-0.048,0.0
20220215,18.367,18.347,18.395,18.347,1770,40856.0,0.26,0.09,0.016,0.0
20220216,18.347,18.347,18.347,18.347,152,3502.0,0.0,0.0,0.0,0.0
