trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220308,25.369,25.342,25.64,25.342,7107,180658.0,1.17,-0.11,-0.027,0.0
20220309,25.62,25.764,25.87,25.62,44173,1140971.0,0.99,1.67,0.422,0.0
20220310,25.67,25.717,25.75,25.491,17410,447234.0,1.01,-0.18,-0.047,0.0
20220311,25.632,25.469,25.679,25.469,5513,141544.0,0.82,-0.96,-0.248,0.0
20220314,25.67,25.318,25.67,25.318,360,9241.0,1.38,-0.59,-0.151,0.0
20220315,25.47,25.731,25.75,25.47,11566,296626.0,1.11,1.63,0.413,0.0
20220316,25.98,26.085,26.099,25.948,13367,347812.0,0.59,1.38,0.354,0.0
20220317,26.23,26.34,26.34,26.14,4646,121880.0,0.77,0.98,0.255,0.0
20220318,26.409,26.573,26.573,26.385,1536,40563.0,0.71,0.88,0.233,0.0
20220321,26.6,26.555,26.645,26.555,2232,59415.0,0.34,-0.07,-0.018,0.0
20220322,26.746,26.757,26.757,26.743,270,7220.0,0.05,0.76,0.202,0.0
20220323,26.72,26.574,26.749,26.574,5178,138171.0,0.65,-0.68,-0.183,0.0
20220324,26.75,26.794,26.794,26.75,2432,65058.0,0.17,0.83,0.22,0.0
20220325,27.59,26.867,27.59,26.77,8934,240267.0,3.06,0.27,0.073,0.0
20220328,26.89,26.973,26.973,26.77,1112,29816.0,0.76,0.39,0.106,0.0
20220329,27.1,27.208,27.24,27.09,7521,204043.0,0.56,0.87,0.235,0.0
20220330,27.136,27.072,27.18,27.072,15716,426415.0,0.4,-0.5,-0.136,0.0
20220331,26.99,26.894,27.061,26.894,8072,218144.0,0.62,-0.66,-0.178,0.0
20220401,26.89,26.886,26.89,26.75,20711,555781.0,0.52,-0.03,-0.008,0.0
20220404,26.9,26.996,27.04,26.9,8297,223997.0,0.52,0.41,0.11,0.0
20220405,27.02,26.761,27.02,26.761,6107,164507.0,0.96,-0.87,-0.235,0.0
20220406,26.54,26.606,26.678,26.49,13600,361971.0,0.7,-0.58,-0.155,0.0
20220407,26.61,26.674,26.8,26.59,7566,202264.0,0.79,0.26,0.068,0.0
20220408,26.74,26.642,26.74,26.642,2980,79594.0,0.37,-0.12,-0.032,0.0
20220411,26.52,26.358,26.53,26.34,61738,1630812.0,0.71,-1.07,-0.284,0.0
20220412,26.48,26.294,26.54,26.24,62105,1637276.0,1.14,-0.24,-0.064,0.0
20220413,26.45,26.524,26.55,26.435,38858,1029670.0,0.44,0.87,0.23,0.0
20220414,26.52,26.268,26.54,26.268,42617,1126222.0,1.03,-0.97,-0.256,0.0
20220418,26.29,26.24,26.33,26.21,11491,302251.0,0.46,-0.11,-0.028,0.0
20220419,26.27,26.584,26.64,26.27,4132,109448.0,1.41,1.31,0.344,0.0
20220420,26.72,26.537,26.72,26.506,28534,759922.0,0.8,-0.18,-0.047,0.0
20220421,26.66,26.254,26.66,26.254,8337,221410.0,1.53,-1.07,-0.283,0.0
20220422,25.96,25.73,25.96,25.73,4767,123245.0,0.88,-2.0,-0.524,0.0
20220425,25.71,25.701,25.71,25.46,10393,266315.0,0.97,-0.11,-0.029,0.0
20220426,25.481,25.331,25.54,25.331,5903,150361.0,0.81,-1.44,-0.37,0.0
20220427,25.37,25.335,25.6,25.25,14288,363946.0,1.38,0.02,0.004,0.0
20220428,25.5,25.76,25.82,25.429,5720,147578.0,1.54,1.68,0.425,0.0
20220429,25.63,25.052,25.63,25.052,16124,410233.0,2.24,-2.75,-0.708,0.0
20220502,25.09,25.124,25.13,24.852,7738,193492.0,1.11,0.29,0.072,0.0
