trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180920,15.9,14.99,16.64,14.94,1405199,27648658.0,11.41,0.6,0.09,13.79
20180921,15.05,15.0,15.5,14.8,214301,4101882.0,4.67,0.07,0.01,2.1
20180924,14.95,15.01,15.25,14.95,54513,1042692.0,2.0,0.07,0.01,0.54
20180925,14.99,14.99,15.1,14.9,29188,557379.0,1.33,-0.13,-0.02,0.29
20180926,14.99,14.9,14.99,14.9,80860,1536736.0,0.6,-0.6,-0.09,0.79
20180927,14.93,14.9,15.38,14.53,40041,761024.0,5.7,0.0,0.0,0.39
20180928,14.83,15.15,15.29,14.24,27314,518384.0,7.05,1.68,0.25,0.27
20181001,14.91,14.92,15.34,14.91,12431,238348.0,2.84,-1.52,-0.23,0.12
20181002,14.81,14.91,14.92,14.4,43629,822983.0,3.49,-0.07,-0.01,0.43
20181003,14.83,14.85,14.96,14.81,7663,145639.0,1.01,-0.4,-0.06,0.08
20181004,14.8,14.65,14.8,14.4,15107,281838.0,2.69,-1.35,-0.2,0.15
20181005,14.51,14.45,14.71,14.45,9159,170177.0,1.77,-1.37,-0.2,0.09
20181008,14.47,14.1,14.47,13.98,55982,1017803.0,3.39,-2.42,-0.35,0.55
20181009,13.96,14.05,14.4,13.95,21060,382730.0,3.19,-0.35,-0.05,0.21
20181010,14.06,14.27,14.4,13.95,57496,1049672.0,3.2,1.57,0.22,0.56
20181011,14.17,14.03,14.2,13.9,7044,127790.0,2.1,-1.68,-0.24,0.07
20181012,14.39,14.45,14.53,13.92,8255,152100.0,4.35,2.99,0.42,0.08
20181015,14.65,14.9,15.26,14.37,42871,810351.0,6.16,3.11,0.45,0.42
20181016,14.85,14.72,15.29,14.72,4334,83134.0,3.83,-1.21,-0.18,0.04
20181017,15.05,14.89,15.2,14.32,6372,121112.0,5.98,1.15,0.17,0.06
20181018,14.8,14.45,15.06,14.45,3217,60746.0,4.1,-2.96,-0.44,0.03
20181019,14.9,14.4,14.9,13.9,5998,110559.0,6.92,-0.35,-0.05,0.06
