trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20241016,20.383,20.307,20.493,20.179,67815,1380533.0,1.54,-0.37,-0.076,0.0
20241017,20.263,20.163,20.41,20.034,36635,741970.0,1.85,-0.71,-0.144,0.0
20241018,20.543,20.885,20.996,20.473,36109,753014.0,2.59,3.58,0.722,0.0
20241021,20.852,20.58,20.862,20.293,41571,857874.0,2.72,-1.46,-0.305,0.0
20241022,20.583,20.677,20.693,20.413,33795,697712.0,1.36,0.47,0.097,0.0
20241023,20.473,20.083,20.473,19.764,22641,456746.0,3.43,-2.87,-0.594,0.0
20241024,20.703,20.832,20.862,20.403,34307,709111.0,2.29,3.73,0.749,0.0
20241025,20.663,20.373,20.962,20.174,15539,319844.0,3.78,-2.2,-0.459,0.0
20241028,21.072,21.302,21.351,20.962,28305,598596.0,1.91,4.56,0.929,0.0
20241029,21.871,22.43,22.729,21.811,53045,1189286.0,4.31,5.3,1.128,0.0
20241030,22.43,22.3,22.43,22.15,55565,1243187.0,1.25,-0.58,-0.13,0.0
20241031,22.29,21.341,22.29,21.282,37032,802688.0,4.52,-4.3,-0.959,0.0
20241101,21.441,21.002,21.821,20.882,16476,350670.0,4.4,-1.59,-0.339,0.0
20241104,20.962,20.473,20.962,20.463,68951,1420931.0,2.38,-2.52,-0.529,0.0
20241105,20.962,21.122,21.351,20.932,41535,880922.0,2.05,3.17,0.649,0.0
20241106,22.0,22.559,22.599,21.711,52524,1167152.0,4.2,6.8,1.437,0.0
20241107,22.539,23.028,23.143,22.3,100019,2295118.0,3.74,2.08,0.469,0.0
20241108,23.028,22.909,23.068,22.639,119255,2728145.0,1.86,-0.52,-0.119,0.0
20241111,23.957,25.384,25.564,23.877,86473,2156535.0,7.36,10.8,2.475,0.0
20241112,25.384,25.903,25.993,24.825,51515,1310680.0,4.6,2.04,0.519,0.0
20241113,26.193,25.704,27.031,25.574,60609,1591321.0,5.62,-0.77,-0.199,0.0
20241114,25.973,25.015,26.143,24.975,30469,775081.0,4.54,-2.68,-0.689,0.0
20241115,25.205,26.023,26.023,25.135,41090,1061372.0,3.55,4.03,1.008,0.0
20241118,26.153,26.562,26.841,25.981,36705,970823.0,3.3,2.07,0.539,0.0
20241119,26.782,27.091,27.51,26.692,33268,902704.0,3.08,1.99,0.529,0.0
20241120,27.8,27.75,27.938,27.401,51713,1435194.0,1.98,2.43,0.659,0.0
20241121,28.808,29.088,29.227,28.37,80440,2321924.0,3.09,4.82,1.338,0.0
20241122,29.088,29.686,29.846,28.948,77838,2298375.0,3.09,2.06,0.598,0.0
20241125,28.708,27.47,28.708,27.321,122929,3417635.0,4.67,-7.46,-2.216,0.0
20241126,26.951,26.342,27.421,26.253,98044,2616561.0,4.25,-4.11,-1.128,0.0
20241127,27.65,28.009,28.239,27.53,54179,1514196.0,2.69,6.33,1.667,0.0
20241129,28.469,28.399,28.868,28.379,37910,1089015.0,1.75,1.39,0.39,0.0
20241202,27.94,27.62,28.239,27.311,46347,1292923.0,3.27,-2.74,-0.779,0.0
20241203,27.55,27.63,27.81,27.192,35419,980245.0,2.24,0.04,0.01,0.0
20241204,27.88,28.798,28.808,27.51,25853,722965.0,4.7,4.23,1.168,0.0
20241205,29.856,28.469,30.046,28.299,57041,1676370.0,6.07,-1.14,-0.329,0.0
20241206,28.618,29.297,29.467,28.449,36712,1077497.0,3.58,2.91,0.828,0.0
20241209,28.968,27.95,29.357,27.95,44272,1271096.0,4.8,-4.6,-1.347,0.0
20241210,28.519,28.529,29.033,27.875,40201,1143634.0,4.14,2.07,0.579,0.0
20241211,29.487,30.365,30.534,29.297,71049,2141349.0,4.34,6.44,1.836,0.0
20241212,30.036,29.227,30.046,29.118,62817,1868880.0,3.06,-3.75,-1.138,0.0
20241213,29.227,29.417,29.557,29.038,29814,876784.0,1.78,0.65,0.19,0.0
20241216,30.325,30.774,31.269,30.285,87315,2692272.0,3.35,4.61,1.357,0.0
20241217,31.104,30.715,31.284,30.445,61354,1895437.0,2.73,-0.19,-0.059,0.0
20241218,30.265,28.379,30.265,28.119,99746,2942857.0,6.99,-7.61,-2.336,0.0
20241219,28.908,27.151,28.968,27.001,71343,1993209.0,6.93,-4.33,-1.228,0.0
20241220,26.971,27.49,27.901,26.971,57403,1580596.0,3.43,1.25,0.339,0.0
20241223,27.15,26.33,27.15,26.17,48238,1277772.0,3.56,-4.22,-1.16,0.0
20241224,27.37,28.14,28.19,27.34,84775,2373442.0,3.23,6.87,1.81,0.0
20241226,27.3,27.4,27.494,27.082,26767,728970.0,1.46,-2.63,-0.74,0.0
20241227,27.4,26.68,27.4,26.28,95257,2523066.0,4.09,-2.63,-0.72,0.0
20241230,26.18,26.48,26.6,25.49,27291,706509.0,4.16,-0.75,-0.2,0.0
20241231,26.68,26.36,27.0,26.31,20083,535456.0,2.61,-0.45,-0.12,0.0
20250102,27.39,27.85,28.0,27.39,36456,1007165.0,2.31,5.65,1.49,0.0
20250103,27.68,27.94,28.096,27.59,24674,686537.0,1.82,0.32,0.09,0.0
20250106,28.0,28.96,29.14,27.9,42461,1218948.0,4.44,3.65,1.02,0.0
20250107,28.88,27.45,28.88,27.32,26888,745216.0,5.39,-5.21,-1.51,0.0
20250108,27.21,26.86,27.46,26.51,38761,1047405.0,3.46,-2.15,-0.59,0.0
20250110,27.45,27.48,27.81,26.9,35706,974208.0,3.39,2.31,0.62,0.0
20250113,26.12,26.76,26.76,25.73,47689,1248256.0,3.75,-2.62,-0.72,0.0
20250114,27.39,27.64,27.86,27.295,25482,701817.0,2.11,3.29,0.88,0.0
20250115,28.65,28.97,29.155,28.541,20315,584072.0,2.22,4.81,1.33,0.0
20250116,28.97,29.41,29.48,28.55,20388,592345.0,3.21,1.52,0.44,0.0
20250117,29.49,30.58,30.951,29.49,48880,1480538.0,4.97,3.98,1.17,0.0
20250121,30.8,31.17,31.56,30.23,45605,1413403.0,4.35,1.93,0.59,0.0
20250122,30.9,30.75,30.9,30.585,24376,750335.0,1.01,-1.35,-0.42,0.0
20250123,30.04,30.4,31.33,29.87,40256,1236588.0,4.75,-1.14,-0.35,0.0
20250124,31.26,31.04,31.72,31.04,51431,1617769.0,2.24,2.11,0.64,0.0
20250127,29.52,29.67,29.96,28.8,111570,3268267.0,3.74,-4.41,-1.37,0.0
20250128,30.15,29.99,30.51,29.88,67047,2029362.0,2.12,1.08,0.32,0.0
20250129,30.17,30.69,30.824,29.76,28572,862343.0,3.55,2.33,0.7,0.0
20250130,31.4,31.49,31.85,31.4,36441,1154717.0,1.47,2.61,0.8,0.0
20250131,31.38,30.23,31.84,30.16,87300,2682264.0,5.34,-4.0,-1.26,0.0
20250203,28.45,30.4,30.65,28.45,85178,2525731.0,7.28,0.56,0.17,0.0
20250204,30.0,29.83,30.33,29.66,40528,1212936.0,2.2,-1.88,-0.57,0.0
20250205,29.89,29.43,30.109,29.285,25147,746852.0,2.76,-1.34,-0.4,0.0
20250206,29.81,29.36,29.872,28.93,32049,935769.0,3.2,-0.24,-0.07,0.0
20250207,30.3,29.03,30.54,28.99,37566,1112978.0,5.28,-1.12,-0.33,0.0
20250210,30.11,30.09,30.11,29.835,32632,978060.0,0.95,3.65,1.06,0.0
20250211,29.73,29.19,29.9,29.11,35317,1036149.0,2.63,-2.99,-0.9,0.0
20250212,29.0,29.78,30.03,28.9,31614,931333.0,3.87,2.02,0.59,0.0
20250213,29.7,29.82,29.908,29.44,35589,1057042.0,1.57,0.13,0.04,0.0
20250214,29.79,29.57,30.17,29.48,33754,1004870.0,2.31,-0.84,-0.25,0.0
20250218,29.61,29.16,29.8,28.88,55503,1618490.0,3.11,-1.39,-0.41,0.0
