trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20191025,9.0,10.0,10.0,8.58,971526,9048336.0,12.91,-9.09,-1.0,4.12
20191028,10.25,10.01,10.67,9.99,285693,2902122.0,6.8,0.1,0.01,1.21
20191029,10.01,10.51,10.78,9.59,152022,1560159.0,11.89,5.0,0.5,0.65
20191030,10.53,10.65,10.79,10.28,107534,1136866.0,4.85,1.33,0.14,0.46
20191031,10.64,10.5,10.74,10.11,114966,1200162.0,5.92,-1.41,-0.15,0.49
20191101,10.51,10.75,10.91,10.1,157515,1673518.0,7.71,2.38,0.25,0.67
20191104,11.0,11.0,11.45,10.8,340340,3745699.0,6.05,2.33,0.25,1.45
20191105,11.11,11.0,11.38,11.0,96887,1073258.0,3.45,0.0,0.0,0.41
20191106,11.17,11.0,11.21,10.46,91191,999127.0,6.82,0.0,0.0,0.39
20191107,11.0,11.0,11.19,10.7,101384,1116606.0,4.45,0.0,0.0,0.43
20191108,11.11,11.12,11.2,10.98,127397,1409974.0,2.0,1.09,0.12,0.54
20191111,11.15,13.92,13.92,11.01,173578,2156328.0,26.17,25.18,2.8,0.74
20191112,13.75,11.77,14.46,11.16,104807,1357317.0,23.71,-15.45,-2.15,0.44
20191113,11.75,12.7,13.02,11.23,37203,445472.0,15.21,7.9,0.93,0.16
20191114,12.47,13.16,13.98,12.09,135278,1782348.0,14.88,3.62,0.46,0.57
20191115,13.39,14.0,14.25,12.55,79925,1101462.0,12.92,6.38,0.84,0.34
20191118,13.48,13.79,15.11,12.57,51607,726095.0,18.14,-1.5,-0.21,0.22
20191119,13.64,17.71,18.28,13.64,109830,1851551.0,33.65,28.43,3.92,0.47
20191120,17.71,16.47,18.11,15.86,77446,1315919.0,12.7,-7.0,-1.24,0.33
20191121,16.49,14.57,16.89,13.88,48890,717536.0,18.28,-11.54,-1.9,0.21
20191122,14.49,13.25,14.54,13.04,47597,648346.0,10.3,-9.06,-1.32,0.2
20191125,13.22,13.2,13.85,13.02,50110,671235.0,6.26,-0.38,-0.05,0.21
20191126,13.01,12.6,13.82,12.38,80887,1054886.0,10.91,-4.55,-0.6,0.34
