trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240213,23.128,23.033,23.128,23.016,3538,87081.0,0.48,-0.41,-0.095,0.0
20240214,23.138,23.208,23.208,23.111,4493,110990.0,0.42,0.76,0.175,0.0
20240215,23.203,23.293,23.344,23.185,7028,174625.0,0.69,0.37,0.085,0.0
20240216,23.147,23.071,23.203,23.071,2268,55934.0,0.57,-0.95,-0.222,0.0
20240220,22.936,22.967,22.967,22.936,354,8660.0,0.13,-0.45,-0.104,0.0
20240221,22.819,22.861,22.861,22.716,1573,38220.0,0.63,-0.46,-0.106,0.0
20240222,23.232,23.322,23.344,23.231,956,23758.0,0.49,2.02,0.461,0.0
20240223,23.41,23.347,23.41,23.344,2139,53343.0,0.28,0.11,0.025,0.0
20240226,23.344,23.327,23.382,23.327,1107,27584.0,0.24,-0.09,-0.02,0.0
20240227,23.325,23.341,23.353,23.325,2405,59875.0,0.12,0.06,0.014,0.0
20240228,23.307,23.273,23.307,23.25,1494,37088.0,0.24,-0.29,-0.068,0.0
20240229,23.625,23.435,23.625,23.391,2820,70617.0,1.01,0.7,0.162,0.0
20240301,23.421,23.712,23.712,23.421,1000,24991.0,1.24,1.18,0.277,0.0
20240304,23.803,23.741,23.813,23.741,1916,48609.0,0.3,0.12,0.029,0.0
20240305,23.607,23.552,23.607,23.466,2556,64214.0,0.59,-0.8,-0.189,0.0
20240306,23.785,23.726,23.803,23.726,920,23336.0,0.33,0.74,0.174,0.0
20240307,23.991,24.076,24.085,23.927,4428,113610.0,0.67,1.48,0.35,0.0
20240308,24.164,23.78,24.164,23.78,2698,69021.0,1.59,-1.23,-0.296,0.0
20240311,23.616,23.672,23.7,23.616,1295,32677.0,0.35,-0.45,-0.108,0.0
20240312,23.785,23.857,23.857,23.782,2173,55158.0,0.32,0.78,0.185,0.0
20240313,23.761,23.75,23.785,23.739,1546,39205.0,0.19,-0.45,-0.107,0.0
20240314,23.841,23.582,23.841,23.582,637,16082.0,1.09,-0.71,-0.168,0.0
20240315,23.485,23.445,23.485,23.445,252,6312.0,0.17,-0.58,-0.137,0.0
20240318,23.588,23.521,23.588,23.521,224,5635.0,0.29,0.32,0.076,0.0
20240319,23.438,23.541,23.541,23.335,665,16564.0,0.88,0.09,0.02,0.0
