trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250612,24.903,24.54,24.903,24.54,248,6142.0,1.48,0.0,0.0,0.0
20250617,24.22,23.996,24.22,23.996,21024,509197.0,0.91,-2.22,-0.544,0.0
20250620,24.21,23.971,24.21,23.971,49031,1187036.0,1.0,-0.1,-0.025,0.0
20250623,23.75,24.139,24.139,23.75,80005,1903949.0,1.62,0.7,0.168,0.0
20250624,24.42,24.396,24.42,24.396,90000,2197125.0,0.1,1.06,0.257,0.0
20250625,24.12,24.058,24.12,24.058,40101,965236.0,0.25,-1.39,-0.338,0.0
20250626,24.34,24.402,24.402,24.34,100,2434.0,0.26,1.43,0.344,0.0
20250627,24.674,24.674,24.674,24.674,119,2933.0,0.0,1.11,0.272,0.0
20250630,24.534,24.534,24.534,24.534,6,147.0,0.0,-0.57,-0.14,0.0
20250701,25.127,25.127,25.127,25.127,4,103.0,0.0,2.42,0.593,0.0
20250702,25.59,25.61,25.61,25.59,100,2559.0,0.08,1.92,0.483,0.0
20250703,25.587,25.587,25.587,25.587,6,154.0,0.0,-0.09,-0.023,0.0
20250707,25.24,25.253,25.253,25.24,1241,31348.0,0.05,-1.31,-0.334,0.0
20250710,26.138,26.138,26.138,26.138,4,105.0,0.0,3.5,0.885,0.0
20250711,25.914,25.914,25.914,25.914,23,596.0,0.0,-0.86,-0.224,0.0
20250714,25.92,25.889,25.92,25.889,942,24414.0,0.12,-0.1,-0.025,0.0
20250717,25.656,25.656,25.656,25.656,77,1962.0,0.0,-0.9,-0.233,0.0
20250718,25.491,25.491,25.491,25.491,4,103.0,0.0,-0.64,-0.165,0.0
20250722,25.903,25.903,25.903,25.903,21,535.0,0.0,1.62,0.412,0.0
20250724,25.96,25.963,25.98,25.92,1441,37400.0,0.23,0.23,0.06,0.0
20250725,26.253,26.253,26.253,26.253,1,26.0,0.0,1.12,0.29,0.0
20250728,26.4,26.423,26.423,26.4,1505,39732.0,0.09,0.65,0.17,0.0
20250729,26.013,26.013,26.013,26.013,9,235.0,0.0,-1.55,-0.41,0.0
20250730,25.531,25.531,25.531,25.531,2,53.0,0.0,-1.85,-0.482,0.0
20250731,25.019,25.019,25.019,25.019,3,75.0,0.0,-2.01,-0.512,0.0
20250801,24.921,24.921,24.921,24.921,2,51.0,0.0,-0.39,-0.098,0.0
20250804,24.76,24.76,24.76,24.76,26,644.0,0.0,-0.65,-0.161,0.0
20250805,24.957,24.957,24.957,24.957,1,25.0,0.0,0.8,0.197,0.0
20250806,24.713,24.713,24.713,24.713,1,25.0,0.0,-0.98,-0.244,0.0
20250807,24.721,24.721,24.721,24.721,5,124.0,0.0,0.03,0.008,0.0
20250808,24.929,24.929,24.929,24.929,29,721.0,0.0,0.84,0.208,0.0
20250811,24.825,24.825,24.825,24.825,3,75.0,0.0,-0.42,-0.104,0.0
20250812,25.7,25.731,25.731,25.7,114,2925.0,0.12,3.65,0.906,0.0
20250814,26.185,26.185,26.185,26.185,2,52.0,0.0,1.76,0.454,0.0
20250815,25.96,25.96,25.96,25.96,1,26.0,0.0,-0.86,-0.225,0.0
20250818,26.034,26.034,26.034,26.034,3,78.0,0.0,0.29,0.074,0.0
20250819,26.273,26.273,26.273,26.273,5,131.0,0.0,0.92,0.239,0.0
20250822,27.689,27.689,27.689,27.689,2,54.0,0.0,5.39,1.416,0.0
20250825,27.586,27.586,27.586,27.586,21,586.0,0.0,-0.37,-0.103,0.0
20250826,27.902,27.891,27.94,27.86,2386,66590.0,0.29,1.11,0.305,0.0
20250827,27.87,28.051,28.051,27.87,146,4076.0,0.65,0.57,0.16,0.0
20250828,28.038,28.038,28.038,28.038,129,3620.0,0.0,-0.05,-0.013,0.0
20250829,28.0,28.024,28.024,28.0,530,14840.0,0.09,-0.05,-0.014,0.0
20250903,28.1,27.872,28.1,27.872,1300,36487.0,0.81,-0.54,-0.152,0.0
20250904,28.37,28.37,28.37,28.37,30,837.0,0.0,1.79,0.498,0.0
