trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250502,11.0,11.08,11.25,10.8,10218381,112746516.0,4.5,10.8,1.08,33.42
20250505,11.16,11.0,11.18,10.93,1429697,15748645.0,2.26,-0.72,-0.08,4.68
20250506,10.91,10.91,11.02,10.9,875905,9604687.0,1.09,-0.82,-0.09,2.86
20250507,10.95,10.95,11.02,10.9,527494,5768145.0,1.1,0.37,0.04,1.72
20250508,11.0,11.19,11.19,10.85,1262675,13977152.0,3.11,2.19,0.24,4.13
20250509,11.18,11.11,11.31,11.012,630502,7049904.0,2.66,-0.71,-0.08,2.06
20250512,11.3,11.26,11.385,11.2,849802,9601752.0,1.67,1.35,0.15,2.78
20250513,11.26,11.3,11.476,10.99,368080,4111098.0,4.32,0.36,0.04,1.2
20250514,11.38,11.36,11.43,11.22,327718,3721012.0,1.86,0.53,0.06,1.07
20250515,11.25,11.17,11.3,11.02,624809,6985100.0,2.46,-1.67,-0.19,2.04
20250516,11.25,11.25,11.37,11.14,385519,4330687.0,2.06,0.72,0.08,1.26
20250519,11.24,11.27,11.375,11.101,229956,2598878.0,2.44,0.18,0.02,0.75
20250520,11.29,11.3,11.35,11.2,197135,2225336.0,1.33,0.27,0.03,0.64
20250521,11.27,11.21,11.285,11.15,226535,2542161.0,1.19,-0.8,-0.09,0.74
20250522,11.19,11.27,11.38,11.155,178017,2010374.0,2.01,0.54,0.06,0.58
20250523,11.3,11.46,11.67,11.28,350344,3998248.0,3.46,1.69,0.19,1.15
20250527,11.53,11.5,11.55,11.3,426079,4862657.0,2.18,0.35,0.04,1.39
20250528,11.55,11.36,11.582,11.36,370500,4259730.0,1.93,-1.22,-0.14,1.21
20250529,11.45,11.45,11.5,11.321,284652,3251873.0,1.58,0.79,0.09,0.93
20250530,11.43,11.47,11.53,11.365,203933,2341915.0,1.44,0.17,0.02,0.67
20250602,11.58,11.51,11.58,11.432,130398,1499345.0,1.29,0.35,0.04,0.43
20250603,11.54,11.62,11.74,11.54,151965,1771914.0,1.74,0.96,0.11,0.5
20250604,11.76,11.56,11.76,11.5,292251,3406234.0,2.24,-0.52,-0.06,0.96
20250605,11.6,11.35,11.6,11.3,182521,2097951.0,2.6,-1.82,-0.21,0.6
20250606,11.31,11.24,11.37,11.24,242752,2742855.0,1.15,-0.97,-0.11,0.79
20250609,11.28,11.45,11.49,11.27,162318,1847160.0,1.96,1.87,0.21,0.53
20250610,11.48,11.36,11.48,11.33,95570,1087200.0,1.31,-0.79,-0.09,0.31
20250611,11.45,11.35,11.46,11.35,76980,878535.0,0.97,-0.09,-0.01,0.25
20250612,11.39,11.385,11.44,11.32,30236,344154.0,1.06,0.31,0.035,0.1
20250613,11.35,11.37,11.39,11.31,29897,339311.0,0.7,-0.13,-0.015,0.1
20250616,11.45,11.385,11.45,11.31,40556,462278.0,1.23,0.13,0.015,0.13
20250617,11.33,11.46,11.55,11.32,481739,5518697.0,2.02,0.66,0.075,1.58
20250618,11.45,11.45,11.51,11.43,73258,839469.0,0.7,-0.09,-0.01,0.24
20250620,11.5,11.64,11.69,11.46,227887,2646609.0,2.01,1.66,0.19,0.75
20250623,11.6,11.485,11.6,11.425,211480,2431226.0,1.5,-1.33,-0.155,0.69
20250624,11.55,11.35,11.87,11.24,300694,3425253.0,5.49,-1.18,-0.135,0.98
20250625,11.33,10.91,11.355,10.71,564539,6171543.0,5.68,-3.88,-0.44,1.85
20250626,10.88,10.97,11.14,10.88,244079,2679799.0,2.38,0.55,0.06,0.8
20250627,10.955,10.91,11.05,10.9,75100,821819.0,1.37,-0.55,-0.06,0.25
20250630,10.91,11.03,11.05,10.91,99989,1100174.0,1.28,1.1,0.12,0.33
20250701,11.06,10.93,11.1,10.93,101736,1124933.0,1.54,-0.91,-0.1,0.34
20250702,11.01,10.94,11.05,10.88,49801,544576.0,1.56,0.09,0.01,0.17
20250703,10.95,10.998,11.0,10.94,35599,390079.0,0.55,0.53,0.058,0.12
20250707,11.01,10.9,11.01,10.885,60764,664174.0,1.14,-0.89,-0.098,0.2
