trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240905,24.938,24.909,24.938,24.909,216,5414.0,0.12,-0.12,-0.029,0.0
20240906,24.565,24.565,24.565,24.565,42,1037.0,0.0,-1.38,-0.344,0.0
20240909,24.68,24.68,24.68,24.68,50,1240.0,0.0,0.47,0.115,0.0
20240910,24.456,24.456,24.456,24.456,6,147.0,0.0,-0.91,-0.224,0.0
20240911,24.628,24.628,24.628,24.628,10014,247925.0,0.0,0.7,0.172,0.0
20240912,25.041,25.041,25.041,25.041,7,176.0,0.0,1.68,0.413,0.0
20240913,25.135,25.135,25.135,25.135,33,833.0,0.0,0.38,0.094,0.0
20240916,25.272,25.272,25.272,25.272,2,50.0,0.0,0.55,0.137,0.0
20240917,25.366,25.366,25.366,25.366,63,1606.0,0.0,0.37,0.094,0.0
20240918,25.245,25.245,25.245,25.245,14,355.0,0.0,-0.48,-0.121,0.0
20240919,25.561,25.561,25.561,25.561,2,51.0,0.0,1.25,0.316,0.0
20240920,25.62,25.62,25.62,25.62,4,103.0,0.0,0.23,0.059,0.0
20240923,25.743,25.743,25.743,25.743,20,517.0,0.0,0.48,0.123,0.0
20240924,26.072,26.098,26.098,26.072,323,8467.0,0.1,1.38,0.355,0.0
20240925,26.031,26.031,26.031,26.031,123,3218.0,0.0,-0.26,-0.067,0.0
20240926,25.993,25.905,25.993,25.905,642,16775.0,0.34,-0.48,-0.126,0.0
20240927,26.04,26.04,26.04,26.04,90,2355.0,0.0,0.52,0.135,0.0
20240930,25.993,26.013,26.013,25.983,6231,162806.0,0.12,-0.1,-0.027,0.0
20241001,26.302,26.302,26.302,26.302,73,1930.0,0.0,1.11,0.289,0.0
20241002,26.45,26.45,26.45,26.45,1,26.0,0.0,0.56,0.148,0.0
20241003,26.648,26.648,26.648,26.648,23,616.0,0.0,0.75,0.198,0.0
20241004,26.665,26.665,26.665,26.665,23,616.0,0.0,0.06,0.017,0.0
20241007,26.824,26.824,26.824,26.824,33,889.0,0.0,0.6,0.159,0.0
20241008,26.341,26.341,26.341,26.341,20,529.0,0.0,-1.8,-0.483,0.0
20241009,26.082,26.132,26.132,26.069,1078,28258.0,0.24,-0.79,-0.209,0.0
20241010,26.456,26.456,26.456,26.456,7,186.0,0.0,1.24,0.324,0.0
20241011,26.507,26.507,26.507,26.507,159,4236.0,0.0,0.19,0.051,0.0
