trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240627,24.175,24.184,24.184,24.173,801743,20075650.0,0.05,0.04,0.009,0.0
20240628,24.194,24.175,24.194,24.155,9118,228281.0,0.16,-0.04,-0.009,0.0
20240701,24.194,24.078,24.194,24.049,145991,3643489.0,0.6,-0.4,-0.097,0.0
20240702,24.165,24.189,24.194,24.156,10401,260510.0,0.16,0.46,0.111,0.0
20240703,24.194,24.281,24.291,24.194,18615,467133.0,0.4,0.38,0.092,0.0
20240705,24.204,24.281,24.281,24.204,112859,2833992.0,0.32,0.0,0.0,0.0
20240708,24.3,24.305,24.31,24.295,154606,3892967.0,0.06,0.1,0.024,0.0
20240709,24.32,24.3,24.32,24.3,100568,2533300.0,0.08,-0.02,-0.005,0.0
20240710,25.16,24.353,25.16,24.339,123533,3119572.0,3.38,0.22,0.053,0.0
20240711,24.435,24.402,24.435,24.397,140224,3546234.0,0.16,0.2,0.049,0.0
20240712,24.455,24.45,24.474,24.447,5952,150802.0,0.11,0.2,0.048,0.0
20240715,24.542,24.426,24.542,24.416,156541,3963060.0,0.52,-0.1,-0.024,0.0
20240716,24.455,24.493,24.503,24.455,137418,3484168.0,0.2,0.27,0.067,0.0
20240717,24.532,24.513,24.532,24.503,162841,4137664.0,0.12,0.08,0.02,0.0
20240718,24.513,24.513,24.532,24.513,107185,2723462.0,0.08,0.0,0.0,0.0
20240719,24.493,24.484,24.493,24.474,102964,2612163.0,0.08,-0.12,-0.029,0.0
20240722,24.498,24.467,24.542,24.467,19238,488407.0,0.31,-0.07,-0.017,0.0
20240723,24.496,24.503,24.513,24.493,16817,426902.0,0.08,0.15,0.036,0.0
20240724,24.532,24.455,24.546,24.455,110795,2815963.0,0.37,-0.2,-0.048,0.0
20240725,24.531,24.493,24.531,24.493,12257,311227.0,0.16,0.16,0.038,0.0
20240726,24.522,24.542,24.561,24.522,8564,217718.0,0.16,0.2,0.049,0.0
20240729,24.551,24.561,24.571,24.551,2709,68908.0,0.08,0.08,0.019,0.0
20240730,24.561,24.561,24.571,24.542,40130,1021020.0,0.12,0.0,0.0,0.0
