trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230928,23.708,23.713,23.718,23.704,1245424,31197737.0,0.06,0.02,0.005,0.0
20230929,23.689,23.699,23.699,23.689,3650,91348.0,0.04,-0.06,-0.014,0.0
20231002,23.68,23.67,23.689,23.67,5195,129953.0,0.08,-0.12,-0.029,0.0
20231003,23.642,23.637,23.642,23.637,210,5243.0,0.02,-0.14,-0.033,0.0
20231004,23.632,23.651,23.651,23.63,17204,429652.0,0.09,0.06,0.014,0.0
20231005,23.651,23.651,23.651,23.651,20346,508243.0,0.0,0.0,0.0,0.0
20231006,23.651,23.642,23.651,23.642,2632,65730.0,0.04,-0.04,-0.009,0.0
20231009,23.642,23.642,23.642,23.642,678,16929.0,0.0,0.0,0.0,0.0
20231010,23.661,23.656,23.661,23.656,2997,74891.0,0.02,0.06,0.014,0.0
20231011,23.689,23.737,23.737,23.684,8133,203538.0,0.22,0.34,0.081,0.0
20231012,23.765,23.765,23.765,23.765,120,3012.0,0.0,0.12,0.028,0.0
20231013,23.756,23.77,23.774,23.756,16084,403691.0,0.08,0.02,0.005,0.0
20231017,23.746,23.732,23.746,23.718,32664,818551.0,0.12,-0.16,-0.038,0.0
20231018,23.708,23.713,23.727,23.708,15305,383524.0,0.08,-0.08,-0.019,0.0
20231019,23.689,23.675,23.689,23.675,3201,80060.0,0.06,-0.16,-0.038,0.0
20231020,23.689,23.707,23.708,23.689,66634,1668008.0,0.08,0.14,0.032,0.0
20231023,23.67,23.666,23.684,23.657,78070,1952197.0,0.11,-0.17,-0.041,0.0
20231024,23.67,23.67,23.67,23.661,83201,2079204.0,0.04,0.02,0.004,0.0
20231025,23.675,23.675,23.68,23.675,21653,541437.0,0.02,0.02,0.005,0.0
20231026,23.68,23.708,23.708,23.68,37103,928528.0,0.12,0.14,0.033,0.0
20231027,23.7,23.703,23.708,23.699,2931,73365.0,0.04,-0.02,-0.005,0.0
20231030,23.699,23.708,23.718,23.689,14826,371161.0,0.12,0.02,0.005,0.0
20231102,23.771,23.781,23.781,23.757,32542,815053.0,0.1,0.31,0.073,0.0
20231103,23.8,23.857,23.866,23.8,106036,2664482.0,0.28,0.32,0.076,0.0
20231106,23.857,23.847,23.857,23.847,74431,1870457.0,0.04,-0.04,-0.01,0.0
