trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-11.255,-11.61,-11.145,-11.645,127600,0.0,0.0,0.0,0.0,0.4
20010103,-11.61,-12.02,-11.61,-12.11,243600,0.0,-4.31,-3.53,-0.41,0.76
20010104,-12.02,-12.24,-12.02,-12.255,99200,0.0,-1.96,-1.83,-0.22,0.31
20010105,-12.27,-12.33,-12.19,-12.345,175200,0.0,-1.27,-0.74,-0.09,0.54
20010108,-12.3,-12.33,-12.255,-12.345,129200,0.0,-0.73,0.0,0.0,0.4
20010109,-12.345,-12.47,-12.33,-12.49,269200,0.0,-1.3,-1.14,-0.14,0.84
20010110,-12.505,-12.315,-12.315,-12.505,260200,0.0,-1.52,1.24,0.155,0.81
20010111,-12.285,-12.3,-12.22,-12.3,205400,0.0,-0.65,0.12,0.015,0.64
20010112,-12.3,-12.41,-12.285,-12.41,157000,0.0,-1.02,-0.89,-0.11,0.49
20010116,-12.36,-12.345,-12.315,-12.44,194600,0.0,-1.01,0.52,0.065,0.6
20010117,-12.315,-12.505,-12.315,-12.505,137400,0.0,-1.54,-1.3,-0.16,0.43
20010118,-12.49,-12.72,-12.49,-12.72,109800,0.0,-1.84,-1.72,-0.215,0.34
20010119,-12.69,-12.505,-12.49,-12.69,222800,0.0,-1.57,1.69,0.215,0.69
20010122,-12.535,-12.58,-12.455,-12.61,108200,0.0,-1.24,-0.6,-0.075,0.34
20010123,-12.58,-12.595,-12.565,-12.595,133800,0.0,-0.24,-0.12,-0.015,0.42
20010124,-12.58,-12.645,-12.55,-12.72,201800,0.0,-1.35,-0.4,-0.05,0.63
20010125,-12.645,-12.83,-12.63,-12.86,303800,0.0,-1.82,-1.46,-0.185,0.94
20010126,-12.83,-12.94,-12.8,-13.02,300200,0.0,-1.71,-0.86,-0.11,0.93
20010129,-12.925,-12.9,-12.81,-12.97,149600,0.0,-1.24,0.31,0.04,0.46
20010130,-12.88,-12.85,-12.805,-12.88,477200,0.0,-0.58,0.39,0.05,1.48
20010131,-12.69,-12.74,-12.675,-12.84,403000,0.0,-1.28,0.86,0.11,1.25
20010201,-12.74,-12.73,-12.68,-12.755,79400,0.0,-0.59,0.08,0.01,0.25
20010202,-12.73,-12.715,-12.7,-12.8,306800,0.0,-0.79,0.12,0.015,0.95
20010205,-12.65,-12.295,-12.26,-12.65,409600,0.0,-3.07,3.3,0.42,1.27
20010206,-12.275,-12.09,-12.075,-12.285,415000,0.0,-1.71,1.67,0.205,1.29
20010207,-12.11,-12.05,-11.96,-12.24,249000,0.0,-2.32,0.33,0.04,0.77
20010208,-12.05,-12.06,-11.98,-12.085,328800,0.0,-0.87,-0.08,-0.01,1.02
20010209,-12.09,-12.06,-12.05,-12.09,113800,0.0,-0.33,0.0,0.0,0.35
20010212,-12.1,-12.11,-12.05,-12.175,75600,0.0,-1.04,-0.41,-0.05,0.23
20010213,-12.11,-12.11,-12.05,-12.15,82200,0.0,-0.83,0.0,0.0,0.26
20010214,-12.125,-12.085,-12.05,-12.125,56400,0.0,-0.62,0.21,0.025,0.18
20010215,-12.08,-12.1,-12.02,-12.175,395800,0.0,-1.28,-0.12,-0.015,1.23
20010216,-12.06,-12.05,-12.0,-12.075,323600,0.0,-0.62,0.41,0.05,1.0
20010220,-12.0,-12.05,-11.975,-12.05,290000,0.0,-0.62,0.0,0.0,0.9
20010221,-12.05,-12.115,-12.05,-12.17,101200,0.0,-1.0,-0.54,-0.065,0.31
20010222,-12.05,-12.175,-12.05,-12.175,149200,0.0,-1.03,-0.5,-0.06,0.46
20010223,-12.17,-12.305,-12.05,-12.4,175800,0.0,-2.87,-1.07,-0.13,0.55
20010226,-12.24,-12.07,-12.05,-12.24,74600,0.0,-1.54,1.91,0.235,0.23
20010227,-12.05,-12.21,-12.05,-12.23,226000,0.0,-1.49,-1.16,-0.14,0.7
20010228,-12.145,-12.08,-12.05,-12.19,87000,0.0,-1.15,1.06,0.13,0.27
20010301,-12.06,-12.06,-12.05,-12.075,162200,0.0,-0.21,0.17,0.02,0.5
20010302,-12.06,-12.05,-11.925,-12.125,361800,0.0,-1.66,0.08,0.01,1.12
20010305,-12.0,-12.175,-11.86,-12.2,247200,0.0,-2.82,-1.04,-0.125,0.77
20010306,-12.11,-12.06,-11.975,-12.11,189000,0.0,-1.11,0.94,0.115,0.59
20010307,-12.06,-12.05,-11.925,-12.06,154400,0.0,-1.12,0.08,0.01,0.48
20010308,-12.05,-12.08,-12.025,-12.11,157800,0.0,-0.71,-0.25,-0.03,0.49
20010309,-12.05,-12.075,-12.05,-12.26,170400,0.0,-1.74,0.04,0.005,0.53
20010312,-12.01,-12.1,-12.01,-12.125,638200,0.0,-0.95,-0.21,-0.025,1.98
20010313,-12.12,-12.26,-12.065,-12.27,153400,0.0,-1.69,-1.32,-0.16,0.47
20010314,-12.26,-12.46,-12.22,-12.46,229000,0.0,-1.96,-1.63,-0.2,0.71
20010315,-12.41,-12.6,-12.41,-12.6,149600,0.0,-1.52,-1.12,-0.14,0.46
20010316,-12.555,-12.73,-12.32,-12.76,153800,0.0,-3.49,-1.03,-0.13,0.48
20010319,-12.7,-12.64,-12.6,-12.7,118800,0.0,-0.79,0.71,0.09,0.37
20010320,-12.58,-12.56,-12.45,-12.6,159800,0.0,-1.19,0.63,0.08,0.49
20010321,-12.5,-12.67,-12.44,-12.695,143600,0.0,-2.03,-0.88,-0.11,0.44
20010322,-12.675,-13.03,-12.675,-13.1,160200,0.0,-3.35,-2.84,-0.36,0.5
20010323,-12.99,-12.925,-12.86,-13.05,190600,0.0,-1.46,0.81,0.105,0.59
20010326,-12.925,-12.96,-12.925,-13.05,194600,0.0,-0.97,-0.27,-0.035,0.6
20010327,-12.94,-13.195,-12.93,-13.195,92600,0.0,-2.04,-1.81,-0.235,0.29
20010328,-13.13,-13.26,-13.05,-13.49,178600,0.0,-3.33,-0.49,-0.065,0.55
20010329,-13.24,-13.505,-13.24,-13.54,227600,0.0,-2.26,-1.85,-0.245,0.7
20010330,-13.44,-13.36,-13.075,-13.44,277200,0.0,-2.7,1.07,0.145,0.86
20010402,-13.25,-13.495,-13.175,-13.51,361400,0.0,-2.51,-1.01,-0.135,1.12
20010403,-13.51,-14.025,-13.45,-14.09,437200,0.0,-4.74,-3.93,-0.53,1.35
20010404,-13.9,-13.66,-13.615,-13.95,642800,0.0,-2.39,2.6,0.365,1.99
20010405,-13.59,-13.3,-13.3,-13.595,200400,0.0,-2.16,2.64,0.36,0.62
20010406,-13.35,-13.43,-13.35,-13.57,190000,0.0,-1.65,-0.98,-0.13,0.59
20010409,-13.43,-13.21,-13.05,-13.43,243000,0.0,-2.83,1.64,0.22,0.75
20010410,-13.2,-13.065,-13.0,-13.2,194600,0.0,-1.51,1.1,0.145,0.6
20010411,-13.06,-13.12,-12.925,-13.12,222400,0.0,-1.49,-0.42,-0.055,0.69
20010412,-13.1,-13.0,-12.86,-13.1,82600,0.0,-1.83,0.91,0.12,0.26
20010416,-13.04,-13.05,-12.93,-13.085,159000,0.0,-1.19,-0.38,-0.05,0.49
20010417,-13.05,-13.24,-13.05,-13.24,336600,0.0,-1.46,-1.46,-0.19,1.04
20010418,-13.19,-13.24,-13.1,-13.325,240400,0.0,-1.7,0.0,0.0,0.74
20010419,-13.2,-13.455,-13.11,-13.525,312600,0.0,-3.13,-1.62,-0.215,0.97
20010420,-13.455,-13.175,-13.105,-13.455,360800,0.0,-2.6,2.08,0.28,1.12
20010423,-13.16,-12.925,-12.83,-13.16,112600,0.0,-2.5,1.9,0.25,0.35
20010424,-12.865,-12.96,-12.8,-13.06,175200,0.0,-2.01,-0.27,-0.035,0.54
20010425,-12.9,-12.9,-12.81,-12.99,221800,0.0,-1.39,0.46,0.06,0.69
20010426,-12.84,-12.35,-12.34,-12.86,367400,0.0,-4.03,4.26,0.55,1.14
20010427,-12.36,-12.24,-12.11,-12.36,316000,0.0,-2.02,0.89,0.11,0.98
20010430,-12.16,-12.08,-12.015,-12.175,462000,0.0,-1.31,1.31,0.16,1.43
20010501,-12.05,-12.16,-12.05,-12.3,215200,0.0,-2.07,-0.66,-0.08,0.67
20010502,-12.095,-12.34,-12.095,-12.425,282800,0.0,-2.71,-1.48,-0.18,0.88
20010503,-12.175,-12.25,-12.175,-12.36,173800,0.0,-1.5,0.73,0.09,0.54
20010504,-12.25,-12.32,-12.25,-12.425,69000,0.0,-1.43,-0.57,-0.07,0.21
