trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20090916,12.78,12.84,13.14,12.66,1045327,0.0,4.0,7.0,0.84,2.08
20090917,12.78,12.84,13.14,12.66,1045327,0.0,3.74,0.0,0.0,2.08
20090918,12.78,12.84,13.14,12.66,1045327,0.0,3.74,0.0,0.0,2.08
20090921,13.39,13.5,13.51,13.17,390450,0.0,2.65,5.14,0.66,0.78
20090922,13.8,14.05,14.25,13.72,990998,0.0,3.93,4.07,0.55,1.97
20090923,14.21,13.98,14.5,13.95,810567,0.0,3.91,-0.5,-0.07,1.61
20090924,14.1,13.55,14.35,13.31,712911,0.0,7.44,-3.08,-0.43,1.42
20090925,13.64,14.96,15.15,13.64,1109430,0.0,11.14,10.41,1.41,2.21
20090928,13.64,14.96,15.15,13.64,1109430,0.0,10.09,0.0,0.0,2.21
20090929,14.76,14.64,14.89,14.5,598432,0.0,2.61,-2.14,-0.32,1.19
20090930,14.75,14.41,14.99,14.25,675644,0.0,5.05,-1.57,-0.23,1.34
20091001,14.28,13.61,14.31,13.57,803314,0.0,5.14,-5.55,-0.8,1.6
20091002,13.0,13.41,13.55,12.31,994647,0.0,9.11,-1.47,-0.2,1.98
20091005,13.37,13.78,13.81,13.26,499742,0.0,4.1,2.76,0.37,0.99
20091006,14.17,14.15,14.5,13.85,619974,0.0,4.72,2.69,0.37,1.23
20091007,14.14,14.18,14.54,14.0,422196,0.0,3.82,0.21,0.03,0.84
20091008,14.29,14.06,14.38,14.0,401182,0.0,2.68,-0.85,-0.12,0.8
20091009,14.09,14.06,14.21,13.75,368014,0.0,3.27,0.0,0.0,0.73
20091012,14.06,14.08,14.41,14.0,388090,0.0,2.92,0.14,0.02,0.77
20091013,14.13,14.03,14.18,13.84,328502,0.0,2.41,-0.36,-0.05,0.65
20091014,14.22,13.98,14.24,13.91,436125,0.0,2.35,-0.36,-0.05,0.87
20091015,13.93,14.25,14.25,13.71,708600,0.0,3.86,1.93,0.27,1.41
20091016,14.14,13.88,14.23,13.71,475600,0.0,3.65,-2.6,-0.37,0.95
20091019,13.9,14.0,14.09,13.75,674875,0.0,2.45,0.86,0.12,1.34
20091020,14.07,13.81,14.09,13.76,488309,0.0,2.36,-1.36,-0.19,0.97
20091021,13.77,14.02,14.45,13.76,864778,0.0,5.0,1.52,0.21,1.72
20091022,14.04,13.9,14.19,13.63,468517,0.0,3.99,-0.86,-0.12,0.93
20091023,13.94,13.49,14.0,13.43,491226,0.0,4.1,-2.95,-0.41,0.98
20091026,13.5,12.79,13.85,12.69,939400,0.0,8.6,-5.19,-0.7,1.87
20091027,12.8,12.11,12.97,11.92,1112273,0.0,8.21,-5.32,-0.68,2.21
20091028,11.95,11.3,11.97,10.95,2035978,0.0,8.42,-6.69,-0.81,4.05
20091029,11.6,12.28,12.35,11.5,1281419,0.0,7.52,8.67,0.98,2.55
20091030,12.22,11.6,12.26,11.55,1283657,0.0,5.78,-5.54,-0.68,2.56
20091102,11.76,11.51,11.97,11.42,678254,0.0,4.74,-0.78,-0.09,1.35
20091103,11.53,11.81,11.84,11.4,378447,0.0,3.82,2.61,0.3,0.75
20091104,11.94,11.7,12.05,11.63,435200,0.0,3.56,-0.93,-0.11,0.87
20091105,11.85,12.67,12.67,11.8,1087849,0.0,7.44,8.29,0.97,2.17
20091106,12.43,12.4,13.0,12.32,613718,0.0,5.37,-2.13,-0.27,1.22
20091109,12.69,12.87,13.12,12.69,779915,0.0,3.47,3.79,0.47,1.55
20091110,12.25,11.98,12.25,11.55,1464974,0.0,5.44,-6.92,-0.89,2.92
20091111,12.12,11.9,12.18,11.75,809401,0.0,3.59,-0.67,-0.08,1.61
20091112,11.8,12.06,12.25,11.69,711721,0.0,4.71,1.34,0.16,1.42
20091113,12.1,12.32,12.32,11.8,551775,0.0,4.31,2.16,0.26,1.1
20091116,12.44,12.68,12.79,12.43,475370,0.0,2.92,2.92,0.36,0.95
20091117,12.54,12.72,12.82,12.44,297151,0.0,3.0,0.32,0.04,0.59
20091118,12.73,12.52,12.8,12.45,305996,0.0,2.75,-1.57,-0.2,0.61
20091119,12.47,12.2,12.47,11.89,403343,0.0,4.63,-2.56,-0.32,0.8
20091120,11.96,12.0,12.06,11.79,431725,0.0,2.21,-1.64,-0.2,0.86
20091123,12.12,11.99,12.38,11.94,286957,0.0,3.67,-0.08,-0.01,0.57
20091124,12.04,12.12,12.14,11.73,267605,0.0,3.42,1.08,0.13,0.53
20091125,12.1,12.08,12.11,11.9,274243,0.0,1.73,-0.33,-0.04,0.55
20091127,11.3,11.85,12.11,11.3,403386,0.0,6.71,-1.9,-0.23,0.8
20091130,11.85,11.6,11.9,11.4,432180,0.0,4.22,-2.11,-0.25,0.86
20091201,11.75,11.94,11.98,11.41,711847,0.0,4.91,2.93,0.34,1.42
20091202,11.91,11.96,12.01,11.75,531383,0.0,2.18,0.17,0.02,1.06
20091203,11.95,11.86,12.11,11.85,319723,0.0,2.17,-0.84,-0.1,0.64
20091204,12.05,12.02,12.1,11.58,575715,0.0,4.38,1.35,0.16,1.15
20091207,12.0,11.87,12.17,11.72,531811,0.0,3.74,-1.25,-0.15,1.06
20091208,11.85,12.54,12.73,11.71,993209,0.0,8.59,5.64,0.67,1.98
20091209,12.76,12.41,12.93,12.12,715006,0.0,6.46,-1.04,-0.13,1.42
