trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
19900326,-45.677,-45.792,-45.677,-45.792,34200,0.0,0.0,0.0,0.0,0.03
19900327,-45.754,-45.792,-45.677,-45.792,46400,0.0,-0.25,0.0,0.0,0.04
19900328,-45.832,-45.832,-45.792,-45.832,18400,0.0,-0.09,-0.09,-0.04,0.01
19900329,-45.832,-45.812,-45.754,-45.87,837000,0.0,-0.25,0.04,0.02,0.65
19900330,-45.87,-45.754,-45.754,-45.87,780300,0.0,-0.25,0.13,0.058,0.61
19900402,-45.754,-45.792,-45.754,-45.87,192600,0.0,-0.25,-0.08,-0.038,0.15
19900403,-45.87,-45.85,-45.754,-45.87,171400,0.0,-0.25,-0.13,-0.058,0.13
19900404,-45.832,-45.792,-45.792,-45.91,113400,0.0,-0.26,0.13,0.058,0.09
19900405,-45.87,-46.259,-45.87,-46.259,363200,0.0,-0.85,-1.02,-0.467,0.28
19900406,-46.181,-46.279,-46.181,-46.337,1188900,0.0,-0.34,-0.04,-0.02,0.93
19900409,-46.337,-46.221,-46.221,-46.337,158000,0.0,-0.25,0.13,0.058,0.12
19900410,-46.259,-46.259,-46.221,-46.299,149400,0.0,-0.17,-0.08,-0.038,0.12
19900411,-46.337,-46.337,-46.259,-46.337,158000,0.0,-0.17,-0.17,-0.078,0.12
19900412,-46.259,-46.259,-46.221,-46.299,617000,0.0,-0.17,0.17,0.078,0.48
19900416,-46.299,-46.221,-46.143,-46.299,388400,0.0,-0.34,0.08,0.038,0.3
19900417,-46.221,-46.181,-46.143,-46.221,94000,0.0,-0.17,0.09,0.04,0.07
19900418,-46.221,-46.259,-46.181,-46.259,31000,0.0,-0.17,-0.17,-0.078,0.02
19900419,-46.259,-46.299,-46.221,-46.377,399600,0.0,-0.34,-0.09,-0.04,0.31
19900420,-46.377,-46.337,-46.337,-46.414,36000,0.0,-0.17,-0.08,-0.038,0.03
19900423,-46.337,-46.414,-46.337,-46.454,141300,0.0,-0.25,-0.17,-0.077,0.11
19900424,-46.397,-46.454,-46.377,-46.454,132800,0.0,-0.17,-0.09,-0.04,0.1
19900425,-46.414,-46.454,-46.414,-46.532,187200,0.0,-0.25,0.0,0.0,0.15
19900426,-46.492,-46.648,-46.492,-46.688,876600,0.0,-0.42,-0.42,-0.194,0.68
19900427,-46.57,-46.648,-46.57,-46.688,710100,0.0,-0.25,0.0,0.0,0.55
19900430,-46.648,-46.765,-46.648,-46.765,337000,0.0,-0.25,-0.25,-0.117,0.26
19900501,-46.688,-46.843,-46.688,-46.881,592600,0.0,-0.41,-0.17,-0.078,0.46
19900502,-46.843,-46.843,-46.843,-46.881,681300,0.0,-0.08,0.0,0.0,0.53
19900503,-46.843,-46.803,-46.803,-46.881,775400,0.0,-0.17,0.09,0.04,0.6
19900504,-46.803,-46.765,-46.765,-46.843,895500,0.0,-0.17,0.08,0.038,0.7
