trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110126,3.246,3.379,3.409,3.223,236928,0.0,19.35,251.61,2.418,0.39
20110127,3.446,3.446,3.483,3.386,144227,0.0,2.87,1.98,0.067,0.24
20110128,3.372,3.535,3.557,3.312,161000,0.0,7.11,2.58,0.089,0.27
20110131,3.409,3.594,3.609,3.409,223002,0.0,5.66,1.67,0.059,0.37
20110201,3.743,3.772,3.846,3.639,202870,0.0,5.76,4.95,0.178,0.34
20110202,3.787,3.869,3.935,3.765,223849,0.0,4.51,2.57,0.097,0.37
20110203,3.846,3.884,3.913,3.832,257727,0.0,2.09,0.39,0.015,0.43
20110204,3.884,3.861,3.965,3.757,252646,0.0,5.36,-0.59,-0.023,0.42
20110207,3.861,3.832,3.906,3.743,205755,0.0,4.22,-0.75,-0.029,0.34
20110208,3.802,3.794,3.884,3.668,108498,0.0,5.64,-0.99,-0.038,0.18
20110209,3.728,3.884,3.884,3.728,57972,0.0,4.11,2.37,0.09,0.1
20110210,3.898,3.898,3.898,3.824,95689,0.0,1.91,0.36,0.014,0.16
20110211,3.965,4.106,4.195,3.965,110024,0.0,5.9,5.34,0.208,0.18
20110214,4.113,4.306,4.484,4.113,154590,0.0,9.04,4.87,0.2,0.26
20110228,4.751,4.692,4.818,4.559,115610,0.0,6.01,8.96,0.386,0.19
20110301,4.744,4.625,4.744,4.559,44949,0.0,3.94,-1.43,-0.067,0.07
20110302,4.603,4.633,4.633,4.566,51118,0.0,1.45,0.17,0.008,0.08
20110303,4.633,4.818,4.93,4.596,298127,0.0,7.21,3.99,0.185,0.49
20110304,4.863,4.818,4.885,4.559,148937,0.0,6.77,0.0,0.0,0.25
20110307,4.818,4.692,4.848,4.559,48560,0.0,6.0,-2.62,-0.126,0.08
20110308,4.603,4.655,4.737,4.299,164923,0.0,9.34,-0.79,-0.037,0.27
20110325,4.44,4.751,4.759,4.418,101552,0.0,7.33,2.06,0.096,0.17
20110328,4.833,4.722,4.833,4.64,41659,0.0,4.06,-0.61,-0.029,0.07
20110329,4.766,4.774,4.774,4.618,92121,0.0,3.3,1.1,0.052,0.15
20110330,4.766,5.152,5.597,4.751,275318,0.0,17.72,7.92,0.378,0.46
20110331,5.189,5.145,5.263,5.1,160163,0.0,3.16,-0.14,-0.007,0.27
20110401,5.234,5.226,5.338,5.137,193917,0.0,3.91,1.57,0.081,0.32
20110404,5.182,5.375,5.389,5.167,295092,0.0,4.25,2.85,0.149,0.49
20110405,5.345,5.679,5.953,5.33,260406,0.0,11.59,5.66,0.304,0.43
20110406,5.775,5.567,5.82,5.308,187543,0.0,9.02,-1.97,-0.112,0.31
