trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20150120,3.01,2.8,3.01,2.75,7719,0.0,0.0,0.0,0.0,0.06
20150122,2.87,2.85,2.87,2.85,300,0.0,0.71,1.79,0.05,0.0
20150123,2.88,2.88,2.88,2.88,200,0.0,0.0,1.05,0.03,0.0
20150127,2.85,2.85,2.91,2.83,11956,0.0,2.78,-1.04,-0.03,0.09
20150128,2.84,2.82,2.84,2.82,17900,0.0,0.7,-1.05,-0.03,0.14
20150129,2.94,2.94,2.94,2.94,2716,0.0,0.0,4.26,0.12,0.02
20150203,2.83,2.83,2.83,2.83,500,0.0,0.0,-3.74,-0.11,0.0
20150204,2.85,2.85,2.85,2.85,2100,0.0,0.0,0.71,0.02,0.02
20150205,2.85,2.85,2.85,2.85,300,0.0,0.0,0.0,0.0,0.0
20150210,3.01,2.85,3.01,2.85,7800,0.0,5.61,0.0,0.0,0.06
20150213,2.81,3.0,3.0,2.81,5044,0.0,6.67,5.26,0.15,0.04
20150217,3.01,3.17,3.6,3.01,134276,0.0,19.67,5.67,0.17,1.02
20150218,3.17,3.0,3.17,2.85,25355,0.0,10.09,-5.36,-0.17,0.19
20150220,3.02,3.04,3.13,2.86,15704,0.0,9.0,1.33,0.04,0.12
20150223,3.0,3.09,3.09,3.0,300,0.0,2.96,1.64,0.05,0.0
20150224,3.0,3.05,3.09,3.0,712,0.0,2.91,-1.29,-0.04,0.01
20150225,2.92,2.98,3.0,2.86,8400,0.0,4.59,-2.3,-0.07,0.06
20150226,2.93,2.92,2.93,2.92,3105,0.0,0.34,-2.01,-0.06,0.02
20150227,2.92,2.95,2.95,2.92,500,0.0,1.03,1.03,0.03,0.0
20150302,2.94,3.04,3.05,2.94,4500,0.0,3.73,3.05,0.09,0.03
20150303,3.05,3.01,3.05,3.0,3525,0.0,1.64,-0.99,-0.03,0.03
20150304,3.02,2.95,3.05,2.9,17210,0.0,4.98,-1.99,-0.06,0.13
20150305,2.95,2.95,2.95,2.94,12002,0.0,0.34,0.0,0.0,0.09
20150306,2.94,2.95,2.95,2.88,12448,0.0,2.37,0.0,0.0,0.09
20150309,2.91,2.9,2.91,2.85,21050,0.0,2.03,-1.69,-0.05,0.16
20150310,2.85,2.86,2.89,2.85,7100,0.0,1.38,-1.38,-0.04,0.05
20150311,2.85,2.93,3.0,2.83,14620,0.0,5.94,2.45,0.07,0.11
20150312,2.98,2.92,2.98,2.81,22236,0.0,5.8,-0.34,-0.01,0.17
20150313,2.84,2.86,2.91,2.82,800,0.0,3.08,-2.05,-0.06,0.01
20150316,2.99,3.0,3.0,2.87,5263,0.0,4.55,4.9,0.14,0.04
20150317,3.0,3.07,3.1,3.0,5707,0.0,3.33,2.33,0.07,0.04
20150318,3.1,3.01,3.15,3.0,15221,0.0,4.89,-1.95,-0.06,0.12
20150319,3.14,3.05,3.15,2.87,12362,0.0,9.3,1.33,0.04,0.09
20150320,3.15,2.92,3.15,2.75,61086,0.0,13.11,-4.26,-0.13,0.46
20150323,2.93,2.87,2.93,2.8,6251,0.0,4.45,-1.71,-0.05,0.05
20150324,2.94,2.87,3.0,2.87,5415,0.0,4.53,0.0,0.0,0.04
20150325,3.03,2.9,3.03,2.9,301,0.0,4.53,1.05,0.03,0.0
20150326,2.94,2.94,2.94,2.91,3529,0.0,1.03,1.38,0.04,0.03
20150327,2.89,2.82,2.89,2.82,200,0.0,2.38,-4.08,-0.12,0.0
20150331,2.99,2.8,2.99,2.8,653,0.0,6.74,-0.71,-0.02,0.0
20150401,2.83,2.82,2.83,2.82,363,0.0,0.36,0.71,0.02,0.0
20150402,2.82,2.8,2.82,2.8,4601,0.0,0.71,-0.71,-0.02,0.03
20150406,2.82,2.8,2.82,2.75,3310,0.0,2.5,0.0,0.0,0.03
20150407,2.76,2.76,2.76,2.76,300,0.0,0.0,-1.43,-0.04,0.0
20150408,2.76,2.76,2.76,2.76,100,0.0,0.0,0.0,0.0,0.0
20150410,2.75,2.79,2.8,2.75,9102,0.0,1.81,1.09,0.03,0.07
20150413,2.75,2.76,2.88,2.75,10329,0.0,4.66,-1.08,-0.03,0.08
20150414,2.77,2.77,2.77,2.77,100,0.0,0.0,0.36,0.01,0.0
20150415,2.75,2.75,2.75,2.75,100,0.0,0.0,-0.72,-0.02,0.0
20150416,2.75,2.75,2.75,2.75,100,0.0,0.0,0.0,0.0,0.0
20150417,2.75,2.75,2.75,2.75,100,0.0,0.0,0.0,0.0,0.0
20150420,2.75,2.75,2.75,2.75,100,0.0,0.0,0.0,0.0,0.0
20150504,2.9,2.85,2.94,2.85,3421,0.0,3.27,3.64,0.1,0.03
20150505,2.65,2.35,2.66,2.26,16248,0.0,14.04,-17.54,-0.5,0.12
20150506,2.6,2.58,2.6,2.49,12500,0.0,4.68,9.79,0.23,0.09
20150507,2.55,2.55,2.55,2.55,5050,0.0,0.0,-1.16,-0.03,0.04
20150508,2.35,2.37,2.41,2.35,500,0.0,2.35,-7.06,-0.18,0.0
20150512,2.4,2.4,2.4,2.4,120,0.0,0.0,1.27,0.03,0.0
20150513,2.4,2.4,2.4,2.4,125,0.0,0.0,0.0,0.0,0.0
20150514,2.52,2.52,2.52,2.52,657,0.0,0.0,5.0,0.12,0.0
20150515,2.48,2.39,2.49,2.39,1700,0.0,3.97,-5.16,-0.13,0.01
20150518,2.38,2.38,2.45,2.38,6800,0.0,2.93,-0.42,-0.01,0.05
20150519,2.43,2.5,2.5,2.43,6300,0.0,2.94,5.04,0.12,0.05
20150520,2.38,2.38,2.38,2.38,475,0.0,0.0,-4.8,-0.12,0.0
20150521,2.46,2.5,2.5,2.45,5000,0.0,2.1,5.04,0.12,0.04
20150522,2.45,2.52,2.52,2.45,5000,0.0,2.8,0.8,0.02,0.04
20150526,2.38,2.38,2.38,2.38,100,0.0,0.0,-5.56,-0.14,0.0
20150527,2.38,2.35,2.4,2.35,4025,0.0,2.1,-1.26,-0.03,0.03
20150528,2.35,2.35,2.35,2.35,850,0.0,0.0,0.0,0.0,0.01
20150529,2.35,2.4,2.4,2.35,15700,0.0,2.13,2.13,0.05,0.12
20150601,2.35,2.35,2.35,2.35,7620,0.0,0.0,-2.08,-0.05,0.06
20150602,2.4,2.53,2.53,2.4,10000,0.0,5.53,7.66,0.18,0.08
20150603,2.29,2.29,2.29,2.29,113,0.0,0.0,-9.49,-0.24,0.0
20150604,2.29,2.29,2.29,2.29,100,0.0,0.0,0.0,0.0,0.0
20150608,2.29,2.26,2.29,2.26,1100,0.0,1.31,-1.31,-0.03,0.01
20150609,2.35,2.25,2.35,2.25,224624,0.0,4.42,-0.44,-0.01,1.71
20150610,2.35,2.35,2.35,2.35,1100,0.0,0.0,4.44,0.1,0.01
20150611,2.3,2.21,2.3,2.2,3542,0.0,4.26,-5.96,-0.14,0.03
20150612,2.32,2.32,2.32,2.32,1000,0.0,0.0,4.98,0.11,0.01
20150615,2.25,2.33,2.35,2.01,17930,0.0,14.66,0.43,0.01,0.14
20150616,2.35,2.35,2.35,2.35,1212,0.0,0.0,0.86,0.02,0.01
20150617,2.35,2.39,2.4,2.35,13983,0.0,2.13,1.7,0.04,0.11
20150618,2.32,2.32,2.32,2.32,242,0.0,0.0,-2.93,-0.07,0.0
20150619,2.42,2.41,2.43,2.38,3997,0.0,2.16,3.88,0.09,0.03
20150622,2.26,2.28,2.31,2.26,689,0.0,2.07,-5.39,-0.13,0.01
20150623,2.27,2.27,2.27,2.27,100,0.0,0.0,-0.44,-0.01,0.0
20150624,2.27,2.31,2.31,2.27,500,0.0,1.76,1.76,0.04,0.0
20150625,2.29,2.29,2.29,2.29,100,0.0,0.0,-0.87,-0.02,0.0
20150626,2.43,2.48,2.48,2.43,2440,0.0,2.18,8.3,0.19,0.02
20150629,2.46,2.46,2.46,2.46,1000,0.0,0.0,-0.81,-0.02,0.01
20150630,2.4,2.4,2.4,2.34,600,0.0,2.44,-2.44,-0.06,0.0
20150701,2.47,2.44,2.47,2.44,6427,0.0,1.25,1.67,0.04,0.05
20150702,2.44,2.46,2.46,2.44,1936,0.0,0.82,0.82,0.02,0.01
20150706,2.44,2.15,2.45,2.13,18989,0.0,13.01,-12.6,-0.31,0.14
20150707,2.16,2.26,2.31,1.9,22504,0.0,19.07,5.12,0.11,0.17
20150708,2.27,2.27,2.27,2.26,1302,0.0,0.44,0.44,0.01,0.01
20150709,2.26,2.26,2.26,2.26,100,0.0,0.0,-0.44,-0.01,0.0
20150710,2.27,2.27,2.27,2.27,100,0.0,0.0,0.44,0.01,0.0
20150714,2.27,2.27,2.27,2.27,2000,0.0,0.0,0.0,0.0,0.02
20150715,2.26,2.27,2.27,2.26,1689,0.0,0.44,0.0,0.0,0.01
20150716,2.28,2.28,2.28,2.28,100,0.0,0.0,0.44,0.01,0.0
20150717,2.39,2.39,2.39,2.39,600,0.0,0.0,4.82,0.11,0.0
20150721,2.28,2.26,2.28,2.26,2135,0.0,0.84,-5.44,-0.13,0.02
20150724,2.26,2.34,2.34,2.26,420,0.0,3.54,3.54,0.08,0.0
20150727,2.26,2.03,2.26,2.03,3811,0.0,9.83,-13.25,-0.31,0.03
20150728,2.07,2.07,2.07,2.03,308,0.0,1.97,1.97,0.04,0.0
20150729,2.03,2.03,2.03,2.03,388,0.0,0.0,-1.93,-0.04,0.0
20150731,2.25,2.45,2.76,2.25,13892,0.0,25.12,20.69,0.42,0.11
20150803,2.69,2.64,2.8,2.56,3637,0.0,9.8,7.76,0.19,0.03
20150804,2.7,2.6,2.71,2.6,2001,0.0,4.17,-1.52,-0.04,0.02
20150806,2.5,2.45,2.5,2.45,1447,0.0,1.92,-5.77,-0.15,0.01
20150807,2.47,2.45,2.47,2.45,1054,0.0,0.82,0.0,0.0,0.01
20150810,2.45,2.48,2.49,2.45,1760,0.0,1.63,1.22,0.03,0.01
20150811,2.47,2.47,2.47,2.47,100,0.0,0.0,-0.4,-0.01,0.0
20150812,2.45,2.47,2.47,2.45,2000,0.0,0.81,0.0,0.0,0.02
20150813,2.45,2.45,2.45,2.45,3692,0.0,0.0,-0.81,-0.02,0.03
20150814,2.45,2.44,2.45,2.44,2912,0.0,0.41,-0.41,-0.01,0.02
20150817,2.44,2.4,2.44,2.4,7245,0.0,1.64,-1.64,-0.04,0.05
20150818,2.47,2.45,2.47,2.4,2181,0.0,2.92,2.08,0.05,0.02
20150819,2.4,2.4,2.4,2.4,3800,0.0,0.0,-2.04,-0.05,0.03
