trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210930,40.403,40.403,40.403,40.403,175,7121.0,0.0,0.0,0.0,0.0
20211001,40.976,40.976,40.976,40.976,88,3631.0,0.0,1.42,0.573,0.0
20211004,38.992,38.992,38.992,38.992,14,549.0,0.0,-4.84,-1.984,0.0
20211005,39.567,39.199,39.636,39.011,10006,395549.0,1.6,0.53,0.207,0.0
20211006,39.318,39.318,39.318,39.318,103,4078.0,0.0,0.3,0.119,0.0
20211007,39.954,40.376,40.827,39.944,10726,438634.0,2.25,2.69,1.058,0.0
20211008,40.53,40.194,40.589,39.954,10090,408461.0,1.57,-0.45,-0.182,0.0
20211011,41.781,41.562,41.81,41.562,292,12291.0,0.62,3.4,1.368,0.0
20211012,43.122,43.122,43.122,43.122,2,86.0,0.0,3.75,1.56,0.0
20211013,44.134,44.134,44.134,44.134,116,5156.0,0.0,2.35,1.012,0.0
20211014,43.598,43.608,43.896,43.478,17076,751608.0,0.95,-1.19,-0.526,0.0
20211015,44.313,43.501,44.313,43.501,2777,123421.0,1.86,-0.25,-0.107,0.0
20211018,43.896,44.078,44.124,43.896,461,20443.0,0.52,1.33,0.577,0.0
20211019,44.888,45.369,45.742,44.888,807,36901.0,1.94,2.93,1.291,0.0
20211020,45.226,44.748,45.226,44.617,624,28201.0,1.34,-1.37,-0.621,0.0
20211021,45.549,45.018,45.549,45.018,542,24768.0,1.19,0.6,0.27,0.0
20211022,44.153,44.183,44.183,44.153,362,16097.0,0.07,-1.85,-0.835,0.0
20211025,45.513,45.513,45.513,45.513,36,1650.0,0.0,3.01,1.33,0.0
20211026,44.802,44.802,44.802,44.802,68,3068.0,0.0,-1.56,-0.711,0.0
20211027,46.616,46.11,46.715,46.11,1690,79360.0,1.35,2.92,1.308,0.0
20211028,47.351,48.25,48.25,47.351,404,19266.0,1.95,4.64,2.14,0.0
20211029,48.815,49.217,49.217,48.71,1425,70053.0,1.05,2.0,0.967,0.0
20211101,50.002,50.938,50.938,49.878,3060,155030.0,2.15,3.5,1.721,0.0
20211102,50.806,49.43,50.806,49.43,1540,77680.0,2.7,-2.96,-1.508,0.0
20211103,48.453,49.979,49.979,48.453,1274,62294.0,3.09,1.11,0.549,0.0
20211104,49.893,50.067,50.067,49.893,799,40153.0,0.35,0.18,0.088,0.0
20211105,49.694,49.311,49.694,49.311,522,26049.0,0.76,-1.51,-0.756,0.0
20211108,50.111,50.29,50.558,50.002,3706,187746.0,1.13,1.99,0.979,0.0
20211109,49.585,49.041,49.595,49.041,1098,54840.0,1.1,-2.48,-1.249,0.0
20211110,47.659,47.833,48.502,47.589,1609,77332.0,1.86,-2.46,-1.208,0.0
20211111,48.651,50.062,50.389,48.651,1391,70111.0,3.63,4.66,2.229,0.0
20211112,50.458,50.588,50.588,50.259,2293,116467.0,0.66,1.05,0.526,0.0
20211115,50.895,49.871,50.895,49.724,10468,527178.0,2.31,-1.42,-0.717,0.0
20211116,49.972,49.794,49.972,49.466,1969,98522.0,1.01,-0.15,-0.077,0.0
20211117,49.477,48.91,49.525,48.751,10099,498474.0,1.55,-1.78,-0.884,0.0
20211118,49.049,47.212,49.049,47.023,13854,663646.0,4.14,-3.47,-1.698,0.0
20211119,48.423,48.751,49.118,48.354,10441,513670.0,1.62,3.26,1.539,0.0
20211122,49.277,47.857,50.131,47.857,11979,588484.0,4.66,-1.83,-0.894,0.0
20211123,47.52,46.936,48.018,46.1,4969,233467.0,4.01,-1.92,-0.921,0.0
20211124,46.547,47.012,47.012,45.901,1026,48080.0,2.37,0.16,0.076,0.0
20211126,45.276,45.202,45.276,44.63,1316,59720.0,1.37,-3.85,-1.81,0.0
20211129,46.04,45.953,46.07,45.249,1157,53553.0,1.82,1.66,0.751,0.0
20211130,43.935,44.208,44.208,43.935,797,35273.0,0.59,-3.8,-1.745,0.0
20211201,45.246,42.222,45.246,42.222,9704,432352.0,6.84,-4.49,-1.986,0.0
20211202,41.979,41.806,42.514,41.563,1881,79242.0,2.25,-0.99,-0.416,0.0
20211203,40.758,39.676,40.758,39.676,401,16237.0,2.59,-5.09,-2.13,0.0
20211206,39.676,40.294,40.415,39.676,1293,52211.0,1.86,1.56,0.618,0.0
20211207,41.91,41.711,41.949,41.662,5566,234719.0,0.71,3.52,1.417,0.0
20211208,41.731,42.132,42.132,41.731,255,10717.0,0.96,1.01,0.421,0.0
20211209,41.999,40.415,41.999,40.371,672,27642.0,3.86,-4.08,-1.717,0.0
20211210,40.212,40.035,40.262,40.035,620,25110.0,0.56,-0.94,-0.38,0.0
20211213,39.993,40.5,40.847,39.993,10267,418966.0,2.13,1.16,0.465,0.0
20211214,39.567,38.802,39.596,38.663,10878,427336.0,2.3,-4.19,-1.698,0.0
20211215,38.435,39.567,39.567,37.849,3145,123316.0,4.43,1.97,0.765,0.0
20211216,40.013,38.652,40.559,38.414,947,38246.0,5.42,-2.31,-0.915,0.0
20211217,37.948,38.919,39.206,37.948,1663,64937.0,3.25,0.69,0.267,0.0
20211220,37.124,36.606,37.124,36.606,878,32686.0,1.33,-5.94,-2.313,0.0
