trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230202,50.929,50.969,50.969,50.929,2019,105545.0,0.0,0.0,0.0,0.0
20230203,50.549,50.505,50.558,50.505,793,41138.0,0.1,-0.91,-0.464,0.0
20230206,50.198,50.095,50.198,50.072,380,19543.0,0.25,-0.81,-0.41,0.0
20230207,50.723,50.723,50.723,50.723,138,7182.0,0.0,1.25,0.628,0.0
20230208,50.114,50.114,50.114,50.114,92,4731.0,0.0,-1.2,-0.609,0.0
20230209,50.51,49.655,50.51,49.655,6133,316328.0,1.71,-0.92,-0.459,0.0
20230210,49.428,49.623,49.623,49.428,262,13288.0,0.39,-0.06,-0.032,0.0
20230213,50.12,50.217,50.237,50.061,11578,595016.0,0.35,1.2,0.594,0.0
20230214,50.032,50.354,50.354,50.032,3594,184940.0,0.64,0.27,0.137,0.0
20230215,50.534,50.573,50.573,50.534,449,23283.0,0.08,0.43,0.219,0.0
20230216,50.334,49.93,50.334,49.93,15014,775473.0,0.8,-1.27,-0.643,0.0
20230217,49.603,49.799,49.818,49.594,16021,818888.0,0.45,-0.26,-0.131,0.0
20230221,49.204,48.809,49.233,48.736,1577,79492.0,1.0,-1.99,-0.99,0.0
20230222,48.853,48.625,48.95,48.625,5006,251370.0,0.67,-0.38,-0.184,0.0
20230223,48.697,48.918,48.98,48.697,125823,6291588.0,0.58,0.6,0.293,0.0
20230224,48.258,48.356,48.405,48.122,17577,870335.0,0.58,-1.15,-0.562,0.0
20230227,48.96,48.531,48.96,48.522,902,45022.0,0.91,0.36,0.175,0.0
20230228,48.58,48.519,48.775,48.519,219107,10939768.0,0.53,-0.02,-0.012,0.0
20230301,48.395,48.201,48.395,48.201,916,45488.0,0.4,-0.66,-0.318,0.0
20230302,48.434,48.53,48.599,48.424,5481,272445.0,0.36,0.68,0.329,0.0
20230303,49.172,49.329,49.329,49.172,1560,78825.0,0.32,1.65,0.799,0.0
20230306,49.28,49.28,49.28,49.28,720,36408.0,0.0,-0.1,-0.049,0.0
20230307,48.95,48.545,48.95,48.545,3853,192782.0,0.82,-1.49,-0.735,0.0
20230308,48.57,48.624,48.624,48.444,307851,15345410.0,0.37,0.16,0.079,0.0
20230309,48.473,47.685,48.492,47.683,7363,363926.0,1.66,-1.93,-0.939,0.0
20230310,47.381,46.783,47.547,46.783,5947,289359.0,1.6,-1.89,-0.902,0.0
20230313,46.533,46.533,46.533,46.533,571,27265.0,0.0,-0.53,-0.25,0.0
20230314,47.625,47.43,47.625,47.216,3040,147346.0,0.88,1.93,0.897,0.0
20230315,46.875,47.049,47.128,46.875,666,32076.0,0.53,-0.8,-0.381,0.0
20230316,47.8,48.022,48.022,47.8,400087,19624267.0,0.47,2.07,0.973,0.0
20230317,47.635,47.497,47.635,47.43,150015,7301251.0,0.43,-1.09,-0.525,0.0
20230320,47.825,47.878,47.878,47.825,515,25256.0,0.11,0.8,0.381,0.0
20230321,48.877,48.58,48.877,48.58,1309,65607.0,0.62,1.47,0.702,0.0
20230322,48.653,47.883,48.653,47.883,1284,64057.0,1.59,-1.43,-0.697,0.0
20230323,47.882,47.988,47.988,47.619,805,39476.0,0.77,0.22,0.105,0.0
20230324,47.541,48.088,48.088,47.541,500065,24378168.0,1.14,0.21,0.1,0.0
20230327,48.39,48.239,48.39,48.239,1222,60512.0,0.31,0.31,0.151,0.0
20230328,48.077,48.129,48.171,48.068,2186,107808.0,0.21,-0.23,-0.11,0.0
20230329,48.78,48.848,48.984,48.78,50861,2547653.0,0.42,1.49,0.719,0.0
20230330,49.111,49.117,49.14,49.111,1917,96559.0,0.06,0.55,0.269,0.0
20230331,49.665,49.87,49.87,49.665,1077,54928.0,0.42,1.53,0.753,0.0
20230403,49.677,49.899,49.899,49.677,1838,93901.0,0.45,0.06,0.029,0.0
20230404,49.911,49.531,49.911,49.423,555578,28410652.0,0.98,-0.74,-0.368,0.0
20230405,49.248,49.251,49.251,49.248,8531,430814.0,0.01,-0.57,-0.28,0.0
20230406,49.418,49.418,49.418,49.418,74,3749.0,0.0,0.34,0.167,0.0
20230410,49.374,49.47,49.47,49.374,119,6024.0,0.19,0.11,0.052,0.0
20230411,49.54,49.518,49.735,49.518,24800,1260923.0,0.44,0.1,0.048,0.0
20230412,49.989,49.254,49.989,49.254,293,14978.0,1.48,-0.53,-0.264,0.0
20230413,49.944,49.944,49.944,49.944,53,2714.0,0.0,1.4,0.69,0.0
20230414,49.862,49.862,49.862,49.862,493,25207.0,0.0,-0.16,-0.082,0.0
20230417,50.017,50.07,50.07,50.017,703,36061.0,0.11,0.42,0.208,0.0
20230418,50.086,50.144,50.144,50.086,3313,170253.0,0.12,0.15,0.074,0.0
20230419,50.15,50.15,50.15,50.15,3,154.0,0.0,0.01,0.006,0.0
20230420,49.716,49.865,49.865,49.716,1183,60366.0,0.3,-0.57,-0.285,0.0
20230421,49.862,49.959,49.959,49.862,1241,63500.0,0.19,0.19,0.094,0.0
20230424,49.812,49.919,49.919,49.812,331,16916.0,0.21,-0.08,-0.04,0.0
20230425,49.648,49.081,49.657,49.081,8884,450757.0,1.15,-1.68,-0.838,0.0
20230426,48.941,48.941,48.941,48.941,2,100.0,0.0,-0.29,-0.14,0.0
20230427,49.472,49.793,49.793,49.472,4410,223751.0,0.66,1.74,0.852,0.0
20230428,49.804,50.193,50.193,49.804,4195,215569.0,0.78,0.8,0.4,0.0
20230501,50.281,50.243,50.447,50.243,6531,337360.0,0.41,0.1,0.05,0.0
20230502,50.052,49.709,50.052,49.394,14436,734793.0,1.31,-1.06,-0.534,0.0
20230503,49.829,49.419,49.989,49.419,5894,301288.0,1.15,-0.58,-0.29,0.0
20230504,49.316,49.016,49.316,48.981,4189,210709.0,0.68,-0.82,-0.403,0.0
20230505,49.735,49.954,50.038,49.735,399,20388.0,0.62,1.91,0.938,0.0
20230508,49.995,49.995,49.995,49.995,2,102.0,0.0,0.08,0.041,0.0
20230509,49.852,49.755,49.852,49.755,523,26733.0,0.19,-0.48,-0.24,0.0
20230510,49.93,50.009,50.116,49.579,22587,1155196.0,1.08,0.51,0.254,0.0
20230511,49.813,49.959,49.979,49.813,8604,440218.0,0.33,-0.1,-0.05,0.0
20230512,50.052,49.87,50.052,49.677,6104,311493.0,0.75,-0.18,-0.089,0.0
20230515,50.018,50.05,50.05,50.018,2640,135437.0,0.06,0.36,0.18,0.0
20230516,49.784,49.769,49.94,49.769,15244,779679.0,0.34,-0.56,-0.281,0.0
20230517,49.882,50.394,50.486,49.882,8623,443194.0,1.21,1.26,0.625,0.0
20230518,50.632,50.944,50.944,50.623,7450,386740.0,0.64,1.09,0.55,0.0
