trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20090916,6097644.0,6097644.0,6581484.0,5795244.0,686286,0.0,1.63,-87.39,-42275520.0,4.65
20090917,6097644.0,6097644.0,6581484.0,5795244.0,686286,0.0,12.89,0.0,0.0,4.65
20090918,6097644.0,6097644.0,6581484.0,5795244.0,686286,0.0,12.89,0.0,0.0,4.65
20090921,5976684.0,5916204.0,6158124.0,5916204.0,241383,0.0,3.97,-2.98,-181440.0,1.63
20090922,6037164.0,6037164.0,6097644.0,5916204.0,329207,0.0,3.07,2.04,120960.0,2.23
20090923,5976684.0,5795244.0,6037164.0,5795244.0,176051,0.0,4.01,-4.01,-241920.0,1.19
20090924,5855724.0,5795244.0,6037164.0,5795244.0,136163,0.0,4.17,0.0,0.0,0.92
20090925,5795244.0,5795244.0,5916204.0,5734764.0,41095,0.0,3.13,0.0,0.0,0.28
20090928,5795244.0,5795244.0,5916204.0,5734764.0,41095,0.0,3.13,0.0,0.0,0.28
20090929,5553324.0,5250924.0,5795244.0,5129964.0,168445,0.0,11.48,-9.39,-544320.0,1.14
20090930,5371884.0,5250924.0,5492844.0,5250924.0,127466,0.0,4.61,0.0,0.0,0.86
20091001,5432364.0,5190444.0,5432364.0,5190444.0,94698,0.0,4.61,-1.15,-60480.0,0.64
20091002,5190444.0,5190444.0,5432364.0,5190444.0,68640,0.0,4.66,0.0,0.0,0.46
20091005,5371884.0,5190444.0,5674284.0,5129964.0,208152,0.0,10.49,0.0,0.0,1.41
20091006,5250924.0,5190444.0,5492844.0,5190444.0,70263,0.0,5.83,0.0,0.0,0.48
20091007,5190444.0,5129964.0,5492844.0,5129964.0,249235,0.0,6.99,-1.17,-60480.0,1.69
20091008,5069484.0,5069484.0,5311404.0,5069484.0,74236,0.0,4.72,-1.18,-60480.0,0.5
20091009,5129964.0,5129964.0,5250924.0,5129964.0,56604,0.0,2.39,1.19,60480.0,0.38
20091012,5190444.0,5250924.0,5250924.0,5129964.0,49036,0.0,2.36,2.36,120960.0,0.33
20091013,5129964.0,5613804.0,5795244.0,5129964.0,173189,0.0,12.67,6.91,362880.0,1.17
20091014,5613804.0,5976684.0,6944364.0,5553324.0,1084974,0.0,24.78,6.46,362880.0,7.34
20091015,5976684.0,5795244.0,6158124.0,5795244.0,136319,0.0,6.07,-3.04,-181440.0,0.92
20091016,5734764.0,5795244.0,5855724.0,5553324.0,46678,0.0,5.22,0.0,0.0,0.32
20091019,5734764.0,5795244.0,5795244.0,5613804.0,65065,0.0,3.13,0.0,0.0,0.44
20091020,5674284.0,5250924.0,5674284.0,5250924.0,102450,0.0,7.31,-9.39,-544320.0,0.69
20091021,5250924.0,5432364.0,5613804.0,5250924.0,33267,0.0,6.91,3.46,181440.0,0.23
20091022,5371884.0,5674284.0,5795244.0,5371884.0,63990,0.0,7.79,4.45,241920.0,0.43
20091023,5734764.0,5492844.0,5734764.0,5432364.0,83003,0.0,5.33,-3.2,-181440.0,0.56
20091026,5492844.0,5795244.0,5795244.0,5492844.0,69248,0.0,5.51,5.51,302400.0,0.47
20091027,5734764.0,5734764.0,5916204.0,5734764.0,79257,0.0,3.13,-1.04,-60480.0,0.54
20091028,6581484.0,5976684.0,6641964.0,5855724.0,749644,0.0,13.71,4.22,241920.0,5.07
20091029,6218604.0,5250924.0,6521004.0,5129964.0,593795,0.0,23.27,-12.14,-725760.0,4.02
20091030,5311404.0,5250924.0,5432364.0,5129964.0,156791,0.0,5.76,0.0,0.0,1.06
20091102,5250924.0,4948524.0,5250924.0,4948524.0,163269,0.0,5.76,-5.76,-302400.0,1.11
20091103,4948524.0,5069484.0,5250924.0,4948524.0,65647,0.0,6.11,2.44,120960.0,0.44
20091104,5371884.0,5009004.0,5371884.0,4888044.0,83760,0.0,9.54,-1.19,-60480.0,0.57
20091105,5371884.0,5371884.0,5553324.0,4888044.0,199901,0.0,13.28,7.24,362880.0,1.35
20091106,5432364.0,5190444.0,5432364.0,5069484.0,91340,0.0,6.76,-3.38,-181440.0,0.62
20091109,5190444.0,5069484.0,5190444.0,5069484.0,127825,0.0,2.33,-2.33,-120960.0,0.87
20091110,5069484.0,4948524.0,5190444.0,4827564.0,392125,0.0,7.16,-2.39,-120960.0,2.65
20091111,5009004.0,5009004.0,5069484.0,4948524.0,65461,0.0,2.44,1.22,60480.0,0.44
20091112,5009004.0,5069484.0,5129964.0,4948524.0,55256,0.0,3.62,1.21,60480.0,0.37
20091113,5129964.0,4948524.0,5129964.0,4948524.0,82976,0.0,3.58,-2.39,-120960.0,0.56
20091116,5129964.0,4888044.0,5129964.0,4888044.0,112798,0.0,4.89,-1.22,-60480.0,0.76
20091117,5009004.0,4888044.0,5129964.0,4888044.0,61102,0.0,4.95,0.0,0.0,0.41
20091118,5129964.0,4888044.0,5129964.0,4888044.0,70153,0.0,4.95,0.0,0.0,0.47
20091119,5250924.0,4888044.0,5250924.0,4767084.0,127310,0.0,9.9,0.0,0.0,0.86
20091120,4888044.0,4827564.0,4888044.0,4767084.0,53290,0.0,2.47,-1.24,-60480.0,0.36
