trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240723,19.978,19.923,21.849,19.923,193812,3903448.0,0.0,0.0,0.0,0.0
20240724,19.768,19.605,19.768,19.605,2692,53451.0,0.82,-1.6,-0.318,0.0
20240725,19.818,19.607,19.818,19.607,293,5833.0,1.08,0.01,0.002,0.0
20240729,19.798,19.773,19.808,19.773,1220,24267.0,0.18,0.85,0.166,0.0
20240730,19.734,19.794,19.828,19.729,3668,72785.0,0.5,0.11,0.021,0.0
20240731,19.958,19.958,19.958,19.958,2050,41102.0,0.0,0.83,0.164,0.0
20240801,19.997,19.668,20.014,19.634,3302,66237.0,1.9,-1.45,-0.29,0.0
20240802,19.317,19.317,19.317,19.317,1,19.0,0.0,-1.78,-0.351,0.0
20240805,18.813,18.822,18.982,18.813,5905,112455.0,0.87,-2.56,-0.495,0.0
20240806,19.032,19.004,19.122,19.004,2303,44160.0,0.63,0.97,0.182,0.0
20240807,19.201,18.849,19.201,18.849,1531,29146.0,1.85,-0.82,-0.155,0.0
20240808,19.195,19.195,19.195,19.195,47,906.0,0.0,1.84,0.346,0.0
20240812,19.198,19.198,19.198,19.198,1,19.0,0.0,0.02,0.003,0.0
20240816,19.893,19.893,19.893,19.893,2,39.0,0.0,3.62,0.695,0.0
20240819,20.017,20.025,20.025,19.987,600,12056.0,0.19,0.66,0.132,0.0
20240820,19.983,19.983,19.983,19.983,11,220.0,0.0,-0.21,-0.042,0.0
20240822,19.936,19.936,19.936,19.936,1,20.0,0.0,-0.24,-0.047,0.0
20240826,20.183,20.183,20.183,20.183,2,40.0,0.0,1.24,0.247,0.0
20240827,20.193,20.193,20.193,20.193,3,60.0,0.0,0.05,0.01,0.0
20240829,20.173,20.156,20.173,20.156,446,9038.0,0.08,-0.18,-0.037,0.0
20240903,20.087,19.945,20.087,19.945,107,2159.0,0.7,-1.05,-0.211,0.0
20240904,19.952,19.952,19.952,19.952,6,120.0,0.0,0.04,0.007,0.0
20240906,19.624,19.624,19.624,19.624,1,19.0,0.0,-1.64,-0.328,0.0
20240909,19.778,19.778,19.778,19.778,1,19.0,0.0,0.78,0.154,0.0
20240911,19.914,19.914,19.914,19.914,9,180.0,0.0,0.69,0.136,0.0
20240912,20.013,20.013,20.013,20.013,1,20.0,0.0,0.5,0.099,0.0
20240913,20.163,20.163,20.163,20.163,1,20.0,0.0,0.75,0.15,0.0
20240916,20.225,20.225,20.225,20.225,3,60.0,0.0,0.31,0.062,0.0
20240917,20.241,20.241,20.241,20.241,1,20.0,0.0,0.08,0.016,0.0
20240918,20.495,20.206,20.495,20.206,8290,169074.0,1.43,-0.17,-0.035,0.0
20240920,20.419,20.419,20.419,20.419,4,82.0,0.0,1.05,0.213,0.0
20240927,20.544,20.544,20.544,20.544,2,41.0,0.0,0.61,0.125,0.0
20240930,20.515,20.589,20.589,20.515,178,3668.0,0.36,0.22,0.045,0.0
20241001,20.44,20.44,20.44,20.44,20,410.0,0.0,-0.72,-0.149,0.0
20241002,20.44,20.44,20.44,20.44,1,20.0,0.0,0.0,0.0,0.0
20241003,20.362,20.362,20.362,20.362,45,920.0,0.0,-0.38,-0.078,0.0
20241004,20.54,20.54,20.54,20.54,4,82.0,0.0,0.87,0.178,0.0
20241007,20.326,20.371,20.371,20.326,302,6166.0,0.22,-0.82,-0.169,0.0
20241009,20.609,20.609,20.609,20.609,2,41.0,0.0,1.17,0.238,0.0
20241010,20.56,20.56,20.56,20.56,4,82.0,0.0,-0.24,-0.049,0.0
20241015,20.729,20.729,20.729,20.729,2,41.0,0.0,0.82,0.169,0.0
20241016,20.873,20.868,20.873,20.868,150,3145.0,0.02,0.67,0.139,0.0
20241017,20.858,20.858,20.858,20.858,3,62.0,0.0,-0.05,-0.01,0.0
20241021,20.774,20.774,20.774,20.774,12,250.0,0.0,-0.4,-0.084,0.0
20241023,20.6,20.6,20.6,20.6,1,20.0,0.0,-0.84,-0.174,0.0
20241024,20.646,20.629,20.646,20.615,1488,30839.0,0.15,0.14,0.029,0.0
20241028,20.679,20.679,20.679,20.679,39,810.0,0.0,0.24,0.05,0.0
20241029,20.664,20.664,20.664,20.664,18,373.0,0.0,-0.07,-0.015,0.0
20241031,20.378,20.378,20.378,20.378,2,40.0,0.0,-1.38,-0.286,0.0
20241107,21.242,21.296,21.296,21.242,4362,93132.0,0.26,4.5,0.918,0.0
20241108,21.376,21.376,21.376,21.376,210,4509.0,0.0,0.38,0.08,0.0
20241111,21.477,21.477,21.477,21.477,1,21.0,0.0,0.47,0.101,0.0
20241112,21.421,21.341,21.421,21.341,2398,51604.0,0.37,-0.63,-0.136,0.0
20241113,21.302,21.302,21.302,21.302,18,385.0,0.0,-0.18,-0.039,0.0
20241114,21.168,21.168,21.168,21.168,21,446.0,0.0,-0.63,-0.134,0.0
20241115,20.968,20.968,20.968,20.968,273,5750.0,0.0,-0.94,-0.2,0.0
20241118,21.053,21.053,21.053,21.053,221,4674.0,0.0,0.41,0.085,0.0
20241119,21.048,21.048,21.048,21.048,108,2283.0,0.0,-0.02,-0.005,0.0
20241120,21.028,21.028,21.028,21.028,198,4182.0,0.0,-0.1,-0.02,0.0
20241122,21.415,21.415,21.415,21.415,201,4324.0,0.0,1.84,0.387,0.0
20241125,21.59,21.59,21.59,21.59,475,10302.0,0.0,0.82,0.175,0.0
20241126,21.53,21.58,21.58,21.53,220,4758.0,0.23,-0.05,-0.01,0.0
20241127,21.5,21.525,21.525,21.5,1096,23678.0,0.12,-0.25,-0.055,0.0
20241129,21.6,21.642,21.642,21.6,220,4774.0,0.2,0.54,0.117,0.0
20241202,21.67,21.67,21.67,21.67,14,304.0,0.0,0.13,0.028,0.0
20241203,21.625,21.625,21.625,21.625,9,195.0,0.0,-0.21,-0.045,0.0
20241204,21.754,21.754,21.754,21.754,14,305.0,0.0,0.6,0.129,0.0
