trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20201221,30.2,30.26,30.3,30.0,288318,8701796.0,0.0,0.0,0.0,0.0
20201222,30.28,30.23,30.3,30.22,167260,5060984.0,0.26,-0.1,-0.03,0.0
20201223,30.51,30.31,30.51,30.31,26384,800510.0,0.66,0.26,0.08,0.0
20201224,30.32,30.31,30.32,30.31,3296,99917.0,0.03,0.0,0.0,0.0
20201228,30.43,30.44,30.5,30.42,55367,1685752.0,0.26,0.43,0.13,0.0
20201229,30.46,30.43,30.47,30.4,116281,3540135.0,0.23,-0.03,-0.01,0.0
20201230,30.46,30.41,30.46,30.37,15688,477350.0,0.3,-0.07,-0.02,0.0
20201231,30.4,30.49,30.5,30.39,26640,811674.0,0.36,0.26,0.08,0.0
20210104,30.38,30.32,30.38,30.2,500744,15181895.0,0.59,-0.56,-0.17,0.0
20210105,30.36,30.39,30.45,30.3,64353,1955209.0,0.49,0.23,0.07,0.0
20210106,30.36,30.47,30.6,30.35,37549,1145206.0,0.82,0.26,0.08,0.0
20210107,30.56,30.63,30.68,30.55,23974,734418.0,0.43,0.53,0.16,0.0
20210108,30.93,30.68,30.93,30.54,21648,665092.0,1.27,0.16,0.05,0.0
20210111,30.64,30.57,30.68,30.55,77400,2371308.0,0.42,-0.36,-0.11,0.0
20210112,30.59,30.6,30.63,30.56,849350,25965122.0,0.23,0.1,0.03,0.0
20210113,30.62,30.62,30.68,30.6,31093,952941.0,0.26,0.07,0.02,0.0
20210114,30.64,30.57,30.65,30.57,19645,601359.0,0.26,-0.16,-0.05,0.0
20210115,30.54,30.49,30.55,30.49,19403,592586.0,0.2,-0.26,-0.08,0.0
20210119,30.55,30.58,30.6,30.51,25739,786540.0,0.3,0.3,0.09,0.0
20210120,30.67,30.75,30.77,30.67,213225,6556921.0,0.33,0.56,0.17,0.0
20210121,30.72,30.72,30.76,30.67,17400,534684.0,0.29,-0.1,-0.03,0.0
20210122,30.69,30.71,30.72,30.65,46583,1430284.0,0.23,-0.03,-0.01,0.0
20210125,30.71,30.71,30.74,30.58,339427,10428097.0,0.52,0.0,0.0,0.0
20210126,30.72,30.65,30.72,30.64,77541,2378587.0,0.26,-0.2,-0.06,0.0
20210127,30.5,30.33,30.5,30.28,44639,1356015.0,0.72,-1.04,-0.32,0.0
20210128,30.47,30.48,30.52,30.37,8784,267291.0,0.49,0.49,0.15,0.0
20210129,30.39,30.24,30.39,30.17,11203,339071.0,0.72,-0.79,-0.24,0.0
20210201,30.32,30.37,30.45,30.29,3571,108560.0,0.53,0.43,0.13,0.0
20210202,30.57,30.55,30.62,30.55,3917,119870.0,0.23,0.59,0.18,0.0
20210203,30.62,30.58,30.64,30.58,5066,155073.0,0.2,0.1,0.03,0.0
20210204,30.67,30.71,30.72,30.67,5946,182568.0,0.16,0.43,0.13,0.0
20210205,30.755,30.759,30.77,30.755,2320,71359.0,0.05,0.16,0.049,0.0
20210208,30.78,30.8,30.829,30.775,6564,202128.0,0.18,0.13,0.041,0.0
20210209,30.8,30.75,30.81,30.75,863512,26579527.0,0.19,-0.16,-0.05,0.0
20210210,30.8,30.772,30.8,30.72,7504,230767.0,0.26,0.07,0.022,0.0
20210211,30.83,30.76,30.83,30.7,7512,231075.0,0.42,-0.04,-0.012,0.0
20210212,30.8,30.81,30.82,30.79,1475,45430.0,0.1,0.16,0.05,0.0
20210216,30.843,30.79,30.85,30.78,3419,105445.0,0.23,-0.06,-0.02,0.0
20210217,30.745,30.793,30.793,30.745,2502,77026.0,0.16,0.01,0.003,0.0
20210218,30.72,30.76,30.78,30.675,30314,931417.0,0.34,-0.11,-0.033,0.0
20210219,30.78,30.73,30.8,30.73,3044,93690.0,0.23,-0.1,-0.03,0.0
20210222,30.65,30.672,30.76,30.64,23312,716117.0,0.39,-0.19,-0.058,0.0
20210223,30.63,30.71,30.73,30.59,14536,445607.0,0.46,0.12,0.038,0.0
20210224,30.74,30.83,30.83,30.718,10168,313156.0,0.36,0.39,0.12,0.0
20210225,30.81,30.61,30.84,30.54,33934,1042663.0,0.97,-0.71,-0.22,0.0
20210226,30.38,30.574,30.65,30.38,9958,304413.0,0.88,-0.12,-0.036,0.0
20210301,30.71,30.813,30.85,30.71,5568,171286.0,0.46,0.78,0.239,0.0
20210302,30.771,30.726,30.791,30.72,1523,46873.0,0.23,-0.28,-0.087,0.0
20210303,30.68,30.601,30.7,30.601,1438,44093.0,0.32,-0.41,-0.125,0.0
20210304,30.643,30.429,30.643,30.34,22770,693224.0,0.99,-0.56,-0.172,0.0
20210305,30.51,30.657,30.67,30.391,14391,439819.0,0.92,0.75,0.228,0.0
20210308,30.68,30.616,30.74,30.616,4040,124000.0,0.4,-0.13,-0.041,0.0
20210309,30.795,30.768,30.795,30.75,2674,82308.0,0.15,0.5,0.152,0.0
20210310,30.83,30.832,30.855,30.8,3794,116917.0,0.18,0.21,0.064,0.0
20210311,30.98,30.92,30.99,30.9,1769,54785.0,0.29,0.29,0.088,0.0
20210312,30.87,30.933,30.933,30.87,963,29751.0,0.2,0.04,0.013,0.0
20210315,30.9,30.971,30.989,30.9,2702,83646.0,0.29,0.12,0.038,0.0
20210316,30.983,30.983,30.983,30.983,440,13632.0,0.0,0.04,0.012,0.0
20210317,30.98,31.027,31.027,30.952,2182,67556.0,0.24,0.14,0.044,0.0
20210318,30.926,30.915,30.96,30.915,1205,37289.0,0.15,-0.36,-0.112,0.0
20210319,30.89,30.897,30.897,30.89,540,16680.0,0.02,-0.06,-0.018,0.0
20210322,30.945,30.975,31.08,30.945,15377,477236.0,0.44,0.25,0.078,0.0
20210323,31.04,30.945,31.04,30.945,1112,34499.0,0.31,-0.1,-0.03,0.0
20210324,31.05,30.915,31.08,30.915,9592,297780.0,0.53,-0.1,-0.03,0.0
20210325,30.88,30.966,30.966,30.86,1974,60949.0,0.34,0.16,0.051,0.0
20210326,31.025,31.08,31.09,31.02,1887,58640.0,0.23,0.37,0.114,0.0
20210329,31.1,31.124,31.124,31.1,547,17011.0,0.08,0.14,0.044,0.0
20210330,31.11,31.08,31.14,31.08,3878,120719.0,0.19,-0.14,-0.044,0.0
20210331,31.2,31.181,31.218,31.15,8485,264474.0,0.22,0.32,0.101,0.0
20210401,31.2,31.28,31.283,31.2,490156,15307403.0,0.27,0.32,0.099,0.0
20210405,31.4,31.42,31.45,31.4,1279,40186.0,0.16,0.45,0.14,0.0
20210406,31.382,31.382,31.429,31.382,1237,38850.0,0.15,-0.12,-0.038,0.0
20210407,31.36,31.397,31.397,31.36,720,22591.0,0.12,0.05,0.015,0.0
20210408,31.414,31.438,31.479,31.414,3423,107713.0,0.21,0.13,0.041,0.0
20210409,31.478,31.515,31.515,31.468,3576,112597.0,0.15,0.24,0.077,0.0
20210412,31.47,31.487,31.52,31.47,3292,103686.0,0.16,-0.09,-0.028,0.0
20210413,31.49,31.505,31.505,31.45,26972,849270.0,0.17,0.06,0.018,0.0
20210414,31.48,31.465,31.48,31.465,394,12403.0,0.05,-0.13,-0.04,0.0
20210415,31.49,31.563,31.589,31.49,4511,142317.0,0.31,0.31,0.098,0.0
20210416,31.61,31.595,31.61,31.55,1468,46383.0,0.19,0.1,0.032,0.0
20210419,31.6,31.54,31.6,31.48,2852,89889.0,0.38,-0.17,-0.055,0.0
20210420,31.492,31.49,31.51,31.485,608,19149.0,0.08,-0.16,-0.05,0.0
20210421,31.5,31.555,31.555,31.49,2347,73970.0,0.21,0.21,0.065,0.0
