trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240201,24.589,24.797,24.797,24.452,2553,64040.0,1.4,0.85,0.208,0.0
20240202,24.775,24.816,24.863,24.603,4656,117120.0,1.05,0.08,0.019,0.0
20240205,24.462,24.564,24.609,24.429,3210,80400.0,0.73,-1.02,-0.252,0.0
20240206,24.609,24.653,24.658,24.609,402,10099.0,0.2,0.36,0.089,0.0
20240207,24.736,24.724,24.775,24.724,405,10224.0,0.21,0.29,0.071,0.0
20240208,24.717,24.832,24.854,24.717,642,16244.0,0.55,0.44,0.108,0.0
20240209,24.901,24.901,24.901,24.901,18,457.0,0.0,0.28,0.069,0.0
20240212,25.178,25.178,25.178,25.178,5,128.0,0.0,1.11,0.277,0.0
20240213,24.707,24.641,24.707,24.512,2764,69372.0,0.77,-2.13,-0.537,0.0
20240214,24.766,24.909,24.913,24.766,3456,87616.0,0.6,1.09,0.268,0.0
20240215,25.18,25.233,25.285,25.18,1560,40127.0,0.42,1.3,0.324,0.0
20240216,25.217,25.087,25.217,25.087,481,12364.0,0.52,-0.58,-0.146,0.0
20240220,24.991,24.965,25.05,24.965,4808,122629.0,0.34,-0.49,-0.122,0.0
20240221,25.029,25.029,25.029,25.029,90,2297.0,0.0,0.26,0.064,0.0
20240222,25.217,25.296,25.296,25.217,341,8770.0,0.32,1.07,0.267,0.0
20240223,25.389,25.435,25.462,25.389,606,15728.0,0.29,0.55,0.139,0.0
20240226,25.364,25.363,25.364,25.363,544,14073.0,0.0,-0.28,-0.072,0.0
20240227,25.501,25.537,25.537,25.501,155,4031.0,0.14,0.69,0.174,0.0
20240228,25.599,25.508,25.599,25.508,1326,34603.0,0.36,-0.11,-0.029,0.0
20240229,25.56,25.677,25.677,25.56,1234,32304.0,0.46,0.66,0.169,0.0
20240301,25.765,25.77,25.795,25.731,6919,181773.0,0.25,0.36,0.093,0.0
20240304,25.834,25.775,25.834,25.775,231,6086.0,0.23,0.02,0.005,0.0
20240305,25.736,25.686,25.736,25.686,541,14188.0,0.19,-0.35,-0.089,0.0
20240306,25.756,25.775,25.775,25.756,431,11322.0,0.07,0.35,0.089,0.0
20240307,25.999,25.999,25.999,25.999,220,5833.0,0.0,0.87,0.224,0.0
20240308,26.138,25.995,26.138,25.981,1111,29494.0,0.6,-0.02,-0.004,0.0
20240311,26.022,26.022,26.022,26.022,78,2070.0,0.0,0.1,0.027,0.0
20240312,26.128,26.118,26.128,26.089,2451,65302.0,0.15,0.37,0.096,0.0
20240313,26.226,26.188,26.226,26.188,217,5804.0,0.15,0.27,0.07,0.0
20240314,25.972,25.932,25.972,25.932,530,14039.0,0.15,-0.98,-0.256,0.0
20240315,25.972,25.953,25.997,25.903,1403,37184.0,0.36,0.08,0.021,0.0
20240318,26.07,25.996,26.07,25.996,764,20309.0,0.29,0.17,0.043,0.0
20240319,26.177,26.177,26.177,26.177,11,293.0,0.0,0.7,0.181,0.0
20240320,26.266,26.49,26.49,26.266,166,4447.0,0.86,1.2,0.313,0.0
20240321,26.765,26.75,26.765,26.75,233,6360.0,0.06,0.98,0.26,0.0
20240322,26.565,26.558,26.565,26.558,136,3684.0,0.03,-0.72,-0.192,0.0
20240325,26.628,26.53,26.628,26.53,560,15202.0,0.37,-0.11,-0.028,0.0
20240326,26.619,26.505,26.619,26.505,1448,39274.0,0.43,-0.09,-0.025,0.0
20240327,26.795,26.93,26.93,26.795,855,23372.0,0.51,1.6,0.425,0.0
20240328,27.05,27.098,27.098,27.05,540,14898.0,0.18,0.62,0.168,0.0
20240401,26.945,26.959,26.985,26.945,594,16282.0,0.15,-0.51,-0.139,0.0
20240402,26.759,26.68,26.759,26.641,1614,43800.0,0.44,-1.03,-0.279,0.0
20240403,26.749,26.75,26.788,26.729,3422,93095.0,0.22,0.26,0.07,0.0
20240404,26.906,26.469,26.906,26.454,565,15377.0,1.69,-1.05,-0.281,0.0
20240405,26.65,26.63,26.65,26.63,249,6747.0,0.08,0.61,0.161,0.0
20240408,26.631,26.663,26.739,26.621,1543,41799.0,0.44,0.12,0.033,0.0
