trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
19871105,-8.291,-8.285,-8.278,-8.305,323200,0.0,0.0,0.0,0.0,0.05
19871106,-8.319,-8.278,-8.271,-8.319,726400,0.0,-0.58,0.08,0.007,0.1
19871109,-8.312,-8.305,-8.278,-8.312,422400,0.0,-0.41,-0.33,-0.027,0.06
19871110,-8.319,-8.326,-8.291,-8.332,566400,0.0,-0.49,-0.25,-0.021,0.08
19871111,-8.319,-8.319,-8.305,-8.319,419200,0.0,-0.17,0.08,0.007,0.06
19871112,-8.299,-8.312,-8.299,-8.312,603200,0.0,-0.16,0.08,0.007,0.08
19871113,-8.305,-8.305,-8.299,-8.312,500800,0.0,-0.16,0.08,0.007,0.07
19871116,-8.312,-8.319,-8.305,-8.326,392000,0.0,-0.25,-0.17,-0.014,0.05
19871117,-8.332,-8.346,-8.332,-8.36,624000,0.0,-0.34,-0.32,-0.027,0.09
19871118,-8.346,-8.332,-8.332,-8.346,262400,0.0,-0.17,0.17,0.014,0.04
19871119,-8.326,-8.339,-8.326,-8.339,204800,0.0,-0.16,-0.08,-0.007,0.03
19871120,-8.346,-8.346,-8.339,-8.346,172800,0.0,-0.08,-0.08,-0.007,0.02
19871123,-8.339,-8.339,-8.326,-8.346,558400,0.0,-0.24,0.08,0.007,0.08
19871124,-8.326,-8.312,-8.299,-8.353,2088000,0.0,-0.65,0.32,0.027,0.29
19871125,-8.305,-8.312,-8.305,-8.319,576000,0.0,-0.17,0.0,0.0,0.08
19871127,-8.305,-8.299,-8.299,-8.305,129600,0.0,-0.07,0.16,0.013,0.02
19871130,-8.312,-8.332,-8.312,-8.346,716800,0.0,-0.41,-0.4,-0.033,0.1
19871201,-8.326,-8.339,-8.326,-8.339,227200,0.0,-0.16,-0.08,-0.007,0.03
19871202,-8.339,-8.346,-8.339,-8.36,230400,0.0,-0.25,-0.08,-0.007,0.03
19871203,-8.353,-8.36,-8.346,-8.36,833600,0.0,-0.17,-0.17,-0.014,0.12
19871204,-8.36,-8.387,-8.36,-8.387,376000,0.0,-0.32,-0.32,-0.027,0.05
19871207,-8.38,-8.38,-8.373,-8.387,364800,0.0,-0.17,0.08,0.007,0.05
19871208,-8.373,-8.353,-8.346,-8.38,731200,0.0,-0.41,0.32,0.027,0.1
19871209,-8.346,-8.319,-8.319,-8.353,652800,0.0,-0.41,0.41,0.034,0.09
19871210,-8.346,-8.332,-8.312,-8.346,3059200,0.0,-0.41,-0.16,-0.013,0.43
19871211,-8.326,-8.353,-8.319,-8.36,3721600,0.0,-0.49,-0.25,-0.021,0.52
19871214,-8.326,-8.312,-8.305,-8.326,939200,0.0,-0.25,0.49,0.041,0.13
19871215,-8.312,-8.264,-8.264,-8.312,908800,0.0,-0.58,0.58,0.048,0.13
19871216,-8.258,-8.264,-8.244,-8.264,1177600,0.0,-0.24,0.0,0.0,0.16
19871217,-8.264,-8.264,-8.244,-8.264,878400,0.0,-0.24,0.0,0.0,0.12
19871218,-8.258,-8.25,-8.244,-8.258,502400,0.0,-0.17,0.17,0.014,0.07
19871221,-8.25,-8.258,-8.244,-8.264,315200,0.0,-0.24,-0.1,-0.008,0.04
19871222,-8.264,-8.258,-8.25,-8.264,324800,0.0,-0.17,0.0,0.0,0.05
19871223,-8.264,-8.237,-8.21,-8.264,544000,0.0,-0.65,0.25,0.021,0.08
19871224,-8.231,-8.237,-8.231,-8.25,238400,0.0,-0.23,0.0,0.0,0.03
19871228,-8.244,-8.271,-8.244,-8.278,390400,0.0,-0.41,-0.41,-0.034,0.05
19871229,-8.278,-8.271,-8.271,-8.285,246400,0.0,-0.17,0.0,0.0,0.03
19871230,-8.278,-8.285,-8.271,-8.285,318400,0.0,-0.17,-0.17,-0.014,0.04
19871231,-8.291,-8.278,-8.264,-8.291,230400,0.0,-0.33,0.08,0.007,0.03
19880104,-8.278,-8.25,-8.25,-8.278,433600,0.0,-0.34,0.34,0.028,0.06
19880105,-8.25,-8.264,-8.231,-8.264,516800,0.0,-0.4,-0.17,-0.014,0.07
19880106,-8.278,-8.271,-8.258,-8.278,299200,0.0,-0.24,-0.08,-0.007,0.04
