trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230825,11.022,11.031,11.061,10.974,12567,253176.0,0.79,0.08,0.009,0.0
20230828,11.16,11.149,11.187,11.078,13777,280100.0,0.99,1.07,0.118,0.0
20230829,11.149,11.198,11.2,11.094,4446,90711.0,0.95,0.44,0.049,0.0
20230830,11.214,11.171,11.225,11.121,5646,115334.0,0.93,-0.24,-0.027,0.0
20230831,11.28,11.103,11.28,11.103,16072,327013.0,1.58,-0.61,-0.068,0.0
20230901,11.023,10.851,11.023,10.777,18012,357600.0,2.22,-2.27,-0.252,0.0
20230905,10.892,10.801,10.941,10.801,13274,263832.0,1.29,-0.46,-0.05,0.0
20230906,10.788,10.762,10.799,10.712,10086,198332.0,0.81,-0.36,-0.039,0.0
20230907,10.766,10.717,10.766,10.651,21276,415870.0,1.07,-0.42,-0.045,0.0
20230908,10.706,10.824,10.837,10.67,11177,219801.0,1.56,1.0,0.107,0.0
20230911,10.935,10.922,10.977,10.826,12358,246143.0,1.4,0.91,0.098,0.0
20230912,11.1,11.012,11.1,11.007,5303,106986.0,0.85,0.82,0.09,0.0
20230913,11.039,11.028,11.067,11.028,2686,54254.0,0.35,0.15,0.016,0.0
20230914,11.05,11.069,11.111,11.001,5380,108775.0,1.0,0.37,0.041,0.0
20230915,11.078,11.102,11.138,11.067,6746,136777.0,0.64,0.3,0.033,0.0
20230918,11.094,11.1,11.119,11.078,28073,569889.0,0.37,-0.02,-0.002,0.0
20230919,11.028,10.901,11.028,10.886,6477,129442.0,1.28,-1.79,-0.199,0.0
20230920,10.919,10.975,11.045,10.919,7863,157969.0,1.16,0.68,0.074,0.0
20230921,10.979,11.007,11.067,10.979,5872,118345.0,0.8,0.29,0.032,0.0
20230922,11.039,10.839,11.039,10.839,5420,108760.0,1.82,-1.53,-0.168,0.0
20230925,10.864,10.813,10.864,10.755,2954,58229.0,1.01,-0.24,-0.026,0.0
20230926,10.732,10.704,10.733,10.678,3015,58959.0,0.51,-1.01,-0.109,0.0
20230927,10.776,10.671,10.776,10.569,3529,68799.0,1.93,-0.31,-0.033,0.0
20230928,10.695,10.709,10.733,10.65,7133,139447.0,0.78,0.36,0.038,0.0
20230929,10.812,10.83,10.83,10.728,4899,96590.0,0.95,1.13,0.121,0.0
20231002,10.845,10.899,10.899,10.799,3263,64468.0,0.92,0.64,0.069,0.0
20231003,10.892,10.656,10.892,10.651,2853,55804.0,2.21,-2.23,-0.243,0.0
20231004,10.626,10.641,10.645,10.553,3534,68537.0,0.86,-0.14,-0.015,0.0
20231005,10.613,10.809,10.842,10.613,10206,199558.0,2.15,1.58,0.168,0.0
20231006,10.812,11.099,11.123,10.812,6755,134100.0,2.88,2.68,0.29,0.0
20231009,11.172,11.262,11.273,11.111,4801,97000.0,1.46,1.47,0.163,0.0
20231010,11.167,11.308,11.333,11.089,6808,137412.0,2.17,0.41,0.046,0.0
