trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210119,30.15,30.19,30.21,30.13,416956,12573921.0,0.0,0.0,0.0,0.0
20210120,30.22,30.34,30.37,30.22,81035,2457574.0,0.5,0.5,0.15,0.0
20210121,30.36,30.34,30.37,30.32,103618,3143846.0,0.16,0.0,0.0,0.0
20210122,30.28,30.33,30.34,30.25,115613,3503123.0,0.3,-0.03,-0.01,0.0
20210125,30.3,30.29,30.32,30.15,114866,3475639.0,0.56,-0.13,-0.04,0.0
20210126,30.32,30.29,30.33,30.26,65197,1975877.0,0.23,0.0,0.0,0.0
20210127,30.04,29.93,30.17,29.86,177534,5336748.0,1.02,-1.19,-0.36,0.0
20210128,30.02,29.99,30.18,29.97,81324,2445547.0,0.7,0.2,0.06,0.0
20210129,29.9,29.83,29.98,29.7,61987,1851966.0,0.93,-0.53,-0.16,0.0
20210201,29.96,30.01,30.07,29.88,111757,3348250.0,0.64,0.6,0.18,0.0
20210202,30.14,30.17,30.23,30.14,32248,974108.0,0.3,0.53,0.16,0.0
20210203,30.29,30.19,30.29,30.17,20614,623112.0,0.4,0.07,0.02,0.0
20210204,30.28,30.34,30.34,30.28,12648,383471.0,0.2,0.5,0.15,0.0
20210205,30.347,30.357,30.39,30.327,30201,916682.0,0.21,0.06,0.017,0.0
20210208,30.39,30.45,30.45,30.365,22884,695820.0,0.28,0.31,0.093,0.0
20210209,30.39,30.415,30.45,30.38,916574,27898404.0,0.23,-0.11,-0.035,0.0
20210210,30.51,30.41,30.51,30.32,52671,1600866.0,0.62,-0.02,-0.005,0.0
20210211,30.41,30.39,30.41,30.34,10642,323263.0,0.23,-0.07,-0.02,0.0
20210212,30.53,30.44,30.53,30.382,643850,19591024.0,0.49,0.16,0.05,0.0
20210216,30.62,30.46,30.62,30.412,27617,841024.0,0.68,0.07,0.02,0.0
20210217,30.338,30.403,30.415,30.33,20838,633183.0,0.28,-0.19,-0.057,0.0
20210218,30.34,30.37,30.4,30.29,118458,3596260.0,0.36,-0.11,-0.033,0.0
