trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210701,15.775,20.475,21.165,14.975,40888208,767462944.0,37.57,24.28,4.0,24.99
20210702,19.329,18.595,19.925,17.795,8637909,167542743.0,10.4,-9.18,-1.88,5.28
20210706,18.375,16.475,18.595,16.475,3972959,70720358.0,11.4,-11.4,-2.12,2.43
20210707,16.764,17.255,17.635,16.475,3213531,56572601.0,7.04,4.73,0.78,1.96
20210708,16.725,17.675,17.825,16.475,5448286,97628339.0,7.82,2.43,0.42,3.33
20210709,17.845,18.765,19.475,17.845,3951220,76849648.0,9.22,6.17,1.09,2.42
20210712,19.175,17.535,19.535,17.295,2665167,50136271.0,11.94,-6.55,-1.23,1.63
20210713,17.725,17.075,18.12,16.975,2567576,46093128.0,6.53,-2.62,-0.46,1.57
20210714,17.125,16.695,17.445,16.625,1456083,25278806.0,4.8,-2.23,-0.38,0.89
20210715,16.805,16.585,17.005,16.465,828622,14233579.0,3.23,-0.66,-0.11,0.51
20210716,16.495,16.515,16.805,16.475,1209788,20623005.0,1.99,-0.42,-0.07,0.74
20210719,16.085,16.435,16.475,15.505,1425411,23362679.0,5.87,-0.48,-0.08,0.87
20210720,16.485,16.065,16.575,15.725,1180986,19736639.0,5.17,-2.25,-0.37,0.72
20210721,15.975,15.755,16.265,15.555,1988850,32395388.0,4.42,-1.93,-0.31,1.22
20210722,15.525,15.545,15.755,15.265,1695494,27207571.0,3.11,-1.33,-0.21,1.04
20210723,15.435,16.185,16.215,15.025,2008877,32044220.0,7.66,4.12,0.64,1.23
20210726,16.205,16.645,17.445,16.16,3109550,53721197.0,7.94,2.84,0.46,1.9
20210727,16.915,15.905,16.944,15.725,1076743,17918796.0,7.32,-4.45,-0.74,0.66
20210728,15.975,15.425,16.325,15.375,1198756,19422953.0,5.97,-3.02,-0.48,0.73
20210729,15.435,15.985,16.005,15.275,818752,13273430.0,4.73,3.63,0.56,0.5
20210730,15.775,15.435,15.956,15.365,735679,11815417.0,3.7,-3.44,-0.55,0.45
20210802,15.545,15.215,15.551,15.185,995105,15771513.0,2.37,-1.43,-0.22,0.61
20210803,15.475,15.175,15.475,15.165,687107,10853072.0,2.04,-0.26,-0.04,0.42
20210804,15.165,14.595,15.305,14.365,1453870,22141583.0,6.19,-3.82,-0.58,0.89
20210805,14.595,15.115,15.115,14.395,537696,8244470.0,4.93,3.56,0.52,0.33
20210806,15.045,14.795,15.125,14.645,341217,5243840.0,3.18,-2.12,-0.32,0.21
20210809,14.775,15.375,15.505,14.475,1152434,18013736.0,6.96,3.92,0.58,0.7
20210810,15.305,15.155,15.435,14.855,563519,8837180.0,3.77,-1.43,-0.22,0.34
20210811,15.235,14.555,15.375,14.46,930451,14174174.0,6.04,-3.96,-0.6,0.56
20210812,14.555,14.275,14.795,14.225,915358,13680830.0,3.92,-1.92,-0.28,0.55
20210813,14.275,14.505,14.745,14.175,764003,11445866.0,3.99,1.61,0.23,0.46
20210816,14.595,14.095,14.625,13.795,990715,14481822.0,5.72,-2.83,-0.41,0.59
20210817,14.035,13.515,14.145,13.095,2476411,34580077.0,7.45,-4.11,-0.58,1.48
20210818,13.714,12.545,13.725,12.485,3209275,43457682.0,9.17,-7.18,-0.97,1.92
20210819,12.475,14.385,14.765,12.3,4320701,62669661.0,19.65,14.67,1.84,2.59
20210820,14.085,14.545,15.105,13.975,2257112,34209438.0,7.86,1.11,0.16,1.35
20210823,14.825,16.205,16.395,14.498,2366007,38621901.0,13.04,11.41,1.66,1.42
20210824,16.225,16.435,16.821,15.565,1984918,33689521.0,7.75,1.42,0.23,1.19
20210825,16.475,16.005,17.065,15.815,1576281,26741712.0,7.61,-2.62,-0.43,0.94
20210826,16.265,16.445,16.695,16.005,964495,16363312.0,4.31,2.75,0.44,0.58
20210827,16.405,16.475,16.775,16.285,1064214,18102174.0,2.98,0.18,0.03,0.64
20210830,16.685,16.355,17.145,16.195,1159209,19765163.0,5.77,-0.73,-0.12,0.69
20210831,16.395,16.185,16.575,16.025,705798,11833219.0,3.36,-1.04,-0.17,0.42
20210901,16.335,16.325,16.495,16.225,474533,8016528.0,1.67,0.86,0.14,0.28
20210902,16.465,16.265,16.865,16.085,1238174,20906082.0,4.78,-0.37,-0.06,0.74
20210903,16.325,15.595,16.375,15.205,1474931,24017836.0,7.19,-4.12,-0.67,0.88
20210907,15.585,14.435,15.725,14.405,2469577,37654249.0,8.46,-7.44,-1.16,1.48
20210908,14.445,14.685,14.9,14.275,1961027,29655886.0,4.33,1.73,0.25,1.17
