trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20140110,20.91,21.05,21.13,20.89,573780,0.0,0.0,0.0,0.0,0.0
20140616,22.58,22.61,22.73,22.45,278290,0.0,1.33,7.41,1.56,0.0
20140925,21.5,21.26,21.5,21.13,629616,0.0,1.64,-5.97,-1.35,0.0
20140926,21.19,21.19,21.24,21.11,409242,0.0,0.61,-0.33,-0.07,0.0
20140929,21.15,21.3,21.4,21.1,421399,0.0,1.42,0.52,0.11,0.0
20140930,21.4,21.65,21.68,21.23,626505,0.0,2.11,1.64,0.35,0.0
20141001,21.57,21.75,21.75,21.55,470292,0.0,0.92,0.46,0.1,0.0
20141002,21.7,21.5,21.7,21.5,315850,0.0,0.92,-1.15,-0.25,0.0
20141003,21.54,21.56,21.65,21.45,288664,0.0,0.93,0.28,0.06,0.0
20141006,21.67,21.71,21.73,21.62,239537,0.0,0.51,0.7,0.15,0.0
20141007,21.7,21.71,21.74,21.62,248214,0.0,0.55,0.0,0.0,0.0
20141008,21.72,21.72,21.72,21.55,251942,0.0,0.78,0.05,0.01,0.0
20141009,21.7,21.56,21.7,21.46,297309,0.0,1.1,-0.74,-0.16,0.0
20141010,21.58,21.26,21.58,21.21,368229,0.0,1.72,-1.39,-0.3,0.0
20141013,21.26,21.35,21.42,21.24,351229,0.0,0.85,0.42,0.09,0.0
20141014,21.4,21.47,21.47,21.24,326300,0.0,1.08,0.56,0.12,0.0
20141015,21.3,21.15,21.3,21.0,624897,0.0,1.4,-1.49,-0.32,0.0
20141016,21.14,21.22,21.3,21.03,360421,0.0,1.28,0.33,0.07,0.0
20141017,21.25,21.22,21.42,21.16,319516,0.0,1.23,0.0,0.0,0.0
20141020,21.28,21.3,21.39,21.22,259140,0.0,0.8,0.38,0.08,0.0
20141021,21.35,21.48,21.52,21.3,361787,0.0,1.03,0.85,0.18,0.0
20141022,21.51,21.45,21.55,21.4,218264,0.0,0.7,-0.14,-0.03,0.0
20141023,21.53,21.41,21.55,21.38,313414,0.0,0.79,-0.19,-0.04,0.0
20141024,21.47,21.25,21.47,21.24,344590,0.0,1.07,-0.75,-0.16,0.0
20141027,21.25,21.25,21.32,21.2,263969,0.0,0.56,0.0,0.0,0.0
20141028,21.33,21.35,21.39,21.28,219419,0.0,0.52,0.47,0.1,0.0
20141029,21.34,21.22,21.42,21.2,267077,0.0,1.03,-0.61,-0.13,0.0
20141030,21.22,21.24,21.32,21.22,216065,0.0,0.47,0.09,0.02,0.0
20141031,21.41,21.3,21.42,21.25,319183,0.0,0.8,0.28,0.06,0.0
20141103,21.32,21.47,21.51,21.31,379779,0.0,0.94,0.8,0.17,0.0
20141104,21.49,21.43,21.5,21.29,213951,0.0,0.98,-0.19,-0.04,0.0
20141105,21.47,21.43,21.47,21.38,256442,0.0,0.42,0.0,0.0,0.0
20141106,21.44,21.41,21.55,21.36,356653,0.0,0.89,-0.09,-0.02,0.0
20141107,21.42,21.5,21.5,21.33,289454,0.0,0.79,0.42,0.09,0.0
20141110,21.5,21.49,21.55,21.42,189544,0.0,0.6,-0.05,-0.01,0.0
20141111,21.5,21.6,21.65,21.5,406610,0.0,0.7,0.51,0.11,0.0
20141112,21.42,21.45,21.5,21.35,256835,0.0,0.69,-0.69,-0.15,0.0
20141113,21.39,21.31,21.45,21.3,299283,0.0,0.7,-0.65,-0.14,0.0
20141114,21.29,21.24,21.33,21.21,335018,0.0,0.56,-0.33,-0.07,0.0
20141117,21.23,21.16,21.28,21.07,373842,0.0,0.99,-0.38,-0.08,0.0
20141118,21.19,21.12,21.3,21.11,429024,0.0,0.9,-0.19,-0.04,0.0
20141119,21.24,21.08,21.24,21.01,440627,0.0,1.09,-0.19,-0.04,0.0
20141120,21.03,21.05,21.1,21.0,376119,0.0,0.47,-0.14,-0.03,0.0
20141121,21.1,21.0,21.12,20.97,416738,0.0,0.71,-0.24,-0.05,0.0
20141124,21.03,21.14,21.24,21.03,608288,0.0,1.0,0.67,0.14,0.0
20141125,21.15,21.33,21.34,21.15,372116,0.0,0.9,0.9,0.19,0.0
