trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20211028,22.36,17.61,23.39,17.0,10474188,216985706.0,0.0,0.0,0.0,11.04
20211029,18.0,18.36,19.35,17.5,2027392,37520413.0,10.51,4.26,0.75,2.14
20211101,18.36,18.77,19.579,18.11,1062947,20099402.0,8.0,2.23,0.41,1.12
20211102,18.95,18.5,19.44,18.37,693945,13038393.0,5.7,-1.44,-0.27,0.73
20211103,18.43,18.3,18.89,18.12,1649402,30284591.0,4.16,-1.08,-0.2,1.74
20211104,18.37,19.26,19.26,18.32,500489,9473319.0,5.14,5.25,0.96,0.53
20211105,19.45,19.24,19.68,19.06,316634,6117823.0,3.22,-0.1,-0.02,0.33
20211108,19.38,19.2,19.46,18.25,619669,11816923.0,6.29,-0.21,-0.04,0.65
20211109,19.44,20.99,21.08,19.2,1117935,22851033.0,9.79,9.32,1.79,1.18
20211110,20.93,20.66,21.21,19.07,2255700,45963264.0,10.2,-1.57,-0.33,2.38
20211111,20.66,19.96,20.93,19.52,225823,4542211.0,6.82,-3.39,-0.7,0.24
20211112,20.21,21.03,21.03,19.36,405969,8142730.0,8.37,5.36,1.07,0.43
20211115,20.92,21.93,21.95,20.55,891678,19158954.0,6.66,4.28,0.9,0.94
20211116,21.67,19.56,21.71,19.5,431384,8745977.0,10.08,-10.81,-2.37,0.45
20211117,19.78,20.5,20.52,18.59,467784,9300624.0,9.87,4.81,0.94,0.49
20211118,20.55,18.6,20.55,18.36,489320,9268718.0,10.68,-9.27,-1.9,0.52
20211119,18.58,17.26,18.99,16.5,870833,15185694.0,13.39,-7.2,-1.34,0.92
20211122,17.71,17.61,18.22,17.27,742560,13154794.0,5.5,2.03,0.35,0.78
20211123,17.42,16.62,17.5,16.0,781260,12950313.0,8.52,-5.62,-0.99,0.82
20211124,16.49,16.8,17.33,15.28,888667,14488366.0,12.33,1.08,0.18,0.94
20211126,16.5,17.14,17.18,16.03,306040,5102228.0,6.85,2.02,0.34,0.32
20211129,17.55,16.75,17.63,16.5,715755,12116041.0,6.59,-2.28,-0.39,0.75
20211130,16.5,16.7,17.15,16.35,507071,8502322.0,4.78,-0.3,-0.05,0.52
20211201,16.77,17.24,17.46,16.77,579709,9965106.0,4.13,3.23,0.54,0.6
20211202,17.24,17.05,17.84,16.48,831049,14077371.0,7.89,-1.1,-0.19,0.86
20211203,17.11,15.75,17.41,15.4,702273,11276084.0,11.79,-7.62,-1.3,0.73
20211206,16.04,16.33,16.63,15.735,934049,15204884.0,5.68,3.68,0.58,0.96
20211207,16.64,17.43,17.82,16.2,894022,15405821.0,9.92,6.74,1.1,0.92
20211208,17.75,15.92,18.34,14.76,3056279,47924567.0,20.54,-8.66,-1.51,3.16
20211209,16.17,15.51,17.0,15.14,1067475,16961132.0,11.68,-2.58,-0.41,1.1
20211210,15.61,16.41,16.9,15.61,1117855,18145686.0,8.32,5.8,0.9,1.15
20211213,16.39,15.42,16.79,15.2,415305,6511967.0,9.69,-6.03,-0.99,0.43
20211214,15.24,14.77,15.68,13.85,758331,11126667.0,11.87,-4.22,-0.65,0.78
20211215,14.78,15.34,15.54,14.16,571666,8546440.0,9.34,3.86,0.57,0.59
20211216,15.86,14.73,16.2,14.52,460537,7019131.0,10.95,-3.98,-0.61,0.48
20211217,14.5,14.43,15.3,13.94,2544696,36958710.0,9.23,-2.04,-0.3,2.63
20211220,14.07,14.25,14.42,13.46,532175,7452425.0,6.65,-1.25,-0.18,0.55
20211221,14.3,14.2,14.899,14.0,194534,2782960.0,6.31,-0.35,-0.05,0.2
20211222,14.09,14.74,14.8,13.87,227912,3289565.0,6.55,3.8,0.54,0.24
20211223,14.66,14.98,15.1,14.66,151451,2262261.0,2.99,1.63,0.24,0.16
20211227,14.95,15.66,15.91,14.8,241855,3751773.0,7.41,4.54,0.68,0.25
20211228,15.67,15.32,15.67,15.0,178115,2721142.0,4.28,-2.17,-0.34,0.18
20211229,15.15,15.17,15.385,14.77,234868,3553275.0,4.01,-0.98,-0.15,0.24
20211230,15.05,15.2,15.389,15.0,175090,2672338.0,2.56,0.2,0.03,0.18
20211231,15.19,15.63,15.75,15.19,309399,4809037.0,3.68,2.83,0.43,0.33
20220103,15.58,15.48,15.92,15.02,339150,5250183.0,5.76,-0.96,-0.15,0.36
20220104,15.5,15.32,15.74,15.0,380669,5820947.0,4.78,-1.03,-0.16,0.4
20220105,15.42,14.75,15.55,14.51,293941,4403934.0,6.79,-3.72,-0.57,0.31
20220106,14.6,15.17,15.3,14.226,268004,4013341.0,7.28,2.85,0.42,0.28
20220107,15.15,14.79,15.545,14.75,160453,2400943.0,5.24,-2.5,-0.38,0.17
20220110,15.93,14.83,15.94,13.6,1003581,14436309.0,15.82,0.27,0.04,1.06
20220111,15.08,15.74,16.0,14.56,328551,5106874.0,9.71,6.14,0.91,0.35
20220112,16.26,16.36,17.45,16.0,603880,10007127.0,9.21,3.94,0.62,0.64
20220113,16.54,16.66,16.98,16.21,578720,9697447.0,4.71,1.83,0.3,0.61
20220114,16.51,15.93,16.83,15.212,498439,7860252.0,9.71,-4.38,-0.73,0.53
20220118,15.5,13.61,15.5,13.55,735586,10462864.0,12.24,-14.56,-2.32,0.78
