trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250618,8.5,6.53,13.34,5.89,1510058,14401250.0,149.0,30.6,1.53,5.42
20250620,6.0,4.67,6.325,3.943,269298,1359373.0,36.48,-28.48,-1.86,0.96
20250623,4.4,3.86,4.4,3.525,316494,1219643.0,18.74,-17.34,-0.81,1.13
20250624,3.88,2.98,3.88,2.53,831823,2593919.0,34.97,-22.8,-0.88,2.97
20250625,2.94,3.54,3.85,2.639,529328,1693282.0,40.64,18.79,0.56,1.89
20250626,3.73,3.39,4.36,3.08,547786,1862667.0,36.16,-4.24,-0.15,1.96
20250627,3.27,3.47,3.47,3.15,303949,1005996.0,9.44,2.36,0.08,1.09
20250630,3.23,3.47,3.59,3.21,77878,261416.0,10.95,0.0,0.0,0.28
20250701,3.25,3.37,3.5,3.25,138907,462491.0,7.2,-2.88,-0.1,0.5
20250702,3.355,3.7,3.84,3.2,609087,2164843.0,18.99,9.79,0.33,2.17
20250703,3.845,5.68,6.98,3.815,8831691,52033567.0,85.54,53.51,1.98,31.54
20250707,4.82,4.85,5.31,4.5,494365,2385133.0,14.26,-14.61,-0.83,1.77
20250708,4.75,6.0,6.351,4.51,388465,2242315.0,37.96,23.71,1.15,1.39
20250709,5.75,8.77,13.88,5.75,2871830,27503870.0,135.5,46.17,2.77,10.25
20250710,7.94,7.6,9.83,7.148,314385,2616068.0,30.58,-13.34,-1.17,1.12
20250711,7.69,6.09,8.007,6.082,146400,996892.0,25.33,-19.87,-1.51,0.52
20250714,6.14,6.3,6.82,5.72,117409,746188.0,18.06,3.45,0.21,0.42
20250715,6.4,6.02,6.6,6.01,53935,339960.0,9.37,-4.44,-0.28,0.19
20250716,6.2,6.25,6.94,6.2,132716,877751.0,12.29,3.82,0.23,0.47
20250717,6.54,6.04,6.69,5.51,101995,618133.0,18.88,-3.36,-0.21,0.36
20250718,6.12,6.14,6.17,6.04,20285,123297.0,2.15,1.66,0.1,0.07
20250721,6.32,6.03,6.578,5.9,45650,284766.0,11.04,-1.79,-0.11,0.16
20250722,6.0,6.16,6.27,5.83,28378,171767.0,7.3,2.16,0.13,0.1
20250723,6.2,5.86,6.327,5.7,40942,245430.0,10.18,-4.87,-0.3,0.15
20250724,5.8,5.79,6.32,5.79,20690,124902.0,9.04,-1.19,-0.07,0.07
20250725,5.69,5.66,5.95,5.51,30261,173630.0,7.6,-2.25,-0.13,0.11
20250728,5.71,5.71,6.057,5.52,26362,153235.0,9.49,0.88,0.05,0.09
20250729,5.84,5.4,5.87,5.4,15202,85638.0,8.23,-5.43,-0.31,0.05
20250730,5.49,5.21,5.8,5.21,13295,71645.0,10.93,-3.52,-0.19,0.05
20250731,5.37,5.2,5.435,5.186,77350,413985.0,4.78,-0.19,-0.01,0.28
20250801,5.01,4.5,5.02,4.5,20912,98644.0,10.0,-13.46,-0.7,0.07
20250804,4.43,5.15,5.347,4.43,9285,47491.0,20.38,14.44,0.65,0.03
20250805,5.2,5.62,5.62,4.835,84002,431434.0,15.24,9.13,0.47,0.3
20250806,5.45,5.5,5.5,5.34,8285,44468.0,2.85,-2.14,-0.12,0.03
20250807,5.6,5.48,5.65,5.4,5771,31979.0,4.55,-0.36,-0.02,0.02
20250808,5.49,5.3,5.52,5.27,7847,42687.0,4.56,-3.28,-0.18,0.03
20250811,5.3,5.29,5.38,5.2,3832,20323.0,3.4,-0.19,-0.01,0.01
20250812,5.28,5.39,5.695,5.152,5016,26664.0,10.26,1.89,0.1,0.02
20250813,5.933,5.67,5.933,5.218,7102,40453.0,13.27,5.19,0.28,0.03
20250814,5.63,7.28,7.8,5.61,308055,2136233.0,38.62,28.4,1.61,1.1
20250815,7.2,6.52,7.5,6.01,47929,316422.0,20.47,-10.44,-0.76,0.17
20250818,6.57,6.15,6.57,6.1,5678,35882.0,7.21,-5.67,-0.37,0.02
20250819,6.17,6.8,7.24,6.17,26675,179378.0,17.4,10.57,0.65,0.1
20250820,6.33,6.4,6.687,6.33,6759,43949.0,5.25,-5.88,-0.4,0.02
20250821,6.35,5.85,6.39,5.62,7355,45224.0,12.03,-8.59,-0.55,0.03
20250822,6.02,6.0,6.195,5.9,7319,43562.0,5.04,2.56,0.15,0.03
20250825,5.53,6.33,6.42,5.53,8043,49878.0,14.83,5.5,0.33,0.03
20250826,6.46,5.91,6.46,5.91,8007,48565.0,8.69,-6.64,-0.42,0.03
20250827,5.91,5.8,6.0,5.8,5465,32288.0,3.38,-1.86,-0.11,0.02
20250828,6.0,5.83,6.2,5.83,4411,26351.0,6.38,0.52,0.03,0.02
20250829,5.98,5.65,5.98,5.65,3378,19556.0,5.66,-3.09,-0.18,0.01
20250902,5.7,5.69,5.9,5.52,7263,41842.0,6.73,0.71,0.04,0.03
20250903,5.64,5.76,5.79,5.53,2666,15158.0,4.57,1.23,0.07,0.01
20250904,5.76,6.01,6.364,5.76,9141,55966.0,10.49,4.34,0.25,0.03
